,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-1565.0,40567.0,80563.0,121130.0,82963.0,52735.0,152.0,547.0,3412.0,21132.0,48.0,279.0,1166.0,4518.0,38167.0,360.0,274391.0,21629.0,11123.0,170.0,21.0,40435.0,616.0,370.0,11314.0,3015.0,7300.0,296020.0,291961.0,1972738.0,1183.0,12843.0,3939.0,5334.0,344.0,120.0,24742.0,271278.0,2824.0,448560.0,59814.0,41421.0,4647.0,13746.0,508374.0,495417.0,8492.0,4465.0,60437.0,447937.0,19382.0,18575.0,212.0,7.0,27928.0,439.0,379.0,18794.0,577.0,11.0,0.0,3413.0,36.0,42.0,588.0,73.0,32237.0,28746.0,3491.0,242.0
Alameda,0.0,1175.0,2959.0,4134.0,2989.0,1924.0,6.0,3.0,7.0,837.0,0.0,1.0,0.0,221.0,1145.0,0.0,14589.0,1327.0,751.0,9.0,2.0,1142.0,8.0,12.0,762.0,30.0,535.0,15916.0,15812.0,67825.0,113.0,108.0,104.0,229.0,0.0,0.0,1607.0,14309.0,0.0,9328.0,1609.0,1162.0,18.0,429.0,10937.0,10682.0,89.0,166.0,1809.0,9128.0,827.0,819.0,8.0,0.0,424.0,4.0,7.0,827.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,446.0,435.0,11.0,0.0
Alpine,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,23.0,2.0,2.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Amador,0.0,29.0,66.0,95.0,66.0,41.0,1.0,2.0,2.0,16.0,0.0,2.0,0.0,7.0,29.0,0.0,134.0,41.0,7.0,0.0,0.0,34.0,0.0,0.0,7.0,25.0,9.0,175.0,175.0,1141.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,143.0,0.0,292.0,64.0,34.0,17.0,13.0,356.0,356.0,0.0,0.0,74.0,282.0,7.0,5.0,0.0,0.0,21.0,0.0,0.0,5.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,29.0,21.0,8.0,4.0
Butte,0.0,601.0,709.0,1310.0,717.0,428.0,15.0,36.0,46.0,188.0,9.0,37.0,11.0,44.0,593.0,0.0,2436.0,294.0,66.0,0.0,0.0,360.0,2.0,0.0,66.0,95.0,133.0,2730.0,2729.0,17522.0,0.0,5.0,1.0,2.0,6.0,0.0,357.0,2373.0,0.0,5140.0,713.0,362.0,133.0,218.0,5853.0,5844.0,4.0,5.0,710.0,5143.0,125.0,118.0,0.0,0.0,379.0,0.0,0.0,118.0,7.0,0.0,0.0,87.0,0.0,0.0,7.0,21.0,466.0,379.0,87.0,42.0
Calaveras,0.0,79.0,72.0,151.0,82.0,49.0,2.0,4.0,6.0,22.0,0.0,5.0,2.0,3.0,69.0,0.0,182.0,31.0,8.0,0.0,0.0,41.0,0.0,0.0,8.0,18.0,5.0,213.0,213.0,1693.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,165.0,0.0,497.0,77.0,41.0,21.0,15.0,574.0,574.0,0.0,0.0,92.0,482.0,14.0,11.0,0.0,0.0,35.0,0.0,0.0,11.0,3.0,0.0,0.0,21.0,0.0,0.0,3.0,0.0,56.0,35.0,21.0,2.0
