,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-2696.0,33876.0,94782.0,128658.0,86526.0,55861.0,148.0,567.0,3522.0,20669.0,38.0,335.0,1416.0,5058.0,42132.0,171.0,276378.0,22346.0,11449.0,184.0,15.0,43235.0,623.0,355.0,11648.0,3332.0,7366.0,298724.0,294611.0,1985582.0,760.0,13034.0,3980.0,5190.0,347.0,133.0,24693.0,274031.0,1975.0,445574.0,63109.0,44213.0,4831.0,14065.0,508683.0,496067.0,8228.0,4388.0,62947.0,445736.0,19114.0,18267.0,244.0,17.0,27352.0,425.0,294.0,18528.0,574.0,12.0,0.0,3344.0,36.0,49.0,586.0,64.0,31500.0,28071.0,3429.0,293.0
Alameda,0.0,948.0,3431.0,4379.0,3204.0,2070.0,3.0,4.0,9.0,932.0,0.0,0.0,0.0,193.0,1175.0,0.0,14327.0,1522.0,821.0,4.0,1.0,1236.0,4.0,4.0,826.0,22.0,674.0,15849.0,15739.0,67630.0,103.0,111.0,110.0,224.0,0.0,0.0,1260.0,14589.0,0.0,9149.0,1776.0,1244.0,22.0,510.0,10925.0,10679.0,83.0,163.0,1597.0,9328.0,953.0,938.0,15.0,0.0,456.0,6.0,3.0,953.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,2.0,483.0,465.0,18.0,0.0
Alpine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,26.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,3.0,23.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
Amador,0.0,28.0,100.0,128.0,99.0,62.0,0.0,0.0,2.0,21.0,0.0,4.0,1.0,13.0,29.0,0.0,147.0,17.0,4.0,0.0,0.0,58.0,0.0,0.0,4.0,9.0,4.0,164.0,164.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,134.0,0.0,260.0,93.0,58.0,15.0,20.0,353.0,353.0,0.0,0.0,61.0,292.0,2.0,2.0,0.0,0.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,50.0,34.0,16.0,3.0
Butte,0.0,500.0,877.0,1377.0,776.0,444.0,15.0,63.0,50.0,190.0,7.0,46.0,26.0,66.0,601.0,0.0,2401.0,331.0,57.0,0.0,0.0,386.0,0.0,1.0,57.0,123.0,151.0,2732.0,2732.0,17523.0,0.0,5.0,0.0,2.0,6.0,0.0,296.0,2436.0,0.0,4999.0,812.0,387.0,136.0,289.0,5811.0,5803.0,4.0,4.0,671.0,5140.0,115.0,110.0,0.0,0.0,395.0,0.0,0.0,110.0,5.0,0.0,0.0,108.0,0.0,0.0,5.0,18.0,503.0,395.0,108.0,64.0
Calaveras,0.0,63.0,109.0,172.0,93.0,62.0,3.0,2.0,6.0,20.0,0.0,3.0,4.0,1.0,79.0,0.0,178.0,41.0,9.0,0.0,0.0,53.0,0.0,0.0,9.0,19.0,13.0,219.0,219.0,1657.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,182.0,0.0,483.0,77.0,53.0,16.0,8.0,560.0,560.0,0.0,0.0,63.0,497.0,15.0,14.0,0.0,0.0,39.0,0.0,0.0,14.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,3.0,60.0,39.0,21.0,5.0
