,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-1019.0,55909.0,97952.0,153861.0,96956.0,54272.0,1214.0,4563.0,4638.0,29270.0,196.0,5056.0,1839.0,6937.0,56905.0,-275.0,260648.0,14264.0,9082.0,197.0,7.0,44003.0,636.0,347.0,9286.0,989.0,3989.0,274912.0,270694.0,2073313.0,824.0,14723.0,4145.0,5293.0,341.0,73.0,14279.0,260633.0,3687.0,530464.0,75340.0,44986.0,11805.0,18549.0,605804.0,592560.0,8941.0,4303.0,75020.0,530784.0,18121.0,17007.0,280.0,7.0,28953.0,457.0,172.0,17294.0,811.0,16.0,0.0,1910.0,51.0,16.0,827.0,15.0,31559.0,29582.0,1977.0,28.0
Alameda,0.0,3276.0,3297.0,6573.0,3226.0,1712.0,169.0,531.0,62.0,1213.0,23.0,548.0,25.0,214.0,3347.0,-760.0,11581.0,864.0,351.0,12.0,1.0,1308.0,24.0,16.0,364.0,423.0,77.0,12445.0,12218.0,78387.0,35.0,651.0,222.0,250.0,0.0,5.0,165.0,12280.0,-271.0,20934.0,2739.0,1348.0,623.0,768.0,23673.0,23157.0,321.0,195.0,2295.0,21378.0,809.0,789.0,16.0,0.0,1125.0,21.0,2.0,805.0,4.0,0.0,0.0,68.0,0.0,0.0,4.0,1.0,1216.0,1148.0,68.0,6.0
Alpine,3.0,3.0,4.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-3.0,27.0,7.0,4.0,2.0,1.0,34.0,34.0,0.0,0.0,6.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
Amador,0.0,52.0,81.0,133.0,74.0,49.0,1.0,1.0,0.0,24.0,0.0,1.0,0.0,1.0,59.0,0.0,159.0,30.0,2.0,0.0,0.0,47.0,0.0,0.0,2.0,25.0,3.0,189.0,189.0,1199.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,150.0,0.0,358.0,125.0,47.0,51.0,27.0,483.0,482.0,1.0,0.0,113.0,370.0,8.0,8.0,0.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0
Butte,0.0,1736.0,986.0,2722.0,906.0,563.0,8.0,49.0,53.0,222.0,6.0,36.0,25.0,43.0,1816.0,0.0,2054.0,195.0,51.0,0.0,0.0,512.0,0.0,0.0,51.0,130.0,14.0,2249.0,2247.0,18419.0,0.0,14.0,1.0,0.0,14.0,1.0,288.0,1961.0,0.0,7267.0,769.0,512.0,94.0,163.0,8036.0,8010.0,13.0,13.0,722.0,7314.0,101.0,101.0,0.0,0.0,177.0,0.0,0.0,101.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,179.0,177.0,2.0,1.0
Calaveras,0.0,118.0,135.0,253.0,123.0,77.0,0.0,3.0,9.0,24.0,0.0,2.0,5.0,8.0,130.0,0.0,187.0,31.0,13.0,0.0,0.0,64.0,0.0,0.0,13.0,15.0,3.0,218.0,218.0,1899.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,193.0,0.0,552.0,101.0,64.0,14.0,23.0,653.0,653.0,0.0,0.0,85.0,568.0,12.0,12.0,0.0,0.0,26.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,26.0,0.0,0.0
