,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-90.0,57975.0,97115.0,155090.0,98675.0,54152.0,1286.0,4989.0,4384.0,29295.0,245.0,4770.0,2228.0,8616.0,56415.0,-4232.0,254862.0,15515.0,8953.0,168.0,8.0,43976.0,690.0,357.0,9129.0,2002.0,4384.0,270377.0,266131.0,2061413.0,852.0,15011.0,4170.0,5302.0,299.0,76.0,13075.0,257302.0,2455.0,520480.0,75461.0,45023.0,10382.0,20056.0,595941.0,582480.0,9171.0,4290.0,76127.0,519814.0,18014.0,17007.0,254.0,3.0,29314.0,433.0,159.0,17264.0,742.0,8.0,0.0,1957.0,74.0,11.0,750.0,36.0,31948.0,29906.0,2042.0,36.0
Alameda,0.0,3011.0,3252.0,6263.0,3103.0,1664.0,143.0,523.0,59.0,1138.0,36.0,471.0,208.0,34.0,3160.0,-660.0,11579.0,832.0,344.0,5.0,0.0,1279.0,22.0,14.0,349.0,383.0,100.0,12411.0,12199.0,76861.0,35.0,566.0,210.0,229.0,1.0,2.0,143.0,12268.0,565.0,20167.0,2663.0,1315.0,494.0,854.0,22830.0,22379.0,271.0,180.0,2318.0,20512.0,956.0,928.0,11.0,0.0,1253.0,11.0,8.0,939.0,17.0,0.0,0.0,87.0,0.0,0.0,17.0,4.0,1359.0,1272.0,87.0,1.0
Alpine,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-7.0,25.0,8.0,2.0,0.0,6.0,33.0,33.0,0.0,0.0,3.0,30.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Amador,0.0,54.0,99.0,153.0,95.0,64.0,0.0,3.0,3.0,20.0,0.0,5.0,1.0,7.0,58.0,-2.0,138.0,40.0,7.0,0.0,0.0,57.0,0.0,0.0,7.0,31.0,2.0,178.0,178.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,150.0,-1.0,359.0,107.0,57.0,32.0,18.0,466.0,466.0,0.0,0.0,111.0,355.0,7.0,7.0,0.0,0.0,15.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,15.0,1.0,0.0
Butte,0.0,1556.0,1032.0,2588.0,935.0,589.0,11.0,52.0,53.0,200.0,6.0,32.0,34.0,59.0,1653.0,0.0,2117.0,136.0,40.0,0.0,0.0,549.0,0.0,0.0,40.0,83.0,13.0,2253.0,2252.0,18423.0,0.0,7.0,1.0,0.0,15.0,0.0,197.0,2056.0,0.0,7041.0,770.0,549.0,91.0,130.0,7811.0,7790.0,6.0,15.0,719.0,7092.0,77.0,76.0,0.0,0.0,192.0,0.0,1.0,76.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,195.0,193.0,2.0,5.0
Calaveras,0.0,100.0,129.0,229.0,116.0,66.0,0.0,1.0,6.0,30.0,0.0,3.0,5.0,9.0,113.0,0.0,185.0,49.0,13.0,0.0,0.0,53.0,0.0,0.0,13.0,28.0,8.0,234.0,234.0,1858.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,206.0,0.0,552.0,96.0,53.0,24.0,19.0,648.0,648.0,0.0,0.0,92.0,556.0,11.0,11.0,0.0,0.0,20.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,22.0,20.0,2.0,0.0
