,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-4322.0,60347.0,100637.0,160984.0,96476.0,53777.0,1096.0,2496.0,4978.0,28198.0,237.0,4712.0,1867.0,7656.0,64508.0,-1198.0,261205.0,18084.0,9633.0,183.0,12.0,42926.0,684.0,339.0,9828.0,3798.0,4458.0,279289.0,275278.0,2027923.0,1064.0,14476.0,3847.0,5059.0,937.0,164.0,12120.0,267169.0,4031.0,506785.0,73070.0,43949.0,10866.0,18255.0,579855.0,566895.0,8787.0,4173.0,70285.0,509570.0,16538.0,15632.0,216.0,11.0,26053.0,401.0,170.0,15859.0,668.0,10.0,1.0,1592.0,47.0,11.0,679.0,35.0,28274.0,26624.0,1650.0,54.0
Alameda  ,0.0,2892.0,2911.0,5803.0,3071.0,1662.0,143.0,275.0,53.0,1098.0,34.0,571.0,29.0,229.0,2732.0,-636.0,11814.0,957.0,397.0,8.0,0.0,1220.0,24.0,13.0,405.0,368.0,184.0,12771.0,12575.0,76838.0,44.0,541.0,191.0,208.0,62.0,5.0,403.0,12368.0,34.0,19253.0,2668.0,1257.0,677.0,734.0,21921.0,21466.0,274.0,181.0,2132.0,19789.0,867.0,845.0,5.0,0.0,963.0,10.0,3.0,850.0,17.0,0.0,0.0,54.0,0.0,0.0,17.0,1.0,1030.0,976.0,54.0,7.0
Alpine,0.0,0.0,4.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,32.0,3.0,3.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,35.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
Amador,0.0,54.0,89.0,143.0,96.0,59.0,2.0,4.0,1.0,26.0,1.0,3.0,0.0,10.0,47.0,0.0,163.0,35.0,9.0,0.0,0.0,50.0,0.0,0.0,9.0,25.0,1.0,198.0,198.0,1227.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,167.0,0.0,319.0,108.0,50.0,39.0,19.0,427.0,427.0,0.0,0.0,100.0,327.0,7.0,7.0,0.0,0.0,15.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,15.0,1.0,1.0
Butte,-82.0,1310.0,915.0,2225.0,863.0,507.0,20.0,36.0,58.0,206.0,15.0,32.0,32.0,60.0,1362.0,0.0,2091.0,303.0,69.0,0.0,0.0,438.0,0.0,0.0,69.0,164.0,70.0,2394.0,2394.0,18486.0,0.0,5.0,0.0,0.0,6.0,0.0,195.0,2199.0,0.0,7168.0,764.0,438.0,97.0,229.0,7932.0,7921.0,5.0,6.0,772.0,7160.0,94.0,93.0,0.0,0.0,193.0,0.0,1.0,93.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,8.0,197.0,194.0,3.0,6.0
Calaveras,0.0,89.0,120.0,209.0,103.0,66.0,0.0,2.0,6.0,25.0,0.0,2.0,1.0,5.0,106.0,0.0,205.0,27.0,10.0,0.0,0.0,56.0,0.0,0.0,10.0,14.0,3.0,232.0,232.0,1803.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,203.0,0.0,558.0,88.0,56.0,19.0,13.0,646.0,646.0,0.0,0.0,90.0,556.0,7.0,7.0,0.0,0.0,18.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0
