,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-1594.0,62051.0,95360.0,157411.0,100856.0,58207.0,1541.0,5584.0,4966.0,29729.0,487.0,5983.0,1518.0,6436.0,56555.0,-1058.0,265738.0,16873.0,9282.0,192.0,6.0,47580.0,784.0,363.0,9480.0,2329.0,5064.0,282611.0,278153.0,2171982.0,898.0,15616.0,4387.0,5084.0,282.0,71.0,12550.0,270061.0,4859.0,556898.0,78940.0,48727.0,8770.0,21443.0,635838.0,622279.0,9355.0,4204.0,84018.0,551820.0,16315.0,15595.0,200.0,6.0,29370.0,419.0,121.0,15801.0,501.0,13.0,0.0,1905.0,48.0,12.0,514.0,22.0,31875.0,29910.0,1965.0,30.0
Alameda,0.0,2021.0,2959.0,4980.0,3044.0,1701.0,136.0,467.0,47.0,1102.0,26.0,433.0,16.0,178.0,1936.0,-910.0,11159.0,893.0,329.0,14.0,0.0,1313.0,28.0,17.0,343.0,452.0,98.0,12052.0,11827.0,80366.0,60.0,672.0,224.0,280.0,0.0,1.0,183.0,11869.0,221.0,22720.0,2655.0,1358.0,448.0,849.0,25375.0,24795.0,370.0,210.0,2676.0,22699.0,664.0,638.0,11.0,0.0,931.0,23.0,3.0,649.0,15.0,0.0,0.0,73.0,4.0,2.0,15.0,3.0,1036.0,957.0,79.0,8.0
Alpine,0.0,4.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,4.0,4.0,0.0,0.0,35.0,35.0,0.0,0.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,0.0,80.0,82.0,162.0,94.0,52.0,0.0,5.0,1.0,32.0,1.0,3.0,0.0,9.0,68.0,0.0,188.0,24.0,3.0,0.0,0.0,49.0,0.0,0.0,3.0,20.0,1.0,212.0,212.0,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,189.0,0.0,405.0,102.0,49.0,32.0,21.0,507.0,507.0,0.0,0.0,91.0,416.0,4.0,4.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
Butte,0.0,2214.0,1056.0,3270.0,1061.0,643.0,19.0,85.0,62.0,272.0,13.0,71.0,21.0,63.0,2209.0,0.0,2017.0,155.0,53.0,0.0,0.0,588.0,2.0,0.0,53.0,81.0,21.0,2172.0,2172.0,18821.0,0.0,20.0,0.0,0.0,7.0,0.0,214.0,1958.0,0.0,7820.0,875.0,590.0,91.0,194.0,8695.0,8668.0,20.0,7.0,724.0,7971.0,110.0,110.0,0.0,0.0,169.0,1.0,1.0,110.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,175.0,171.0,4.0,3.0
Calaveras,0.0,139.0,108.0,247.0,125.0,83.0,1.0,4.0,9.0,27.0,1.0,1.0,2.0,4.0,122.0,0.0,227.0,33.0,12.0,0.0,0.0,71.0,0.0,0.0,12.0,18.0,3.0,260.0,260.0,2182.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,231.0,0.0,664.0,101.0,71.0,7.0,23.0,765.0,765.0,0.0,0.0,129.0,636.0,7.0,7.0,0.0,0.0,22.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,22.0,2.0,0.0
