,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-1511.0,65209.0,126228.0,191437.0,121221.0,69779.0,1473.0,6466.0,5790.0,36301.0,281.0,6554.0,1849.0,7502.0,70216.0,-1310.0,268168.0,16927.0,9997.0,207.0,7.0,58295.0,824.0,449.0,10211.0,1185.0,5531.0,285095.0,280267.0,2374663.0,1045.0,17811.0,4770.0,5847.0,313.0,58.0,14015.0,271080.0,6176.0,631041.0,93589.0,59568.0,10082.0,23939.0,724630.0,708907.0,10969.0,4754.0,90015.0,634615.0,17397.0,16468.0,242.0,3.0,34629.0,528.0,176.0,16713.0,675.0,9.0,0.0,2165.0,44.0,13.0,684.0,30.0,37555.0,35333.0,2222.0,48.0
Alameda,0.0,2998.0,3874.0,6872.0,3573.0,2149.0,156.0,484.0,43.0,1111.0,18.0,526.0,23.0,247.0,3299.0,-629.0,11338.0,943.0,384.0,18.0,1.0,1714.0,19.0,13.0,403.0,409.0,131.0,12281.0,11975.0,86354.0,65.0,827.0,298.0,314.0,4.0,8.0,173.0,12108.0,-439.0,25325.0,3298.0,1746.0,565.0,987.0,28623.0,27953.0,434.0,236.0,2844.0,25779.0,776.0,744.0,20.0,1.0,1335.0,27.0,5.0,765.0,11.0,0.0,0.0,82.0,3.0,0.0,11.0,3.0,1452.0,1367.0,85.0,11.0
Alpine,0.0,2.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,36.0,7.0,4.0,1.0,2.0,43.0,43.0,0.0,0.0,5.0,38.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
Amador,0.0,80.0,129.0,209.0,108.0,69.0,3.0,2.0,0.0,28.0,0.0,2.0,0.0,11.0,101.0,0.0,227.0,29.0,7.0,0.0,0.0,62.0,0.0,0.0,7.0,20.0,2.0,256.0,256.0,1628.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,237.0,0.0,467.0,105.0,62.0,23.0,20.0,572.0,572.0,0.0,0.0,114.0,458.0,4.0,4.0,0.0,0.0,22.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0
Butte,0.0,2331.0,1242.0,3573.0,1171.0,629.0,14.0,93.0,64.0,343.0,11.0,80.0,37.0,98.0,2402.0,0.0,1814.0,185.0,52.0,0.0,0.0,577.0,0.0,0.0,52.0,117.0,16.0,1999.0,1999.0,19685.0,0.0,24.0,0.0,0.0,16.0,0.0,202.0,1797.0,0.0,9190.0,885.0,577.0,104.0,204.0,10075.0,10035.0,24.0,16.0,765.0,9310.0,96.0,95.0,0.0,0.0,177.0,1.0,2.0,95.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,181.0,180.0,1.0,3.0
Calaveras,0.0,172.0,169.0,341.0,167.0,98.0,2.0,8.0,5.0,42.0,1.0,4.0,6.0,16.0,174.0,0.0,244.0,30.0,14.0,0.0,0.0,84.0,0.0,0.0,14.0,13.0,3.0,274.0,274.0,2501.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,237.0,0.0,757.0,145.0,84.0,13.0,48.0,902.0,902.0,0.0,0.0,120.0,782.0,9.0,9.0,0.0,0.0,25.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,25.0,2.0,0.0
