,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-825.0,61107.0,131043.0,192150.0,125430.0,72366.0,1495.0,6420.0,5690.0,38292.0,313.0,6579.0,1901.0,7181.0,66720.0,-16342.0,267900.0,16570.0,10287.0,209.0,3.0,60481.0,887.0,499.0,10499.0,1300.0,4771.0,284470.0,279596.0,2346498.0,1002.0,17670.0,4812.0,5853.0,309.0,62.0,14992.0,269478.0,5592.0,617148.0,98034.0,61867.0,11096.0,25071.0,715182.0,699596.0,10835.0,4751.0,90317.0,624865.0,18908.0,17799.0,266.0,2.0,36639.0,525.0,182.0,18067.0,825.0,16.0,0.0,2379.0,75.0,17.0,841.0,30.0,39817.0,37346.0,2471.0,71.0
Alameda,0.0,2806.0,4073.0,6879.0,3881.0,2238.0,163.0,514.0,44.0,1271.0,21.0,520.0,35.0,293.0,2998.0,-665.0,11186.0,973.0,418.0,15.0,1.0,1748.0,33.0,23.0,434.0,411.0,128.0,12159.0,11868.0,85569.0,68.0,819.0,283.0,337.0,0.0,8.0,192.0,11967.0,387.0,24831.0,3523.0,1804.0,472.0,1247.0,28354.0,27663.0,442.0,249.0,2590.0,25764.0,844.0,816.0,11.0,0.0,1507.0,18.0,11.0,827.0,17.0,0.0,0.0,93.0,2.0,1.0,17.0,4.0,1632.0,1536.0,96.0,18.0
Alpine,-3.0,0.0,6.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,33.0,8.0,4.0,2.0,2.0,41.0,41.0,0.0,0.0,5.0,36.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
Amador,0.0,78.0,112.0,190.0,110.0,73.0,2.0,4.0,0.0,26.0,0.0,3.0,2.0,9.0,80.0,0.0,229.0,27.0,7.0,0.0,0.0,66.0,0.0,0.0,7.0,19.0,1.0,256.0,256.0,1591.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,227.0,0.0,449.0,125.0,66.0,38.0,21.0,574.0,574.0,0.0,0.0,107.0,467.0,12.0,12.0,0.0,0.0,23.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0
Butte,0.0,2221.0,1293.0,3514.0,1183.0,680.0,11.0,129.0,63.0,325.0,3.0,92.0,30.0,85.0,2331.0,0.0,1856.0,182.0,41.0,0.0,0.0,637.0,0.0,2.0,41.0,120.0,21.0,2038.0,2038.0,19835.0,0.0,26.0,0.0,2.0,14.0,0.0,224.0,1814.0,0.0,8946.0,1016.0,639.0,135.0,242.0,9962.0,9920.0,26.0,16.0,772.0,9190.0,110.0,110.0,0.0,0.0,227.0,1.0,3.0,110.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,235.0,231.0,4.0,11.0
Calaveras,0.0,151.0,175.0,326.0,154.0,101.0,2.0,6.0,3.0,26.0,1.0,7.0,11.0,13.0,172.0,0.0,241.0,25.0,14.0,0.0,0.0,87.0,0.0,0.0,14.0,9.0,2.0,266.0,266.0,2439.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,244.0,0.0,750.0,146.0,87.0,37.0,22.0,896.0,896.0,0.0,0.0,139.0,757.0,9.0,9.0,0.0,0.0,30.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,33.0,30.0,3.0,0.0
