,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-2059.0,75021.0,124159.0,199180.0,121017.0,73540.0,1390.0,6806.0,5147.0,34660.0,133.0,6433.0,1391.0,6279.0,78163.0,-498.0,276292.0,18307.0,9932.0,212.0,8.0,61899.0,1032.0,457.0,10152.0,2809.0,5346.0,294599.0,289633.0,2479758.0,1126.0,18725.0,4904.0,5863.0,339.0,62.0,9935.0,284664.0,9934.0,665406.0,97798.0,63388.0,8440.0,25970.0,763204.0,746830.0,11614.0,4760.0,88101.0,675103.0,15235.0,14643.0,223.0,1.0,32290.0,474.0,140.0,14867.0,365.0,2.0,1.0,1812.0,46.0,4.0,368.0,22.0,34766.0,32904.0,1862.0,66.0
Alameda  a/,0.0,3273.0,3458.0,6731.0,3306.0,1911.0,156.0,615.0,44.0,1099.0,22.0,506.0,17.0,235.0,3425.0,-822.0,11160.0,970.0,325.0,11.0,0.0,1536.0,25.0,14.0,336.0,517.0,117.0,12130.0,11817.0,88883.0,61.0,892.0,310.0,326.0,0.0,3.0,158.0,11972.0,-644.0,26882.0,3064.0,1575.0,503.0,986.0,29946.0,29239.0,465.0,242.0,3425.0,26521.0,562.0,542.0,18.0,0.0,1083.0,23.0,1.0,560.0,2.0,0.0,0.0,106.0,1.0,0.0,2.0,0.0,1214.0,1107.0,107.0,30.0
Alpine,0.0,1.0,8.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,31.0,6.0,2.0,0.0,4.0,37.0,37.0,0.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
Amador,0.0,110.0,120.0,230.0,126.0,77.0,0.0,10.0,0.0,34.0,0.0,6.0,0.0,15.0,104.0,0.0,243.0,34.0,2.0,0.0,0.0,75.0,0.0,0.0,2.0,30.0,2.0,277.0,277.0,1766.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,258.0,0.0,493.0,133.0,75.0,32.0,26.0,626.0,624.0,2.0,0.0,150.0,476.0,10.0,10.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,22.0,0.0,0.0
Butte,0.0,2431.0,1125.0,3556.0,1059.0,615.0,16.0,98.0,49.0,288.0,9.0,76.0,31.0,76.0,2497.0,0.0,1842.0,175.0,39.0,0.0,0.0,573.0,3.0,0.0,39.0,116.0,20.0,2017.0,2017.0,20583.0,0.0,20.0,0.0,0.0,0.0,0.0,159.0,1858.0,0.0,9739.0,890.0,576.0,99.0,215.0,10629.0,10609.0,20.0,0.0,828.0,9801.0,69.0,69.0,0.0,0.0,218.0,2.0,0.0,69.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,223.0,220.0,3.0,3.0
Calaveras,0.0,177.0,173.0,350.0,172.0,124.0,2.0,8.0,2.0,30.0,0.0,5.0,4.0,12.0,178.0,0.0,246.0,41.0,16.0,0.0,0.0,108.0,0.0,0.0,16.0,24.0,1.0,287.0,287.0,2743.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,266.0,-10.0,826.0,171.0,108.0,26.0,37.0,997.0,997.0,0.0,0.0,125.0,872.0,10.0,10.0,0.0,0.0,24.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,24.0,1.0,0.0
