,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-2177.0,78276.0,158395.0,236671.0,150991.0,90332.0,1388.0,8058.0,5566.0,46628.0,138.0,8219.0,1349.0,7116.0,85680.0,-5395.0,309238.0,19254.0,11276.0,261.0,5.0,76922.0,1249.0,619.0,11542.0,2236.0,5476.0,328492.0,322777.0,3000883.0,1529.0,23375.0,5636.0,7392.0,426.0,79.0,13888.0,314604.0,3330.0,858495.0,125833.0,78790.0,11720.0,35323.0,984328.0,962851.0,15501.0,5976.0,111480.0,872848.0,21090.0,20017.0,325.0,6.0,49672.0,736.0,229.0,20348.0,729.0,13.0,0.0,3179.0,76.0,15.0,742.0,22.0,53907.0,50637.0,3270.0,53.0
Alameda,0.0,4665.0,4736.0,9401.0,4548.0,2695.0,155.0,707.0,33.0,1466.0,29.0,880.0,22.0,332.0,4853.0,-760.0,11655.0,1109.0,320.0,9.0,0.0,2306.0,33.0,27.0,329.0,603.0,177.0,12764.0,12434.0,103040.0,79.0,1098.0,329.0,424.0,0.0,1.0,204.0,12560.0,548.0,32697.0,4595.0,2366.0,715.0,1514.0,37292.0,36371.0,606.0,315.0,3619.0,33673.0,791.0,761.0,22.0,1.0,1460.0,22.0,8.0,784.0,7.0,0.0,0.0,112.0,2.0,0.0,7.0,2.0,1604.0,1490.0,114.0,8.0
Alpine,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,48.0,4.0,4.0,0.0,0.0,52.0,52.0,0.0,0.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,0.0,161.0,151.0,312.0,144.0,101.0,2.0,20.0,1.0,32.0,0.0,20.0,0.0,10.0,168.0,0.0,277.0,43.0,8.0,0.0,0.0,93.0,0.0,0.0,8.0,34.0,1.0,320.0,320.0,2148.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,289.0,0.0,643.0,178.0,93.0,41.0,44.0,821.0,821.0,0.0,0.0,169.0,652.0,11.0,11.0,0.0,0.0,37.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,37.0,1.0,1.0
Butte,0.0,3010.0,946.0,3956.0,1222.0,690.0,29.0,134.0,63.0,349.0,10.0,81.0,39.0,81.0,2734.0,0.0,1751.0,140.0,46.0,0.0,0.0,642.0,2.0,0.0,46.0,85.0,9.0,1891.0,1891.0,22374.0,0.0,35.0,0.0,0.0,11.0,0.0,203.0,1688.0,0.0,11738.0,928.0,644.0,78.0,206.0,12666.0,12620.0,35.0,11.0,854.0,11812.0,91.0,89.0,1.0,0.0,101.0,0.0,0.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,102.0,101.0,1.0,5.0
Calaveras,0.0,206.0,224.0,430.0,203.0,134.0,1.0,4.0,9.0,38.0,0.0,4.0,6.0,16.0,227.0,0.0,311.0,38.0,19.0,0.0,0.0,115.0,0.0,0.0,19.0,16.0,3.0,349.0,349.0,3465.0,0.0,6.0,0.0,0.0,0.0,0.0,46.0,303.0,0.0,1178.0,199.0,115.0,36.0,48.0,1377.0,1371.0,6.0,0.0,168.0,1209.0,15.0,15.0,0.0,0.0,65.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.0,65.0,1.0,0.0
