,PART A.  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,PART A.  APPLICATIONS FOR FOOD STAMPS (Continued),,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,,,PART C.  RECERTIFICATIONS,,,,,,,,,,PART C.  RECERTIFICATIONS (Continued),,,,,,,,,
,Adjustment,1.,2.,3.,4.,4a.,4a(1) PAFS,4a(1) NAFS,4b. PAFS,4b. NAFS,4b(1) PAFS,4b(1) NAFS,4c. PAFS,4c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7a. PAFS,7a. PAFS,7a. PAFS,7a. NAFS,7a. NAFS,7a. NAFS,7a. PAFS,7b. PAFS,7c. PAFS,8. PAFS,8a. PAFS,8(a1),8b.,8b.,8b. PAFS,8c.,8c.,8c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7a. NAFS,7b. NAFS,7c. NAFS,8. NAFS,8a. NAFS,8b. NAFS,8c. NAFS,9. NAFS,10. NAFS,11. PAFS,11a. PAFS,11a. PAFS,11.a. PAFS,11a. NAFS,11a. NAFS,11a. NAFS,11a. PAFS,11b. PAFS,11b. PAFS,11b. PAFS,11b. NAFS,11b. NAFS,11b. NAFS,11b. PAFS,12. PAFS,11. NAFS,11a. NAFS,11b. NAFS,12. NAFS
,,Pending from last month,Received during month,"Total 
during month",Disposed ,Approved,Approved in over 30 days,Approved in over 30 days,Denied,Denied,Denied in over 30 days,Denied in over 30 days,Withdrawn,Withdrawn,"Pending 
end 
of month",Adjustment,Cases forward,Cases added,Federal applications approved,Federal/State applications approved,State applications,Federal applications,Federal/State applications approved,State applications approved,Total applications approved,Transferred from NAFS,Other approvals,Total cases open during month,Pure Federal cases,Total Federal persons count,Combined cases,State persons,Federal/State combined cases,State cases ,State persons,Pure State cases,Cases terminated during month,Cases forward to next month,Adjustment,"Cases forward from 
last month",Cases added during month,Total applications approved,Transferred from PAFS,Other approvals,Total cases open during month,Pure Federal cases,Federal/State combined cases,Pure State cases,Cases terminated during month,Cases forwarded to next month,Recertifications disposed of,Federal continuing eligible,Federal/State continuing eligible,State continuing eligibility,Federal continuing eligibility,Fed/State continuing eligible,State continuing eligible,Total continuing eligibility,Federal ineligible,Federal/State ineligible,State ineligible,Federal ineligible,Federal/State ineligible,State ineligible,Total ineligible,Overdue recertifications-CWD,Recertifications disposed of,Total continued eligibility,Total ineligible,Overdue recertification-CWD
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singles,Families,,Singles,Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Cells,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-8147.0,100835.0,166141.0,266976.0,165348.0,104442.0,371.0,2978.0,4556.0,49178.0,138.0,2094.0,743.0,6429.0,101628.0,248.0,331152.0,13465.0,11072.0,159.0,8.0,91202.0,1410.0,591.0,11239.0,-4549.0,6775.0,344617.0,339957.0,3952139.0,2183.0,27542.0,4571.0,9947.0,214.0,89.0,8736.0,335881.0,19661.0,1295556.0,151925.0,93203.0,5683.0,53039.0,1447481.0,1420612.0,19177.0,7692.0,150369.0,1297112.0,25182.0,23704.0,292.0,4.0,81787.0,1146.0,279.0,24000.0,1170.0,12.0,0.0,3619.0,77.0,15.0,1182.0,0.0,86923.0,83212.0,3711.0,0.0
Alameda,0.0,6378.0,4211.0,10589.0,4107.0,2613.0,17.0,184.0,1.0,1343.0,0.0,183.0,0.0,150.0,6482.0,-422.0,11323.0,447.0,262.0,7.0,1.0,2263.0,50.0,30.0,270.0,10.0,167.0,11770.0,11444.0,130466.0,113.0,1572.0,322.0,651.0,0.0,4.0,134.0,11636.0,1267.0,48398.0,4604.0,2343.0,13.0,2248.0,53002.0,51499.0,1034.0,469.0,5301.0,47701.0,670.0,635.0,24.0,0.0,1995.0,60.0,13.0,659.0,10.0,1.0,0.0,149.0,6.0,3.0,11.0,0.0,2226.0,2068.0,158.0,0.0
Alpine,0.0,1.0,9.0,10.0,10.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,70.0,6.0,7.0,-1.0,0.0,76.0,76.0,0.0,0.0,4.0,72.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
Amador,0.0,126.0,145.0,271.0,150.0,107.0,1.0,15.0,0.0,32.0,0.0,5.0,0.0,11.0,121.0,0.0,227.0,-1.0,11.0,0.0,0.0,96.0,0.0,0.0,11.0,-13.0,1.0,226.0,226.0,3055.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,217.0,0.0,1282.0,113.0,96.0,13.0,4.0,1395.0,1391.0,4.0,0.0,126.0,1269.0,19.0,17.0,0.0,0.0,127.0,0.0,0.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,128.0,127.0,1.0,0.0
Butte,3.0,971.0,1325.0,2296.0,1418.0,825.0,15.0,62.0,37.0,471.0,2.0,21.0,3.0,82.0,878.0,120.0,2183.0,5.0,79.0,0.0,0.0,746.0,0.0,0.0,79.0,-83.0,9.0,2188.0,2181.0,28405.0,3.0,49.0,7.0,11.0,0.0,0.0,106.0,2082.0,382.0,10832.0,885.0,746.0,83.0,56.0,11717.0,11663.0,44.0,10.0,1134.0,10583.0,200.0,186.0,2.0,0.0,942.0,3.0,0.0,188.0,12.0,0.0,0.0,14.0,0.0,0.0,12.0,0.0,959.0,945.0,14.0,0.0
Calaveras,-1.0,111.0,196.0,307.0,232.0,156.0,0.0,1.0,3.0,53.0,0.0,2.0,0.0,20.0,75.0,10.0,354.0,7.0,16.0,0.0,0.0,140.0,0.0,0.0,16.0,-9.0,0.0,361.0,360.0,4891.0,1.0,3.0,1.0,0.0,0.0,0.0,18.0,343.0,32.0,1965.0,156.0,140.0,9.0,7.0,2121.0,2118.0,3.0,0.0,166.0,1955.0,18.0,16.0,0.0,0.0,145.0,0.0,0.0,16.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,146.0,145.0,1.0,0.0
Colusa,0.0,60.0,128.0,188.0,91.0,49.0,0.0,0.0,8.0,32.0,0.0,0.0,0.0,2.0,97.0,0.0,98.0,24.0,13.0,0.0,0.0,36.0,0.0,0.0,13.0,7.0,4.0,122.0,122.0,1566.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,113.0,0.0,505.0,49.0,36.0,8.0,5.0,554.0,548.0,6.0,0.0,55.0,499.0,10.0,8.0,0.0,0.0,50.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,52.0,50.0,2.0,0.0
Contra Costa,-113.0,3119.0,2894.0,6013.0,3031.0,1590.0,4.0,57.0,2.0,1198.0,0.0,65.0,0.0,241.0,2982.0,-200.0,6018.0,255.0,160.0,1.0,0.0,1405.0,21.0,3.0,161.0,0.0,94.0,6273.0,6205.0,67170.0,29.0,407.0,66.0,94.0,0.0,2.0,86.0,6187.0,385.0,22072.0,3204.0,1429.0,0.0,1775.0,25276.0,24914.0,289.0,73.0,3450.0,21826.0,453.0,442.0,4.0,0.0,1079.0,10.0,0.0,446.0,7.0,0.0,0.0,23.0,0.0,0.0,7.0,0.0,1112.0,1089.0,23.0,0.0
Del Norte  a/,0.0,90.0,253.0,343.0,277.0,187.0,0.0,0.0,4.0,77.0,0.0,0.0,1.0,8.0,66.0,-40.0,489.0,-6.0,28.0,1.0,0.0,158.0,0.0,0.0,29.0,-37.0,2.0,483.0,481.0,5372.0,0.0,5.0,2.0,9.0,0.0,0.0,28.0,455.0,-51.0,1958.0,206.0,158.0,37.0,11.0,2164.0,2154.0,3.0,7.0,242.0,1922.0,32.0,27.0,0.0,0.0,169.0,1.0,0.0,27.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,171.0,170.0,1.0,0.0
El Dorado,-7.0,345.0,833.0,1178.0,865.0,505.0,0.0,0.0,14.0,283.0,0.0,0.0,4.0,59.0,313.0,35.0,672.0,-3.0,41.0,0.0,0.0,461.0,1.0,2.0,41.0,-46.0,2.0,669.0,661.0,11400.0,1.0,41.0,8.0,10.0,0.0,0.0,32.0,637.0,125.0,4898.0,533.0,464.0,46.0,23.0,5431.0,5396.0,27.0,8.0,639.0,4792.0,49.0,42.0,2.0,0.0,433.0,2.0,0.0,44.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,439.0,435.0,4.0,0.0
Fresno,0.0,1908.0,5921.0,7829.0,6047.0,4535.0,0.0,0.0,1.0,1245.0,0.0,0.0,0.0,266.0,1782.0,-273.0,15829.0,557.0,426.0,0.0,0.0,4061.0,42.0,6.0,426.0,-10.0,141.0,16386.0,16291.0,213407.0,46.0,640.0,95.0,148.0,0.0,0.0,161.0,16225.0,832.0,63409.0,7479.0,4109.0,10.0,3360.0,70888.0,70259.0,514.0,115.0,7429.0,63459.0,1291.0,1273.0,7.0,0.0,3796.0,33.0,3.0,1280.0,11.0,0.0,0.0,330.0,2.0,0.0,11.0,0.0,4164.0,3832.0,332.0,0.0
Glenn,0.0,92.0,175.0,267.0,173.0,110.0,0.0,0.0,9.0,43.0,0.0,0.0,0.0,11.0,94.0,9.0,261.0,3.0,16.0,0.0,0.0,93.0,1.0,0.0,16.0,-13.0,0.0,264.0,263.0,3322.0,0.0,10.0,1.0,1.0,0.0,0.0,9.0,255.0,15.0,1013.0,110.0,94.0,13.0,3.0,1123.0,1112.0,9.0,2.0,126.0,997.0,15.0,14.0,0.0,0.0,84.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,85.0,84.0,1.0,0.0
