,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0
Statewide,90511.0,101628.0,-11117.0,184978.0,275489.0,164052.0,103036.0,527.0,3539.0,4221.0,49140.0,127.0,2575.0,782.0,6873.0,111437.0,332071.0,1304775.0,335881.0,1297112.0,-3810.0,7663.0,13953.0,153314.0,10563.0,171.0,10.0,90197.0,1390.0,597.0,10744.0,92292.0,-3812.0,4890.0,633.0,713.0,1352.0,6929.0,5036.0,48490.0,346024.0,1458089.0,341353.0,1430876.0,3869075.0,2229.0,27686.0,4580.0,19315.0,10227.0,204.0,91.0,7898.0,9172.0,145540.0,336852.0,1312549.0,23327.0,83591.0,21839.0,285.0,2.0,78393.0,969.0,317.0,22126.0,79679.0,1186.0,15.0,0.0,3829.0,62.0,21.0,1201.0,3912.0,0.0,0.0
Alameda,6482.0,6482.0,0.0,4637.0,11119.0,4013.0,2548.0,25.0,206.0,1.0,1312.0,0.0,199.0,0.0,152.0,7106.0,11293.0,48555.0,11636.0,47701.0,-343.0,854.0,427.0,4606.0,266.0,9.0,2.0,2186.0,67.0,18.0,277.0,2271.0,9.0,19.0,27.0,25.0,2.0,244.0,112.0,2047.0,11720.0,53161.0,11387.0,51637.0,130428.0,125.0,1596.0,324.0,1064.0,641.0,0.0,9.0,460.0,161.0,5105.0,11559.0,48056.0,785.0,2439.0,756.0,22.0,1.0,2268.0,46.0,18.0,779.0,2332.0,6.0,0.0,0.0,103.0,4.0,0.0,6.0,107.0,0.0,0.0
Alpine,0.0,0.0,0.0,10.0,10.0,10.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,72.0,5.0,72.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,79.0,5.0,79.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,77.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,109.0,121.0,-12.0,207.0,316.0,178.0,116.0,1.0,14.0,0.0,41.0,0.0,8.0,0.0,21.0,138.0,229.0,1306.0,217.0,1269.0,12.0,37.0,-9.0,139.0,7.0,0.0,0.0,2,1.0,0.0,7.0,109.0,-16.0,16.0,0.0,0.0,0.0,13.0,0.0,1.0,220.0,1445.0,220.0,1439.0,3095.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,121.0,214.0,1324.0,11.0,93.0,10.0,0.0,0.0,92.0,1.0,0.0,10.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Butte,851.0,878.0,-27.0,1537.0,2388.0,1289.0,772.0,14.0,74.0,27.0,475.0,0.0,17.0,2.0,13.0,1099.0,2181.0,10915.0,2082.0,10583.0,99.0,332.0,-5.0,852.0,69.0,1.0,0.0,698.0,4.0,0.0,70.0,702.0,-80.0,80.0,0.0,0.0,0.0,0.0,5.0,70.0,2176.0,11767.0,2166.0,11713.0,28421.0,4.0,52.0,10.0,44.0,11.0,0.0,0.0,10.0,92.0,938.0,2084.0,10829.0,165.0,882.0,146.0,1.0,0.0,866.0,1.0,2.0,147.0,869.0,18.0,0.0,0.0,13.0,0.0,0.0,18.0,13.0,0.0,0.0
Calaveras,79.0,75.0,4.0,271.0,350.0,230.0,148.0,0.0,6.0,1.0,57.0,0.0,2.0,0.0,24.0,120.0,352.0,2008.0,343.0,1955.0,9.0,53.0,-4.0,160.0,14.0,0.0,0.0,134.0,0.0,0.0,14.0,134.0,-18.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,348.0,2168.0,348.0,2164.0,4950.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,150.0,335.0,2018.0,24.0,162.0,24.0,0.0,0.0,161.0,0.0,0.0,24.0,161.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Colusa,97.0,97.0,0.0,121.0,218.0,148.0,80.0,0.0,0.0,4.0,51.0,0.0,0.0,0.0,13.0,70.0,113.0,499.0,113.0,499.0,0.0,0.0,10.0,96.0,5.0,0.0,0.0,74.0,1.0,0.0,5.0,75.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,123.0,595.0,123.0,589.0,1714.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,14.0,44.0,109.0,551.0,5.0,83.0,4.0,0.0,0.0,80.0,0.0,0.0,4.0,80.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0
