,PART A.  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,PART A.  APPLICATIONS FOR FOOD STAMPS (Continued),,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,,,PART C.  RECERTIFICATIONS,,,,,,,,,,PART C.  RECERTIFICATIONS (Continued),,,,,,,,,
,Adjustment,1.,2.,3.,4.,4a.,4a(1) PAFS,4a(1) NAFS,4b. PAFS,4b. NAFS,4b(1) PAFS,4b(1) NAFS,4c. PAFS,4c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7a. PAFS,7a. PAFS,7a. PAFS,7a. NAFS,7a. NAFS,7a. NAFS,7a. PAFS,7b. PAFS,7c. PAFS,8. PAFS,8a. PAFS,8(a1),8b.,8b.,8b. PAFS,8c.,8c.,8c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7a. NAFS,7b. NAFS,7c. NAFS,8. NAFS,8a. NAFS,8b. NAFS,8c. NAFS,9. NAFS,10. NAFS,11. PAFS,11a. PAFS,11a. PAFS,11.a. PAFS,11a. NAFS,11a. NAFS,11a. NAFS,11a. PAFS,11b. PAFS,11b. PAFS,11b. PAFS,11b. NAFS,11b. NAFS,11b. NAFS,11b. PAFS,12. PAFS,11. NAFS,11a. NAFS,11b. NAFS,12. NAFS
,,Pending from last month,Received during month,"Total 
during month",Disposed ,Approved,Approved in over 30 days,Approved in over 30 days,Denied,Denied,Denied in over 30 days,Denied in over 30 days,Withdrawn,Withdrawn,"Pending 
end 
of month",Adjustment,Cases forward,Cases added,Federal applications approved,Federal/State applications approved,State applications,Federal applications,Federal/State applications approved,State applications approved,Total applications approved,Transferred from NAFS,Other approvals,Total cases open during month,Pure Federal cases,Total Federal persons count,Combined cases,State persons,Federal/State combined cases,State cases ,State persons,Pure State cases,Cases terminated during month,Cases forward to next month,Adjustment,"Cases forward from 
last month",Cases added during month,Total applications approved,Transferred from PAFS,Other approvals,Total cases open during month,Pure Federal cases,Federal/State combined cases,Pure State cases,Cases terminated during month,Cases forwarded to next month,Recertifications disposed of,Federal continuing eligible,Federal/State continuing eligible,State continuing eligibility,Federal continuing eligibility,Fed/State continuing eligible,State continuing eligible,Total continuing eligibility,Federal ineligible,Federal/State ineligible,State ineligible,Federal ineligible,Federal/State ineligible,State ineligible,Total ineligible,Overdue recertifications-CWD,Recertifications disposed of,Total continued eligibility,Total ineligible,Overdue recertification-CWD
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singles,Families,,Singles,Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Cells,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,July 2011,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-8891.0,85549.0,172761.0,258310.0,160799.0,100575.0,443.0,2718.0,4169.0,48978.0,123.0,3906.0,695.0,6382.0,97511.0,-3536.0,345049.0,6667.0,9889.0,176.0,8.0,88703.0,1174.0,625.0,10073.0,-8392.0,4986.0,351716.0,346773.0,3838545.0,2099.0,26974.0,4866.0,10098.0,193.0,77.0,10500.0,341216.0,20395.0,1234843.0,141184.0,90502.0,10905.0,39777.0,1376027.0,1349740.0,18520.0,7767.0,138304.0,1237723.0,24857.0,23294.0,328.0,3.0,75058.0,955.0,306.0,23625.0,1218.0,14.0,0.0,4024.0,79.0,25.0,1232.0,0.0,80447.0,76319.0,4128.0,0.0
Alameda,0.0,5742.0,4875.0,10617.0,4470.0,3022.0,53.0,351.0,0.0,1306.0,0.0,498.0,0.0,142.0,6147.0,-1792.0,11668.0,943.0,269.0,10.0,1.0,2650.0,55.0,37.0,280.0,553.0,110.0,12611.0,12254.0,128029.0,119.0,1550.0,351.0,656.0,0.0,6.0,170.0,12441.0,-445.0,45325.0,5187.0,2742.0,688.0,1757.0,50512.0,49043.0,994.0,475.0,4674.0,45838.0,792.0,763.0,24.0,0.0,2169.0,53.0,12.0,787.0,5.0,0.0,0.0,160.0,2.0,1.0,5.0,0.0,2397.0,2234.0,163.0,0.0
Alpine,0.0,1.0,7.0,8.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,-1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-1.0,0.0,3.0,3.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,69.0,6.0,5.0,1.0,0.0,75.0,75.0,0.0,0.0,6.0,69.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
Amador,0.0,177.0,155.0,332.0,152.0,97.0,1.0,19.0,3.0,37.0,1.0,6.0,3.0,12.0,180.0,0.0,146.0,-10.0,8.0,0.0,0.0,89.0,0.0,0.0,8.0,-20.0,2.0,136.0,135.0,2932.0,1.0,3.0,1.0,0.0,0.0,0.0,10.0,126.0,0.0,940.0,117.0,89.0,20.0,8.0,1057.0,1054.0,3.0,0.0,118.0,939.0,15.0,15.0,0.0,0.0,74.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,74.0,1.0,0.0
Butte,-15.0,836.0,1507.0,2343.0,1367.0,809.0,10.0,50.0,27.0,410.0,1.0,8.0,5.0,116.0,976.0,95.0,2091.0,-11.0,92.0,0.0,0.0,714.0,3.0,0.0,92.0,-110.0,7.0,2080.0,2078.0,27776.0,7.0,53.0,2.0,12.0,0.0,0.0,102.0,1978.0,234.0,10509.0,886.0,717.0,110.0,59.0,11395.0,11327.0,58.0,10.0,1090.0,10305.0,169.0,154.0,0.0,0.0,763.0,2.0,2.0,154.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,782.0,767.0,15.0,0.0
Calaveras,1.0,71.0,255.0,326.0,226.0,144.0,0.0,0.0,0.0,52.0,0.0,1.0,1.0,29.0,100.0,10.0,351.0,-1.0,10.0,0.0,0.0,134.0,0.0,0.0,10.0,-12.0,1.0,350.0,348.0,4813.0,1.0,6.0,2.0,0.0,0.0,0.0,20.0,330.0,16.0,1903.0,150.0,134.0,12.0,4.0,2053.0,2049.0,4.0,0.0,165.0,1888.0,24.0,23.0,1.0,0.0,129.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,132.0,129.0,3.0,0.0
Colusa,0.0,49.0,87.0,136.0,93.0,44.0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,4.0,43.0,0.0,113.0,9.0,3.0,0.0,0.0,41.0,0.0,0.0,3.0,5.0,1.0,122.0,120.0,1737.0,0.0,7.0,2.0,0.0,0.0,0.0,19.0,103.0,0.0,535.0,61.0,41.0,16.0,4.0,596.0,591.0,5.0,0.0,52.0,544.0,3.0,3.0,0.0,0.0,39.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.0,39.0,2.0,0.0
Contra Costa,-91.0,2846.0,3377.0,6223.0,3115.0,1677.0,34.0,151.0,0.0,1201.0,0.0,381.0,0.0,237.0,3108.0,-170.0,6174.0,257.0,163.0,6.0,1.0,1488.0,14.0,5.0,170.0,11.0,76.0,6431.0,6352.0,65663.0,35.0,390.0,77.0,87.0,0.0,2.0,76.0,6355.0,224.0,21279.0,3112.0,1507.0,-11.0,1616.0,24391.0,24053.0,274.0,64.0,3026.0,21365.0,395.0,387.0,8.0,0.0,1198.0,16.0,1.0,395.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1246.0,1215.0,31.0,0.0
Del Norte  a/,-1.0,70.0,238.0,308.0,253.0,167.0,0.0,0.0,4.0,73.0,0.0,0.0,0.0,9.0,55.0,21.0,516.0,-8.0,32.0,0.0,0.0,134.0,1.0,0.0,32.0,-42.0,2.0,508.0,507.0,5384.0,1.0,5.0,1.0,5.0,0.0,0.0,39.0,469.0,52.0,1941.0,189.0,135.0,42.0,12.0,2130.0,2117.0,6.0,7.0,210.0,1920.0,51.0,45.0,0.0,0.0,153.0,0.0,0.0,45.0,6.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,157.0,153.0,4.0,0.0
El Dorado,-8.0,313.0,785.0,1098.0,717.0,442.0,0.0,1.0,12.0,207.0,0.0,0.0,2.0,54.0,381.0,31.0,741.0,-14.0,42.0,1.0,0.0,396.0,3.0,0.0,43.0,-58.0,1.0,727.0,716.0,11351.0,4.0,40.0,10.0,5.0,0.0,1.0,49.0,678.0,101.0,4766.0,472.0,399.0,58.0,15.0,5238.0,5203.0,31.0,4.0,583.0,4655.0,50.0,44.0,0.0,0.0,347.0,2.0,0.0,44.0,6.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,358.0,349.0,9.0,0.0
Fresno,0.0,1605.0,5950.0,7555.0,5973.0,4408.0,0.0,1.0,2.0,1325.0,0.0,1.0,1.0,237.0,1582.0,-1729.0,16845.0,83.0,268.0,5.0,0.0,4092.0,26.0,17.0,273.0,-289.0,99.0,16928.0,16836.0,210014.0,51.0,590.0,89.0,157.0,0.0,3.0,186.0,16742.0,1896.0,62042.0,6854.0,4135.0,289.0,2430.0,68896.0,68286.0,477.0,133.0,6976.0,61920.0,1043.0,1031.0,1.0,0.0,3386.0,22.0,8.0,1032.0,11.0,0.0,0.0,319.0,5.0,0.0,11.0,0.0,3740.0,3416.0,324.0,0.0
Glenn,0.0,120.0,181.0,301.0,211.0,112.0,0.0,0.0,11.0,67.0,0.0,0.0,1.0,20.0,90.0,12.0,280.0,-6.0,11.0,0.0,0.0,99.0,2.0,0.0,11.0,-17.0,0.0,274.0,274.0,3485.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,268.0,20.0,985.0,125.0,101.0,17.0,7.0,1110.0,1099.0,11.0,0.0,118.0,992.0,23.0,21.0,0.0,0.0,76.0,1.0,0.0,21.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,78.0,77.0,1.0,0.0
