,PART A.  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,PART A.  APPLICATIONS FOR FOOD STAMPS (Continued),,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,,,PART C.  RECERTIFICATIONS,,,,,,,,,,PART C.  RECERTIFICATIONS (Continued),,,,,,,,,
,Adjustment,1.,2.,3.,4.,4a.,4a(1) PAFS,4a(1) NAFS,4b. PAFS,4b. NAFS,4b(1) PAFS,4b(1) NAFS,4c. PAFS,4c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7a. PAFS,7a. PAFS,7a. PAFS,7a. NAFS,7a. NAFS,7a. NAFS,7a. PAFS,7b. PAFS,7c. PAFS,8. PAFS,8a. PAFS,8(a1),8b.,8b.,8b. PAFS,8c.,8c.,8c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7a. NAFS,7b. NAFS,7c. NAFS,8. NAFS,8a. NAFS,8b. NAFS,8c. NAFS,9. NAFS,10. NAFS,11. PAFS,11a. PAFS,11a. PAFS,11.a. PAFS,11a. NAFS,11a. NAFS,11a. NAFS,11a. PAFS,11b. PAFS,11b. PAFS,11b. PAFS,11b. NAFS,11b. NAFS,11b. NAFS,11b. PAFS,12. PAFS,11. NAFS,11a. NAFS,11b. NAFS,12. NAFS
,,Pending from last month,Received during month,"Total 
during month",Disposed ,Approved,Approved in over 30 days,Approved in over 30 days,Denied,Denied,Denied in over 30 days,Denied in over 30 days,Withdrawn,Withdrawn,"Pending 
end 
of month",Adjustment,Cases forward,Cases added,Federal applications approved,Federal/State applications approved,State applications,Federal applications,Federal/State applications approved,State applications approved,Total applications approved,Transferred from NAFS,Other approvals,Total cases open during month,Pure Federal cases,Total Federal persons count,Combined cases,State persons,Federal/State combined cases,State cases ,State persons,Pure State cases,Cases terminated during month,Cases forward to next month,Adjustment,"Cases forward from 
last month",Cases added during month,Total applications approved,Transferred from PAFS,Other approvals,Total cases open during month,Pure Federal cases,Federal/State combined cases,Pure State cases,Cases terminated during month,Cases forwarded to next month,Recertifications disposed of,Federal continuing eligible,Federal/State continuing eligible,State continuing eligibility,Federal continuing eligibility,Fed/State continuing eligible,State continuing eligible,Total continuing eligibility,Federal ineligible,Federal/State ineligible,State ineligible,Federal ineligible,Federal/State ineligible,State ineligible,Total ineligible,Overdue recertifications-CWD,Recertifications disposed of,Total continued eligibility,Total ineligible,Overdue recertification-CWD
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singles,Families,,Singles,Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Cells,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-8177.0,94968.0,171014.0,265982.0,157005.0,97469.0,370.0,2029.0,4536.0,47493.0,179.0,2363.0,706.0,6801.0,108977.0,-4383.0,331228.0,12046.0,10321.0,154.0,9.0,85206.0,1247.0,532.0,10484.0,-5413.0,6975.0,343274.0,338612.0,3926284.0,2185.0,27341.0,4578.0,9927.0,219.0,84.0,12656.0,330618.0,3436.0,1286049.0,146178.0,86985.0,6209.0,52984.0,1432227.0,1405489.0,19067.0,7671.0,156750.0,1275477.0,22524.0,21091.0,270.0,3.0,72195.0,941.0,260.0,21364.0,1149.0,11.0,0.0,4043.0,80.0,19.0,1160.0,0.0,77538.0,73396.0,4142.0,0.0
Alameda,0.0,6321.0,4195.0,10516.0,4138.0,2689.0,14.0,124.0,0.0,1311.0,0.0,108.0,0.0,138.0,6378.0,-901.0,11470.0,421.0,267.0,7.0,0.0,2341.0,55.0,19.0,274.0,9.0,138.0,11891.0,11557.0,129869.0,110.0,1586.0,331.0,625.0,0.0,3.0,146.0,11745.0,-436.0,48008.0,4427.0,2415.0,14.0,1998.0,52435.0,50950.0,1032.0,453.0,5304.0,47131.0,656.0,631.0,16.0,0.0,1857.0,39.0,13.0,647.0,9.0,0.0,0.0,134.0,5.0,0.0,9.0,0.0,2048.0,1909.0,139.0,0.0
Alpine,0.0,0.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,-1.0,0.0,4.0,4.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,70.0,7.0,5.0,1.0,1.0,77.0,77.0,0.0,0.0,9.0,68.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
Amador,0.0,146.0,175.0,321.0,195.0,123.0,0.0,24.0,2.0,54.0,0.0,4.0,1.0,15.0,126.0,141.0,241.0,-4.0,8.0,0.0,0.0,113.0,2.0,0.0,8.0,-12.0,0.0,237.0,236.0,3033.0,1.0,6.0,1.0,0.0,0.0,0.0,10.0,227.0,349.0,1276.0,134.0,115.0,12.0,7.0,1410.0,1405.0,5.0,0.0,128.0,1282.0,21.0,20.0,0.0,0.0,118.0,2.0,0.0,20.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,122.0,120.0,2.0,0.0
Butte,-16.0,915.0,1354.0,2269.0,1301.0,775.0,16.0,102.0,21.0,416.0,0.0,16.0,3.0,86.0,968.0,86.0,2153.0,19.0,84.0,1.0,0.0,687.0,1.0,2.0,85.0,-71.0,5.0,2172.0,2164.0,28129.0,3.0,53.0,8.0,11.0,0.0,0.0,109.0,2063.0,310.0,10795.0,826.0,690.0,71.0,65.0,11621.0,11557.0,52.0,12.0,1171.0,10450.0,149.0,136.0,1.0,0.0,726.0,3.0,0.0,137.0,12.0,0.0,0.0,9.0,0.0,0.0,12.0,0.0,738.0,729.0,9.0,0.0
Calaveras,1.0,99.0,242.0,341.0,229.0,151.0,0.0,0.0,3.0,57.0,0.0,0.0,1.0,17.0,112.0,13.0,349.0,0.0,15.0,0.0,0.0,136.0,0.0,0.0,15.0,-16.0,1.0,349.0,348.0,4881.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,344.0,40.0,1964.0,161.0,136.0,16.0,9.0,2125.0,2122.0,3.0,0.0,192.0,1933.0,27.0,24.0,0.0,0.0,135.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,135.0,135.0,0.0,0.0
Colusa,0.0,36.0,115.0,151.0,91.0,50.0,0.0,0.0,3.0,34.0,0.0,0.0,0.0,4.0,60.0,0.0,94.0,13.0,9.0,0.0,0.0,40.0,1.0,0.0,9.0,4.0,0.0,107.0,107.0,1589.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,98.0,0.0,519.0,59.0,41.0,11.0,7.0,578.0,572.0,6.0,0.0,73.0,505.0,7.0,7.0,0.0,0.0,47.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0
Contra Costa,-72.0,3190.0,3022.0,6212.0,2980.0,1454.0,1.0,41.0,2.0,1285.0,0.0,33.0,0.0,239.0,3232.0,-157.0,6053.0,247.0,166.0,2.0,0.0,1261.0,18.0,7.0,168.0,-3.0,82.0,6300.0,6229.0,67128.0,31.0,401.0,70.0,100.0,0.0,1.0,82.0,6218.0,232.0,22368.0,2822.0,1286.0,3.0,1533.0,25190.0,24828.0,287.0,75.0,3503.0,21687.0,413.0,410.0,2.0,0.0,976.0,6.0,0.0,412.0,1.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,1022.0,982.0,40.0,0.0
Del Norte  ,0.0,74.0,282.0,356.0,271.0,183.0,0.0,0.0,3.0,82.0,0.0,0.0,0.0,3.0,85.0,0.0,269.0,0.0,32.0,0.0,0.0,149.0,0.0,2.0,32.0,-33.0,1.0,269.0,268.0,5305.0,0.0,4.0,1.0,10.0,0.0,0.0,26.0,243.0,0.0,1597.0,208.0,151.0,33.0,24.0,1805.0,1793.0,4.0,8.0,214.0,1591.0,32.0,29.0,0.0,0.0,172.0,0.0,2.0,29.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,176.0,174.0,2.0,0.0
El Dorado,2.0,292.0,803.0,1095.0,743.0,447.0,0.0,0.0,7.0,238.0,0.0,0.0,4.0,47.0,352.0,28.0,675.0,3.0,42.0,1.0,0.0,402.0,2.0,0.0,43.0,-40.0,0.0,678.0,668.0,11335.0,1.0,43.0,10.0,7.0,0.0,0.0,41.0,637.0,111.0,4900.0,469.0,404.0,40.0,25.0,5369.0,5335.0,28.0,6.0,596.0,4773.0,47.0,44.0,0.0,0.0,332.0,0.0,0.0,44.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,338.0,332.0,6.0,0.0
Fresno,0.0,1783.0,5471.0,7254.0,5346.0,4163.0,0.0,0.0,0.0,997.0,0.0,0.0,0.0,186.0,1908.0,-143.0,15782.0,493.0,385.0,1.0,2.0,3727.0,40.0,8.0,388.0,-16.0,121.0,16275.0,16175.0,211882.0,49.0,616.0,99.0,154.0,0.0,1.0,173.0,16102.0,475.0,63661.0,6815.0,3775.0,16.0,3024.0,70476.0,69865.0,491.0,120.0,7899.0,62577.0,1249.0,1229.0,13.0,0.0,3739.0,27.0,7.0,1242.0,7.0,0.0,0.0,344.0,5.0,0.0,7.0,0.0,4122.0,3773.0,349.0,0.0
Glenn,-2.0,95.0,169.0,264.0,172.0,91.0,0.0,0.0,6.0,58.0,0.0,0.0,1.0,16.0,92.0,7.0,251.0,10.0,15.0,0.0,0.0,74.0,2.0,0.0,15.0,-6.0,1.0,261.0,261.0,3238.0,0.0,8.0,0.0,2.0,0.0,0.0,9.0,252.0,25.0,1023.0,87.0,76.0,6.0,5.0,1110.0,1099.0,9.0,2.0,112.0,998.0,14.0,13.0,0.0,0.0,78.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,78.0,0.0,0.0
