,PART A.  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,PART A.  APPLICATIONS FOR FOOD STAMPS (Continued),,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,,,PART C.  RECERTIFICATIONS,,,,,,,,,,PART C.  RECERTIFICATIONS (Continued),,,,,,,,,
,Adjustment,1.,2.,3.,4.,4a.,4a(1) PAFS,4a(1) NAFS,4b. PAFS,4b. NAFS,4b(1) PAFS,4b(1) NAFS,4c. PAFS,4c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7a. PAFS,7a. PAFS,7a. PAFS,7a. NAFS,7a. NAFS,7a. NAFS,7a. PAFS,7b. PAFS,7c. PAFS,8. PAFS,8a. PAFS,8(a1),8b.,8b.,8b. PAFS,8c.,8c.,8c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7a. NAFS,7b. NAFS,7c. NAFS,8. NAFS,8a. NAFS,8b. NAFS,8c. NAFS,9. NAFS,10. NAFS,11. PAFS,11a. PAFS,11a. PAFS,11.a. PAFS,11a. NAFS,11a. NAFS,11a. NAFS,11a. PAFS,11b. PAFS,11b. PAFS,11b. PAFS,11b. NAFS,11b. NAFS,11b. NAFS,11b. PAFS,12. PAFS,11. NAFS,11a. NAFS,11b. NAFS,12. NAFS
,,Pending from last month,Received during month,"Total 
during month",Disposed ,Approved,Approved in over 30 days,Approved in over 30 days,Denied,Denied,Denied in over 30 days,Denied in over 30 days,Withdrawn,Withdrawn,"Pending 
end 
of month",Adjustment,Cases forward,Cases added,Federal applications approved,Federal/State applications approved,State applications,Federal applications,Federal/State applications approved,State applications approved,Total applications approved,Transferred from NAFS,Other approvals,Total cases open during month,Pure Federal cases,Total Federal persons count,Combined cases,State persons,Federal/State combined cases,State cases ,State persons,Pure State cases,Cases terminated during month,Cases forward to next month,Adjustment,"Cases forward from 
last month",Cases added during month,Total applications approved,Transferred from PAFS,Other approvals,Total cases open during month,Pure Federal cases,Federal/State combined cases,Pure State cases,Cases terminated during month,Cases forwarded to next month,Recertifications disposed of,Federal continuing eligible,Federal/State continuing eligible,State continuing eligibility,Federal continuing eligibility,Fed/State continuing eligible,State continuing eligible,Total continuing eligibility,Federal ineligible,Federal/State ineligible,State ineligible,Federal ineligible,Federal/State ineligible,State ineligible,Total ineligible,Overdue recertifications-CWD,Recertifications disposed of,Total continued eligibility,Total ineligible,Overdue recertification-CWD
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singles,Families,,Singles,Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Cells,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-9008.0,93904.0,174648.0,268552.0,165399.0,101553.0,678.0,3609.0,4564.0,51462.0,196.0,4840.0,743.0,7077.0,103153.0,2544.0,333796.0,11547.0,10304.0,163.0,9.0,89242.0,1295.0,540.0,10476.0,-4104.0,5175.0,345343.0,340516.0,3933377.0,2198.0,27466.0,4732.0,10030.0,207.0,95.0,9557.0,335786.0,20414.0,1296502.0,141232.0,91077.0,6518.0,43637.0,1437734.0,1410984.0,19057.0,7693.0,154849.0,1282885.0,22627.0,21329.0,298.0,5.0,73795.0,968.0,286.0,21632.0,988.0,7.0,0.0,4036.0,70.0,17.0,995.0,0.0,79172.0,75049.0,4123.0,0.0
Alameda,0.0,6449.0,4741.0,11190.0,4869.0,3177.0,74.0,423.0,1.0,1538.0,1.0,591.0,0.0,153.0,6321.0,-978.0,11435.0,1088.0,280.0,10.0,0.0,2802.0,60.0,25.0,290.0,664.0,134.0,12523.0,12175.0,132920.0,130.0,1591.0,342.0,643.0,0.0,6.0,152.0,12371.0,201.0,47950.0,5469.0,2887.0,586.0,1996.0,53419.0,51903.0,1057.0,459.0,4975.0,48444.0,681.0,653.0,23.0,0.0,2153.0,43.0,9.0,676.0,5.0,0.0,0.0,133.0,5.0,0.0,5.0,0.0,2343.0,2205.0,138.0,0.0
Alpine,0.0,1.0,8.0,9.0,9.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,72.0,5.0,4.0,0.0,1.0,77.0,77.0,0.0,0.0,6.0,71.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
Amador,-25.0,139.0,181.0,320.0,174.0,106.0,1.0,23.0,0.0,51.0,0.0,8.0,1.0,16.0,146.0,0.0,111.0,-2.0,7.0,0.0,0.0,99.0,0.0,0.0,7.0,-9.0,0.0,109.0,105.0,3054.0,1.0,4.0,4.0,0.0,0.0,0.0,9.0,100.0,0.0,954.0,111.0,99.0,9.0,3.0,1065.0,1062.0,3.0,0.0,138.0,927.0,20.0,19.0,0.0,0.0,82.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,82.0,82.0,0.0,0.0
Butte,-7.0,930.0,1330.0,2260.0,1329.0,740.0,31.0,97.0,34.0,460.0,0.0,18.0,2.0,93.0,931.0,129.0,2119.0,72.0,113.0,1.0,0.0,622.0,4.0,0.0,114.0,-56.0,14.0,2191.0,2184.0,28368.0,4.0,54.0,7.0,12.0,0.0,0.0,124.0,2067.0,298.0,10980.0,726.0,626.0,56.0,44.0,11706.0,11639.0,56.0,11.0,1221.0,10485.0,152.0,139.0,0.0,0.0,765.0,4.0,1.0,139.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,783.0,770.0,13.0,0.0
Calaveras,0.0,94.0,214.0,308.0,210.0,130.0,0.0,1.0,3.0,59.0,0.0,0.0,1.0,17.0,98.0,11.0,347.0,0.0,11.0,0.0,0.0,119.0,0.0,0.0,11.0,-12.0,1.0,347.0,346.0,4846.0,1.0,4.0,1.0,0.0,0.0,0.0,11.0,336.0,24.0,1969.0,141.0,119.0,12.0,10.0,2110.0,2106.0,4.0,0.0,186.0,1924.0,19.0,18.0,0.0,0.0,126.0,0.0,0.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,127.0,126.0,1.0,0.0
Colusa,0.0,32.0,76.0,108.0,72.0,33.0,0.0,0.0,7.0,31.0,0.0,0.0,0.0,1.0,36.0,0.0,96.0,12.0,10.0,0.0,0.0,22.0,1.0,0.0,10.0,1.0,1.0,108.0,106.0,1640.0,0.0,7.0,2.0,0.0,0.0,0.0,14.0,94.0,0.0,550.0,43.0,23.0,16.0,4.0,593.0,588.0,5.0,0.0,74.0,519.0,10.0,8.0,0.0,0.0,46.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,46.0,46.0,0.0,0.0
Contra Costa,-30.0,3282.0,3315.0,6597.0,3335.0,1715.0,30.0,201.0,2.0,1401.0,2.0,496.0,0.0,217.0,3262.0,-93.0,6096.0,223.0,182.0,2.0,0.0,1511.0,16.0,4.0,184.0,-25.0,64.0,6319.0,6246.0,67302.0,30.0,397.0,72.0,94.0,0.0,1.0,109.0,6210.0,140.0,22276.0,3096.0,1531.0,25.0,1540.0,25372.0,25020.0,282.0,70.0,3236.0,22136.0,381.0,375.0,2.0,0.0,1180.0,8.0,1.0,377.0,4.0,0.0,0.0,56.0,0.0,0.0,4.0,0.0,1245.0,1189.0,56.0,0.0
Del Norte  a/,-3.0,74.0,240.0,314.0,232.0,162.0,0.0,0.0,6.0,60.0,0.0,0.0,0.0,4.0,82.0,27.0,475.0,5.0,28.0,0.0,0.0,134.0,0.0,0.0,28.0,-24.0,1.0,480.0,479.0,5231.0,0.0,4.0,1.0,7.0,0.0,0.0,36.0,444.0,49.0,1913.0,171.0,134.0,24.0,13.0,2084.0,2075.0,3.0,6.0,215.0,1869.0,32.0,24.0,0.0,0.0,143.0,0.0,0.0,24.0,8.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,146.0,143.0,3.0,0.0
El Dorado,-6.0,275.0,784.0,1059.0,769.0,454.0,0.0,0.0,18.0,230.0,0.0,0.0,3.0,64.0,290.0,40.0,666.0,12.0,47.0,0.0,0.0,404.0,3.0,0.0,47.0,-38.0,3.0,678.0,668.0,11413.0,2.0,40.0,10.0,7.0,0.0,0.0,31.0,647.0,78.0,4905.0,471.0,407.0,38.0,26.0,5376.0,5344.0,26.0,6.0,587.0,4789.0,45.0,40.0,1.0,0.0,343.0,3.0,0.0,41.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,350.0,346.0,4.0,0.0
Fresno,0.0,1701.0,6099.0,7800.0,6017.0,4360.0,0.0,0.0,2.0,1391.0,0.0,0.0,0.0,264.0,1783.0,-379.0,15607.0,556.0,327.0,3.0,0.0,3988.0,32.0,10.0,330.0,117.0,109.0,16163.0,16075.0,215808.0,52.0,603.0,86.0,153.0,0.0,2.0,238.0,15925.0,3201.0,66886.0,6615.0,4030.0,-117.0,2702.0,73501.0,72886.0,493.0,122.0,10315.0,63186.0,1024.0,1010.0,4.0,0.0,2997.0,28.0,1.0,1014.0,10.0,0.0,0.0,447.0,16.0,2.0,10.0,0.0,3491.0,3026.0,465.0,0.0
Glenn,-1.0,81.0,161.0,242.0,145.0,73.0,0.0,0.0,7.0,44.0,0.0,0.0,1.0,20.0,97.0,9.0,261.0,-8.0,10.0,0.0,0.0,62.0,1.0,0.0,10.0,-21.0,3.0,253.0,249.0,3242.0,0.0,9.0,4.0,2.0,0.0,0.0,9.0,244.0,8.0,1035.0,89.0,63.0,21.0,5.0,1124.0,1114.0,8.0,2.0,126.0,998.0,12.0,11.0,0.0,0.0,59.0,0.0,1.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,61.0,60.0,1.0,0.0
