,PART A.  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,PART A.  APPLICATIONS FOR FOOD STAMPS (Continued),,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT (Continued),,,,,,,,,,PART C.  RECERTIFICATIONS,,,,,,,,,,PART C.  RECERTIFICATIONS (Continued),,,,,,,,,
,Adjustment,1.,2.,3.,4.,4a.,4a(1) PAFS,4a(1) NAFS,4b. PAFS,4b. NAFS,4b(1) PAFS,4b(1) NAFS,4c. PAFS,4c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7a. PAFS,7a. PAFS,7a. PAFS,7a. NAFS,7a. NAFS,7a. NAFS,7a. PAFS,7b. PAFS,7c. PAFS,8. PAFS,8a. PAFS,8(a1),8b.,8b.,8b. PAFS,8c.,8c.,8c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7a. NAFS,7b. NAFS,7c. NAFS,8. NAFS,8a. NAFS,8b. NAFS,8c. NAFS,9. NAFS,10. NAFS,11. PAFS,11a. PAFS,11a. PAFS,11.a. PAFS,11a. NAFS,11a. NAFS,11a. NAFS,11a. PAFS,11b. PAFS,11b. PAFS,11b. PAFS,11b. NAFS,11b. NAFS,11b. NAFS,11b. PAFS,12. PAFS,11. NAFS,11a. NAFS,11b. NAFS,12. NAFS
,,Pending from last month,Received during month,"Total 
during month",Disposed ,Approved,Approved in over 30 days,Approved in over 30 days,Denied,Denied,Denied in over 30 days,Denied in over 30 days,Withdrawn,Withdrawn,"Pending 
end 
of month",Adjustment,Cases forward,Cases added,Federal applications approved,Federal/State applications approved,State applications,Federal applications,Federal/State applications approved,State applications approved,Total applications approved,Transferred from NAFS,Other approvals,Total cases open during month,Pure Federal cases,Total Federal persons count,Combined cases,State persons,Federal/State combined cases,State cases ,State persons,Pure State cases,Cases terminated during month,Cases forward to next month,Adjustment,"Cases forward from 
last month",Cases added during month,Total applications approved,Transferred from PAFS,Other approvals,Total cases open during month,Pure Federal cases,Federal/State combined cases,Pure State cases,Cases terminated during month,Cases forwarded to next month,Recertifications disposed of,Federal continuing eligible,Federal/State continuing eligible,State continuing eligibility,Federal continuing eligibility,Fed/State continuing eligible,State continuing eligible,Total continuing eligibility,Federal ineligible,Federal/State ineligible,State ineligible,Federal ineligible,Federal/State ineligible,State ineligible,Total ineligible,Overdue recertifications-CWD,Recertifications disposed of,Total continued eligibility,Total ineligible,Overdue recertification-CWD
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singles,Families,,Singles,Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Cells,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,July 2011,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-8699.0,95580.0,182249.0,277829.0,174917.0,106347.0,726.0,3518.0,5063.0,55182.0,213.0,4640.0,812.0,7513.0,102912.0,-3092.0,333751.0,11384.0,11042.0,199.0,9.0,93199.0,1279.0,619.0,11250.0,-5017.0,5151.0,345135.0,340258.0,3910759.0,2214.0,27419.0,4796.0,10230.0,219.0,81.0,13883.0,331252.0,7682.0,1280579.0,142966.0,95097.0,7603.0,40266.0,1423545.0,1396748.0,18938.0,7859.0,147457.0,1276088.0,24634.0,23025.0,363.0,6.0,77783.0,1000.0,334.0,23394.0,1232.0,7.0,1.0,4156.0,81.0,15.0,1240.0,0.0,83369.0,79117.0,4252.0,0.0
Alameda,0.0,6369.0,5041.0,11410.0,4961.0,3169.0,84.0,412.0,0.0,1614.0,0.0,677.0,0.0,178.0,6449.0,-1125.0,11388.0,1160.0,325.0,9.0,0.0,2761.0,46.0,28.0,334.0,693.0,133.0,12548.0,12182.0,131821.0,121.0,1621.0,360.0,655.0,0.0,6.0,135.0,12413.0,-412.0,47261.0,5339.0,2835.0,670.0,1834.0,52600.0,51098.0,1036.0,466.0,4851.0,47749.0,708.0,681.0,23.0,0.0,2185.0,47.0,14.0,704.0,4.0,0.0,0.0,139.0,4.0,2.0,4.0,0.0,2391.0,2246.0,145.0,0.0
Alpine,0.0,1.0,8.0,9.0,8.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,73.0,6.0,5.0,0.0,1.0,79.0,79.0,0.0,0.0,7.0,72.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
Amador,0.0,190.0,162.0,352.0,188.0,106.0,1.0,19.0,3.0,52.0,0.0,9.0,1.0,26.0,164.0,0.0,110.0,11.0,14.0,0.0,0.0,91.0,1.0,0.0,14.0,-7.0,4.0,121.0,120.0,3002.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0,111.0,0.0,945.0,107.0,92.0,7.0,8.0,1052.0,1049.0,3.0,0.0,98.0,954.0,17.0,16.0,0.0,0.0,96.0,0.0,0.0,16.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,98.0,96.0,2.0,0.0
Butte,-17.0,955.0,1415.0,2370.0,1433.0,808.0,13.0,101.0,34.0,484.0,2.0,18.0,3.0,104.0,937.0,89.0,2099.0,7.0,85.0,1.0,0.0,717.0,4.0,1.0,86.0,-87.0,8.0,2106.0,2101.0,28383.0,7.0,50.0,5.0,14.0,0.0,0.0,116.0,1990.0,298.0,10917.0,864.0,722.0,87.0,55.0,11781.0,11714.0,55.0,12.0,1099.0,10682.0,146.0,135.0,0.0,0.0,691.0,0.0,0.0,135.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,702.0,691.0,11.0,0.0
Calaveras,-1.0,121.0,231.0,352.0,258.0,162.0,0.0,2.0,7.0,63.0,0.0,1.0,0.0,26.0,94.0,17.0,346.0,0.0,14.0,0.0,0.0,148.0,0.0,0.0,14.0,-14.0,0.0,346.0,344.0,4849.0,1.0,4.0,2.0,0.0,0.0,0.0,10.0,336.0,22.0,1946.0,169.0,148.0,14.0,7.0,2115.0,2112.0,3.0,0.0,170.0,1945.0,23.0,23.0,0.0,0.0,135.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,137.0,135.0,2.0,0.0
Colusa,0.0,34.0,83.0,117.0,85.0,42.0,0.0,0.0,4.0,34.0,0.0,0.0,1.0,4.0,32.0,0.0,108.0,10.0,3.0,0.0,0.0,39.0,0.0,0.0,3.0,6.0,1.0,118.0,115.0,1721.0,0.0,7.0,3.0,0.0,0.0,0.0,22.0,96.0,0.0,560.0,64.0,39.0,20.0,5.0,624.0,620.0,4.0,0.0,74.0,550.0,7.0,6.0,1.0,0.0,32.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0
Contra Costa,-27.0,3113.0,3448.0,6561.0,3249.0,1725.0,28.0,152.0,0.0,1322.0,0.0,498.0,0.0,202.0,3312.0,-143.0,6100.0,174.0,185.0,1.0,0.0,1513.0,17.0,9.0,186.0,-67.0,55.0,6274.0,6195.0,67027.0,36.0,397.0,78.0,104.0,0.0,1.0,85.0,6189.0,185.0,22181.0,3058.0,1539.0,67.0,1452.0,25239.0,24884.0,277.0,78.0,3103.0,22136.0,452.0,438.0,9.0,1.0,1139.0,12.0,2.0,448.0,4.0,0.0,0.0,26.0,0.0,0.0,4.0,0.0,1179.0,1153.0,26.0,0.0
Del Norte  a/,1.0,69.0,240.0,309.0,232.0,153.0,0.0,0.0,5.0,70.0,0.0,0.0,1.0,3.0,77.0,27.0,487.0,-4.0,40.0,0.0,0.0,113.0,0.0,0.0,40.0,-47.0,3.0,483.0,482.0,5268.0,0.0,5.0,1.0,6.0,0.0,0.0,35.0,448.0,35.0,1940.0,174.0,113.0,47.0,14.0,2114.0,2103.0,4.0,7.0,250.0,1864.0,39.0,27.0,0.0,0.0,127.0,0.0,0.0,27.0,12.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,134.0,127.0,7.0,0.0
El Dorado,-2.0,349.0,833.0,1182.0,901.0,511.0,0.0,0.0,18.0,302.0,0.0,0.0,2.0,68.0,281.0,29.0,681.0,-8.0,56.0,0.0,0.0,450.0,2.0,3.0,56.0,-66.0,2.0,673.0,661.0,11366.0,3.0,38.0,12.0,7.0,0.0,0.0,47.0,626.0,84.0,4837.0,550.0,455.0,66.0,29.0,5387.0,5355.0,26.0,6.0,560.0,4827.0,53.0,42.0,0.0,0.0,353.0,0.0,0.0,42.0,11.0,0.0,0.0,3.0,0.0,1.0,11.0,0.0,357.0,353.0,4.0,0.0
Fresno,0.0,1758.0,6441.0,8199.0,6498.0,4497.0,0.0,0.0,0.0,1730.0,0.0,0.0,0.0,271.0,1701.0,-607.0,15811.0,360.0,302.0,1.0,1.0,4154.0,25.0,14.0,304.0,-38.0,94.0,16171.0,16078.0,211337.0,51.0,584.0,92.0,157.0,0.0,1.0,185.0,15986.0,-983.0,64194.0,6472.0,4193.0,38.0,2241.0,70666.0,70066.0,468.0,132.0,6981.0,63685.0,1170.0,1153.0,5.0,0.0,3728.0,27.0,8.0,1158.0,12.0,0.0,0.0,344.0,6.0,0.0,12.0,0.0,4113.0,3763.0,350.0,0.0
Glenn,-3.0,110.0,178.0,288.0,206.0,124.0,0.0,1.0,9.0,50.0,0.0,0.0,0.0,23.0,82.0,9.0,271.0,-10.0,20.0,0.0,0.0,101.0,2.0,1.0,20.0,-30.0,0.0,261.0,261.0,3292.0,0.0,11.0,0.0,1.0,0.0,0.0,9.0,252.0,21.0,994.0,137.0,104.0,30.0,3.0,1131.0,1118.0,12.0,1.0,104.0,1027.0,25.0,22.0,0.0,0.0,68.0,1.0,1.0,22.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,73.0,70.0,3.0,0.0
