,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0
Statewide,75596.0,85416.0,-9820.0,157580.0,233176.0,143308.0,87747.0,248.0,2311.0,1798.0,45382.0,92.0,2208.0,903.0,7478.0,89868.0,332023.0,1468397.0,335123.0,1460168.0,-3100.0,8229.0,9800.0,148721.0,6504.0,116.0,9.0,79479.0,1042.0,597.0,6629.0,81118.0,-2167.0,2773.0,957.0,1687.0,640.0,9208.0,3741.0,53935.0,341823.0,1617118.0,337432.0,1589835.0,4210164.0,2381.0,27643.0,4276.0,19226.0,10409.0,521.0,115.0,8057.0,7247.0,152818.0,334576.0,1464300.0,30903.0,105973.0,29842.0,431.0,7.0,97792.0,1174.0,314.0,30280.0,99280.0,617.0,6.0,0.0,6527.0,136.0,30.0,623.0,6693.0,98.0,638.0
Alameda,2933.0,3209.0,-276.0,4140.0,7073.0,3795.0,2294.0,11.0,186.0,2.0,1364.0,0.0,242.0,0.0,135.0,3278.0,10363.0,52519.0,10574.0,52306.0,-211.0,213.0,360.0,4890.0,192.0,4.0,0.0,2031.0,42.0,25.0,196.0,2098.0,5.0,8.0,22.0,48.0,5.0,340.0,132.0,2396.0,10723.0,57409.0,10439.0,55886.0,134578.0,121.0,1631.0,282.0,1092.0,574.0,0.0,2.0,431.0,162.0,5601.0,10561.0,51808.0,793.0,3117.0,757.0,31.0,0.0,2847.0,58.0,23.0,788.0,2928.0,5.0,0.0,0.0,183.0,5.0,1.0,5.0,189.0,0.0,0.0
Alpine,0.0,0.0,0.0,9.0,9.0,9.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,75.0,2.0,75.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,83.0,3.0,83.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,78.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,51.0,53.0,-2.0,188.0,239.0,184.0,112.0,0.0,3.0,0.0,49.0,0.0,0.0,0.0,23.0,55.0,193.0,1370.0,193.0,1370.0,0.0,0.0,-3.0,190.0,3.0,0.0,0.0,108.0,1.0,0.0,3.0,109.0,-8.0,8.0,1.0,1.0,0.0,24.0,1.0,48.0,190.0,1560.0,190.0,1554.0,3304.0,3.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,6.0,169.0,184.0,1391.0,32.0,181.0,32.0,0.0,0.0,172.0,2.0,0.0,32.0,174.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
Butte,539.0,543.0,-4.0,1430.0,1969.0,1396.0,804.0,10.0,37.0,0.0,478.0,0.0,12.0,0.0,114.0,573.0,2039.0,11205.0,2039.0,11200.0,0.0,5.0,53.0,1372.0,32.0,0.0,0.0,770.0,1.0,1.0,32.0,772.0,-31.0,31.0,8.0,28.0,1.0,156.0,43.0,385.0,2092.0,12577.0,2080.0,12522.0,30073.0,3.0,59.0,12.0,43.0,13.0,3.0,0.0,12.0,60.0,1196.0,2032.0,11381.0,268.0,1156.0,266.0,2.0,0.0,1089.0,3.0,0.0,268.0,1092.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,64.0,0.0,0.0
Calaveras,58.0,60.0,-2.0,184.0,242.0,189.0,109.0,0.0,2.0,0.0,64.0,0.0,0.0,0.0,16.0,53.0,317.0,2099.0,316.0,2098.0,1.0,1.0,15.0,189.0,7.0,0.0,0.0,102.0,0.0,0.0,7.0,102.0,-5.0,5.0,7.0,8.0,0.0,31.0,6.0,43.0,332.0,2288.0,332.0,2282.0,5096.0,1.0,4.0,0.0,5.0,1.0,0.0,0.0,1.0,12.0,205.0,320.0,2083.0,49.0,180.0,49.0,0.0,0.0,176.0,0.0,0.0,49.0,176.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
Colusa,30.0,30.0,0.0,88.0,118.0,89.0,51.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,2.0,29.0,111.0,571.0,111.0,571.0,0.0,0.0,13.0,77.0,2.0,0.0,0.0,48.0,0.0,1.0,2.0,49.0,8.0,8.0,1.0,1.0,0.0,3.0,2.0,16.0,124.0,648.0,122.0,642.0,1886.0,0.0,8.0,2.0,5.0,2.0,0.0,0.0,1.0,11.0,88.0,113.0,560.0,7.0,56.0,6.0,1.0,0.0,52.0,0.0,0.0,7.0,52.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
