,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0
Statewide,100192.0,109609.0,-9417.0,130561.0,230753.0,140323.0,84150.0,348.0,2796.0,2121.0,46182.0,151.0,2254.0,820.0,7050.0,90430.0,332614.0,1459077.0,332318.0,1446459.0,296.0,12618.0,11577.0,141646.0,6269.0,108.0,4.0,76084.0,1171.0,514.0,6381.0,77769.0,-394.0,1171.0,853.0,1366.0,1401.0,8248.0,3336.0,53092.0,344191.0,1600723.0,339748.0,1573248.0,4202766.0,2362.0,28106.0,4335.0,19527.0,10228.0,577.0,108.0,7948.0,9754.0,150343.0,334437.0,1450380.0,29140.0,99401.0,28044.0,397.0,8.0,91831.0,1199.0,283.0,28449.0,93313.0,683.0,8.0,0.0,5950.0,113.0,25.0,691.0,6088.0,143.0,857.0
Alameda,3375.0,3568.0,-193.0,3712.0,7087.0,3796.0,2335.0,21.0,222.0,2.0,1336.0,1.0,263.0,0.0,123.0,3291.0,10522.0,52325.0,10780.0,52112.0,-258.0,213.0,367.0,4710.0,202.0,5.0,0.0,2058.0,53.0,17.0,207.0,2128.0,10.0,6.0,8.0,45.0,1.0,282.0,141.0,2249.0,10889.0,57035.0,10585.0,55493.0,134356.0,115.0,1670.0,300.0,1101.0,584.0,0.0,4.0,441.0,225.0,5983.0,10664.0,51052.0,846.0,3090.0,812.0,22.0,0.0,2824.0,61.0,21.0,834.0,2906.0,12.0,0.0,0.0,176.0,6.0,2.0,12.0,184.0,0.0,0.0
Alpine,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,74.0,4.0,74.0,0.0,0.0,-1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,79.0,3.0,79.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,74.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,56.0,57.0,-1.0,158.0,214.0,168.0,92.0,0.0,3.0,0.0,51.0,0.0,3.0,0.0,25.0,46.0,195.0,1396.0,195.0,1396.0,0.0,0.0,5.0,155.0,5.0,0.0,0.0,86.0,1.0,0.0,5.0,87.0,-4.0,4.0,1.0,9.0,0.0,24.0,3.0,31.0,200.0,1551.0,200.0,1545.0,3339.0,2.0,3.0,0.0,5.0,2.0,0.0,0.0,1.0,6.0,162.0,194.0,1389.0,26.0,120.0,25.0,0.0,0.0,113.0,0.0,1.0,25.0,114.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0
Butte,694.0,699.0,-5.0,1095.0,1789.0,1278.0,676.0,8.0,37.0,0.0,510.0,0.0,15.0,0.0,92.0,511.0,2001.0,11369.0,2002.0,11368.0,-1.0,1.0,71.0,1141.0,26.0,0.0,0.0,644.0,5.0,1.0,26.0,650.0,-16.0,16.0,8.0,18.0,0.0,103.0,53.0,354.0,2072.0,12510.0,2062.0,12455.0,30136.0,4.0,59.0,10.0,45.0,10.0,3.0,0.0,10.0,72.0,1224.0,2000.0,11286.0,225.0,984.0,223.0,0.0,0.0,911.0,6.0,0.0,223.0,917.0,2.0,0.0,0.0,67.0,0.0,0.0,2.0,67.0,0.0,0.0
Calaveras,59.0,61.0,-2.0,204.0,263.0,205.0,144.0,0.0,3.0,0.0,44.0,0.0,1.0,0.0,17.0,58.0,323.0,2119.0,323.0,2119.0,0.0,0.0,2.0,209.0,11.0,0.0,0.0,132.0,1.0,0.0,11.0,133.0,-11.0,11.0,0.0,5.0,1.0,17.0,1.0,43.0,325.0,2328.0,325.0,2321.0,5155.0,3.0,3.0,0.0,6.0,1.0,0.0,0.0,1.0,9.0,180.0,316.0,2148.0,32.0,194.0,31.0,0.0,0.0,189.0,1.0,0.0,31.0,190.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0
Colusa,40.0,40.0,0.0,80.0,120.0,82.0,46.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,38.0,99.0,563.0,99.0,563.0,0.0,0.0,14.0,67.0,4.0,0.0,0.0,39.0,3.0,0.0,4.0,42.0,10.0,5.0,0.0,1.0,0.0,6.0,0.0,13.0,113.0,630.0,111.0,625.0,1862.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,73.0,108.0,557.0,9.0,51.0,9.0,0.0,0.0,48.0,2.0,0.0,9.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
