,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0
Statewide,82858.0,92081.0,-9223.0,159043.0,241901.0,141926.0,85673.0,274.0,1906.0,2156.0,45871.0,121.0,2265.0,951.0,7275.0,99975.0,329915.0,1481777.0,331385.0,1464488.0,-1470.0,17289.0,7429.0,144652.0,6047.0,129.0,4.0,77965.0,969.0,559.0,6180.0,79493.0,-3893.0,4295.0,920.0,1602.0,1554.0,8268.0,2668.0,50994.0,337344.0,1626429.0,333107.0,1599048.0,4213206.0,2350.0,27471.0,4119.0,19218.0,10564.0,537.0,118.0,8163.0,6956.0,165001.0,330388.0,1461428.0,31259.0,108009.0,30201.0,405.0,4.0,99703.0,1246.0,302.0,30610.0,101251.0,643.0,6.0,0.0,6601.0,128.0,29.0,649.0,6758.0,126.0,743.0
Alameda,2861.0,3065.0,-204.0,3944.0,6805.0,3257.0,1992.0,18.0,172.0,0.0,1165.0,0.0,199.0,0.0,100.0,3548.0,10238.0,52488.0,10531.0,51969.0,-293.0,519.0,361.0,4475.0,193.0,8.0,0.0,1735.0,35.0,21.0,201.0,1791.0,9.0,7.0,13.0,47.0,8.0,267.0,130.0,2363.0,10599.0,56963.0,10328.0,55411.0,133730.0,116.0,1622.0,267.0,1109.0,577.0,0.0,4.0,443.0,178.0,6569.0,10421.0,50394.0,761.0,2879.0,737.0,18.0,1.0,2616.0,63.0,9.0,756.0,2688.0,5.0,0.0,0.0,180.0,7.0,4.0,5.0,191.0,0.0,0.0
Alpine,0.0,0.0,0.0,11.0,11.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,80.0,3.0,80.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,89.0,5.0,89.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,81.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,44.0,48.0,-4.0,153.0,197.0,156.0,97.0,1.0,3.0,0.0,39.0,0.0,2.0,0.0,20.0,41.0,174.0,1410.0,174.0,1410.0,0.0,0.0,-7.0,168.0,6.0,0.0,0.0,91.0,0.0,0.0,6.0,91.0,-14.0,14.0,0.0,1.0,1.0,22.0,0.0,40.0,167.0,1578.0,167.0,1572.0,3351.0,3.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,206.0,166.0,1372.0,26.0,137.0,26.0,0.0,0.0,127.0,1.0,0.0,26.0,128.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
Butte,601.0,601.0,0.0,1343.0,1944.0,1329.0,703.0,13.0,20.0,0.0,540.0,0.0,10.0,0.0,86.0,615.0,2043.0,11544.0,2044.0,11543.0,-1.0,1.0,42.0,1208.0,32.0,1.0,0.0,667.0,2.0,1.0,33.0,670.0,-36.0,36.0,4.0,34.0,0.0,105.0,41.0,363.0,2085.0,12752.0,2075.0,12694.0,30268.0,4.0,52.0,10.0,42.0,17.0,0.0,0.0,16.0,89.0,1324.0,1996.0,11428.0,243.0,1112.0,242.0,0.0,0.0,1048.0,3.0,0.0,242.0,1051.0,1.0,0.0,0.0,61.0,0.0,0.0,1.0,61.0,0.0,0.0
Calaveras,60.0,62.0,-2.0,180.0,240.0,189.0,119.0,0.0,1.0,0.0,47.0,0.0,1.0,0.0,23.0,51.0,301.0,2105.0,301.0,2105.0,0.0,0.0,2.0,194.0,4.0,0.0,0.0,114.0,1.0,0.0,4.0,115.0,-7.0,7.0,3.0,6.0,0.0,18.0,2.0,48.0,303.0,2299.0,303.0,2292.0,5047.0,1.0,5.0,0.0,6.0,1.0,0.0,0.0,1.0,14.0,217.0,289.0,2082.0,48.0,205.0,47.0,0.0,0.0,197.0,1.0,0.0,47.0,198.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0
Colusa,31.0,31.0,0.0,78.0,109.0,73.0,36.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,4.0,36.0,110.0,539.0,110.0,539.0,0.0,0.0,8.0,84.0,2.0,0.0,0.0,33.0,0.0,1.0,2.0,34.0,3.0,10.0,0.0,1.0,0.0,15.0,3.0,24.0,118.0,623.0,117.0,614.0,1770.0,0.0,8.0,1.0,6.0,5.0,0.0,0.0,3.0,16.0,69.0,102.0,554.0,15.0,48.0,15.0,0.0,0.0,45.0,1.0,0.0,15.0,46.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
