,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0
Statewide,93444.0,104386.0,-10942.0,167335.0,260779.0,155838.0,93769.0,305.0,1783.0,4487.0,49412.0,160.0,1808.0,990.0,7180.0,104941.0,326007.0,1442063.0,324379.0,1424603.0,1628.0,17460.0,8217.0,140638.0,8659.0,136.0,5.0,83224.0,1177.0,568.0,8800.0,84969.0,-5755.0,7032.0,620.0,837.0,2016.0,6108.0,2536.0,41692.0,334224.0,1582701.0,329752.0,1554846.0,4135242.0,2429.0,28045.0,4372.0,19655.0,10529.0,359.0,100.0,8200.0,8897.0,153128.0,325327.0,1429573.0,24055.0,90726.0,22857.0,323.0,4.0,84991.0,1087.0,344.0,23184.0,86422.0,859.0,12.0,0.0,4184.0,91.0,29.0,871.0,4304.0,82.0,455.0
Alameda,3007.0,3389.0,-382.0,4024.0,7031.0,3670.0,2225.0,23.0,178.0,1.0,1314.0,0.0,200.0,0.0,130.0,3361.0,10595.0,52223.0,11131.0,51733.0,-536.0,490.0,393.0,4595.0,212.0,8.0,0.0,1941.0,42.0,22.0,220.0,2005.0,12.0,10.0,16.0,36.0,5.0,209.0,140.0,2335.0,10988.0,56818.0,10682.0,55275.0,133821.0,124.0,1596.0,300.0,1088.0,624.0,0.0,6.0,455.0,230.0,5688.0,10758.0,51130.0,701.0,2789.0,679.0,18.0,0.0,2536.0,54.0,17.0,697.0,2607.0,4.0,0.0,0.0,168.0,12.0,2.0,4.0,182.0,0.0,0.0
Alpine,0.0,0.0,0.0,7.0,7.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,1.0,72.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,77.0,2.0,77.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,70.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,55.0,55.0,0.0,176.0,231.0,183.0,117.0,2.0,5.0,8.0,42.0,0.0,1.0,1.0,15.0,48.0,204.0,1478.0,192.0,1486.0,12.0,-8.0,-4.0,142.0,15.0,0.0,0.0,102.0,0.0,0.0,15.0,102.0,-21.0,21.0,0.0,0.0,0.0,16.0,2.0,3.0,200.0,1620.0,199.0,1614.0,3373.0,2.0,4.0,1.0,5.0,2.0,0.0,0.0,1.0,6.0,129.0,194.0,1491.0,16.0,118.0,16.0,0.0,0.0,117.0,0.0,0.0,16.0,117.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Butte,881.0,891.0,-10.0,1495.0,2376.0,1484.0,827.0,18.0,52.0,29.0,508.0,0.0,21.0,3.0,117.0,892.0,2088.0,11803.0,1995.0,11538.0,93.0,265.0,2.0,917.0,77.0,1.0,0.0,745.0,4.0,0.0,78.0,749.0,-83.0,83.0,0.0,0.0,0.0,0.0,7.0,85.0,2090.0,12720.0,2084.0,12668.0,29932.0,3.0,48.0,6.0,42.0,10.0,0.0,0.0,10.0,120.0,1149.0,1970.0,11571.0,134.0,847.0,116.0,0.0,0.0,834.0,3.0,2.0,116.0,839.0,18.0,0.0,0.0,8.0,0.0,0.0,18.0,8.0,0.0,0.0
Calaveras,102.0,101.0,1.0,226.0,328.0,232.0,136.0,2.0,1.0,5.0,70.0,0.0,1.0,0.0,21.0,96.0,314.0,2160.0,308.0,2134.0,6.0,26.0,11.0,132.0,15.0,0.0,0.0,120.0,0.0,1.0,15.0,121.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,325.0,2292.0,325.0,2287.0,5065.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,13.0,206.0,312.0,2086.0,19.0,150.0,13.0,0.0,0.0,148.0,0.0,0.0,13.0,148.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0
Colusa,53.0,53.0,0.0,83.0,136.0,94.0,41.0,0.0,0.0,1.0,47.0,0.0,0.0,1.0,4.0,42.0,99.0,523.0,99.0,523.0,0.0,0.0,12.0,54.0,7.0,0.0,0.0,34.0,0.0,0.0,7.0,34.0,4.0,12.0,0.0,0.0,0.0,5.0,1.0,3.0,111.0,577.0,110.0,572.0,1628.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,10.0,56.0,101.0,521.0,7.0,39.0,6.0,0.0,0.0,38.0,0.0,0.0,6.0,38.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
