,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16356997.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,87844.0,98064.0,-10220.0,158859.0,246703.0,154471.0,94774.0,422.0,3485.0,1790.0,49343.0,131.0,3534.0,762.0,7802.0,92232.0,325418.0,1601858.0,328620.0,1596435.0,-3202.0,5423.0,16505.0,139862.0,7078.0,136.0,12.0,85680.0,1329.0,773.0,7226.0,87548.0,-693.0,1148.0,1056.0,1726.0,1378.0,5134.0,7538.0,44306.0,341923.0,1741720.0,336966.0,1710942.0,4388415.0,2647.0,30289.0,4792.0,20874.0,12856.0,586.0,165.0,9904.0,13897.0,129004.0,328026.0,1612716.0,27896.0,111406.0,26543.0,439.0,10.0,103099.0,1273.0,404.0,26992.0,104776.0,876.0,27.0,1.0,6474.0,130.0,26.0,904.0,6630.0,127.0,952.0,
Alameda,3797.0,3956.0,-159.0,3843.0,7640.0,3655.0,2222.0,23.0,293.0,0.0,1284.0,0.0,306.0,0.0,149.0,3985.0,9914.0,54178.0,10014.0,53524.0,-100.0,654.0,772.0,4519.0,220.0,5.0,2.0,1928.0,48.0,19.0,227.0,1995.0,0.0,0.0,12.0,41.0,19.0,247.0,514.0,2236.0,10686.0,58697.0,10399.0,56925.0,136435.0,155.0,1732.0,279.0,1252.0,714.0,0.0,8.0,520.0,681.0,4468.0,10005.0,54229.0,731.0,2956.0,699.0,18.0,0.0,2775.0,83.0,10.0,717.0,2868.0,14.0,0.0,0.0,86.0,2.0,0.0,14.0,88.0,0.0,0.0,
Alpine,1.0,1.0,0.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,105.0,4.0,105.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,108.0,4.0,108.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,103.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,69.0,69.0,0.0,148.0,217.0,171.0,89.0,0.0,3.0,0.0,68.0,0.0,1.0,0.0,14.0,46.0,185.0,1478.0,185.0,1478.0,0.0,0.0,0.0,152.0,1.0,0.0,0.0,88.0,0.0,0.0,1.0,88.0,-4.0,4.0,0.0,3.0,0.0,10.0,3.0,47.0,185.0,1630.0,185.0,1626.0,3482.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,150.0,174.0,1480.0,13.0,151.0,12.0,0.0,0.0,143.0,0.0,0.0,12.0,143.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,
Butte,835.0,842.0,-7.0,1491.0,2326.0,1544.0,927.0,12.0,94.0,0.0,521.0,0.0,42.0,0.0,96.0,782.0,1971.0,11999.0,1971.0,11999.0,0.0,0.0,146.0,1351.0,38.0,0.0,0.0,880.0,5.0,4.0,38.0,889.0,24.0,-24.0,4.0,14.0,5.0,74.0,75.0,398.0,2117.0,13350.0,2110.0,13284.0,30856.0,6.0,50.0,7.0,43.0,28.0,5.0,0.0,23.0,142.0,981.0,1975.0,12369.0,196.0,1180.0,192.0,1.0,0.0,1142.0,3.0,0.0,193.0,1145.0,3.0,0.0,0.0,35.0,0.0,0.0,3.0,35.0,0.0,0.0,
Calaveras,94.0,99.0,-5.0,207.0,301.0,225.0,144.0,1.0,5.0,0.0,73.0,0.0,0.0,0.0,8.0,76.0,285.0,2226.0,285.0,2226.0,0.0,0.0,7.0,202.0,6.0,0.0,0.0,137.0,1.0,0.0,6.0,138.0,-5.0,5.0,3.0,7.0,0.0,9.0,3.0,43.0,292.0,2428.0,292.0,2421.0,5139.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,4.0,18.0,149.0,274.0,2279.0,26.0,176.0,26.0,0.0,0.0,171.0,1.0,0.0,26.0,172.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
Colusa,70.0,70.0,0.0,88.0,158.0,87.0,34.0,0.0,11.0,0.0,43.0,0.0,6.0,0.0,10.0,71.0,119.0,577.0,119.0,577.0,0.0,0.0,8.0,68.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,32.0,6.0,11.0,0.0,2.0,0.0,7.0,0.0,16.0,127.0,645.0,127.0,640.0,1823.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,15.0,70.0,112.0,575.0,8.0,46.0,8.0,0.0,0.0,42.0,0.0,0.0,8.0,42.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
