,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,15939121.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,79484.0,89713.0,-10229.0,153505.0,232989.0,143801.0,85888.0,274.0,2585.0,1797.0,47923.0,132.0,3288.0,816.0,7377.0,89188.0,319566.0,1564895.0,318083.0,1555023.0,1483.0,9872.0,17274.0,130171.0,6995.0,117.0,12.0,77009.0,1349.0,627.0,7124.0,78764.0,382.0,-272.0,885.0,1872.0,1413.0,4930.0,7470.0,44877.0,336840.0,1695066.0,332244.0,1666045.0,4326349.0,2467.0,28917.0,4447.0,20070.0,11511.0,559.0,149.0,8951.0,16249.0,136572.0,320591.0,1558494.0,26076.0,105244.0,25103.0,349.0,5.0,97327.0,1248.0,326.0,25457.0,98901.0,604.0,14.0,1.0,6188.0,127.0,28.0,619.0,6343.0,107.0,1081.0,
Alameda,3012.0,3088.0,-76.0,3596.0,6608.0,3132.0,1835.0,17.0,232.0,2.0,1173.0,0.0,281.0,0.0,122.0,3476.0,9874.0,54266.0,9799.0,53036.0,75.0,1230.0,729.0,3905.0,182.0,10.0,2.0,1565.0,54.0,22.0,194.0,1641.0,4.0,5.0,15.0,33.0,16.0,185.0,500.0,2041.0,10603.0,58171.0,10331.0,56511.0,136457.0,130.0,1663.0,262.0,1175.0,662.0,0.0,10.0,485.0,756.0,5556.0,9847.0,52615.0,780.0,2987.0,746.0,18.0,0.0,2803.0,67.0,10.0,764.0,2880.0,16.0,0.0,0.0,104.0,2.0,1.0,16.0,107.0,0.0,0.0,
Alpine,2.0,2.0,0.0,10.0,12.0,11.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,89.0,3.0,89.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,103.0,3.0,103.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,98.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,45.0,45.0,0.0,166.0,211.0,157.0,84.0,0.0,6.0,0.0,41.0,0.0,2.0,0.0,32.0,54.0,177.0,1425.0,177.0,1425.0,0.0,0.0,5.0,125.0,4.0,0.0,0.0,80.0,0.0,0.0,4.0,80.0,-4.0,4.0,1.0,7.0,1.0,4.0,3.0,30.0,182.0,1550.0,181.0,1547.0,3345.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,14.0,123.0,168.0,1427.0,14.0,146.0,14.0,0.0,0.0,140.0,0.0,0.0,14.0,140.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,
Butte,652.0,663.0,-11.0,1393.0,2045.0,1351.0,787.0,9.0,57.0,0.0,475.0,0.0,13.0,0.0,89.0,694.0,1882.0,11781.0,1882.0,11781.0,0.0,0.0,140.0,1260.0,28.0,0.0,0.0,758.0,1.0,0.0,28.0,759.0,33.0,-33.0,11.0,39.0,2.0,74.0,66.0,421.0,2022.0,13041.0,2014.0,12988.0,30421.0,6.0,41.0,8.0,35.0,22.0,0.0,0.0,18.0,139.0,1130.0,1883.0,11911.0,197.0,1065.0,194.0,2.0,0.0,1026.0,2.0,0.0,196.0,1028.0,1.0,0.0,0.0,37.0,0.0,0.0,1.0,37.0,0.0,0.0,
Calaveras,63.0,64.0,-1.0,215.0,278.0,212.0,137.0,1.0,2.0,0.0,68.0,0.0,1.0,0.0,7.0,66.0,268.0,2195.0,268.0,2195.0,0.0,0.0,17.0,186.0,8.0,0.0,0.0,126.0,1.0,2.0,8.0,129.0,5.0,-5.0,1.0,7.0,0.0,10.0,3.0,45.0,285.0,2381.0,285.0,2371.0,5040.0,1.0,7.0,0.0,7.0,3.0,0.0,0.0,3.0,19.0,185.0,266.0,2196.0,25.0,194.0,25.0,0.0,0.0,181.0,1.0,0.0,25.0,182.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,
Colusa,45.0,45.0,0.0,94.0,139.0,91.0,47.0,0.0,2.0,0.0,39.0,0.0,0.0,0.0,5.0,48.0,93.0,552.0,93.0,552.0,0.0,0.0,13.0,67.0,4.0,0.0,0.0,42.0,1.0,0.0,4.0,43.0,9.0,3.0,0.0,0.0,0.0,7.0,0.0,14.0,106.0,619.0,106.0,614.0,1706.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,14.0,54.0,92.0,565.0,6.0,71.0,6.0,0.0,0.0,66.0,2.0,0.0,6.0,68.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,
