,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16210873.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,77587.0,89188.0,-11601.0,186106.0,263693.0,157188.0,96599.0,345.0,3506.0,1976.0,48999.0,156.0,3597.0,990.0,8624.0,106505.0,321325.0,1569626.0,320591.0,1558494.0,734.0,11132.0,18291.0,141984.0,7310.0,118.0,12.0,87377.0,1319.0,698.0,7440.0,89159.0,929.0,-800.0,997.0,1828.0,1561.0,5106.0,7364.0,46691.0,339616.0,1711610.0,334940.0,1682086.0,4356687.0,2492.0,29325.0,4528.0,20317.0,11902.0,547.0,148.0,9207.0,17093.0,135605.0,322523.0,1576005.0,27107.0,113654.0,25816.0,331.0,9.0,104997.0,1320.0,361.0,26156.0,106678.0,928.0,21.0,2.0,6805.0,144.0,27.0,951.0,6976.0,145.0,1070.0,
Alameda,3297.0,3476.0,-179.0,4518.0,7815.0,3639.0,2195.0,23.0,318.0,1.0,1298.0,1.0,306.0,0.0,145.0,4176.0,9915.0,53694.0,9847.0,52615.0,68.0,1079.0,763.0,4366.0,210.0,8.0,0.0,1914.0,43.0,20.0,218.0,1977.0,2.0,5.0,13.0,46.0,6.0,233.0,524.0,2105.0,10678.0,58060.0,10405.0,56410.0,136320.0,136.0,1646.0,267.0,1161.0,667.0,0.0,6.0,489.0,725.0,5149.0,9953.0,52911.0,796.0,3083.0,777.0,11.0,0.0,2910.0,72.0,9.0,788.0,2991.0,8.0,0.0,0.0,90.0,2.0,0.0,8.0,92.0,0.0,0.0,
Alpine,1.0,1.0,0.0,19.0,20.0,19.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,99.0,3.0,98.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,111.0,3.0,111.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,106.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,54.0,54.0,0.0,222.0,276.0,234.0,127.0,0.0,8.0,0.0,72.0,0.0,1.0,0.0,35.0,42.0,168.0,1436.0,168.0,1427.0,0.0,9.0,18.0,162.0,3.0,0.0,0.0,124.0,0.0,0.0,3.0,124.0,9.0,-9.0,2.0,3.0,0.0,6.0,4.0,38.0,186.0,1598.0,186.0,1594.0,3479.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,141.0,181.0,1457.0,24.0,168.0,24.0,0.0,0.0,158.0,1.0,0.0,24.0,159.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,
Butte,684.0,694.0,-10.0,1674.0,2358.0,1457.0,810.0,9.0,46.0,0.0,534.0,0.0,28.0,0.0,113.0,901.0,1903.0,12079.0,1883.0,11911.0,20.0,168.0,144.0,1196.0,38.0,0.0,0.0,769.0,1.0,2.0,38.0,772.0,21.0,-21.0,8.0,40.0,2.0,62.0,75.0,343.0,2047.0,13275.0,2039.0,13219.0,30902.0,6.0,45.0,8.0,37.0,24.0,0.0,0.0,19.0,131.0,1169.0,1916.0,12106.0,214.0,1071.0,212.0,1.0,0.0,1006.0,4.0,0.0,213.0,1010.0,1.0,0.0,0.0,60.0,1.0,0.0,1.0,61.0,0.0,0.0,
Calaveras,64.0,66.0,-2.0,243.0,307.0,239.0,142.0,0.0,1.0,0.0,81.0,0.0,0.0,0.0,16.0,68.0,268.0,2206.0,266.0,2196.0,2.0,10.0,29.0,204.0,6.0,0.0,0.0,135.0,0.0,1.0,6.0,136.0,5.0,-5.0,8.0,5.0,0.0,19.0,10.0,49.0,297.0,2410.0,297.0,2400.0,5132.0,1.0,6.0,0.0,6.0,5.0,0.0,0.0,4.0,8.0,190.0,289.0,2220.0,43.0,221.0,43.0,0.0,0.0,212.0,0.0,0.0,43.0,212.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,
Colusa,48.0,48.0,0.0,112.0,160.0,90.0,46.0,1.0,1.0,0.0,42.0,0.0,1.0,0.0,2.0,70.0,92.0,565.0,92.0,565.0,0.0,0.0,20.0,65.0,7.0,0.0,0.0,39.0,0.0,0.0,7.0,39.0,11.0,3.0,1.0,1.0,0.0,9.0,1.0,13.0,112.0,630.0,112.0,625.0,1760.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,5.0,55.0,107.0,575.0,16.0,54.0,14.0,0.0,0.0,54.0,0.0,0.0,14.0,54.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
