,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,15761396.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,83383.0,99975.0,-16592.0,182943.0,266326.0,164422.0,97748.0,261.0,2402.0,2450.0,54701.0,123.0,2888.0,1127.0,8396.0,101904.0,321103.0,1481361.0,330388.0,1461428.0,-9285.0,19933.0,8690.0,165665.0,6622.0,124.0,13.0,89240.0,1121.0,628.0,6759.0,90989.0,-3683.0,4563.0,878.0,1620.0,875.0,9687.0,3861.0,58806.0,329793.0,1647026.0,325585.0,1619409.0,4229361.0,2304.0,27569.0,4090.0,19254.0,10916.0,623.0,118.0,8363.0,7109.0,162677.0,322684.0,1484349.0,32979.0,118922.0,31862.0,408.0,9.0,109658.0,1317.0,346.0,32279.0,111321.0,692.0,8.0,0.0,7404.0,165.0,32.0,700.0,7601.0,90.0,530.0,
Alameda,3305.0,3548.0,-243.0,4670.0,7975.0,4030.0,2380.0,31.0,238.0,1.0,1495.0,0.0,287.0,0.0,154.0,3945.0,10151.0,52277.0,10421.0,50394.0,-270.0,1883.0,382.0,5414.0,206.0,8.0,1.0,2097.0,42.0,26.0,215.0,2165.0,9.0,9.0,17.0,44.0,8.0,375.0,133.0,2821.0,10533.0,57691.0,10256.0,56103.0,135358.0,111.0,1648.0,272.0,1120.0,624.0,0.0,5.0,468.0,182.0,5635.0,10351.0,52056.0,790.0,3426.0,758.0,25.0,0.0,3156.0,73.0,10.0,783.0,3239.0,7.0,0.0,0.0,181.0,6.0,0.0,7.0,187.0,0.0,0.0,
Alpine,2.0,2.0,0.0,8.0,10.0,9.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,81.0,5.0,81.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,89.0,5.0,89.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,82.0,1.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,41.0,41.0,0.0,200.0,241.0,182.0,109.0,1.0,2.0,0.0,47.0,0.0,0.0,0.0,26.0,59.0,166.0,1372.0,166.0,1372.0,0.0,0.0,-7.0,187.0,3.0,0.0,0.0,106.0,0.0,0.0,3.0,106.0,-15.0,15.0,4.0,4.0,0.0,24.0,1.0,38.0,159.0,1559.0,159.0,1553.0,3317.0,3.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,6.0,168.0,153.0,1391.0,25.0,154.0,24.0,0.0,0.0,149.0,0.0,0.0,24.0,149.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,
Butte,610.0,615.0,-5.0,1645.0,2255.0,1570.0,854.0,4.0,30.0,0.0,575.0,0.0,11.0,0.0,141.0,685.0,1996.0,11429.0,1996.0,11428.0,0.0,1.0,57.0,1486.0,27.0,0.0,0.0,821.0,2.0,4.0,27.0,827.0,-46.0,46.0,4.0,30.0,1.0,156.0,71.0,427.0,2053.0,12915.0,2044.0,12857.0,30498.0,5.0,48.0,9.0,39.0,23.0,1.0,0.0,19.0,87.0,1246.0,1966.0,11669.0,298.0,1341.0,292.0,3.0,0.0,1262.0,4.0,3.0,295.0,1269.0,3.0,0.0,0.0,71.0,0.0,1.0,3.0,72.0,0.0,0.0,
Calaveras,50.0,51.0,-1.0,260.0,310.0,247.0,150.0,1.0,2.0,0.0,68.0,0.0,0.0,0.0,29.0,63.0,290.0,2081.0,289.0,2082.0,1.0,-1.0,-16.0,264.0,4.0,0.0,0.0,145.0,1.0,0.0,4.0,146.0,-28.0,28.0,2.0,8.0,0.0,34.0,6.0,48.0,274.0,2345.0,274.0,2337.0,5039.0,1.0,6.0,0.0,7.0,1.0,0.0,0.0,1.0,4.0,231.0,270.0,2114.0,45.0,213.0,45.0,0.0,0.0,203.0,0.0,0.0,45.0,203.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,
Colusa,36.0,36.0,0.0,92.0,128.0,86.0,40.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,6.0,42.0,102.0,554.0,102.0,554.0,0.0,0.0,15.0,77.0,5.0,0.0,0.0,35.0,0.0,0.0,5.0,35.0,6.0,14.0,0.0,0.0,0.0,3.0,4.0,25.0,117.0,631.0,117.0,624.0,1728.0,0.0,5.0,0.0,4.0,5.0,0.0,0.0,3.0,14.0,90.0,103.0,541.0,7.0,63.0,7.0,0.0,0.0,56.0,0.0,0.0,7.0,56.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,
