,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16401017.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,76485.0,88002.0,-11517.0,159235.0,235720.0,142083.0,88606.0,309.0,2463.0,1812.0,43638.0,135.0,2617.0,802.0,7225.0,93637.0,324191.0,1630238.0,323734.0,1622269.0,457.0,7969.0,15128.0,132793.0,6861.0,131.0,5.0,79992.0,1172.0,686.0,6997.0,81609.0,-1668.0,2014.0,1069.0,2186.0,1858.0,5114.0,6872.0,41870.0,339319.0,1763031.0,334424.0,1731929.0,4407675.0,2656.0,30070.0,4746.0,20789.0,13227.0,623.0,149.0,10313.0,14678.0,142766.0,324641.0,1620265.0,26680.0,111266.0,25690.0,347.0,9.0,103198.0,1213.0,374.0,26046.0,104785.0,619.0,14.0,1.0,6340.0,111.0,30.0,634.0,6481.0,85.0,994.0,
Alameda,3330.0,3535.0,-205.0,3867.0,7197.0,3270.0,1992.0,15.0,218.0,1.0,1142.0,0.0,241.0,0.0,135.0,3927.0,9738.0,54380.0,9827.0,54198.0,-89.0,182.0,700.0,3824.0,215.0,10.0,0.0,1700.0,41.0,26.0,225.0,1767.0,3.0,2.0,12.0,42.0,16.0,225.0,444.0,1788.0,10438.0,58204.0,10159.0,56489.0,134381.0,152.0,1676.0,275.0,1194.0,709.0,0.0,4.0,521.0,821.0,6356.0,9617.0,51848.0,792.0,2819.0,761.0,18.0,1.0,2631.0,63.0,20.0,780.0,2714.0,12.0,0.0,0.0,103.0,2.0,0.0,12.0,105.0,0.0,0.0,
Alpine,1.0,1.0,0.0,7.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,105.0,4.0,105.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,113.0,5.0,113.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,103.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,43.0,43.0,0.0,153.0,196.0,151.0,95.0,0.0,2.0,0.0,48.0,0.0,1.0,0.0,8.0,45.0,164.0,1509.0,164.0,1509.0,0.0,0.0,13.0,139.0,1.0,0.0,0.0,94.0,0.0,0.0,1.0,94.0,5.0,-5.0,2.0,2.0,1.0,11.0,4.0,37.0,177.0,1648.0,177.0,1646.0,3446.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,146.0,163.0,1502.0,26.0,142.0,26.0,0.0,0.0,137.0,0.0,0.0,26.0,137.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,
Butte,593.0,600.0,-7.0,1374.0,1967.0,1348.0,803.0,13.0,50.0,0.0,451.0,0.0,23.0,0.0,94.0,619.0,1998.0,12458.0,1998.0,12459.0,0.0,-1.0,159.0,1216.0,44.0,0.0,0.0,756.0,2.0,1.0,44.0,759.0,20.0,-20.0,4.0,55.0,4.0,71.0,87.0,351.0,2157.0,13674.0,2150.0,13602.0,31361.0,6.0,55.0,7.0,48.0,31.0,4.0,0.0,24.0,148.0,1274.0,2009.0,12400.0,240.0,1051.0,236.0,2.0,0.0,1006.0,4.0,1.0,238.0,1011.0,2.0,0.0,0.0,40.0,0.0,0.0,2.0,40.0,0.0,0.0,
Calaveras,58.0,60.0,-2.0,208.0,266.0,189.0,117.0,0.0,1.0,0.0,59.0,0.0,0.0,0.0,13.0,77.0,268.0,2290.0,268.0,2290.0,0.0,0.0,20.0,178.0,5.0,0.0,0.0,112.0,0.0,0.0,5.0,112.0,5.0,-5.0,4.0,11.0,0.0,10.0,6.0,50.0,288.0,2468.0,288.0,2461.0,5213.0,0.0,5.0,0.0,4.0,4.0,0.0,0.0,3.0,16.0,173.0,272.0,2295.0,35.0,200.0,35.0,0.0,0.0,196.0,0.0,0.0,35.0,196.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
Colusa,61.0,61.0,0.0,90.0,151.0,77.0,41.0,1.0,3.0,0.0,30.0,0.0,1.0,0.0,6.0,74.0,103.0,587.0,103.0,587.0,0.0,0.0,15.0,57.0,5.0,0.0,0.0,36.0,0.0,0.0,5.0,36.0,7.0,6.0,1.0,4.0,0.0,2.0,2.0,9.0,118.0,644.0,118.0,641.0,1790.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,17.0,81.0,101.0,563.0,18.0,53.0,18.0,0.0,0.0,48.0,0.0,1.0,18.0,49.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,
