,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16318875.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,80878.0,92232.0,-11354.0,149566.0,230444.0,142442.0,88154.0,269.0,2929.0,1861.0,44925.0,129.0,2974.0,762.0,6740.0,88002.0,324545.0,1617658.0,328026.0,1612716.0,-3481.0,4942.0,16288.0,133390.0,6623.0,140.0,8.0,79728.0,1204.0,677.0,6771.0,81383.0,-642.0,1277.0,987.0,1920.0,1842.0,5120.0,7330.0,43690.0,340833.0,1751048.0,335818.0,1720133.0,4401344.0,2653.0,30144.0,4832.0,20839.0,12988.0,605.0,183.0,10076.0,17099.0,128779.0,323734.0,1622269.0,26556.0,106931.0,25385.0,393.0,12.0,99027.0,1167.0,352.0,25790.0,100546.0,750.0,16.0,0.0,6214.0,136.0,35.0,766.0,6385.0,257.0,1685.0,
Alameda,3551.0,3985.0,-434.0,3690.0,7241.0,3706.0,2195.0,14.0,293.0,2.0,1337.0,0.0,286.0,0.0,172.0,3535.0,9862.0,54646.0,10005.0,54229.0,-143.0,417.0,675.0,4117.0,205.0,5.0,0.0,1914.0,52.0,19.0,210.0,1985.0,0.0,0.0,10.0,41.0,9.0,189.0,446.0,1902.0,10537.0,58763.0,10244.0,57046.0,135771.0,151.0,1682.0,288.0,1207.0,701.0,0.0,5.0,510.0,710.0,4565.0,9827.0,54198.0,736.0,2874.0,689.0,26.0,0.0,2706.0,58.0,12.0,715.0,2776.0,19.0,2.0,0.0,97.0,1.0,0.0,21.0,98.0,0.0,0.0,
Alpine,0.0,0.0,0.0,7.0,7.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,103.0,4.0,103.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,109.0,4.0,109.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,105.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,46.0,46.0,0.0,145.0,191.0,148.0,87.0,0.0,1.0,0.0,43.0,0.0,1.0,0.0,18.0,43.0,174.0,1480.0,174.0,1480.0,0.0,0.0,5.0,150.0,3.0,0.0,0.0,84.0,0.0,0.0,3.0,84.0,-1.0,1.0,1.0,4.0,1.0,16.0,1.0,45.0,179.0,1630.0,179.0,1627.0,3444.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,121.0,164.0,1509.0,16.0,126.0,16.0,0.0,0.0,120.0,0.0,0.0,16.0,120.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,
Butte,773.0,782.0,-9.0,1237.0,2010.0,1410.0,841.0,4.0,75.0,0.0,484.0,0.0,41.0,0.0,85.0,600.0,1975.0,12369.0,1975.0,12369.0,0.0,0.0,160.0,1215.0,25.0,0.0,0.0,810.0,5.0,1.0,25.0,816.0,24.0,-24.0,7.0,25.0,1.0,57.0,103.0,341.0,2135.0,13584.0,2128.0,13514.0,31151.0,7.0,51.0,7.0,46.0,31.0,4.0,0.0,24.0,137.0,1125.0,1998.0,12459.0,215.0,1067.0,213.0,1.0,0.0,1026.0,5.0,2.0,214.0,1033.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,34.0,0.0,0.0,
Calaveras,72.0,76.0,-4.0,178.0,250.0,190.0,133.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,6.0,60.0,274.0,2278.0,274.0,2279.0,0.0,-1.0,7.0,198.0,4.0,0.0,0.0,129.0,0.0,0.0,4.0,129.0,-7.0,7.0,1.0,8.0,0.0,19.0,9.0,35.0,281.0,2476.0,281.0,2468.0,5223.0,0.0,5.0,0.0,4.0,5.0,0.0,0.0,4.0,13.0,186.0,268.0,2290.0,28.0,194.0,27.0,0.0,0.0,187.0,0.0,0.0,27.0,187.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,
Colusa,71.0,71.0,0.0,68.0,139.0,78.0,35.0,0.0,12.0,0.0,32.0,0.0,6.0,0.0,11.0,61.0,112.0,575.0,112.0,575.0,0.0,0.0,10.0,74.0,2.0,0.0,0.0,33.0,0.0,0.0,2.0,33.0,7.0,6.0,0.0,2.0,1.0,5.0,0.0,28.0,122.0,649.0,122.0,644.0,1806.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,19.0,62.0,103.0,587.0,10.0,56.0,10.0,0.0,0.0,53.0,0.0,0.0,10.0,53.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,
