,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16591653.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,84454.0,95210.0,-10756.0,162360.0,246814.0,150693.0,92514.0,360.0,2448.0,2052.0,47609.0,231.0,2729.0,834.0,7684.0,96121.0,323771.0,1652962.0,322172.0,1638560.0,1599.0,14402.0,17217.0,133230.0,7822.0,161.0,18.0,82805.0,1060.0,648.0,8001.0,84513.0,-351.0,496.0,1268.0,2344.0,2016.0,4973.0,6283.0,40904.0,340988.0,1786192.0,336049.0,1755033.0,4435428.0,3278.0,30004.0,4787.0,20718.0,13502.0,593.0,152.0,10441.0,14294.0,144803.0,326694.0,1641389.0,25802.0,106803.0,24765.0,375.0,9.0,98580.0,1219.0,353.0,25149.0,100152.0,638.0,15.0,0.0,6436.0,131.0,84.0,653.0,6651.0,167.0,1095.0,
Alameda,3815.0,4152.0,-337.0,4253.0,8068.0,3895.0,2323.0,13.0,280.0,2.0,1414.0,1.0,285.0,0.0,156.0,4173.0,9456.0,53810.0,9938.0,53958.0,-482.0,-148.0,647.0,4581.0,186.0,9.0,0.0,2041.0,58.0,29.0,195.0,2128.0,2.0,6.0,20.0,57.0,10.0,200.0,420.0,2190.0,10103.0,58391.0,9813.0,56631.0,133966.0,162.0,1707.0,286.0,1214.0,744.0,0.0,4.0,546.0,708.0,5650.0,9395.0,52741.0,670.0,2694.0,637.0,23.0,0.0,2536.0,57.0,19.0,660.0,2612.0,10.0,0.0,0.0,79.0,3.0,0.0,10.0,82.0,0.0,0.0,
Alpine,1.0,3.0,-2.0,2.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,5.0,104.0,5.0,104.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,109.0,6.0,109.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,100.0,2.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,40.0,42.0,-2.0,128.0,168.0,135.0,71.0,1.0,0.0,0.0,48.0,0.0,1.0,0.0,16.0,33.0,165.0,1491.0,165.0,1491.0,0.0,0.0,6.0,118.0,7.0,0.0,0.0,63.0,1.0,0.0,7.0,64.0,-9.0,9.0,0.0,2.0,1.0,7.0,7.0,36.0,171.0,1609.0,171.0,1606.0,3390.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,155.0,164.0,1454.0,24.0,121.0,24.0,0.0,0.0,113.0,1.0,0.0,24.0,114.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,
Butte,632.0,642.0,-10.0,1518.0,2150.0,1472.0,860.0,11.0,37.0,0.0,495.0,0.0,20.0,0.0,117.0,678.0,1929.0,12530.0,1929.0,12531.0,0.0,-1.0,142.0,1360.0,27.0,1.0,0.0,827.0,2.0,3.0,28.0,832.0,7.0,-7.0,9.0,35.0,3.0,72.0,95.0,428.0,2071.0,13890.0,2064.0,13817.0,31469.0,7.0,51.0,7.0,46.0,33.0,4.0,0.0,27.0,106.0,1217.0,1965.0,12673.0,224.0,1140.0,222.0,1.0,0.0,1078.0,3.0,1.0,223.0,1082.0,1.0,0.0,0.0,58.0,0.0,0.0,1.0,58.0,0.0,0.0,
Calaveras,70.0,75.0,-5.0,228.0,298.0,238.0,165.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,17.0,60.0,273.0,2337.0,273.0,2337.0,0.0,0.0,14.0,233.0,3.0,0.0,0.0,162.0,0.0,0.0,3.0,162.0,1.0,-1.0,2.0,7.0,1.0,18.0,7.0,47.0,287.0,2570.0,287.0,2561.0,5360.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,3.0,8.0,154.0,279.0,2416.0,34.0,203.0,34.0,0.0,0.0,199.0,0.0,0.0,34.0,199.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
Colusa,72.0,72.0,0.0,72.0,144.0,65.0,25.0,0.0,5.0,0.0,36.0,0.0,6.0,0.0,4.0,79.0,98.0,549.0,98.0,549.0,0.0,0.0,8.0,71.0,2.0,0.0,0.0,23.0,0.0,0.0,2.0,23.0,3.0,7.0,2.0,4.0,0.0,6.0,1.0,31.0,106.0,620.0,105.0,619.0,1695.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,7.0,74.0,99.0,546.0,6.0,55.0,6.0,0.0,0.0,54.0,0.0,0.0,6.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
