,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16648246.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,83514.0,96121.0,-12607.0,168850.0,252364.0,153688.0,95295.0,701.0,2499.0,2197.0,47944.0,201.0,2923.0,851.0,7401.0,98676.0,323343.0,1640511.0,326694.0,1641389.0,-3351.0,-878.0,20309.0,148375.0,8632.0,162.0,16.0,84754.0,1058.0,673.0,8810.0,86485.0,-433.0,1450.0,1258.0,2274.0,1639.0,5767.0,9035.0,52399.0,343652.0,1788886.0,338590.0,1758094.0,4437546.0,3209.0,29970.0,4896.0,20574.0,13109.0,604.0,166.0,10218.0,15555.0,150830.0,328097.0,1638056.0,25945.0,108490.0,24904.0,343.0,14.0,100058.0,1265.0,362.0,25261.0,101685.0,673.0,11.0,0.0,6646.0,120.0,39.0,684.0,6805.0,155.0,1745.0,
Alameda,3922.0,4173.0,-251.0,4393.0,8315.0,3909.0,2316.0,19.0,274.0,0.0,1422.0,0.0,358.0,0.0,171.0,4406.0,9297.0,53806.0,9395.0,52741.0,-98.0,1065.0,720.0,4602.0,225.0,9.0,0.0,1988.0,62.0,32.0,234.0,2082.0,13.0,4.0,8.0,42.0,11.0,241.0,454.0,2233.0,10017.0,58408.0,9750.0,56668.0,134250.0,154.0,1693.0,265.0,1212.0,712.0,6.0,2.0,528.0,736.0,5993.0,9281.0,52415.0,516.0,2594.0,493.0,11.0,0.0,2446.0,44.0,12.0,504.0,2502.0,12.0,0.0,0.0,85.0,5.0,2.0,12.0,92.0,0.0,0.0,
Alpine,2.0,-4.0,6.0,11.0,13.0,12.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,100.0,5.0,100.0,0.0,0.0,-1.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,111.0,4.0,111.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,105.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,33.0,33.0,0.0,157.0,190.0,145.0,92.0,1.0,4.0,0.0,38.0,0.0,1.0,0.0,15.0,45.0,164.0,1454.0,164.0,1454.0,0.0,0.0,10.0,138.0,4.0,0.0,0.0,88.0,0.0,0.0,4.0,88.0,0.0,0.0,2.0,4.0,0.0,15.0,4.0,31.0,174.0,1592.0,174.0,1589.0,3378.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,146.0,163.0,1446.0,20.0,130.0,20.0,0.0,0.0,122.0,0.0,0.0,20.0,122.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,
Butte,673.0,678.0,-5.0,1366.0,2039.0,1403.0,776.0,14.0,64.0,0.0,519.0,0.0,25.0,0.0,108.0,636.0,1964.0,12673.0,1965.0,12673.0,-1.0,0.0,106.0,1269.0,32.0,0.0,0.0,743.0,1.0,0.0,32.0,744.0,6.0,-6.0,8.0,36.0,3.0,72.0,57.0,423.0,2070.0,13942.0,2062.0,13878.0,31446.0,5.0,49.0,8.0,40.0,30.0,4.0,0.0,24.0,136.0,1289.0,1934.0,12653.0,207.0,1007.0,205.0,1.0,0.0,966.0,2.0,0.0,206.0,968.0,1.0,0.0,0.0,39.0,0.0,0.0,1.0,39.0,0.0,0.0,
Calaveras,55.0,60.0,-5.0,188.0,243.0,195.0,131.0,0.0,1.0,0.0,52.0,0.0,1.0,0.0,12.0,48.0,279.0,2416.0,279.0,2416.0,0.0,0.0,9.0,188.0,6.0,0.0,0.0,124.0,1.0,0.0,6.0,125.0,2.0,-2.0,0.0,18.0,0.0,13.0,1.0,34.0,288.0,2604.0,288.0,2595.0,5422.0,0.0,8.0,0.0,7.0,3.0,0.0,0.0,2.0,16.0,202.0,272.0,2402.0,32.0,202.0,31.0,0.0,0.0,196.0,2.0,0.0,31.0,198.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,
Colusa,79.0,79.0,0.0,61.0,140.0,80.0,32.0,0.0,12.0,0.0,42.0,0.0,6.0,0.0,6.0,60.0,99.0,546.0,99.0,546.0,0.0,0.0,5.0,66.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,31.0,2.0,1.0,1.0,2.0,0.0,8.0,1.0,24.0,104.0,612.0,102.0,611.0,1682.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,10.0,94.0,94.0,518.0,4.0,43.0,4.0,0.0,0.0,39.0,0.0,0.0,4.0,39.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
