,PART A.  APPLICATIONS FOR CALFRESH ,,,,,,PART A.  APPLICATIONS FOR CALFRESH ,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,PART C.  RECERTIFICATIONS,,,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16873207.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,73179.0,83532.0,-10353.0,162831.0,236010.0,149736.0,96832.0,294.0,2386.0,1675.0,43945.0,157.0,2663.0,768.0,6516.0,86274.0,269931.0,1741853.0,267681.0,1733634.0,2250.0,8219.0,13577.0,147594.0,6526.0,127.0,13.0,88417.0,1067.0,682.0,6666.0,90166.0,-1356.0,1623.0,694.0,1795.0,2002.0,6683.0,5571.0,47327.0,283508.0,1889447.0,278621.0,1855915.0,4503663.0,3316.0,31930.0,4730.0,22267.0,14565.0,709.0,157.0,11265.0,16181.0,154142.0,267327.0,1735305.0,23621.0,116003.0,22511.0,377.0,10.0,107704.0,1420.0,398.0,22898.0,109522.0,708.0,13.0,2.0,6308.0,124.0,49.0,723.0,6481.0,330.0,1770.0,
Alameda,3056.0,3399.0,-343.0,3389.0,6445.0,3446.0,2196.0,9.0,243.0,0.0,1115.0,0.0,196.0,0.0,135.0,2999.0,7989.0,54599.0,8036.0,55048.0,-47.0,-449.0,366.0,4330.0,184.0,4.0,0.0,1926.0,46.0,36.0,188.0,2008.0,-138.0,138.0,17.0,106.0,29.0,289.0,270.0,1789.0,8355.0,58929.0,8107.0,56890.0,131381.0,169.0,1965.0,245.0,1372.0,905.0,23.0,3.0,667.0,563.0,5518.0,7792.0,53411.0,572.0,2925.0,548.0,15.0,0.0,2715.0,93.0,11.0,563.0,2819.0,9.0,0.0,0.0,100.0,4.0,2.0,9.0,106.0,0.0,0.0,
Alpine,2.0,2.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,95.0,3.0,95.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,99.0,3.0,99.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,93.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,48.0,48.0,0.0,146.0,194.0,140.0,72.0,1.0,3.0,0.0,55.0,0.0,3.0,0.0,13.0,54.0,173.0,1525.0,173.0,1525.0,0.0,0.0,10.0,119.0,4.0,0.0,0.0,67.0,0.0,1.0,4.0,68.0,2.0,-2.0,1.0,7.0,0.0,11.0,3.0,35.0,183.0,1644.0,183.0,1641.0,3457.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,17.0,144.0,166.0,1500.0,22.0,126.0,21.0,0.0,0.0,124.0,1.0,0.0,21.0,125.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,
Butte,710.0,719.0,-9.0,1545.0,2255.0,1393.0,752.0,9.0,85.0,0.0,530.0,0.0,40.0,0.0,111.0,862.0,1816.0,13717.0,1816.0,13717.0,0.0,0.0,100.0,1311.0,34.0,0.0,1.0,713.0,3.0,1.0,35.0,717.0,-17.0,17.0,8.0,31.0,3.0,66.0,71.0,480.0,1916.0,15028.0,1906.0,14948.0,32478.0,7.0,59.0,8.0,54.0,29.0,2.0,2.0,26.0,103.0,1399.0,1813.0,13629.0,237.0,1314.0,236.0,0.0,0.0,1251.0,3.0,0.0,236.0,1254.0,1.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,
Calaveras,48.0,49.0,-1.0,221.0,269.0,205.0,126.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,8.0,64.0,257.0,2500.0,257.0,2500.0,0.0,0.0,12.0,193.0,5.0,0.0,0.0,120.0,1.0,0.0,5.0,121.0,-4.0,4.0,0.0,14.0,2.0,17.0,9.0,37.0,269.0,2693.0,268.0,2682.0,5523.0,1.0,10.0,1.0,7.0,5.0,0.0,0.0,4.0,16.0,207.0,253.0,2486.0,41.0,191.0,41.0,0.0,0.0,188.0,0.0,0.0,41.0,188.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,
Colusa,35.0,35.0,0.0,63.0,98.0,62.0,23.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,4.0,36.0,90.0,508.0,90.0,508.0,0.0,0.0,2.0,67.0,1.0,0.0,0.0,22.0,0.0,0.0,1.0,22.0,-4.0,4.0,2.0,4.0,1.0,4.0,2.0,33.0,92.0,575.0,92.0,571.0,1552.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,8.0,77.0,84.0,498.0,9.0,63.0,9.0,0.0,0.0,61.0,1.0,0.0,9.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
