,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16601469.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,81093.0,87226.0,-6133.0,136650.0,217743.0,137475.0,88876.0,260.0,1847.0,1296.0,40651.0,135.0,2348.0,581.0,6071.0,80268.0,260169.0,1736061.0,261516.0,1725377.0,-1347.0,10684.0,13140.0,144070.0,5300.0,128.0,12.0,81596.0,1097.0,743.0,5440.0,83436.0,-1497.0,1509.0,545.0,1554.0,1522.0,8210.0,7130.0,49361.0,273309.0,1880131.0,268146.0,1846018.0,4416087.0,3044.0,32787.0,4987.0,22435.0,14922.0,851.0,176.0,11678.0,19693.0,173447.0,253616.0,1706684.0,21211.0,111889.0,20426.0,364.0,9.0,104730.0,1317.0,461.0,20799.0,106508.0,406.0,6.0,0.0,5248.0,100.0,33.0,412.0,5381.0,357.0,1658.0,
Alameda,2293.0,2414.0,-121.0,3338.0,5631.0,3729.0,2409.0,10.0,116.0,3.0,1195.0,0.0,140.0,0.0,122.0,1902.0,7086.0,54099.0,7095.0,53297.0,-9.0,802.0,336.0,4729.0,132.0,6.0,0.0,2165.0,63.0,43.0,138.0,2271.0,-121.0,121.0,12.0,106.0,37.0,316.0,270.0,1915.0,7422.0,58828.0,7162.0,56702.0,127881.0,144.0,2132.0,253.0,1434.0,948.0,42.0,7.0,692.0,551.0,5487.0,6871.0,53341.0,500.0,2913.0,464.0,24.0,1.0,2729.0,69.0,14.0,489.0,2812.0,11.0,0.0,0.0,98.0,2.0,1.0,11.0,101.0,0.0,0.0,
Alpine,2.0,2.0,0.0,3.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,93.0,2.0,93.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,95.0,2.0,95.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,92.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,41.0,54.0,-13.0,130.0,171.0,138.0,87.0,0.0,4.0,0.0,46.0,0.0,0.0,0.0,5.0,33.0,171.0,1497.0,171.0,1501.0,0.0,-4.0,8.0,154.0,3.0,0.0,0.0,84.0,0.0,0.0,3.0,84.0,-2.0,2.0,0.0,6.0,3.0,14.0,4.0,48.0,179.0,1651.0,179.0,1648.0,3452.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,116.0,169.0,1535.0,20.0,171.0,20.0,0.0,0.0,169.0,0.0,0.0,20.0,169.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
Butte,745.0,752.0,-7.0,1461.0,2206.0,1360.0,715.0,4.0,41.0,1.0,577.0,0.0,32.0,0.0,67.0,846.0,1733.0,14136.0,1733.0,14136.0,0.0,0.0,108.0,1206.0,30.0,0.0,0.0,681.0,1.0,3.0,30.0,685.0,-1.0,1.0,7.0,16.0,5.0,106.0,67.0,398.0,1841.0,15342.0,1831.0,15262.0,32440.0,4.0,55.0,7.0,48.0,34.0,9.0,3.0,32.0,122.0,1295.0,1719.0,14047.0,187.0,1189.0,186.0,0.0,0.0,1153.0,0.0,1.0,186.0,1154.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,35.0,0.0,0.0,
Calaveras,66.0,67.0,-1.0,193.0,259.0,196.0,121.0,0.0,4.0,0.0,69.0,0.0,1.0,0.0,6.0,63.0,225.0,2391.0,225.0,2391.0,0.0,0.0,16.0,233.0,2.0,0.0,0.0,119.0,0.0,0.0,2.0,119.0,-6.0,6.0,2.0,5.0,3.0,21.0,15.0,82.0,241.0,2624.0,241.0,2617.0,5311.0,0.0,7.0,0.0,5.0,3.0,0.0,0.0,2.0,18.0,216.0,223.0,2408.0,21.0,224.0,21.0,0.0,0.0,223.0,1.0,0.0,21.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Colusa,79.0,79.0,0.0,64.0,143.0,74.0,33.0,1.0,5.0,0.0,37.0,0.0,3.0,0.0,4.0,69.0,84.0,455.0,84.0,455.0,0.0,0.0,12.0,68.0,2.0,0.0,0.0,31.0,0.0,0.0,2.0,31.0,10.0,2.0,0.0,3.0,0.0,4.0,0.0,28.0,96.0,523.0,94.0,521.0,1415.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,5.0,56.0,91.0,467.0,7.0,60.0,6.0,1.0,0.0,57.0,0.0,0.0,7.0,57.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,
