,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16660528.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,74352.0,80268.0,-5916.0,137716.0,212068.0,138847.0,90683.0,291.0,1930.0,1010.0,40792.0,190.0,2012.0,497.0,5865.0,73221.0,262940.0,1741500.0,253616.0,1706684.0,9324.0,34816.0,16018.0,141686.0,6047.0,139.0,17.0,82621.0,1069.0,790.0,6203.0,84480.0,735.0,-735.0,569.0,1747.0,1628.0,8178.0,6883.0,48016.0,278958.0,1883186.0,273735.0,1849027.0,4419644.0,3063.0,32808.0,5018.0,22420.0,14962.0,899.0,205.0,11739.0,17543.0,158532.0,261415.0,1724654.0,23533.0,120790.0,22539.0,366.0,15.0,112988.0,1392.0,423.0,22920.0,114803.0,595.0,18.0,0.0,5819.0,125.0,43.0,613.0,5987.0,120.0,834.0,
Alameda,1843.0,1902.0,-59.0,3538.0,5381.0,3890.0,2606.0,6.0,78.0,0.0,1187.0,0.0,96.0,0.0,97.0,1491.0,6978.0,54421.0,6871.0,53341.0,107.0,1080.0,391.0,5169.0,154.0,9.0,0.0,2311.0,74.0,58.0,163.0,2443.0,-135.0,135.0,12.0,79.0,58.0,347.0,293.0,2165.0,7369.0,59590.0,7110.0,57379.0,128746.0,163.0,2196.0,250.0,1484.0,992.0,40.0,9.0,727.0,475.0,5076.0,6894.0,54514.0,608.0,3433.0,585.0,16.0,2.0,3225.0,84.0,25.0,603.0,3334.0,5.0,0.0,0.0,95.0,1.0,3.0,5.0,99.0,0.0,0.0,
Alpine,0.0,0.0,0.0,6.0,6.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,92.0,1.0,92.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,97.0,1.0,97.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,89.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,33.0,33.0,0.0,132.0,165.0,126.0,80.0,0.0,4.0,0.0,35.0,0.0,1.0,0.0,11.0,39.0,169.0,1535.0,169.0,1535.0,0.0,0.0,12.0,143.0,2.0,0.0,0.0,78.0,0.0,0.0,2.0,78.0,0.0,0.0,3.0,12.0,1.0,19.0,6.0,34.0,181.0,1678.0,181.0,1675.0,3501.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,152.0,169.0,1526.0,17.0,149.0,17.0,0.0,0.0,149.0,0.0,0.0,17.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Butte,841.0,846.0,-5.0,1385.0,2226.0,1617.0,811.0,2.0,88.0,2.0,724.0,0.0,41.0,0.0,80.0,609.0,1719.0,14047.0,1719.0,14047.0,0.0,0.0,106.0,1446.0,29.0,0.0,0.0,775.0,4.0,3.0,29.0,782.0,7.0,-7.0,4.0,25.0,3.0,146.0,63.0,500.0,1825.0,15493.0,1814.0,15408.0,32522.0,3.0,64.0,9.0,52.0,33.0,10.0,2.0,33.0,135.0,1287.0,1690.0,14206.0,174.0,1288.0,171.0,2.0,0.0,1248.0,4.0,1.0,173.0,1253.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,35.0,0.0,0.0,
Calaveras,60.0,63.0,-3.0,164.0,224.0,175.0,101.0,0.0,2.0,0.0,60.0,0.0,0.0,0.0,14.0,49.0,223.0,2408.0,223.0,2408.0,0.0,0.0,17.0,193.0,3.0,0.0,0.0,98.0,0.0,0.0,3.0,98.0,3.0,-3.0,0.0,7.0,0.0,14.0,11.0,77.0,240.0,2601.0,240.0,2595.0,5231.0,0.0,7.0,0.0,5.0,2.0,0.0,0.0,1.0,14.0,227.0,226.0,2374.0,34.0,219.0,34.0,0.0,0.0,215.0,1.0,0.0,34.0,216.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,
Colusa,69.0,69.0,0.0,53.0,122.0,88.0,31.0,0.0,7.0,0.0,55.0,0.0,4.0,0.0,2.0,34.0,91.0,467.0,91.0,467.0,0.0,0.0,6.0,68.0,1.0,1.0,0.0,28.0,1.0,0.0,2.0,29.0,1.0,-1.0,0.0,0.0,1.0,5.0,2.0,35.0,97.0,535.0,95.0,532.0,1443.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,7.0,62.0,90.0,473.0,5.0,47.0,5.0,0.0,0.0,46.0,1.0,0.0,5.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
