,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16658026.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,75846.0,83671.0,-7825.0,135062.0,210908.0,129573.0,84366.0,286.0,1897.0,1449.0,37634.0,205.0,2641.0,618.0,5506.0,81335.0,267202.0,1751903.0,264695.0,1741802.0,2507.0,10101.0,12812.0,134513.0,5511.0,120.0,4.0,77025.0,1052.0,654.0,5635.0,78731.0,-1277.0,1285.0,682.0,1881.0,2260.0,6954.0,5512.0,45662.0,280014.0,1886416.0,274985.0,1853296.0,4472851.0,3210.0,32034.0,4845.0,22012.0,14317.0,752.0,184.0,11108.0,17296.0,156308.0,262718.0,1730108.0,20416.0,104078.0,19427.0,307.0,5.0,96303.0,1291.0,362.0,19739.0,97956.0,666.0,10.0,1.0,5979.0,109.0,34.0,677.0,6122.0,292.0,1400.0,
Alameda,2546.0,2720.0,-174.0,2933.0,5479.0,3051.0,1988.0,12.0,194.0,1.0,984.0,0.0,164.0,0.0,78.0,2428.0,7562.0,54756.0,7581.0,55166.0,-19.0,-410.0,272.0,4022.0,142.0,5.0,0.0,1776.0,40.0,25.0,147.0,1841.0,-170.0,170.0,18.0,81.0,38.0,296.0,239.0,1634.0,7834.0,58778.0,7603.0,56764.0,129501.0,171.0,1933.0,228.0,1361.0,905.0,24.0,3.0,653.0,615.0,5664.0,7219.0,53114.0,421.0,2226.0,398.0,16.0,0.0,2094.0,49.0,10.0,414.0,2153.0,6.0,1.0,0.0,70.0,3.0,0.0,7.0,73.0,0.0,0.0,
Alpine,1.0,1.0,0.0,5.0,6.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,94.0,3.0,94.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,98.0,3.0,98.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,91.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,35.0,35.0,0.0,145.0,180.0,122.0,82.0,0.0,1.0,0.0,34.0,0.0,2.0,0.0,6.0,58.0,155.0,1476.0,155.0,1478.0,0.0,-2.0,14.0,139.0,4.0,0.0,0.0,78.0,0.0,0.0,4.0,78.0,-1.0,1.0,2.0,10.0,2.0,13.0,7.0,37.0,169.0,1615.0,169.0,1612.0,3387.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,151.0,156.0,1464.0,15.0,133.0,14.0,0.0,0.0,131.0,0.0,0.0,14.0,131.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,
Butte,928.0,931.0,-3.0,1297.0,2225.0,1577.0,862.0,2.0,122.0,0.0,618.0,0.0,43.0,0.0,97.0,648.0,1767.0,13888.0,1767.0,13889.0,0.0,-1.0,48.0,1417.0,25.0,0.0,0.0,828.0,6.0,3.0,25.0,837.0,-30.0,30.0,6.0,28.0,5.0,99.0,42.0,423.0,1815.0,15305.0,1802.0,15229.0,32467.0,7.0,58.0,10.0,51.0,28.0,7.0,3.0,25.0,122.0,1300.0,1693.0,14005.0,156.0,1124.0,149.0,2.0,0.0,1071.0,8.0,2.0,151.0,1081.0,5.0,0.0,0.0,43.0,0.0,0.0,5.0,43.0,0.0,0.0,
Calaveras,52.0,52.0,0.0,176.0,228.0,163.0,114.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,5.0,65.0,237.0,2442.0,237.0,2442.0,0.0,0.0,8.0,206.0,7.0,0.0,0.0,107.0,0.0,0.0,7.0,107.0,-8.0,8.0,1.0,13.0,1.0,20.0,7.0,58.0,245.0,2648.0,244.0,2637.0,5335.0,1.0,10.0,1.0,7.0,5.0,0.0,0.0,4.0,16.0,218.0,229.0,2430.0,22.0,209.0,22.0,0.0,0.0,204.0,0.0,1.0,22.0,205.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
Colusa,41.0,41.0,0.0,72.0,113.0,63.0,30.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,6.0,50.0,82.0,470.0,82.0,470.0,0.0,0.0,8.0,48.0,1.0,1.0,0.0,28.0,0.0,0.0,2.0,28.0,5.0,3.0,0.0,5.0,0.0,0.0,1.0,12.0,90.0,518.0,88.0,515.0,1357.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0,2.0,7.0,78.0,83.0,440.0,6.0,35.0,6.0,0.0,0.0,34.0,0.0,0.0,6.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
