,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16864848.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,79783.0,87230.0,-7447.0,152823.0,232606.0,148935.0,96013.0,327.0,2335.0,1662.0,43812.0,179.0,2607.0,774.0,6674.0,83671.0,268024.0,1741872.0,265539.0,1733693.0,2485.0,8179.0,13509.0,152305.0,6178.0,125.0,9.0,87756.0,1147.0,798.0,6312.0,89701.0,-1925.0,1935.0,781.0,1863.0,1942.0,7523.0,6399.0,51283.0,281533.0,1894177.0,276608.0,1860876.0,4497316.0,3240.0,32006.0,4745.0,22151.0,14357.0,720.0,180.0,11150.0,16828.0,152322.0,264705.0,1741855.0,23066.0,113231.0,21983.0,349.0,14.0,105064.0,1314.0,407.0,22346.0,106785.0,700.0,18.0,2.0,6282.0,135.0,29.0,720.0,6446.0,306.0,1465.0,
Alameda,3317.0,2997.0,320.0,3609.0,6926.0,4206.0,2654.0,20.0,362.0,3.0,1417.0,1.0,363.0,0.0,132.0,2720.0,7631.0,55068.0,7638.0,54430.0,-7.0,638.0,413.0,4920.0,170.0,3.0,0.0,2340.0,89.0,52.0,173.0,2481.0,-89.0,89.0,17.0,98.0,44.0,315.0,268.0,1937.0,8044.0,59988.0,7819.0,57869.0,132378.0,179.0,1995.0,221.0,1438.0,941.0,24.0,4.0,681.0,463.0,4822.0,7581.0,55166.0,387.0,2523.0,375.0,9.0,0.0,2334.0,76.0,14.0,384.0,2424.0,3.0,0.0,0.0,95.0,3.0,1.0,3.0,99.0,0.0,0.0,
Alpine,1.0,1.0,0.0,5.0,6.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,94.0,3.0,94.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,97.0,3.0,97.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,94.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,48.0,48.0,0.0,123.0,171.0,136.0,85.0,0.0,2.0,0.0,47.0,0.0,4.0,0.0,4.0,35.0,153.0,1503.0,153.0,1503.0,0.0,0.0,17.0,142.0,4.0,0.0,0.0,81.0,0.0,0.0,4.0,81.0,4.0,-4.0,2.0,5.0,0.0,21.0,7.0,39.0,170.0,1645.0,170.0,1644.0,3495.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,167.0,155.0,1478.0,24.0,123.0,24.0,0.0,0.0,122.0,0.0,0.0,24.0,122.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Butte,948.0,962.0,-14.0,1639.0,2587.0,1656.0,838.0,11.0,140.0,1.0,696.0,0.0,41.0,0.0,121.0,931.0,1762.0,13776.0,1763.0,13778.0,-1.0,-2.0,102.0,1388.0,33.0,1.0,0.0,798.0,3.0,3.0,34.0,804.0,-6.0,6.0,10.0,37.0,6.0,101.0,58.0,440.0,1864.0,15164.0,1852.0,15090.0,32523.0,7.0,57.0,10.0,50.0,26.0,4.0,2.0,24.0,97.0,1275.0,1767.0,13889.0,200.0,1167.0,196.0,1.0,1.0,1096.0,6.0,1.0,198.0,1103.0,2.0,0.0,0.0,62.0,2.0,0.0,2.0,64.0,0.0,0.0,
Calaveras,40.0,43.0,-3.0,220.0,260.0,208.0,120.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,8.0,52.0,236.0,2493.0,236.0,2493.0,0.0,0.0,16.0,212.0,3.0,0.0,0.0,117.0,0.0,0.0,3.0,117.0,3.0,-3.0,4.0,5.0,0.0,15.0,6.0,78.0,252.0,2705.0,251.0,2694.0,5477.0,1.0,10.0,1.0,7.0,5.0,0.0,0.0,4.0,15.0,263.0,237.0,2442.0,29.0,206.0,29.0,0.0,0.0,196.0,0.0,0.0,29.0,196.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,
Colusa,29.0,29.0,0.0,62.0,91.0,50.0,18.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,41.0,76.0,474.0,76.0,474.0,0.0,0.0,9.0,45.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,17.0,4.0,6.0,1.0,4.0,1.0,6.0,2.0,12.0,85.0,519.0,84.0,516.0,1352.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,2.0,3.0,49.0,82.0,470.0,10.0,38.0,10.0,0.0,0.0,38.0,0.0,0.0,10.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
