,,This page is not accessible. Please refer to the sheet called 'Data' for an accessible data table.,,,,,,,,,,,,,,,,,,,
,,CALFRESH MONTHLY CASELOAD MOVEMENT,,,,,,,,,,,,,,,,,,,
Statewide,42186.0,STATISTICAL REPORT,,,,,,,,,,,,,,,,,,,
Alameda,42217.0,DFA 296,,,,,,,,,,,,,,,,,,,
Alpine,42248.0,,,,,,,,,,,,,,,,,,,,
Amador,42278.0,Statewide,,,,,,,,,,42522.0,,,,,,,,,
Butte,42309.0,PART A.  APPLICATIONS FOR CALFRESH,,,,,,,,,,,,,,,,,,,
Calaveras,42339.0,1.,Applications pending at the beginning of the month………………………………………………………………………......……………………..…………………………………………………………………………………...…………,,,,,,,,,,,,,,,1,74459.0,,
Colusa,42370.0,,a.  ,"Item 5 from last month's report, as reported to CDSS………………………….……………………..………………………...……………………..……………………………………………………………………………………………",,,,,,,,,,,,,,2,77098.0,,
Contra Costa,42401.0,,b. ,Adjustment (Item 1 minus Item 1a)……………………………………………………………………………………………………….…………………,,,,,,,,,,,,,,3,-2639.0,,
Del Norte,42430.0,2.  ,Applications received during the month……………………………………………...………………………………………………………..………………………………………………………………………………………....,,,,,,,,,,,,,,,4,143774.0,,
El Dorado,42461.0,3.  ,Total applications on hand during the month (Item 1 plus Item 2)…………………………………………………..…………………………………………………………………………….………………………………………,,,,,,,,,,,,,,,5,218233.0,,
Fresno,42491.0,4.  ,"Applications disposed of during the month (Sum of Items 4a, 4b and 4c)……………………………………...……………………………………………………...……………………………………",,,,,,,,,,,,,,,6,138248.0,,
Glenn,42522.0,,a.,Applications approved (Same as Item 7a) ……………………………………………………………………………………………………………………………………………………………………………………………...………………………………………………………………………………..,,,,,,,,,,,,,,7,94170.0,,
Humboldt,,,,,,,,,,,,,,,,,,PACF,,NACF,
Imperial,,,,1),Applications approved in over 30 days (CWD caused) ………………………..……………………………………………………………………………………………………………………………………………………………………………………...…..,,,,,,,,,,,,,8,293.0,9,2122.0
Inyo,,,b.,Applications denied……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………...……………..….,,,,,,,,,,,,,,10,585.0,11.0,37651.0
Kern,,,,1),Applications denied in over 30 days (CWD caused)……………………………………………………………………………………………………………………………………………………………………………………………………………....,,,,,,,,,,,,,12.0,79.0,13.0,1926.0
Kings,,,c.,Applications withdrawn…………………………………………………………………………………….………………………………………………………………………………………………………………………………………………………………...……,,,,,,,,,,,,,,14.0,315.0,15.0,5527.0
Lake,,5.  ,Applications pending at the end of the month (Item 3 minus Item 4)……………………………………………………………………………………………………...…………..…………………………….…………………….……….,,,,,,,,,,,,,,,16.0,79985.0,,
Lassen,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,,,,,,,,,,,PACF,,NACF,
Los Angeles,,6.  ,Cases brought forward at the beginning of the month……………………..………..………………………………………………………………………………………...…………………...………………..,,,,,,,,,,,,,,,17,258598.0,18,1741008.0
Madera,,,a. ,"Item 10 from last month's report, as reported to CDSS…………………………….……………………………………………………………………………………………………………..………..",,,,,,,,,,,,,,19,259616.0,20,1731949.0
Marin,,,b. ,"Adjustment (Item 6 minus Item 6a, positive or negative number, explain in Comments)………………………………………………………………………………….",,,,,,,,,,,,,,21,-1018.0,22,9059.0
Mariposa,,7.  ,"Cases added during the month (Sum of Items 7a, 7b, 7c, 7d and 7e)……………………………………………………………………………………………..",,,,,,,,,,,,,,,23,10446.0,24,138688.0
Mendocino,,,,,,PACF,,,,,,NACF,,,,,,,,,
Merced,,,,,,Federal,,Fed/State,,State,,Federal,,Fed/State,,State,,,,,
Modoc,,,a.,Applications approved………………………………………………………………………………………………………………………………………………………………………………………………………………………...…………..,,25.0,6291.0,26.0,153.0,27.0,14.0,28.0,85936.0,29.0,995.0,30.0,781.0,31,6458.0,32,87712.0
Mono,,,b.,Change in assistance status from PACF or NACF………………………………...…………………………………………………………………………….,,,,,,,,,,,,,,33,-3672.0,34,3672.0
Riverside,,,c.  ,Inter-County Transfers …………………………………………………………………………………………………….,,,,,,,,,,,,,,35,551.0,36,1901.0
Sacramento,,,d.,Cases with eligibility reinstated and benefits pro-rated during month………………………………………………………………………………..,,,,,,,,,,,,,,37.0,1114.0,38.0,7156.0
San Benito,,,e.,Other approvals………………………………………………………………………………………………………………………………………………………………………………………………….……………..….,,,,,,,,,,,,,,39.0,5995.0,40.0,38247.0
San Bernardino,,8.  ,Total cases open during the month (Certified eligible to participate during the month),,,,,,,,,,,,,,,,,,
San Diego,,,"(Item 6 plus Item 7; also sum of 8a, 8b and 8c)…………………………………………………………………………………………...…………………………………….………………………………..",,,,,,,,,,,,,,,41.0,269044.0,42.0,1879696.0
