,PART A.  APPLICATIONS FOR CALFRESH ,,,,,,PART A.  APPLICATIONS FOR CALFRESH ,,,,,,PART A.  APPLICATIONS FOR CALFRESH ,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,CDSS Use Only
,,,,,,,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,Federal Persons,State Persons Singles,State Persons Families,PACF,NACF,State Persons Singles,State Persons Families,PACF,NACF,PACF,NACF,PACF,NACF,PACF,NACF,"PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State","PACF
Total","NACF
Total","PACF
Federal","PACF
Fed/State
","PACF
State","NACF
Federal","NACF
Fed/State","NACF
State",PACF,NACF,PACF,NACF,16874846.0
,1. Applications pending at the beginning of the month,"1a. Item 5 from last month's report, as reported to CDSS",1b. Adjustment,2. Applications received during the month,3. Total applications on hand during the month,4. Applications disposed of during the month,4a. Applications approved (Same as Item 7a) ,4a1) Applications approved in over 30 days (CWD caused) ,4a1) Applications approved in over 30 days (CWD caused) ,4b. Applications denied ,4b. Applications denied,4b1) Applications denied in over 30 days (CWD caused),4b1) Applications denied in over 30 days (CWD caused),4c. Applications withdrawn ,4c. Applications withdrawn ,5. Applications pending at the end of the month,6. Cases brought forward at the beginning of the month,6. Cases brought forward at the beginning of the month,"6a. Item 10 from last month's report, as reported to CDSS","6a. Item 10 from last month's report, as reported to CDSS",6b. Adjustment,6b. Adjustment ,7. Cases added during the month,7. Cases added during the month,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7a. Applications approved ,7b. Change in assistance status from PACF or NACF,7b. Change in assistance status from PACF or NACF,7c. Inter-County Transfers,7c. Inter-County Transfers,7d. Cases with eligibility reinstated and benefits pro-rated during month,7d. Cases with eligibility reinstated and benefits pro-rated during month,7e. Other approvals,7e. Other approvals,"8. Total cases open during the month
",8. Total cases open during the month,8a. Pure federal cases,8a. Pure federal cases,8a1) Federal persons in Item 8a cases plus federal persons in Item 8b cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8b. Federal/State combined cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,8c. Pure state cases,9. Cases terminated during the month,9. Cases terminated during the month,"10. Cases brought forward
at the end of the month
","10. Cases brought forward 
at the end of the month 
",11. Recertifications disposed of during the month,11. Recertifications disposed of during the month,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11a. Determined continuing eligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,11b. Determined ineligible,12. Overdue recertifications (CWD caused) during the month,12. Overdue recertifications (CWD caused) during the month,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,
Statewide,79285.0,86274.0,-6989.0,159167.0,238452.0,151222.0,95481.0,310.0,2560.0,1849.0,46380.0,222.0,3337.0,798.0,6714.0,87230.0,268404.0,1739208.0,267327.0,1735305.0,1077.0,3903.0,13762.0,150768.0,6523.0,126.0,20.0,86924.0,1114.0,774.0,6669.0,88812.0,-2095.0,2408.0,594.0,1903.0,1771.0,7201.0,6823.0,50444.0,282166.0,1889976.0,277285.0,1856740.0,4502827.0,3273.0,31825.0,4703.0,22118.0,14375.0,709.0,178.0,11118.0,16627.0,156283.0,265539.0,1733693.0,22333.0,114739.0,21294.0,358.0,14.0,106698.0,1323.0,431.0,21666.0,108452.0,649.0,17.0,1.0,6114.0,125.0,48.0,667.0,6287.0,395.0,1743.0,
Alameda,3501.0,2999.0,502.0,3372.0,6873.0,3876.0,2512.0,14.0,347.0,0.0,1243.0,0.0,222.0,0.0,121.0,2997.0,7882.0,54685.0,7792.0,53411.0,90.0,1274.0,277.0,5002.0,184.0,8.0,0.0,2224.0,55.0,41.0,192.0,2320.0,-261.0,261.0,15.0,81.0,44.0,318.0,287.0,2022.0,8159.0,59687.0,7920.0,57690.0,132716.0,165.0,1934.0,236.0,1342.0,902.0,22.0,3.0,655.0,521.0,5257.0,7638.0,54430.0,421.0,2434.0,398.0,19.0,0.0,2303.0,59.0,13.0,417.0,2375.0,4.0,0.0,0.0,54.0,3.0,2.0,4.0,59.0,0.0,0.0,
Alpine,0.0,0.0,0.0,6.0,6.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,93.0,2.0,93.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,97.0,3.0,97.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,94.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,54.0,54.0,0.0,137.0,191.0,143.0,79.0,0.0,2.0,1.0,53.0,0.0,2.0,0.0,10.0,48.0,166.0,1500.0,166.0,1500.0,0.0,0.0,1.0,146.0,3.0,0.0,0.0,76.0,0.0,0.0,3.0,76.0,-9.0,9.0,0.0,4.0,2.0,14.0,5.0,43.0,167.0,1646.0,167.0,1643.0,3466.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,14.0,143.0,153.0,1503.0,15.0,144.0,15.0,0.0,0.0,143.0,0.0,0.0,15.0,143.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Butte,853.0,862.0,-9.0,1632.0,2485.0,1523.0,810.0,10.0,84.0,1.0,617.0,0.0,64.0,0.0,95.0,962.0,1813.0,13629.0,1813.0,13629.0,0.0,0.0,58.0,1451.0,29.0,1.0,0.0,772.0,5.0,3.0,30.0,780.0,-42.0,42.0,10.0,49.0,12.0,80.0,48.0,500.0,1871.0,15080.0,1861.0,15003.0,32532.0,8.0,56.0,8.0,52.0,29.0,3.0,2.0,25.0,108.0,1302.0,1763.0,13778.0,182.0,1250.0,180.0,0.0,0.0,1181.0,4.0,1.0,180.0,1186.0,2.0,0.0,0.0,64.0,0.0,0.0,2.0,64.0,0.0,0.0,
Calaveras,59.0,64.0,-5.0,161.0,220.0,177.0,111.0,0.0,1.0,0.0,61.0,0.0,1.0,0.0,5.0,43.0,253.0,2486.0,253.0,2486.0,0.0,0.0,-1.0,206.0,4.0,0.0,0.0,107.0,0.0,0.0,4.0,107.0,-14.0,14.0,5.0,6.0,0.0,25.0,4.0,54.0,252.0,2692.0,251.0,2681.0,5469.0,1.0,10.0,1.0,7.0,5.0,0.0,0.0,4.0,16.0,199.0,236.0,2493.0,17.0,180.0,17.0,0.0,0.0,178.0,0.0,0.0,17.0,178.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
Colusa,36.0,36.0,0.0,69.0,105.0,76.0,23.0,0.0,2.0,1.0,43.0,0.0,0.0,0.0,9.0,29.0,84.0,498.0,84.0,498.0,0.0,0.0,11.0,54.0,1.0,0.0,0.0,22.0,0.0,0.0,1.0,22.0,8.0,13.0,0.0,4.0,2.0,4.0,0.0,11.0,95.0,552.0,93.0,551.0,1456.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,19.0,78.0,76.0,474.0,10.0,39.0,8.0,1.0,0.0,38.0,0.0,0.0,9.0,38.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,
