county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
Colusa,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2002,SEP,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3.0,2002-09-01
Santa Cruz,\N,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,\N,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,\N,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0,2002,SEP,13.0,17.0,21.0,25.0,\N,31.0,35.0,41.0,43.0,45.0,51.0,55.0,59.0,63.0,67.0,77.0,85.0,89.0,93.0,97.0,103.0,105.0,107.0,113.0,119.0,121.0,123.0,129.0,133.0,3.0,2002-09-01
California,-3798.0,38357.0,87352.0,125709.0,83909.0,50559.0,356.0,824.0,5309.0,21405.0,76.0,421.0,1546.0,5090.0,41800.0,7258.0,306775.0,29670.0,12895.0,825.0,98.0,33743.0,1741.0,1257.0,13818.0,6537.0,9315.0,336445.0,307471.0,1820537.0,5737.0,64580.0,27671.0,17399.0,5875.0,1303.0,36325.0,300120.0,1585.0,326902.0,54416.0,36741.0,5020.0,12655.0,381318.0,334985.0,29990.0,16343.0,64774.0,316544.0,24310.0,21070.0,2170.0,111.0,17976.0,2228.0,990.0,23351.0,865.0,89.0,5.0,2804.0,226.0,85.0,959.0,447.0,24309.0,21194.0,3115.0,324.0,2002,SEP,1180.0,26714.0,497.0,6636.0,8843.0,633677.0,84086.0,46638.0,2566.0,1355.0,50559.0,11557.0,21970.0,717763.0,642456.0,57661.0,17646.0,101099.0,616664.0,48619.0,39046.0,4398.0,1101.0,44545.0,3669.0,315.0,90.0,4074.0,771.0,3.0,2002-09-01
Alameda,\N,1286.0,2886.0,4172.0,2908.0,1617.0,21.0,17.0,8.0,1052.0,0.0,2.0,0.0,231.0,1264.0,\N,12316.0,1450.0,673.0,12.0,7.0,903.0,11.0,11.0,692.0,58.0,700.0,13766.0,13528.0,51874.0,64.0,266.0,238.0,292.0,0.0,0.0,1678.0,12088.0,\N,5637.0,1412.0,925.0,36.0,451.0,7049.0,6735.0,87.0,227.0,1515.0,5534.0,735.0,687.0,48.0,0.0,272.0,11.0,8.0,735.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,309.0,291.0,18.0,1.0,2002,SEP,38.0,1060.0,2.0,231.0,\N,17953.0,2862.0,1576.0,23.0,18.0,1617.0,94.0,1151.0,20815.0,20263.0,325.0,227.0,3193.0,17622.0,1044.0,959.0,59.0,8.0,1026.0,17.0,0.0,1.0,18.0,1.0,3.0,2002-09-01
Alpine,\N,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,\N,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,17.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,\N,16.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002,SEP,0.0,0.0,0.0,0.0,\N,32.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,33.0,33.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2002-09-01
Amador,\N,46.0,81.0,127.0,86.0,57.0,0.0,5.0,0.0,20.0,0.0,1.0,0.0,9.0,41.0,\N,109.0,50.0,9.0,0.0,0.0,48.0,0.0,0.0,9.0,31.0,10.0,159.0,157.0,860.0,0.0,2.0,2.0,0.0,0.0,0.0,39.0,120.0,\N,224.0,83.0,48.0,21.0,14.0,307.0,307.0,0.0,0.0,84.0,223.0,10.0,8.0,0.0,0.0,23.0,0.0,0.0,8.0,2.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,35.0,23.0,12.0,0.0,2002,SEP,5.0,20.0,1.0,9.0,\N,333.0,133.0,57.0,0.0,0.0,57.0,52.0,24.0,466.0,464.0,2.0,0.0,123.0,343.0,45.0,31.0,0.0,0.0,31.0,14.0,0.0,0.0,14.0,0.0,3.0,2002-09-01
Butte,-23.0,309.0,770.0,1079.0,732.0,397.0,13.0,54.0,34.0,201.0,3.0,63.0,44.0,56.0,347.0,87.0,2557.0,443.0,88.0,2.0,0.0,306.0,1.0,0.0,90.0,233.0,120.0,3000.0,2971.0,15982.0,0.0,32.0,28.0,1.0,3.0,1.0,367.0,2633.0,74.0,3596.0,574.0,307.0,132.0,135.0,4170.0,4135.0,30.0,5.0,796.0,3374.0,155.0,144.0,3.0,0.0,179.0,1.0,0.0,147.0,8.0,0.0,0.0,53.0,0.0,0.0,8.0,11.0,233.0,180.0,53.0,17.0,2002,SEP,67.0,235.0,66.0,100.0,161.0,6153.0,1017.0,394.0,3.0,0.0,397.0,365.0,255.0,7170.0,7106.0,58.0,6.0,1163.0,6007.0,388.0,323.0,4.0,0.0,327.0,61.0,0.0,0.0,61.0,28.0,3.0,2002-09-01
Calaveras,\N,57.0,105.0,162.0,106.0,56.0,3.0,8.0,6.0,25.0,1.0,3.0,5.0,14.0,56.0,\N,167.0,39.0,14.0,0.0,0.0,42.0,0.0,0.0,14.0,20.0,5.0,206.0,206.0,1395.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,155.0,\N,365.0,88.0,42.0,27.0,19.0,453.0,453.0,0.0,0.0,97.0,356.0,13.0,11.0,0.0,0.0,27.0,0.0,0.0,11.0,2.0,0.0,0.0,17.0,0.0,0.0,2.0,1.0,44.0,27.0,17.0,2.0,2002,SEP,11.0,31.0,4.0,19.0,\N,532.0,127.0,56.0,0.0,0.0,56.0,47.0,24.0,659.0,659.0,0.0,0.0,148.0,511.0,57.0,38.0,0.0,0.0,38.0,19.0,0.0,0.0,19.0,3.0,3.0,2002-09-01
Colusa,-1.0,19.0,42.0,61.0,47.0,27.0,0.0,0.0,4.0,10.0,0.0,1.0,4.0,2.0,14.0,\N,82.0,32.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,27.0,4.0,114.0,106.0,1113.0,0.0,48.0,8.0,6.0,6.0,0.0,37.0,77.0,\N,245.0,71.0,26.0,25.0,20.0,316.0,278.0,30.0,8.0,75.0,241.0,2.0,2.0,0.0,0.0,22.0,1.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,38.0,23.0,15.0,0.0,2002,SEP,0.0,14.0,1.0,6.0,\N,327.0,103.0,27.0,0.0,0.0,27.0,52.0,24.0,430.0,384.0,38.0,8.0,112.0,318.0,40.0,24.0,1.0,0.0,25.0,15.0,0.0,0.0,15.0,0.0,3.0,2002-09-01
Contra Costa,\N,445.0,1698.0,2143.0,1561.0,758.0,0.0,0.0,6.0,666.0,0.0,0.0,0.0,131.0,582.0,83.0,4351.0,669.0,323.0,5.0,5.0,406.0,12.0,7.0,333.0,18.0,318.0,5020.0,4708.0,19628.0,4.0,480.0,304.0,112.0,21.0,8.0,897.0,4123.0,\N,2971.0,748.0,425.0,25.0,298.0,3719.0,3553.0,79.0,87.0,921.0,2798.0,272.0,269.0,3.0,0.0,133.0,20.0,6.0,272.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,181.0,159.0,22.0,0.0,2002,SEP,0.0,672.0,0.0,131.0,\N,7322.0,1417.0,729.0,17.0,12.0,758.0,43.0,616.0,8739.0,8261.0,383.0,95.0,1818.0,6921.0,453.0,402.0,23.0,6.0,431.0,21.0,0.0,1.0,22.0,0.0,3.0,2002-09-01
