county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-1864.0,40546.0,81342.0,121888.0,83472.0,52149.0,295.0,931.0,4572.0,20950.0,52.0,399.0,1333.0,4468.0,38416.0,-228.0,278967.0,26980.0,12378.0,188.0,33.0,38524.0,599.0,427.0,12599.0,4795.0,9586.0,305947.0,300925.0,1720428.0,792.0,12752.0,4709.0,5286.0,1073.0,313.0,33401.0,272546.0,7113.0,386249.0,58682.0,39550.0,5061.0,14071.0,444931.0,432910.0,7342.0,4679.0,63107.0,381824.0,18790.0,17959.0,226.0,27.0,21408.0,400.0,290.0,18212.0,571.0,6.0,1.0,2928.0,23.0,53.0,578.0,450.0,25102.0,22098.0,3004.0,487.0,2004,FEB,1226.0,25522.0,451.0,5801.0,6885.0,665216.0,85662.0,50902.0,787.0,460.0,52149.0,9856.0,23657.0,750878.0,733835.0,12051.0,4992.0,96508.0,654370.0,43892.0,39367.0,626.0,317.0,40310.0,3499.0,29.0,54.0,3582.0,937.0,1.0,2004-02-01
Alameda,,1374.0,3013.0,4387.0,2941.0,1793.0,21.0,5.0,18.0,908.0,0.0,0.0,1.0,221.0,1446.0,,12400.0,1584.0,673.0,3.0,3.0,1101.0,7.0,6.0,679.0,41.0,864.0,13984.0,13931.0,60178.0,71.0,54.0,53.0,234.0,0.0,0.0,1702.0,12282.0,,7993.0,1818.0,1114.0,33.0,671.0,9811.0,9576.0,67.0,168.0,1930.0,7881.0,728.0,714.0,14.0,0.0,386.0,6.0,9.0,728.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,418.0,401.0,17.0,2.0,2004,FEB,26.0,926.0,0.0,222.0,,20393.0,3402.0,1774.0,10.0,9.0,1793.0,74.0,1535.0,23795.0,23507.0,120.0,168.0,3632.0,20163.0,1146.0,1100.0,20.0,9.0,1129.0,17.0,0.0,0.0,17.0,6.0,1.0,2004-02-01
Alpine,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,10.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,24.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,FEB,0.0,0.0,0.0,0.0,,32.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,34.0,34.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2004-02-01
Amador,-1.0,37.0,65.0,102.0,70.0,39.0,1.0,2.0,1.0,22.0,1.0,3.0,0.0,8.0,32.0,,120.0,38.0,5.0,0.0,0.0,34.0,0.0,0.0,5.0,18.0,15.0,158.0,158.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,123.0,,252.0,83.0,34.0,20.0,29.0,335.0,335.0,0.0,0.0,91.0,244.0,7.0,7.0,0.0,0.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,27.0,17.0,10.0,2.0,2004,FEB,3.0,23.0,4.0,8.0,,372.0,121.0,39.0,0.0,0.0,39.0,38.0,44.0,493.0,493.0,0.0,0.0,126.0,367.0,34.0,24.0,0.0,0.0,24.0,10.0,0.0,0.0,10.0,2.0,1.0,2004-02-01
Butte,,356.0,792.0,1148.0,767.0,424.0,11.0,78.0,48.0,243.0,10.0,75.0,8.0,44.0,381.0,,2274.0,307.0,67.0,1.0,0.0,351.0,4.0,1.0,68.0,133.0,106.0,2581.0,2567.0,16789.0,0.0,11.0,14.0,4.0,0.0,0.0,427.0,2154.0,,4318.0,732.0,356.0,144.0,232.0,5050.0,5026.0,15.0,9.0,705.0,4345.0,126.0,115.0,1.0,0.0,249.0,2.0,2.0,116.0,10.0,0.0,0.0,91.0,0.0,0.0,10.0,20.0,344.0,253.0,91.0,56.0,2004,FEB,89.0,291.0,85.0,52.0,,6592.0,1039.0,418.0,5.0,1.0,424.0,277.0,338.0,7631.0,7593.0,29.0,9.0,1132.0,6499.0,470.0,364.0,3.0,2.0,369.0,101.0,0.0,0.0,101.0,76.0,1.0,2004-02-01
Calaveras,,78.0,117.0,195.0,133.0,84.0,4.0,8.0,6.0,31.0,0.0,10.0,3.0,9.0,62.0,,182.0,46.0,16.0,0.0,0.0,68.0,0.0,0.0,16.0,27.0,3.0,228.0,227.0,1530.0,0.0,0.0,0.0,1.0,0.0,1.0,33.0,195.0,,403.0,113.0,68.0,17.0,28.0,516.0,516.0,0.0,0.0,96.0,420.0,9.0,8.0,0.0,0.0,40.0,0.0,0.0,8.0,1.0,0.0,0.0,25.0,0.0,0.0,1.0,1.0,65.0,40.0,25.0,9.0,2004,FEB,12.0,37.0,10.0,12.0,,585.0,159.0,84.0,0.0,0.0,84.0,44.0,31.0,744.0,743.0,0.0,1.0,129.0,615.0,74.0,48.0,0.0,0.0,48.0,26.0,0.0,0.0,26.0,10.0,1.0,2004-02-01
Colusa,-1.0,31.0,61.0,92.0,61.0,40.0,0.0,0.0,2.0,15.0,0.0,1.0,3.0,1.0,31.0,,65.0,19.0,2.0,0.0,0.0,37.0,1.0,0.0,2.0,11.0,6.0,84.0,84.0,1242.0,0.0,10.0,0.0,1.0,2.0,0.0,21.0,63.0,,323.0,67.0,38.0,15.0,14.0,390.0,378.0,10.0,2.0,56.0,334.0,6.0,4.0,1.0,0.0,22.0,1.0,0.0,5.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,34.0,23.0,11.0,0.0,2004,FEB,0.0,17.0,1.0,4.0,,388.0,86.0,39.0,1.0,0.0,40.0,26.0,20.0,474.0,462.0,10.0,2.0,77.0,397.0,40.0,26.0,2.0,0.0,28.0,12.0,0.0,0.0,12.0,0.0,1.0,2004-02-01
Contra Costa,,442.0,1623.0,2065.0,1680.0,992.0,0.0,0.0,4.0,604.0,0.0,0.0,0.0,80.0,385.0,86.0,4534.0,813.0,316.0,2.0,0.0,658.0,6.0,10.0,318.0,45.0,450.0,5347.0,5024.0,19498.0,7.0,504.0,313.0,93.0,31.0,10.0,947.0,4400.0,6.0,3730.0,1143.0,674.0,40.0,429.0,4873.0,4715.0,85.0,73.0,1124.0,3749.0,310.0,306.0,4.0,0.0,260.0,6.0,7.0,310.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,292.0,273.0,19.0,1.0,2004,FEB,0.0,608.0,0.0,80.0,92.0,8264.0,1956.0,974.0,8.0,10.0,992.0,85.0,879.0,10220.0,9739.0,398.0,83.0,2071.0,8149.0,602.0,566.0,10.0,7.0,583.0,19.0,0.0,0.0,19.0,2.0,1.0,2004-02-01
Del Norte,,37.0,133.0,170.0,140.0,94.0,0.0,2.0,5.0,28.0,0.0,0.0,2.0,11.0,30.0,,476.0,97.0,23.0,0.0,0.0,71.0,0.0,0.0,23.0,41.0,33.0,573.0,571.0,3402.0,0.0,6.0,2.0,0.0,1.0,0.0,119.0,454.0,,810.0,189.0,71.0,46.0,72.0,999.0,994.0,4.0,1.0,195.0,804.0,20.0,18.0,0.0,0.0,44.0,0.0,0.0,18.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,2.0,53.0,44.0,9.0,2.0,2004,FEB,2.0,33.0,0.0,13.0,,1286.0,286.0,94.0,0.0,0.0,94.0,87.0,105.0,1572.0,1565.0,6.0,1.0,314.0,1258.0,73.0,62.0,0.0,0.0,62.0,11.0,0.0,0.0,11.0,4.0,1.0,2004-02-01
El Dorado,-6.0,183.0,330.0,513.0,354.0,203.0,6.0,18.0,22.0,90.0,3.0,6.0,11.0,28.0,159.0,,541.0,139.0,38.0,0.0,0.0,165.0,0.0,0.0,38.0,58.0,43.0,680.0,634.0,3836.0,0.0,13.0,46.0,0.0,6.0,0.0,155.0,525.0,,946.0,306.0,165.0,52.0,89.0,1252.0,1198.0,48.0,6.0,295.0,957.0,31.0,29.0,0.0,0.0,72.0,0.0,0.0,29.0,2.0,0.0,0.0,37.0,0.0,0.0,2.0,0.0,109.0,72.0,37.0,1.0,2004,FEB,24.0,112.0,9.0,39.0,,1487.0,445.0,203.0,0.0,0.0,203.0,110.0,132.0,1932.0,1832.0,94.0,6.0,450.0,1482.0,140.0,101.0,0.0,0.0,101.0,39.0,0.0,0.0,39.0,1.0,1.0,2004-02-01
