county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-3097.0,35319.0,98076.0,133395.0,97434.0,61578.0,324.0,919.0,5140.0,24098.0,55.0,389.0,1528.0,5090.0,35961.0,1572.0,274118.0,35369.0,14853.0,237.0,43.0,45327.0,673.0,445.0,15133.0,7036.0,13200.0,309487.0,304562.0,1860628.0,874.0,12601.0,4724.0,5057.0,971.0,201.0,32933.0,276554.0,4455.0,386279.0,72553.0,46445.0,5739.0,20369.0,458832.0,446729.0,7576.0,4527.0,68842.0,389990.0,22001.0,20919.0,271.0,23.0,24318.0,443.0,360.0,21213.0,778.0,10.0,0.0,3507.0,27.0,57.0,788.0,491.0,28712.0,25121.0,3591.0,553.0,2004,MAR,1243.0,29238.0,444.0,6618.0,6027.0,660397.0,107922.0,60180.0,910.0,488.0,61578.0,12775.0,33569.0,768319.0,751291.0,12300.0,4728.0,101775.0,666544.0,50713.0,45237.0,714.0,383.0,46334.0,4285.0,37.0,57.0,4379.0,1044.0,1.0,2004-03-01
Alameda,,1446.0,3759.0,5205.0,3911.0,2410.0,33.0,11.0,16.0,1180.0,0.0,0.0,0.0,305.0,1294.0,,12282.0,2059.0,986.0,10.0,11.0,1379.0,11.0,13.0,1007.0,48.0,1004.0,14341.0,14279.0,61903.0,80.0,63.0,62.0,136.0,0.0,0.0,1232.0,13109.0,,7881.0,2198.0,1403.0,49.0,746.0,10079.0,9902.0,72.0,105.0,1900.0,8179.0,947.0,929.0,18.0,0.0,453.0,7.0,5.0,947.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,485.0,465.0,20.0,5.0,2004,MAR,44.0,1196.0,0.0,305.0,,20163.0,4257.0,2365.0,21.0,24.0,2410.0,97.0,1750.0,24420.0,24181.0,134.0,105.0,3132.0,21288.0,1432.0,1382.0,25.0,5.0,1412.0,20.0,0.0,0.0,20.0,7.0,1.0,2004-03-01
Alpine,,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,,22.0,4.0,4.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2004,MAR,0.0,0.0,0.0,0.0,,32.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,36.0,36.0,0.0,0.0,1.0,35.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2004-03-01
Amador,,32.0,101.0,133.0,90.0,56.0,0.0,3.0,0.0,26.0,0.0,5.0,0.0,8.0,43.0,,123.0,32.0,3.0,0.0,0.0,53.0,0.0,0.0,3.0,14.0,15.0,155.0,155.0,990.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,108.0,,244.0,94.0,53.0,20.0,21.0,338.0,337.0,1.0,0.0,80.0,258.0,6.0,5.0,0.0,0.0,19.0,0.0,0.0,5.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,30.0,19.0,11.0,0.0,2004,MAR,3.0,26.0,5.0,8.0,,367.0,126.0,56.0,0.0,0.0,56.0,34.0,36.0,493.0,492.0,1.0,0.0,127.0,366.0,36.0,24.0,0.0,0.0,24.0,12.0,0.0,0.0,12.0,0.0,1.0,2004-03-01
Butte,,381.0,851.0,1232.0,880.0,508.0,17.0,96.0,59.0,252.0,16.0,66.0,15.0,46.0,352.0,,2154.0,499.0,87.0,2.0,0.0,417.0,1.0,1.0,89.0,235.0,175.0,2653.0,2647.0,16341.0,0.0,10.0,6.0,0.0,2.0,0.0,363.0,2290.0,,4345.0,829.0,419.0,144.0,266.0,5174.0,5162.0,9.0,3.0,828.0,4346.0,138.0,127.0,0.0,0.0,314.0,1.0,0.0,127.0,11.0,0.0,0.0,103.0,0.0,0.0,11.0,20.0,418.0,315.0,103.0,48.0,2004,MAR,113.0,311.0,82.0,61.0,,6499.0,1328.0,504.0,3.0,1.0,508.0,379.0,441.0,7827.0,7809.0,15.0,3.0,1191.0,6636.0,556.0,441.0,1.0,0.0,442.0,114.0,0.0,0.0,114.0,68.0,1.0,2004-03-01
Calaveras,,62.0,112.0,174.0,117.0,73.0,4.0,10.0,6.0,29.0,2.0,9.0,2.0,7.0,57.0,,195.0,44.0,16.0,0.0,0.0,57.0,0.0,0.0,16.0,19.0,9.0,239.0,238.0,1592.0,0.0,0.0,0.0,1.0,0.0,1.0,41.0,198.0,,420.0,98.0,57.0,9.0,32.0,518.0,518.0,0.0,0.0,85.0,433.0,10.0,9.0,0.0,0.0,22.0,0.0,0.0,9.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,37.0,22.0,15.0,2.0,2004,MAR,14.0,35.0,11.0,9.0,,615.0,142.0,73.0,0.0,0.0,73.0,28.0,41.0,757.0,756.0,0.0,1.0,126.0,631.0,47.0,31.0,0.0,0.0,31.0,16.0,0.0,0.0,16.0,2.0,1.0,2004-03-01
Colusa,,31.0,52.0,83.0,66.0,39.0,0.0,1.0,3.0,19.0,0.0,0.0,2.0,3.0,17.0,,63.0,41.0,5.0,0.0,0.0,34.0,0.0,0.0,5.0,31.0,5.0,104.0,102.0,1362.0,0.0,12.0,2.0,1.0,2.0,0.0,31.0,73.0,,334.0,79.0,34.0,26.0,19.0,413.0,401.0,10.0,2.0,71.0,342.0,6.0,5.0,0.0,0.0,21.0,0.0,1.0,5.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,40.0,22.0,18.0,0.0,2004,MAR,1.0,22.0,0.0,5.0,,397.0,120.0,39.0,0.0,0.0,39.0,57.0,24.0,517.0,503.0,12.0,2.0,102.0,415.0,46.0,26.0,0.0,1.0,27.0,19.0,0.0,0.0,19.0,0.0,1.0,2004-03-01
Contra Costa,,385.0,2116.0,2501.0,2105.0,1333.0,0.0,0.0,4.0,663.0,0.0,0.0,0.0,105.0,396.0,72.0,4472.0,955.0,417.0,1.0,2.0,899.0,7.0,7.0,420.0,49.0,486.0,5427.0,5291.0,24620.0,9.0,200.0,134.0,26.0,10.0,2.0,800.0,4627.0,22.0,3771.0,1535.0,913.0,56.0,566.0,5306.0,5229.0,52.0,25.0,1133.0,4173.0,392.0,390.0,1.0,0.0,289.0,4.0,1.0,391.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,313.0,294.0,19.0,0.0,2004,MAR,0.0,667.0,0.0,105.0,94.0,8243.0,2490.0,1316.0,8.0,9.0,1333.0,105.0,1052.0,10733.0,10520.0,186.0,27.0,1933.0,8800.0,705.0,679.0,5.0,1.0,685.0,20.0,0.0,0.0,20.0,0.0,1.0,2004-03-01
Del Norte,,30.0,164.0,194.0,154.0,110.0,0.0,0.0,4.0,29.0,0.0,1.0,1.0,10.0,40.0,,454.0,172.0,28.0,0.0,0.0,81.0,0.0,1.0,28.0,76.0,68.0,626.0,625.0,3494.0,0.0,4.0,1.0,0.0,2.0,0.0,148.0,478.0,,804.0,259.0,82.0,75.0,102.0,1063.0,1058.0,3.0,2.0,252.0,811.0,24.0,22.0,0.0,0.0,71.0,0.0,0.0,22.0,2.0,0.0,0.0,18.0,0.0,0.0,2.0,3.0,89.0,71.0,18.0,5.0,2004,MAR,0.0,33.0,1.0,11.0,,1258.0,431.0,109.0,0.0,1.0,110.0,151.0,170.0,1689.0,1683.0,4.0,2.0,400.0,1289.0,113.0,93.0,0.0,0.0,93.0,20.0,0.0,0.0,20.0,8.0,1.0,2004-03-01
El Dorado,-2.0,157.0,368.0,525.0,372.0,195.0,5.0,29.0,23.0,104.0,0.0,5.0,10.0,40.0,153.0,,525.0,184.0,35.0,1.0,0.0,157.0,2.0,0.0,36.0,79.0,69.0,709.0,643.0,4030.0,0.0,8.0,66.0,0.0,5.0,0.0,168.0,541.0,,957.0,353.0,159.0,85.0,109.0,1310.0,1232.0,73.0,5.0,332.0,978.0,32.0,30.0,0.0,0.0,83.0,0.0,0.0,30.0,2.0,0.0,0.0,45.0,0.0,0.0,2.0,0.0,128.0,83.0,45.0,0.0,2004,MAR,34.0,127.0,5.0,50.0,,1482.0,537.0,192.0,3.0,0.0,195.0,164.0,178.0,2019.0,1875.0,139.0,5.0,500.0,1519.0,160.0,113.0,0.0,0.0,113.0,47.0,0.0,0.0,47.0,0.0,1.0,2004-03-01
