county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-869.0,39526.0,84255.0,123781.0,80634.0,50044.0,300.0,805.0,4678.0,20134.0,60.0,329.0,1392.0,4386.0,43147.0,5947.0,282205.0,26822.0,12509.0,211.0,43.0,36334.0,586.0,361.0,12763.0,4690.0,9369.0,309027.0,304155.0,1802254.0,666.0,13040.0,4652.0,5205.0,1057.0,220.0,37227.0,271800.0,3591.0,370932.0,56495.0,37281.0,5654.0,13560.0,427427.0,415182.0,7754.0,4491.0,63226.0,364201.0,18043.0,17208.0,241.0,30.0,19783.0,437.0,191.0,17479.0,553.0,11.0,0.0,2824.0,37.0,21.0,564.0,455.0,23293.0,20411.0,2882.0,386.0,2003,NOV,1105.0,24812.0,389.0,5778.0,9538.0,653137.0,83317.0,48843.0,797.0,404.0,50044.0,10344.0,22929.0,736454.0,719337.0,12406.0,4711.0,100453.0,636001.0,41336.0,36991.0,678.0,221.0,37890.0,3377.0,48.0,21.0,3446.0,841.0,4.0,2003-11-01
Alameda,\N,1300.0,2893.0,4193.0,2752.0,1700.0,11.0,10.0,13.0,829.0,0.0,0.0,0.0,210.0,1441.0,\N,12516.0,1355.0,618.0,6.0,10.0,1051.0,3.0,12.0,634.0,21.0,700.0,13871.0,13809.0,58998.0,62.0,64.0,62.0,136.0,0.0,0.0,2339.0,11532.0,\N,7765.0,1636.0,1066.0,28.0,542.0,9401.0,9237.0,59.0,105.0,1914.0,7487.0,638.0,629.0,9.0,0.0,312.0,8.0,6.0,638.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,340.0,326.0,14.0,0.0,2003,NOV,21.0,842.0,0.0,210.0,\N,20281.0,2991.0,1669.0,9.0,22.0,1700.0,49.0,1242.0,23272.0,23046.0,121.0,105.0,4253.0,19019.0,978.0,941.0,17.0,6.0,964.0,14.0,0.0,0.0,14.0,0.0,4.0,2003-11-01
Alpine,\N,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,\N,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,\N,24.0,1.0,1.0,0.0,0.0,25.0,25.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,NOV,0.0,0.0,0.0,0.0,\N,29.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2003-11-01
Amador,\N,43.0,74.0,117.0,90.0,61.0,1.0,8.0,1.0,25.0,1.0,8.0,0.0,3.0,27.0,\N,134.0,33.0,7.0,0.0,0.0,54.0,0.0,0.0,7.0,20.0,6.0,167.0,167.0,952.0,0.0,1.0,0.0,0.0,1.0,0.0,57.0,110.0,\N,239.0,104.0,54.0,25.0,25.0,343.0,341.0,1.0,1.0,91.0,252.0,7.0,6.0,0.0,0.0,11.0,0.0,0.0,6.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0,20.0,11.0,9.0,3.0,2003,NOV,9.0,26.0,9.0,3.0,\N,373.0,137.0,61.0,0.0,0.0,61.0,45.0,31.0,510.0,508.0,1.0,1.0,148.0,362.0,27.0,17.0,0.0,0.0,17.0,10.0,0.0,0.0,10.0,6.0,4.0,2003-11-01
Butte,\N,262.0,658.0,920.0,654.0,377.0,7.0,38.0,32.0,191.0,4.0,35.0,19.0,35.0,266.0,\N,2237.0,275.0,64.0,1.0,0.0,310.0,1.0,1.0,65.0,132.0,78.0,2512.0,2503.0,15845.0,0.0,25.0,9.0,7.0,1.0,0.0,388.0,2124.0,\N,4116.0,576.0,312.0,99.0,165.0,4692.0,4666.0,18.0,8.0,741.0,3951.0,84.0,79.0,0.0,0.0,178.0,1.0,0.0,79.0,5.0,0.0,0.0,67.0,0.0,0.0,5.0,5.0,246.0,179.0,67.0,25.0,2003,NOV,45.0,223.0,39.0,54.0,\N,6353.0,851.0,374.0,2.0,1.0,377.0,231.0,243.0,7204.0,7169.0,27.0,8.0,1129.0,6075.0,330.0,257.0,1.0,0.0,258.0,72.0,0.0,0.0,72.0,30.0,4.0,2003-11-01
Calaveras,\N,111.0,114.0,225.0,132.0,87.0,5.0,19.0,6.0,24.0,1.0,5.0,4.0,11.0,93.0,\N,159.0,41.0,16.0,0.0,0.0,71.0,0.0,0.0,16.0,12.0,13.0,200.0,199.0,1447.0,0.0,0.0,0.0,1.0,4.0,1.0,39.0,161.0,\N,361.0,109.0,71.0,9.0,29.0,470.0,469.0,0.0,1.0,92.0,378.0,9.0,6.0,0.0,0.0,30.0,0.0,0.0,6.0,3.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,42.0,30.0,12.0,3.0,2003,NOV,24.0,30.0,6.0,15.0,\N,520.0,150.0,87.0,0.0,0.0,87.0,21.0,42.0,670.0,668.0,0.0,2.0,131.0,539.0,51.0,36.0,0.0,0.0,36.0,15.0,0.0,0.0,15.0,3.0,4.0,2003-11-01
Colusa,-1.0,28.0,77.0,105.0,68.0,45.0,0.0,0.0,5.0,15.0,0.0,2.0,2.0,1.0,37.0,\N,59.0,25.0,10.0,0.0,0.0,35.0,0.0,0.0,10.0,11.0,4.0,84.0,84.0,1028.0,0.0,6.0,0.0,1.0,0.0,0.0,25.0,59.0,\N,242.0,63.0,35.0,15.0,13.0,305.0,299.0,5.0,1.0,61.0,244.0,3.0,3.0,0.0,0.0,20.0,1.0,1.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,39.0,22.0,17.0,0.0,2003,NOV,0.0,20.0,2.0,3.0,\N,301.0,88.0,45.0,0.0,0.0,45.0,26.0,17.0,389.0,383.0,5.0,1.0,86.0,303.0,42.0,23.0,1.0,1.0,25.0,17.0,0.0,0.0,17.0,0.0,4.0,2003-11-01
Contra Costa,\N,577.0,1426.0,2003.0,1482.0,832.0,0.0,1.0,7.0,523.0,0.0,0.0,0.0,120.0,521.0,37.0,4505.0,690.0,319.0,0.0,1.0,502.0,9.0,1.0,320.0,28.0,342.0,5195.0,4872.0,19498.0,7.0,504.0,313.0,93.0,31.0,10.0,1026.0,4169.0,27.0,3572.0,940.0,512.0,33.0,395.0,4512.0,4354.0,85.0,73.0,1139.0,3373.0,284.0,282.0,2.0,0.0,200.0,8.0,1.0,284.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,221.0,209.0,12.0,1.0,2003,NOV,1.0,530.0,0.0,120.0,64.0,8077.0,1630.0,821.0,9.0,2.0,832.0,61.0,737.0,9707.0,9226.0,398.0,83.0,2165.0,7542.0,505.0,482.0,10.0,1.0,493.0,12.0,0.0,0.0,12.0,1.0,4.0,2003-11-01
Del Norte,\N,38.0,151.0,189.0,155.0,114.0,0.0,2.0,5.0,28.0,0.0,5.0,2.0,6.0,34.0,\N,447.0,91.0,25.0,0.0,0.0,88.0,1.0,0.0,25.0,34.0,32.0,538.0,535.0,3490.0,0.0,6.0,3.0,0.0,1.0,0.0,119.0,419.0,\N,742.0,219.0,89.0,43.0,87.0,961.0,957.0,3.0,1.0,209.0,752.0,26.0,25.0,0.0,0.0,43.0,0.0,0.0,25.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,3.0,56.0,43.0,13.0,3.0,2003,NOV,2.0,33.0,5.0,8.0,\N,1189.0,310.0,113.0,1.0,0.0,114.0,77.0,119.0,1499.0,1492.0,6.0,1.0,328.0,1171.0,82.0,68.0,0.0,0.0,68.0,14.0,0.0,0.0,14.0,6.0,4.0,2003-11-01
El Dorado,-6.0,138.0,310.0,448.0,294.0,188.0,5.0,9.0,5.0,80.0,0.0,5.0,4.0,17.0,154.0,\N,489.0,147.0,39.0,0.0,0.0,143.0,1.0,5.0,39.0,60.0,48.0,636.0,586.0,3609.0,0.0,10.0,45.0,5.0,10.0,5.0,161.0,475.0,\N,936.0,326.0,149.0,74.0,103.0,1262.0,1191.0,61.0,10.0,357.0,905.0,26.0,22.0,0.0,0.0,56.0,0.0,0.0,22.0,4.0,0.0,0.0,33.0,0.0,0.0,4.0,0.0,89.0,56.0,33.0,3.0,2003,NOV,14.0,85.0,5.0,21.0,\N,1425.0,473.0,182.0,1.0,5.0,188.0,134.0,151.0,1898.0,1777.0,106.0,15.0,518.0,1380.0,115.0,78.0,0.0,0.0,78.0,37.0,0.0,0.0,37.0,3.0,4.0,2003-11-01
