county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-3045.0,48317.0,95607.0,143924.0,89599.0,52008.0,740.0,2005.0,4439.0,24038.0,159.0,3306.0,1660.0,7454.0,54325.0,2384.0,264010.0,14317.0,9208.0,165.0,88.0,41550.0,600.0,397.0,9461.0,-228.0,5084.0,278327.0,271659.0,1993275.0,972.0,18585.0,5213.0,5523.0,5723.0,1455.0,16879.0,261448.0,-6501.0,491296.0,70802.0,42547.0,11183.0,17072.0,562098.0,548632.0,8924.0,4542.0,69894.0,492204.0,18380.0,17201.0,277.0,115.0,27094.0,446.0,235.0,17593.0,760.0,26.0,1.0,1777.0,65.0,22.0,787.0,31.0,29639.0,27775.0,1864.0,30.0,2006,JUN,2745.0,28477.0,3465.0,9114.0,-4117.0,755306.0,85119.0,50758.0,765.0,485.0,52008.0,10955.0,22156.0,840425.0,820291.0,14137.0,5997.0,86773.0,753652.0,48019.0,44295.0,723.0,350.0,45368.0,2537.0,91.0,23.0,2651.0,61.0,2.0,2006-06-01
Alameda,0.0,3349.0,2925.0,6274.0,2648.0,1496.0,88.0,209.0,70.0,832.0,48.0,331.0,42.0,208.0,3626.0,-1038.0,12541.0,898.0,324.0,7.0,1.0,1145.0,12.0,7.0,332.0,308.0,258.0,13439.0,12973.0,73394.0,47.0,1158.0,320.0,208.0,648.0,146.0,331.0,13108.0,-359.0,17558.0,2472.0,1164.0,580.0,728.0,20030.0,19500.0,315.0,215.0,1781.0,18249.0,892.0,854.0,18.0,7.0,968.0,13.0,11.0,879.0,12.0,1.0,0.0,40.0,0.0,0.0,13.0,1.0,1032.0,992.0,40.0,5.0,2006,JUN,297.0,902.0,379.0,250.0,-1397.0,30099.0,3370.0,1469.0,19.0,8.0,1496.0,888.0,986.0,33469.0,32473.0,635.0,361.0,2112.0,31357.0,1924.0,1822.0,31.0,18.0,1871.0,52.0,1.0,0.0,53.0,6.0,2.0,2006-06-01
Alpine,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,5.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2006,JUN,1.0,0.0,0.0,0.0,0.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,39.0,39.0,0.0,0.0,5.0,34.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2006-06-01
Amador,0.0,35.0,83.0,118.0,79.0,52.0,0.0,1.0,0.0,15.0,0.0,1.0,0.0,12.0,39.0,0.0,138.0,35.0,4.0,0.0,0.0,48.0,0.0,0.0,4.0,27.0,4.0,173.0,173.0,1143.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,141.0,0.0,327.0,112.0,48.0,43.0,21.0,439.0,439.0,0.0,0.0,111.0,328.0,9.0,9.0,0.0,0.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,20.0,17.0,3.0,0.0,2006,JUN,1.0,15.0,1.0,12.0,0.0,465.0,147.0,52.0,0.0,0.0,52.0,70.0,25.0,612.0,612.0,0.0,0.0,143.0,469.0,29.0,26.0,0.0,0.0,26.0,3.0,0.0,0.0,3.0,2.0,2.0,2006-06-01
Butte,0.0,954.0,1009.0,1963.0,919.0,548.0,10.0,35.0,67.0,236.0,10.0,40.0,31.0,37.0,1044.0,0.0,2218.0,180.0,45.0,0.0,0.0,502.0,1.0,0.0,45.0,111.0,24.0,2398.0,2398.0,18400.0,0.0,8.0,0.0,3.0,8.0,0.0,253.0,2145.0,0.0,6994.0,852.0,503.0,165.0,184.0,7846.0,7837.0,7.0,2.0,732.0,7114.0,117.0,117.0,0.0,0.0,186.0,0.0,0.0,117.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,192.0,186.0,6.0,1.0,2006,JUN,45.0,303.0,50.0,68.0,0.0,9212.0,1032.0,547.0,1.0,0.0,548.0,276.0,208.0,10244.0,10235.0,7.0,2.0,985.0,9259.0,309.0,303.0,0.0,0.0,303.0,6.0,0.0,0.0,6.0,3.0,2.0,2006-06-01
Calaveras,0.0,111.0,129.0,240.0,127.0,70.0,5.0,5.0,8.0,38.0,0.0,6.0,4.0,7.0,113.0,0.0,163.0,32.0,15.0,0.0,0.0,55.0,0.0,0.0,15.0,15.0,2.0,195.0,195.0,1673.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,177.0,0.0,506.0,95.0,55.0,25.0,15.0,601.0,601.0,0.0,0.0,89.0,512.0,12.0,12.0,0.0,0.0,24.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0,24.0,3.0,0.0,2006,JUN,10.0,46.0,6.0,11.0,0.0,669.0,127.0,70.0,0.0,0.0,70.0,40.0,17.0,796.0,796.0,0.0,0.0,107.0,689.0,39.0,36.0,0.0,0.0,36.0,3.0,0.0,0.0,3.0,0.0,2.0,2006-06-01
Colusa,0.0,12.0,73.0,85.0,55.0,28.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,3.0,30.0,0.0,84.0,19.0,5.0,0.0,0.0,22.0,0.0,1.0,5.0,14.0,0.0,103.0,103.0,1442.0,0.0,4.0,0.0,5.0,2.0,0.0,27.0,76.0,0.0,374.0,63.0,23.0,33.0,7.0,437.0,427.0,4.0,6.0,84.0,353.0,5.0,5.0,0.0,0.0,22.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,2006,JUN,0.0,24.0,0.0,3.0,0.0,458.0,82.0,27.0,0.0,1.0,28.0,47.0,7.0,540.0,530.0,4.0,6.0,111.0,429.0,27.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,2006-06-01
Contra Costa,147.0,1583.0,1543.0,3126.0,1342.0,637.0,16.0,48.0,9.0,593.0,1.0,233.0,3.0,100.0,1784.0,37.0,5325.0,147.0,147.0,1.0,0.0,480.0,5.0,4.0,148.0,-125.0,124.0,5472.0,5435.0,31577.0,9.0,127.0,36.0,51.0,12.0,1.0,127.0,5345.0,-213.0,6633.0,1071.0,489.0,125.0,457.0,7704.0,7591.0,73.0,40.0,911.0,6793.0,440.0,430.0,3.0,1.0,384.0,8.0,0.0,434.0,6.0,0.0,0.0,27.0,0.0,0.0,6.0,0.0,419.0,392.0,27.0,0.0,2006,JUN,64.0,602.0,234.0,103.0,-176.0,11958.0,1218.0,627.0,6.0,4.0,637.0,0.0,581.0,13176.0,13026.0,109.0,41.0,1038.0,12138.0,859.0,814.0,11.0,1.0,826.0,33.0,0.0,0.0,33.0,0.0,2.0,2006-06-01
Del Norte,0.0,60.0,159.0,219.0,164.0,129.0,0.0,3.0,3.0,28.0,0.0,6.0,1.0,3.0,55.0,-1.0,530.0,76.0,23.0,0.0,0.0,106.0,0.0,0.0,23.0,44.0,9.0,606.0,606.0,4231.0,0.0,3.0,0.0,0.0,6.0,0.0,76.0,530.0,0.0,1105.0,250.0,106.0,84.0,60.0,1355.0,1346.0,3.0,6.0,206.0,1149.0,22.0,22.0,0.0,0.0,52.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,52.0,1.0,2.0,2006,JUN,3.0,31.0,6.0,4.0,-1.0,1635.0,326.0,129.0,0.0,0.0,129.0,128.0,69.0,1961.0,1952.0,3.0,6.0,282.0,1679.0,75.0,74.0,0.0,0.0,74.0,1.0,0.0,0.0,1.0,3.0,2.0,2006-06-01
El Dorado,0.0,157.0,368.0,525.0,393.0,203.0,5.0,29.0,40.0,114.0,4.0,6.0,10.0,26.0,132.0,0.0,564.0,115.0,41.0,0.0,0.0,162.0,0.0,0.0,41.0,62.0,12.0,679.0,619.0,4559.0,0.0,9.0,60.0,0.0,5.0,0.0,121.0,558.0,0.0,1224.0,390.0,162.0,164.0,64.0,1614.0,1479.0,130.0,5.0,350.0,1264.0,19.0,19.0,0.0,0.0,41.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,43.0,41.0,2.0,3.0,2006,JUN,34.0,154.0,10.0,36.0,0.0,1788.0,505.0,203.0,0.0,0.0,203.0,226.0,76.0,2293.0,2098.0,190.0,5.0,471.0,1822.0,62.0,60.0,0.0,0.0,60.0,2.0,0.0,0.0,2.0,4.0,2.0,2006-06-01
