county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-2716.0,48837.0,92104.0,140941.0,89579.0,52477.0,530.0,1841.0,4298.0,25429.0,239.0,3088.0,1692.0,5683.0,51362.0,-2926.0,258662.0,17983.0,9442.0,142.0,99.0,41772.0,567.0,455.0,9683.0,2069.0,6231.0,276645.0,272042.0,1992741.0,983.0,15277.0,4179.0,5483.0,1309.0,424.0,15019.0,261626.0,-2180.0,490239.0,72833.0,42794.0,9930.0,20109.0,563072.0,549583.0,8910.0,4579.0,65275.0,497797.0,19001.0,17888.0,269.0,170.0,26812.0,453.0,264.0,18327.0,658.0,15.0,1.0,1566.0,48.0,20.0,674.0,42.0,29163.0,27529.0,1634.0,56.0,2006,MAY,2371.0,29727.0,3327.0,7375.0,-5106.0,748901.0,90816.0,51214.0,709.0,554.0,52477.0,11999.0,26340.0,839717.0,821625.0,13089.0,5003.0,80294.0,759423.0,48164.0,44700.0,722.0,434.0,45856.0,2224.0,63.0,21.0,2308.0,98.0,2.0,2006-05-01
Alameda,0.0,3438.0,2877.0,6315.0,2966.0,1582.0,100.0,214.0,99.0,1024.0,68.0,470.0,40.0,221.0,3349.0,-1073.0,12948.0,1028.0,380.0,9.0,0.0,1176.0,9.0,8.0,389.0,317.0,322.0,13976.0,13307.0,73056.0,39.0,1432.0,415.0,205.0,1085.0,254.0,397.0,13579.0,-192.0,17054.0,2651.0,1193.0,688.0,770.0,19705.0,19120.0,333.0,252.0,1788.0,17917.0,984.0,927.0,24.0,11.0,938.0,7.0,9.0,962.0,22.0,0.0,0.0,58.0,0.0,0.0,22.0,0.0,1012.0,954.0,58.0,3.0,2006,MAY,314.0,1123.0,538.0,261.0,-1265.0,30002.0,3679.0,1556.0,18.0,8.0,1582.0,1005.0,1092.0,33681.0,32427.0,748.0,506.0,2185.0,31496.0,1996.0,1865.0,31.0,20.0,1916.0,80.0,0.0,0.0,80.0,3.0,2.0,2006-05-01
Alpine,0.0,0.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.0,4.0,4.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,34.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2006,MAY,5.0,0.0,0.0,0.0,0.0,33.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,38.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2006-05-01
Amador,0.0,33.0,84.0,117.0,82.0,50.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,11.0,35.0,0.0,130.0,29.0,6.0,0.0,0.0,44.0,0.0,0.0,6.0,20.0,3.0,159.0,159.0,1158.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,138.0,0.0,336.0,90.0,44.0,32.0,14.0,426.0,426.0,0.0,0.0,99.0,327.0,7.0,7.0,0.0,0.0,15.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,16.0,15.0,1.0,0.0,2006,MAY,1.0,21.0,0.0,11.0,0.0,466.0,119.0,50.0,0.0,0.0,50.0,52.0,17.0,585.0,585.0,0.0,0.0,120.0,465.0,23.0,22.0,0.0,0.0,22.0,1.0,0.0,0.0,1.0,2.0,2.0,2006-05-01
Butte,0.0,962.0,911.0,1873.0,919.0,505.0,6.0,50.0,70.0,258.0,10.0,35.0,32.0,54.0,954.0,0.0,2219.0,197.0,43.0,0.0,0.0,461.0,0.0,1.0,43.0,117.0,37.0,2416.0,2415.0,17392.0,0.0,7.0,1.0,2.0,8.0,0.0,198.0,2218.0,0.0,6765.0,819.0,462.0,173.0,184.0,7584.0,7573.0,5.0,6.0,590.0,6994.0,68.0,68.0,0.0,0.0,154.0,1.0,0.0,68.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,160.0,155.0,5.0,3.0,2006,MAY,56.0,328.0,45.0,86.0,0.0,8984.0,1016.0,504.0,0.0,1.0,505.0,290.0,221.0,10000.0,9988.0,6.0,6.0,788.0,9212.0,228.0,222.0,1.0,0.0,223.0,5.0,0.0,0.0,5.0,5.0,2.0,2006-05-01
Calaveras,0.0,100.0,117.0,217.0,106.0,55.0,1.0,2.0,6.0,34.0,0.0,4.0,2.0,9.0,111.0,0.0,162.0,22.0,12.0,0.0,0.0,43.0,0.0,0.0,12.0,7.0,3.0,184.0,184.0,1641.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,163.0,0.0,483.0,115.0,43.0,59.0,13.0,598.0,598.0,0.0,0.0,92.0,506.0,13.0,13.0,0.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,1.0,2006,MAY,3.0,40.0,4.0,11.0,0.0,645.0,137.0,55.0,0.0,0.0,55.0,66.0,16.0,782.0,782.0,0.0,0.0,113.0,669.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,2.0,2006-05-01
Colusa,0.0,34.0,43.0,77.0,65.0,29.0,0.0,0.0,5.0,28.0,0.0,0.0,0.0,3.0,12.0,0.0,91.0,19.0,5.0,0.0,0.0,23.0,1.0,0.0,5.0,13.0,1.0,110.0,110.0,1512.0,0.0,6.0,0.0,5.0,4.0,0.0,26.0,84.0,0.0,381.0,79.0,24.0,36.0,19.0,460.0,447.0,6.0,7.0,86.0,374.0,2.0,2.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,1.0,2006,MAY,0.0,33.0,0.0,3.0,0.0,472.0,98.0,28.0,1.0,0.0,29.0,49.0,20.0,570.0,557.0,6.0,7.0,112.0,458.0,19.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,2.0,2006-05-01
Contra Costa,5.0,1462.0,1529.0,2991.0,1555.0,708.0,32.0,35.0,76.0,565.0,21.0,232.0,45.0,161.0,1436.0,-137.0,5156.0,267.0,177.0,6.0,0.0,517.0,7.0,1.0,183.0,-62.0,146.0,5423.0,5386.0,31578.0,8.0,131.0,35.0,48.0,18.0,2.0,135.0,5288.0,-216.0,6817.0,963.0,525.0,62.0,376.0,7780.0,7670.0,73.0,37.0,934.0,6846.0,389.0,376.0,4.0,0.0,352.0,4.0,1.0,380.0,9.0,0.0,0.0,22.0,0.0,0.0,9.0,0.0,379.0,357.0,22.0,0.0,2006,MAY,67.0,641.0,253.0,206.0,-353.0,11973.0,1230.0,694.0,13.0,1.0,708.0,0.0,522.0,13203.0,13056.0,108.0,39.0,1069.0,12134.0,768.0,728.0,8.0,1.0,737.0,31.0,0.0,0.0,31.0,0.0,2.0,2006-05-01
Del Norte,0.0,62.0,166.0,228.0,168.0,120.0,0.0,0.0,6.0,34.0,0.0,5.0,1.0,7.0,60.0,0.0,478.0,108.0,29.0,0.0,0.0,91.0,0.0,0.0,29.0,69.0,10.0,586.0,586.0,4139.0,0.0,6.0,0.0,0.0,2.0,0.0,55.0,531.0,0.0,1138.0,213.0,91.0,65.0,57.0,1351.0,1343.0,6.0,2.0,246.0,1105.0,23.0,23.0,0.0,0.0,41.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,42.0,41.0,1.0,2.0,2006,MAY,0.0,40.0,5.0,8.0,0.0,1616.0,321.0,120.0,0.0,0.0,120.0,134.0,67.0,1937.0,1929.0,6.0,2.0,301.0,1636.0,65.0,64.0,0.0,0.0,64.0,1.0,0.0,0.0,1.0,3.0,2.0,2006-05-01
El Dorado,0.0,181.0,355.0,536.0,379.0,186.0,6.0,29.0,39.0,119.0,3.0,3.0,12.0,23.0,157.0,0.0,522.0,158.0,48.0,0.0,0.0,136.0,2.0,0.0,48.0,101.0,9.0,680.0,587.0,4308.0,0.0,12.0,93.0,0.0,6.0,0.0,116.0,564.0,67.0,1222.0,380.0,138.0,166.0,76.0,1602.0,1456.0,140.0,6.0,378.0,1224.0,18.0,18.0,0.0,0.0,34.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35.0,34.0,1.0,3.0,2006,MAY,35.0,158.0,6.0,35.0,67.0,1744.0,538.0,184.0,2.0,0.0,186.0,267.0,85.0,2282.0,2043.0,233.0,6.0,494.0,1788.0,53.0,52.0,0.0,0.0,52.0,1.0,0.0,0.0,1.0,4.0,2.0,2006-05-01
Fresno,0.0,1948.0,4869.0,6817.0,4961.0,4117.0,0.0,8.0,3.0,686.0,0.0,0.0,0.0,155.0,1856.0,0.0,13814.0,1247.0,718.0,0.0,0.0,3379.0,15.0,5.0,718.0,250.0,279.0,15061.0,15017.0,119796.0,4.0,249.0,44.0,12.0,0.0,0.0,1076.0,13985.0,0.0,22570.0,4184.0,3399.0,69.0,716.0,26754.0,26555.0,190.0,9.0,3949.0,22805.0,1074.0,1072.0,2.0,0.0,1256.0,11.0,0.0,1074.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1283.0,1267.0,16.0,0.0,2006,MAY,8.0,689.0,0.0,155.0,0.0,36384.0,5431.0,4097.0,15.0,5.0,4117.0,319.0,995.0,41815.0,41572.0,234.0,9.0,5025.0,36790.0,2357.0,2328.0,13.0,0.0,2341.0,16.0,0.0,0.0,16.0,0.0,2.0,2006-05-01
