county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-1594.0,62051.0,95360.0,157411.0,100856.0,58207.0,1541.0,5584.0,4966.0,29729.0,487.0,5983.0,1518.0,6436.0,56555.0,-1058.0,265738.0,16873.0,9282.0,192.0,6.0,47580.0,784.0,363.0,9480.0,2329.0,5064.0,282611.0,278153.0,2171982.0,898.0,15616.0,4387.0,5084.0,282.0,71.0,12550.0,270061.0,4859.0,556898.0,78940.0,48727.0,8770.0,21443.0,635838.0,622279.0,9355.0,4204.0,84018.0,551820.0,16315.0,15595.0,200.0,6.0,29370.0,419.0,121.0,15801.0,501.0,13.0,0.0,1905.0,48.0,12.0,514.0,22.0,31875.0,29910.0,1965.0,30.0,2007,DEC,7125.0,34695.0,6470.0,7954.0,3801.0,822636.0,95813.0,56862.0,976.0,369.0,58207.0,11099.0,26507.0,918449.0,900432.0,13742.0,4275.0,96568.0,821881.0,48190.0,44965.0,619.0,127.0,45711.0,2406.0,61.0,12.0,2479.0,52.0,4.0,2007-12-01
Alameda,0.0,2021.0,2959.0,4980.0,3044.0,1701.0,136.0,467.0,47.0,1102.0,26.0,433.0,16.0,178.0,1936.0,-910.0,11159.0,893.0,329.0,14.0,0.0,1313.0,28.0,17.0,343.0,452.0,98.0,12052.0,11827.0,80366.0,60.0,672.0,224.0,280.0,0.0,1.0,183.0,11869.0,221.0,22720.0,2655.0,1358.0,448.0,849.0,25375.0,24795.0,370.0,210.0,2676.0,22699.0,664.0,638.0,11.0,0.0,931.0,23.0,3.0,649.0,15.0,0.0,0.0,73.0,4.0,2.0,15.0,3.0,1036.0,957.0,79.0,8.0,2007,DEC,603.0,1149.0,459.0,194.0,-689.0,33879.0,3548.0,1642.0,42.0,17.0,1701.0,900.0,947.0,37427.0,36622.0,594.0,211.0,2859.0,34568.0,1700.0,1569.0,34.0,3.0,1606.0,88.0,4.0,2.0,94.0,11.0,4.0,2007-12-01
Alpine,0.0,4.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,4.0,4.0,0.0,0.0,35.0,35.0,0.0,0.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,DEC,0.0,0.0,0.0,0.0,0.0,34.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,38.0,38.0,0.0,0.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2007-12-01
Amador,0.0,80.0,82.0,162.0,94.0,52.0,0.0,5.0,1.0,32.0,1.0,3.0,0.0,9.0,68.0,0.0,188.0,24.0,3.0,0.0,0.0,49.0,0.0,0.0,3.0,20.0,1.0,212.0,212.0,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,189.0,0.0,405.0,102.0,49.0,32.0,21.0,507.0,507.0,0.0,0.0,91.0,416.0,4.0,4.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,2007,DEC,5.0,33.0,4.0,9.0,0.0,593.0,126.0,52.0,0.0,0.0,52.0,52.0,22.0,719.0,719.0,0.0,0.0,114.0,605.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,2007-12-01
Butte,0.0,2214.0,1056.0,3270.0,1061.0,643.0,19.0,85.0,62.0,272.0,13.0,71.0,21.0,63.0,2209.0,0.0,2017.0,155.0,53.0,0.0,0.0,588.0,2.0,0.0,53.0,81.0,21.0,2172.0,2172.0,18821.0,0.0,20.0,0.0,0.0,7.0,0.0,214.0,1958.0,0.0,7820.0,875.0,590.0,91.0,194.0,8695.0,8668.0,20.0,7.0,724.0,7971.0,110.0,110.0,0.0,0.0,169.0,1.0,1.0,110.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,175.0,171.0,4.0,3.0,2007,DEC,104.0,334.0,84.0,84.0,0.0,9837.0,1030.0,641.0,2.0,0.0,643.0,172.0,215.0,10867.0,10840.0,20.0,7.0,938.0,9929.0,285.0,279.0,1.0,1.0,281.0,4.0,0.0,0.0,4.0,8.0,4.0,2007-12-01
Calaveras,0.0,139.0,108.0,247.0,125.0,83.0,1.0,4.0,9.0,27.0,1.0,1.0,2.0,4.0,122.0,0.0,227.0,33.0,12.0,0.0,0.0,71.0,0.0,0.0,12.0,18.0,3.0,260.0,260.0,2182.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,231.0,0.0,664.0,101.0,71.0,7.0,23.0,765.0,765.0,0.0,0.0,129.0,636.0,7.0,7.0,0.0,0.0,22.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,22.0,2.0,0.0,2007,DEC,5.0,36.0,2.0,6.0,0.0,891.0,134.0,83.0,0.0,0.0,83.0,25.0,26.0,1025.0,1025.0,0.0,0.0,158.0,867.0,31.0,29.0,0.0,0.0,29.0,2.0,0.0,0.0,2.0,0.0,4.0,2007-12-01
Colusa,0.0,61.0,86.0,147.0,117.0,76.0,0.0,2.0,6.0,29.0,0.0,0.0,2.0,4.0,30.0,0.0,72.0,22.0,5.0,0.0,0.0,69.0,2.0,0.0,5.0,17.0,0.0,94.0,93.0,1448.0,0.0,12.0,1.0,1.0,2.0,0.0,22.0,72.0,0.0,348.0,113.0,71.0,29.0,13.0,461.0,448.0,11.0,2.0,88.0,373.0,3.0,3.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,2007,DEC,2.0,35.0,0.0,6.0,0.0,420.0,135.0,74.0,2.0,0.0,76.0,46.0,13.0,555.0,541.0,12.0,2.0,110.0,445.0,17.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,2007-12-01
Contra Costa,219.0,1776.0,1546.0,3322.0,1817.0,928.0,88.0,194.0,55.0,764.0,24.0,395.0,18.0,52.0,1505.0,-50.0,4822.0,276.0,215.0,2.0,0.0,700.0,7.0,4.0,217.0,-9.0,68.0,5098.0,5059.0,35416.0,11.0,167.0,37.0,53.0,0.0,2.0,74.0,5024.0,89.0,8688.0,1158.0,711.0,9.0,438.0,9846.0,9700.0,103.0,43.0,1405.0,8441.0,299.0,292.0,3.0,0.0,374.0,6.0,0.0,295.0,4.0,0.0,0.0,26.0,0.0,0.0,4.0,0.0,406.0,380.0,26.0,0.0,2007,DEC,282.0,819.0,419.0,70.0,39.0,13510.0,1434.0,915.0,9.0,4.0,928.0,0.0,506.0,14944.0,14759.0,140.0,45.0,1479.0,13465.0,705.0,666.0,9.0,0.0,675.0,30.0,0.0,0.0,30.0,0.0,4.0,2007-12-01
Del Norte,0.0,104.0,166.0,270.0,169.0,134.0,0.0,4.0,2.0,29.0,0.0,7.0,1.0,3.0,101.0,0.0,812.0,82.0,34.0,0.0,0.0,100.0,0.0,0.0,34.0,46.0,2.0,894.0,894.0,4273.0,0.0,3.0,0.0,0.0,2.0,0.0,63.0,831.0,0.0,841.0,240.0,100.0,79.0,61.0,1081.0,1076.0,3.0,2.0,261.0,820.0,20.0,20.0,0.0,0.0,33.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,36.0,33.0,3.0,2.0,2007,DEC,4.0,31.0,7.0,4.0,0.0,1653.0,322.0,134.0,0.0,0.0,134.0,125.0,63.0,1975.0,1970.0,3.0,2.0,324.0,1651.0,56.0,53.0,0.0,0.0,53.0,3.0,0.0,0.0,3.0,5.0,4.0,2007-12-01
El Dorado,-7.0,201.0,405.0,606.0,392.0,193.0,9.0,27.0,27.0,128.0,0.0,14.0,10.0,34.0,214.0,0.0,933.0,122.0,33.0,0.0,0.0,160.0,0.0,0.0,33.0,84.0,5.0,1055.0,998.0,4648.0,0.0,4.0,57.0,0.0,4.0,0.0,87.0,968.0,0.0,899.0,329.0,160.0,107.0,62.0,1228.0,1153.0,71.0,4.0,362.0,866.0,15.0,15.0,0.0,0.0,37.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,40.0,37.0,3.0,3.0,2007,DEC,36.0,155.0,14.0,44.0,0.0,1832.0,451.0,193.0,0.0,0.0,193.0,191.0,67.0,2283.0,2151.0,128.0,4.0,449.0,1834.0,55.0,52.0,0.0,0.0,52.0,3.0,0.0,0.0,3.0,4.0,4.0,2007-12-01
