county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-1125.0,75300.0,142905.0,218205.0,143959.0,85849.0,1569.0,8949.0,5724.0,43800.0,104.0,8626.0,1162.0,7424.0,74246.0,-3892.0,299715.0,19638.0,10961.0,245.0,15.0,72755.0,1255.0,618.0,11221.0,3661.0,4756.0,319353.0,313509.0,2745641.0,1392.0,21838.0,5763.0,6546.0,407.0,81.0,14985.0,304368.0,1615.0,756689.0,113911.0,74628.0,10736.0,28547.0,870600.0,851156.0,14038.0,5406.0,96955.0,773645.0,18713.0,17670.0,307.0,5.0,41104.0,536.0,190.0,17982.0,716.0,15.0,0.0,2470.0,58.0,7.0,731.0,29.0,44365.0,41830.0,2535.0,58.0,2009,APR,10518.0,49524.0,8730.0,8586.0,-2277.0,1056404.0,133549.0,83716.0,1500.0,633.0,85849.0,14397.0,33303.0,1189953.0,1164665.0,19801.0,5487.0,111940.0,1078013.0,63078.0,58774.0,843.0,195.0,59812.0,3186.0,73.0,7.0,3266.0,87.0,2.0,2009-04-01
Alameda,0.0,3851.0,4449.0,8300.0,4191.0,2449.0,149.0,557.0,34.0,1347.0,13.0,621.0,17.0,344.0,4109.0,-863.0,11451.0,1012.0,346.0,12.0,0.0,2030.0,41.0,20.0,358.0,534.0,120.0,12463.0,12116.0,95085.0,80.0,1033.0,343.0,365.0,0.0,4.0,171.0,12292.0,-682.0,29495.0,3987.0,2091.0,597.0,1299.0,33482.0,32659.0,547.0,276.0,3365.0,30117.0,782.0,758.0,15.0,0.0,1636.0,22.0,9.0,773.0,9.0,0.0,0.0,105.0,0.0,1.0,9.0,1.0,1773.0,1667.0,106.0,5.0,2009,APR,706.0,1381.0,634.0,361.0,-1545.0,40946.0,4999.0,2376.0,53.0,20.0,2449.0,1131.0,1419.0,45945.0,44775.0,890.0,280.0,3536.0,42409.0,2555.0,2394.0,37.0,9.0,2440.0,114.0,0.0,1.0,115.0,6.0,2.0,2009-04-01
Alpine,0.0,3.0,4.0,7.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,31.0,11.0,6.0,1.0,4.0,42.0,42.0,0.0,0.0,3.0,39.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2009,APR,0.0,1.0,0.0,0.0,0.0,37.0,11.0,6.0,0.0,0.0,6.0,1.0,4.0,48.0,48.0,0.0,0.0,5.0,43.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2009-04-01
Amador,0.0,130.0,155.0,285.0,138.0,86.0,2.0,17.0,0.0,39.0,0.0,6.0,3.0,10.0,147.0,0.0,272.0,37.0,5.0,0.0,0.0,81.0,0.0,0.0,5.0,29.0,3.0,309.0,309.0,1946.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,277.0,0.0,550.0,162.0,81.0,40.0,41.0,712.0,712.0,0.0,0.0,132.0,580.0,4.0,4.0,0.0,0.0,31.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,31.0,1.0,0.0,2009,APR,19.0,39.0,6.0,13.0,0.0,822.0,199.0,86.0,0.0,0.0,86.0,69.0,44.0,1021.0,1021.0,0.0,0.0,164.0,857.0,36.0,35.0,0.0,0.0,35.0,1.0,0.0,0.0,1.0,0.0,2.0,2009-04-01
Butte,-4.0,2725.0,1419.0,4144.0,1326.0,745.0,16.0,121.0,53.0,391.0,4.0,75.0,25.0,112.0,2818.0,4.0,1901.0,161.0,44.0,0.0,0.0,700.0,1.0,0.0,44.0,93.0,24.0,2062.0,2062.0,22324.0,0.0,38.0,0.0,0.0,13.0,0.0,192.0,1870.0,0.0,10592.0,1073.0,701.0,93.0,279.0,11665.0,11614.0,38.0,13.0,815.0,10850.0,113.0,112.0,0.0,0.0,286.0,1.0,0.0,112.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,11.0,292.0,287.0,5.0,11.0,2009,APR,137.0,444.0,79.0,137.0,4.0,12493.0,1234.0,744.0,1.0,0.0,745.0,186.0,303.0,13727.0,13676.0,38.0,13.0,1007.0,12720.0,405.0,398.0,1.0,0.0,399.0,6.0,0.0,0.0,6.0,22.0,2.0,2009-04-01
Calaveras,0.0,182.0,186.0,368.0,180.0,123.0,0.0,3.0,3.0,33.0,0.0,2.0,2.0,19.0,188.0,0.0,277.0,41.0,14.0,0.0,0.0,109.0,0.0,0.0,14.0,27.0,0.0,318.0,318.0,3069.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,288.0,0.0,969.0,170.0,109.0,15.0,46.0,1139.0,1139.0,0.0,0.0,126.0,1013.0,23.0,23.0,0.0,0.0,36.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,38.0,36.0,2.0,0.0,2009,APR,3.0,36.0,2.0,21.0,0.0,1246.0,211.0,123.0,0.0,0.0,123.0,42.0,46.0,1457.0,1457.0,0.0,0.0,156.0,1301.0,61.0,59.0,0.0,0.0,59.0,2.0,0.0,0.0,2.0,0.0,2.0,2009-04-01
Colusa,0.0,54.0,86.0,140.0,84.0,41.0,0.0,6.0,5.0,25.0,0.0,10.0,2.0,11.0,56.0,0.0,71.0,32.0,5.0,0.0,0.0,35.0,1.0,0.0,5.0,27.0,0.0,103.0,103.0,1579.0,0.0,14.0,0.0,2.0,0.0,0.0,36.0,67.0,0.0,449.0,72.0,36.0,27.0,9.0,521.0,505.0,14.0,2.0,87.0,434.0,4.0,4.0,0.0,0.0,21.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,3.0,2009,APR,6.0,30.0,10.0,13.0,0.0,520.0,104.0,40.0,1.0,0.0,41.0,54.0,9.0,624.0,608.0,14.0,2.0,123.0,501.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,2.0,2009-04-01
Contra Costa,340.0,2952.0,2592.0,5544.0,2961.0,1533.0,90.0,459.0,62.0,1076.0,21.0,263.0,27.0,263.0,2583.0,-34.0,5876.0,250.0,232.0,2.0,0.0,1274.0,18.0,7.0,234.0,-59.0,75.0,6126.0,6051.0,45621.0,11.0,245.0,74.0,51.0,0.0,1.0,93.0,6033.0,67.0,12472.0,1976.0,1299.0,59.0,618.0,14448.0,14268.0,138.0,42.0,1484.0,12964.0,329.0,323.0,4.0,0.0,612.0,4.0,2.0,327.0,2.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0,646.0,618.0,28.0,0.0,2009,APR,549.0,1138.0,284.0,290.0,33.0,18348.0,2226.0,1506.0,20.0,7.0,1533.0,0.0,693.0,20574.0,20319.0,212.0,43.0,1577.0,18997.0,975.0,935.0,8.0,2.0,945.0,30.0,0.0,0.0,30.0,0.0,2.0,2009-04-01
Del Norte,0.0,129.0,194.0,323.0,194.0,151.0,1.0,3.0,5.0,32.0,1.0,9.0,2.0,4.0,129.0,0.0,1129.0,58.0,19.0,0.0,0.0,132.0,0.0,0.0,19.0,34.0,5.0,1187.0,1187.0,4780.0,0.0,6.0,0.0,0.0,3.0,0.0,55.0,1132.0,0.0,854.0,268.0,132.0,64.0,72.0,1122.0,1113.0,6.0,3.0,224.0,898.0,18.0,17.0,0.0,0.0,46.0,0.0,0.0,17.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,49.0,46.0,3.0,4.0,2009,APR,4.0,37.0,10.0,6.0,0.0,1983.0,326.0,151.0,0.0,0.0,151.0,98.0,77.0,2309.0,2300.0,6.0,3.0,279.0,2030.0,67.0,63.0,0.0,0.0,63.0,4.0,0.0,0.0,4.0,6.0,2.0,2009-04-01
El Dorado,-1.0,427.0,615.0,1042.0,667.0,350.0,3.0,74.0,21.0,222.0,0.0,32.0,20.0,54.0,375.0,0.0,1367.0,118.0,38.0,1.0,0.0,308.0,2.0,1.0,39.0,74.0,5.0,1485.0,1406.0,6976.0,0.0,11.0,77.0,2.0,6.0,2.0,127.0,1358.0,0.0,1431.0,568.0,311.0,170.0,87.0,1999.0,1873.0,120.0,6.0,446.0,1553.0,19.0,19.0,0.0,0.0,77.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.0,77.0,0.0,3.0,2009,APR,77.0,243.0,32.0,74.0,0.0,2798.0,686.0,346.0,3.0,1.0,350.0,244.0,92.0,3484.0,3279.0,197.0,8.0,573.0,2911.0,96.0,96.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,4.0,2.0,2009-04-01
