county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-2626.0,67795.0,145759.0,213554.0,133374.0,81150.0,1857.0,8640.0,5452.0,38188.0,191.0,8199.0,1425.0,7159.0,80180.0,-1182.0,285826.0,19536.0,10890.0,229.0,4.0,68239.0,1262.0,526.0,11123.0,3467.0,4946.0,305362.0,300011.0,2591252.0,1161.0,20122.0,5286.0,6188.0,397.0,65.0,14834.0,290528.0,6381.0,700399.0,105716.0,70027.0,8545.0,27144.0,806115.0,788248.0,12784.0,5083.0,95099.0,711016.0,17508.0,16442.0,258.0,4.0,36988.0,530.0,153.0,16704.0,795.0,9.0,0.0,2409.0,77.0,12.0,804.0,19.0,40169.0,37671.0,2498.0,41.0,2009,JAN,10497.0,43640.0,8390.0,8584.0,5199.0,986225.0,125252.0,79129.0,1491.0,530.0,81150.0,12012.0,32090.0,1111477.0,1088259.0,18070.0,5148.0,109933.0,1001544.0,57677.0,53430.0,788.0,157.0,54375.0,3204.0,86.0,12.0,3302.0,60.0,1.0,2009-01-01
Alameda,0.0,3108.0,4187.0,7295.0,3838.0,2259.0,130.0,655.0,34.0,1257.0,17.0,591.0,25.0,263.0,3457.0,-1023.0,11174.0,911.0,308.0,7.0,0.0,1881.0,39.0,24.0,315.0,480.0,116.0,12085.0,11768.0,91135.0,76.0,952.0,314.0,367.0,0.0,3.0,166.0,11919.0,-297.0,27879.0,3746.0,1944.0,442.0,1360.0,31625.0,30835.0,512.0,278.0,3007.0,28618.0,702.0,668.0,23.0,0.0,1390.0,22.0,9.0,691.0,10.0,1.0,0.0,94.0,3.0,0.0,11.0,1.0,1518.0,1421.0,97.0,13.0,2009,JAN,785.0,1291.0,608.0,288.0,-1320.0,39053.0,4657.0,2189.0,46.0,24.0,2259.0,922.0,1476.0,43710.0,42603.0,826.0,281.0,3173.0,40537.0,2220.0,2058.0,45.0,9.0,2112.0,104.0,4.0,0.0,108.0,14.0,1.0,2009-01-01
Alpine,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,34.0,7.0,2.0,1.0,4.0,41.0,41.0,0.0,0.0,7.0,34.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2009,JAN,0.0,0.0,0.0,0.0,0.0,40.0,7.0,2.0,0.0,0.0,2.0,1.0,4.0,47.0,47.0,0.0,0.0,8.0,39.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2009-01-01
Amador,0.0,109.0,173.0,282.0,163.0,107.0,2.0,13.0,0.0,33.0,0.0,6.0,0.0,23.0,119.0,0.0,258.0,30.0,8.0,0.0,0.0,99.0,0.0,0.0,8.0,22.0,0.0,288.0,288.0,1814.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,263.0,0.0,511.0,158.0,99.0,31.0,28.0,669.0,669.0,0.0,0.0,101.0,568.0,8.0,8.0,0.0,0.0,23.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,23.0,1.0,0.0,2009,JAN,15.0,33.0,6.0,23.0,0.0,769.0,188.0,107.0,0.0,0.0,107.0,53.0,28.0,957.0,957.0,0.0,0.0,126.0,831.0,32.0,31.0,0.0,0.0,31.0,1.0,0.0,0.0,1.0,1.0,1.0,2009-01-01
Butte,0.0,2514.0,1402.0,3916.0,1241.0,679.0,17.0,98.0,64.0,361.0,20.0,108.0,19.0,118.0,2675.0,0.0,1854.0,196.0,46.0,0.0,0.0,629.0,3.0,1.0,46.0,137.0,13.0,2050.0,2050.0,20973.0,0.0,37.0,0.0,2.0,14.0,0.0,156.0,1894.0,0.0,10076.0,914.0,633.0,77.0,204.0,10990.0,10937.0,37.0,16.0,746.0,10244.0,99.0,99.0,0.0,0.0,275.0,0.0,1.0,99.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,280.0,276.0,4.0,2.0,2009,JAN,115.0,425.0,128.0,137.0,0.0,11930.0,1110.0,675.0,3.0,1.0,679.0,214.0,217.0,13040.0,12987.0,37.0,16.0,902.0,12138.0,379.0,374.0,0.0,1.0,375.0,4.0,0.0,0.0,4.0,3.0,1.0,2009-01-01
Calaveras,0.0,169.0,199.0,368.0,194.0,129.0,1.0,6.0,6.0,33.0,0.0,3.0,7.0,19.0,174.0,0.0,270.0,40.0,9.0,0.0,0.0,120.0,0.0,0.0,9.0,24.0,7.0,310.0,310.0,2933.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,285.0,0.0,852.0,180.0,120.0,7.0,53.0,1032.0,1032.0,0.0,0.0,131.0,901.0,17.0,17.0,0.0,0.0,39.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,42.0,39.0,3.0,0.0,2009,JAN,7.0,39.0,3.0,26.0,0.0,1122.0,220.0,129.0,0.0,0.0,129.0,31.0,60.0,1342.0,1342.0,0.0,0.0,156.0,1186.0,59.0,56.0,0.0,0.0,56.0,3.0,0.0,0.0,3.0,0.0,1.0,2009-01-01
Colusa,0.0,72.0,100.0,172.0,112.0,53.0,0.0,15.0,9.0,37.0,0.0,12.0,1.0,12.0,60.0,0.0,69.0,25.0,8.0,0.0,0.0,43.0,2.0,0.0,8.0,16.0,1.0,94.0,94.0,1505.0,0.0,14.0,0.0,2.0,0.0,0.0,18.0,76.0,0.0,424.0,73.0,45.0,12.0,16.0,497.0,481.0,14.0,2.0,62.0,435.0,2.0,2.0,0.0,0.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,2009,JAN,15.0,46.0,12.0,13.0,0.0,493.0,98.0,51.0,2.0,0.0,53.0,28.0,17.0,591.0,575.0,14.0,2.0,80.0,511.0,18.0,17.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,2009-01-01
Contra Costa,95.0,2389.0,2587.0,4976.0,2556.0,1350.0,84.0,413.0,57.0,917.0,14.0,492.0,29.0,203.0,2420.0,-85.0,5565.0,287.0,262.0,1.0,0.0,1070.0,14.0,3.0,263.0,-50.0,74.0,5852.0,5790.0,42703.0,7.0,214.0,60.0,42.0,0.0,2.0,90.0,5762.0,125.0,11439.0,1753.0,1087.0,50.0,616.0,13192.0,13037.0,124.0,31.0,1455.0,11737.0,388.0,380.0,1.0,0.0,489.0,10.0,0.0,381.0,7.0,0.0,0.0,14.0,0.0,0.0,7.0,0.0,513.0,499.0,14.0,0.0,2009,JAN,497.0,974.0,506.0,232.0,40.0,17004.0,2040.0,1332.0,15.0,3.0,1350.0,0.0,690.0,19044.0,18827.0,184.0,33.0,1545.0,17499.0,901.0,869.0,11.0,0.0,880.0,21.0,0.0,0.0,21.0,0.0,1.0,2009-01-01
Del Norte,0.0,107.0,214.0,321.0,183.0,140.0,0.0,4.0,2.0,30.0,0.0,3.0,1.0,10.0,138.0,0.0,1067.0,72.0,21.0,0.0,0.0,119.0,0.0,0.0,21.0,46.0,5.0,1139.0,1139.0,4713.0,0.0,13.0,0.0,0.0,1.0,0.0,66.0,1073.0,0.0,816.0,269.0,119.0,76.0,74.0,1085.0,1071.0,13.0,1.0,254.0,831.0,15.0,15.0,0.0,0.0,39.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,40.0,39.0,1.0,1.0,2009,JAN,4.0,32.0,3.0,11.0,0.0,1883.0,341.0,140.0,0.0,0.0,140.0,122.0,79.0,2224.0,2210.0,13.0,1.0,320.0,1904.0,55.0,54.0,0.0,0.0,54.0,1.0,0.0,0.0,1.0,2.0,1.0,2009-01-01
El Dorado,-1.0,260.0,691.0,951.0,550.0,301.0,11.0,47.0,17.0,174.0,3.0,16.0,17.0,41.0,401.0,0.0,1283.0,157.0,48.0,0.0,0.0,253.0,0.0,0.0,48.0,99.0,10.0,1440.0,1374.0,6484.0,0.0,6.0,66.0,0.0,4.0,0.0,125.0,1315.0,0.0,1290.0,475.0,253.0,151.0,71.0,1765.0,1660.0,101.0,4.0,473.0,1292.0,15.0,15.0,0.0,0.0,77.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,78.0,77.0,1.0,3.0,2009,JAN,58.0,191.0,19.0,58.0,0.0,2573.0,632.0,301.0,0.0,0.0,301.0,250.0,81.0,3205.0,3034.0,167.0,4.0,598.0,2607.0,93.0,92.0,0.0,0.0,92.0,1.0,0.0,0.0,1.0,4.0,1.0,2009-01-01
