county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-825.0,61107.0,131043.0,192150.0,125430.0,72366.0,1495.0,6420.0,5690.0,38292.0,313.0,6579.0,1901.0,7181.0,66720.0,-16342.0,267900.0,16570.0,10287.0,209.0,3.0,60481.0,887.0,499.0,10499.0,1300.0,4771.0,284470.0,279596.0,2346498.0,1002.0,17670.0,4812.0,5853.0,309.0,62.0,14992.0,269478.0,5592.0,617148.0,98034.0,61867.0,11096.0,25071.0,715182.0,699596.0,10835.0,4751.0,90317.0,624865.0,18908.0,17799.0,266.0,2.0,36639.0,525.0,182.0,18067.0,825.0,16.0,0.0,2379.0,75.0,17.0,841.0,30.0,39817.0,37346.0,2471.0,71.0,2008,JUL,7915.0,43982.0,6892.0,9082.0,-10750.0,885048.0,114604.0,70768.0,1096.0,502.0,72366.0,12396.0,29842.0,999652.0,979192.0,15647.0,4813.0,105309.0,894343.0,58725.0,54438.0,791.0,184.0,55413.0,3204.0,91.0,17.0,3312.0,101.0,3.0,2008-07-01
Alameda,0.0,2806.0,4073.0,6879.0,3881.0,2238.0,163.0,514.0,44.0,1271.0,21.0,520.0,35.0,293.0,2998.0,-665.0,11186.0,973.0,418.0,15.0,1.0,1748.0,33.0,23.0,434.0,411.0,128.0,12159.0,11868.0,85569.0,68.0,819.0,283.0,337.0,0.0,8.0,192.0,11967.0,387.0,24831.0,3523.0,1804.0,472.0,1247.0,28354.0,27663.0,442.0,249.0,2590.0,25764.0,844.0,816.0,11.0,0.0,1507.0,18.0,11.0,827.0,17.0,0.0,0.0,93.0,2.0,1.0,17.0,4.0,1632.0,1536.0,96.0,18.0,2008,JUL,677.0,1315.0,541.0,328.0,-278.0,36017.0,4496.0,2166.0,48.0,24.0,2238.0,883.0,1375.0,40513.0,39531.0,725.0,257.0,2782.0,37731.0,2476.0,2323.0,29.0,11.0,2363.0,110.0,2.0,1.0,113.0,22.0,3.0,2008-07-01
Alpine,-3.0,0.0,6.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,33.0,8.0,4.0,2.0,2.0,41.0,41.0,0.0,0.0,5.0,36.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2008,JUL,0.0,0.0,0.0,0.0,0.0,40.0,9.0,4.0,0.0,0.0,4.0,3.0,2.0,49.0,49.0,0.0,0.0,8.0,41.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2008-07-01
Amador,0.0,78.0,112.0,190.0,110.0,73.0,2.0,4.0,0.0,26.0,0.0,3.0,2.0,9.0,80.0,0.0,229.0,27.0,7.0,0.0,0.0,66.0,0.0,0.0,7.0,19.0,1.0,256.0,256.0,1591.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,227.0,0.0,449.0,125.0,66.0,38.0,21.0,574.0,574.0,0.0,0.0,107.0,467.0,12.0,12.0,0.0,0.0,23.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,2008,JUL,6.0,26.0,3.0,11.0,0.0,678.0,152.0,73.0,0.0,0.0,73.0,57.0,22.0,830.0,830.0,0.0,0.0,136.0,694.0,35.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,3.0,2008-07-01
Butte,0.0,2221.0,1293.0,3514.0,1183.0,680.0,11.0,129.0,63.0,325.0,3.0,92.0,30.0,85.0,2331.0,0.0,1856.0,182.0,41.0,0.0,0.0,637.0,0.0,2.0,41.0,120.0,21.0,2038.0,2038.0,19835.0,0.0,26.0,0.0,2.0,14.0,0.0,224.0,1814.0,0.0,8946.0,1016.0,639.0,135.0,242.0,9962.0,9920.0,26.0,16.0,772.0,9190.0,110.0,110.0,0.0,0.0,227.0,1.0,3.0,110.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,235.0,231.0,4.0,11.0,2008,JUL,140.0,388.0,95.0,115.0,0.0,10802.0,1198.0,678.0,0.0,2.0,680.0,255.0,263.0,12000.0,11958.0,26.0,16.0,996.0,11004.0,345.0,337.0,1.0,3.0,341.0,3.0,0.0,1.0,4.0,18.0,3.0,2008-07-01
Calaveras,0.0,151.0,175.0,326.0,154.0,101.0,2.0,6.0,3.0,26.0,1.0,7.0,11.0,13.0,172.0,0.0,241.0,25.0,14.0,0.0,0.0,87.0,0.0,0.0,14.0,9.0,2.0,266.0,266.0,2439.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,244.0,0.0,750.0,146.0,87.0,37.0,22.0,896.0,896.0,0.0,0.0,139.0,757.0,9.0,9.0,0.0,0.0,30.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,33.0,30.0,3.0,0.0,2008,JUL,8.0,29.0,8.0,24.0,0.0,991.0,171.0,101.0,0.0,0.0,101.0,46.0,24.0,1162.0,1162.0,0.0,0.0,161.0,1001.0,42.0,39.0,0.0,0.0,39.0,3.0,0.0,0.0,3.0,0.0,3.0,2008-07-01
Colusa,0.0,41.0,90.0,131.0,89.0,46.0,0.0,1.0,6.0,24.0,1.0,1.0,3.0,10.0,42.0,0.0,67.0,23.0,4.0,0.0,0.0,42.0,0.0,0.0,4.0,19.0,0.0,90.0,89.0,1479.0,0.0,11.0,1.0,1.0,0.0,0.0,27.0,63.0,0.0,382.0,96.0,42.0,34.0,20.0,478.0,467.0,10.0,1.0,102.0,376.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,11.0,1.0,0.0,2008,JUL,1.0,30.0,2.0,13.0,0.0,449.0,119.0,46.0,0.0,0.0,46.0,53.0,20.0,568.0,556.0,11.0,1.0,129.0,439.0,13.0,12.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,3.0,2008-07-01
Contra Costa,203.0,1811.0,2402.0,4213.0,2487.0,1259.0,64.0,212.0,73.0,933.0,23.0,424.0,23.0,199.0,1726.0,-111.0,5202.0,190.0,222.0,2.0,0.0,1021.0,9.0,5.0,224.0,-101.0,67.0,5392.0,5336.0,38751.0,12.0,210.0,56.0,56.0,0.0,0.0,68.0,5324.0,148.0,9806.0,1693.0,1035.0,101.0,557.0,11499.0,11326.0,127.0,46.0,1251.0,10248.0,365.0,362.0,2.0,0.0,499.0,2.0,0.0,364.0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,521.0,501.0,20.0,0.0,2008,JUL,276.0,1006.0,447.0,222.0,37.0,15008.0,1883.0,1243.0,11.0,5.0,1259.0,0.0,624.0,16891.0,16662.0,183.0,46.0,1319.0,15572.0,886.0,861.0,4.0,0.0,865.0,21.0,0.0,0.0,21.0,0.0,3.0,2008-07-01
Del Norte,0.0,101.0,212.0,313.0,191.0,148.0,0.0,3.0,3.0,34.0,1.0,5.0,0.0,6.0,122.0,0.0,908.0,77.0,21.0,0.0,0.0,127.0,0.0,0.0,21.0,48.0,8.0,985.0,983.0,4233.0,0.0,7.0,2.0,0.0,1.0,0.0,61.0,924.0,0.0,771.0,255.0,127.0,75.0,53.0,1026.0,1020.0,5.0,1.0,258.0,768.0,30.0,30.0,0.0,0.0,53.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,54.0,53.0,1.0,2.0,2008,JUL,3.0,37.0,6.0,6.0,0.0,1679.0,332.0,148.0,0.0,0.0,148.0,123.0,61.0,2011.0,2003.0,7.0,1.0,319.0,1692.0,84.0,83.0,0.0,0.0,83.0,1.0,0.0,0.0,1.0,4.0,3.0,2008-07-01
El Dorado,0.0,245.0,543.0,788.0,515.0,279.0,6.0,38.0,32.0,167.0,3.0,13.0,12.0,25.0,273.0,0.0,1114.0,141.0,63.0,0.0,0.0,214.0,0.0,2.0,63.0,69.0,9.0,1255.0,1200.0,5611.0,0.0,6.0,53.0,2.0,5.0,2.0,99.0,1156.0,0.0,1071.0,397.0,216.0,119.0,62.0,1468.0,1386.0,77.0,5.0,410.0,1058.0,21.0,21.0,0.0,0.0,71.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,73.0,71.0,2.0,3.0,2008,JUL,44.0,199.0,16.0,37.0,0.0,2185.0,538.0,277.0,0.0,2.0,279.0,188.0,71.0,2723.0,2586.0,130.0,7.0,509.0,2214.0,94.0,92.0,0.0,0.0,92.0,2.0,0.0,0.0,2.0,4.0,3.0,2008-07-01
