county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,94275.0,104166.0,-9891.0,179548.0,273823.0,169183.0,104514.0,284.0,1993.0,4179.0,51012.0,82.0,2190.0,997.0,8481.0,104640.0,329735.0,1377730.0,329134.0,1362091.0,601.0,15639.0,8893.0,152869.0,9208.0,140.0,7.0,93330.0,1254.0,575.0,9355.0,95159.0,-6058.0,6979.0,691.0,921.0,1883.0,6767.0,3022.0,43043.0,338628.0,1530599.0,333981.0,1502337.0,4068676.0,2419.0,28488.0,4544.0,19976.0,10670.0,339.0,103.0,8286.0,13031.0,146776.0,325597.0,1383823.0,25920.0,95589.0,24280.0,344.0,5.0,89312.0,1171.0,311.0,24629.0,90794.0,1278.0,13.0,0.0,4678.0,94.0,23.0,1291.0,4795.0,0.0,2.0,2012,JUN,2277.0,55191.0,2272.0,9478.0,16240.0,1707465.0,161762.0,102538.0,1394.0,582.0,104514.0,921.0,46065.0,1869227.0,1836318.0,24520.0,8389.0,159807.0,1709420.0,121509.0,113592.0,1515.0,316.0,115423.0,5956.0,107.0,23.0,6086.0,2.0,1691225.0,1612.0,8650.0,2.0,2012-06-01
Alameda,8168.0,8168.0,0.0,4366.0,12534.0,4010.0,2552.0,18.0,166.0,3.0,1286.0,0.0,162.0,0.0,169.0,8524.0,10971.0,50739.0,11389.0,49690.0,-418.0,1049.0,432.0,4682.0,244.0,2.0,1.0,2223.0,58.0,24.0,247.0,2305.0,12.0,20.0,30.0,38.0,6.0,221.0,137.0,2098.0,11403.0,55421.0,11100.0,53811.0,132463.0,147.0,1584.0,298.0,1093.0,693.0,0.0,5.0,517.0,198.0,5221.0,11205.0,50200.0,903.0,3270.0,863.0,15.0,0.0,2973.0,64.0,14.0,878.0,3051.0,25.0,0.0,0.0,209.0,6.0,4.0,25.0,219.0,0.0,0.0,2012,JUN,184.0,1289.0,162.0,169.0,631.0,61710.0,5114.0,2467.0,60.0,25.0,2552.0,32.0,2235.0,66824.0,64911.0,1391.0,522.0,5419.0,61405.0,4173.0,3836.0,79.0,14.0,3929.0,234.0,6.0,4.0,244.0,0.0,61079.0,68.0,227.0,2.0,2012-06-01
Alpine,1.0,1.0,0.0,6.0,7.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,1.0,81.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,87.0,1.0,87.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,81.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,JUN,0.0,2.0,0.0,0.0,0.0,82.0,6.0,5.0,0.0,0.0,5.0,0.0,0.0,88.0,88.0,0.0,0.0,6.0,82.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,82.0,1.0,0.0,2.0,2012-06-01
Amador,77.0,77.0,0.0,175.0,252.0,186.0,126.0,2.0,5.0,6.0,31.0,0.0,1.0,1.0,22.0,66.0,211.0,1450.0,211.0,1442.0,0.0,8.0,5.0,139.0,16.0,1.0,0.0,109.0,0.0,0.0,17.0,109.0,-14.0,14.0,0.0,0.0,0.0,14.0,2.0,2.0,216.0,1589.0,214.0,1583.0,3324.0,2.0,6.0,2.0,5.0,2.0,4.0,0.0,1.0,8.0,141.0,208.0,1448.0,13.0,110.0,12.0,0.0,0.0,110.0,0.0,0.0,12.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012,JUN,7.0,37.0,1.0,23.0,8.0,1661.0,144.0,125.0,1.0,0.0,126.0,0.0,4.0,1805.0,1797.0,7.0,1.0,149.0,1656.0,123.0,122.0,0.0,0.0,122.0,1.0,0.0,0.0,1.0,0.0,1653.0,0.0,14.0,2.0,2012-06-01
Butte,836.0,853.0,-17.0,1551.0,2387.0,1533.0,885.0,35.0,77.0,23.0,494.0,0.0,18.0,6.0,125.0,854.0,2111.0,11458.0,1972.0,11098.0,139.0,360.0,-44.0,989.0,81.0,1.0,0.0,796.0,7.0,0.0,82.0,803.0,-128.0,128.0,0.0,0.0,0.0,0.0,2.0,58.0,2067.0,12447.0,2059.0,12394.0,29321.0,3.0,49.0,8.0,43.0,12.0,0.0,0.0,10.0,105.0,1168.0,1962.0,11279.0,177.0,982.0,161.0,0.0,0.0,971.0,6.0,0.0,161.0,977.0,15.0,1.0,0.0,5.0,0.0,0.0,16.0,5.0,0.0,0.0,2012,JUN,112.0,517.0,18.0,131.0,499.0,13569.0,945.0,877.0,8.0,0.0,885.0,0.0,60.0,14514.0,14453.0,51.0,10.0,1273.0,13241.0,1159.0,1132.0,6.0,0.0,1138.0,20.0,1.0,0.0,21.0,0.0,13070.0,0.0,0.0,2.0,2012-06-01
Calaveras,65.0,66.0,-1.0,228.0,293.0,221.0,136.0,0.0,0.0,6.0,53.0,0.0,1.0,0.0,26.0,72.0,347.0,2143.0,336.0,2121.0,11.0,22.0,-7.0,158.0,12.0,0.0,0.0,124.0,0.0,0.0,12.0,124.0,-19.0,19.0,0.0,0.0,0.0,0.0,0.0,15.0,340.0,2301.0,340.0,2297.0,5083.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,170.0,323.0,2131.0,19.0,162.0,18.0,0.0,0.0,158.0,0.0,0.0,18.0,158.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,2012,JUN,0.0,59.0,1.0,26.0,33.0,2490.0,151.0,136.0,0.0,0.0,136.0,0.0,15.0,2641.0,2637.0,4.0,0.0,187.0,2454.0,181.0,176.0,0.0,0.0,176.0,5.0,0.0,0.0,5.0,0.0,2457.0,0.0,0.0,2.0,2012-06-01
Colusa,35.0,35.0,0.0,76.0,111.0,76.0,41.0,0.0,2.0,2.0,27.0,0.0,2.0,0.0,6.0,35.0,112.0,577.0,112.0,577.0,0.0,0.0,8.0,62.0,3.0,0.0,0.0,36.0,1.0,1.0,3.0,38.0,4.0,17.0,0.0,0.0,0.0,0.0,1.0,7.0,120.0,639.0,119.0,632.0,1807.0,1.0,6.0,1.0,6.0,0.0,1.0,0.0,1.0,19.0,79.0,101.0,560.0,9.0,48.0,9.0,0.0,0.0,45.0,0.0,1.0,9.0,46.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2012,JUN,2.0,29.0,2.0,6.0,0.0,689.0,70.0,39.0,1.0,1.0,41.0,21.0,8.0,759.0,751.0,7.0,1.0,98.0,661.0,57.0,54.0,0.0,1.0,55.0,2.0,0.0,0.0,2.0,0.0,689.0,0.0,0.0,2.0,2012-06-01
Contra Costa,3037.0,3133.0,-96.0,3159.0,6196.0,3994.0,1668.0,4.0,31.0,0.0,1322.0,0.0,50.0,0.0,1004.0,2202.0,5869.0,23776.0,6150.0,23291.0,-281.0,485.0,237.0,3148.0,182.0,2.0,0.0,1463.0,14.0,7.0,184.0,1484.0,-8.0,8.0,16.0,45.0,1.0,45.0,44.0,1566.0,6106.0,26924.0,6045.0,26531.0,69257.0,33.0,426.0,61.0,312.0,109.0,0.0,0.0,81.0,80.0,3233.0,6026.0,23691.0,508.0,1317.0,494.0,6.0,0.0,1239.0,16.0,2.0,500.0,1257.0,8.0,0.0,0.0,58.0,2.0,0.0,8.0,60.0,0.0,0.0,2012,JUN,35.0,1322.0,50.0,1004.0,204.0,29645.0,3385.0,1645.0,16.0,7.0,1668.0,0.0,1610.0,33030.0,32576.0,373.0,81.0,3313.0,29717.0,1825.0,1733.0,22.0,2.0,1757.0,66.0,2.0,0.0,68.0,0.0,29441.0,61.0,46.0,2.0,2012-06-01
Del Norte,64.0,65.0,-1.0,233.0,297.0,254.0,151.0,0.0,0.0,13.0,76.0,0.0,0.0,1.0,13.0,43.0,474.0,2099.0,445.0,2028.0,29.0,71.0,-6.0,178.0,24.0,0.0,0.0,127.0,0.0,0.0,24.0,127.0,-32.0,32.0,0.0,0.0,0.0,0.0,2.0,19.0,468.0,2277.0,467.0,2268.0,5580.0,0.0,6.0,2.0,4.0,4.0,0.0,-1.0,5.0,23.0,228.0,445.0,2049.0,41.0,166.0,36.0,0.0,0.0,162.0,1.0,0.0,36.0,163.0,5.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,2012,JUN,0.0,89.0,0.0,14.0,100.0,2573.0,172.0,151.0,0.0,0.0,151.0,0.0,21.0,2745.0,2735.0,6.0,4.0,251.0,2494.0,207.0,198.0,1.0,0.0,199.0,8.0,0.0,0.0,8.0,0.0,2473.0,0.0,0.0,2.0,2012-06-01
El Dorado,320.0,278.0,42.0,815.0,1135.0,840.0,529.0,0.0,0.0,6.0,242.0,0.0,0.0,0.0,63.0,295.0,556.0,4950.0,636.0,5173.0,-80.0,-223.0,112.0,903.0,38.0,0.0,0.0,486.0,2.0,3.0,38.0,491.0,-34.0,34.0,0.0,0.0,106.0,355.0,2.0,23.0,668.0,5853.0,661.0,5812.0,11944.0,3.0,39.0,7.0,29.0,13.0,0.0,0.0,12.0,21.0,619.0,647.0,5234.0,56.0,455.0,53.0,1.0,0.0,443.0,3.0,0.0,54.0,446.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,9.0,0.0,0.0,2012,JUN,0.0,248.0,0.0,63.0,-303.0,5506.0,1015.0,524.0,2.0,3.0,529.0,0.0,25.0,6521.0,6473.0,36.0,12.0,640.0,5881.0,511.0,496.0,4.0,0.0,500.0,11.0,0.0,0.0,11.0,0.0,5809.0,0.0,461.0,2.0,2012-06-01
