county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,91857.0,101090.0,-9233.0,169529.0,261386.0,164270.0,101392.0,315.0,2470.0,4084.0,50293.0,73.0,2057.0,809.0,7692.0,97116.0,332920.0,1337374.0,333703.0,1322192.0,-783.0,15182.0,10808.0,151235.0,9820.0,145.0,14.0,89534.0,1240.0,639.0,9979.0,91413.0,-5696.0,6266.0,805.0,882.0,1864.0,7048.0,3856.0,45626.0,343728.0,1488609.0,339067.0,1460681.0,4011495.0,2302.0,28277.0,4535.0,19808.0,10556.0,319.0,126.0,8120.0,13313.0,154945.0,330415.0,1333664.0,25153.0,89655.0,23362.0,321.0,3.0,83954.0,1046.0,328.0,23686.0,85328.0,1449.0,17.0,1.0,4233.0,62.0,32.0,1467.0,4327.0,0.0,0.0,2012,MAR,2785.0,54377.0,2130.0,8501.0,14399.0,1670294.0,162043.0,99354.0,1385.0,653.0,101392.0,570.0,49482.0,1832337.0,1799748.0,24343.0,8246.0,168258.0,1664079.0,114808.0,107316.0,1367.0,331.0,109014.0,5682.0,79.0,33.0,5794.0,0.0,1655895.0,1687.0,8912.0,1.0,2012-03-01
Alameda,7088.0,7088.0,0.0,4473.0,11561.0,4114.0,2653.0,28.0,201.0,2.0,1315.0,0.0,138.0,0.0,144.0,7447.0,11043.0,49603.0,11573.0,48109.0,-530.0,1494.0,438.0,4878.0,236.0,9.0,2.0,2310.0,67.0,29.0,247.0,2406.0,9.0,3.0,24.0,42.0,7.0,254.0,151.0,2173.0,11481.0,54481.0,11156.0,52877.0,131864.0,130.0,1630.0,316.0,1105.0,691.0,0.0,9.0,499.0,165.0,5252.0,11316.0,49229.0,954.0,3282.0,911.0,25.0,0.0,3001.0,63.0,20.0,936.0,3084.0,18.0,0.0,0.0,192.0,5.0,1.0,18.0,198.0,0.0,0.0,2012,MAR,229.0,1317.0,138.0,144.0,964.0,60646.0,5316.0,2546.0,76.0,31.0,2653.0,12.0,2324.0,65962.0,64033.0,1421.0,508.0,5417.0,60545.0,4236.0,3912.0,88.0,20.0,4020.0,210.0,5.0,1.0,216.0,0.0,59682.0,66.0,261.0,1.0,2012-03-01
Alpine,0.0,0.0,0.0,8.0,8.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,77.0,4.0,77.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,85.0,4.0,85.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,MAR,0.0,1.0,0.0,0.0,0.0,81.0,8.0,7.0,0.0,0.0,7.0,0.0,1.0,89.0,89.0,0.0,0.0,4.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,1.0,2012-03-01
Amador,101.0,101.0,0.0,197.0,298.0,216.0,147.0,3.0,6.0,5.0,44.0,0.0,5.0,0.0,20.0,82.0,212.0,1309.0,212.0,1324.0,0.0,-15.0,2.0,165.0,15.0,0.0,0.0,132.0,0.0,0.0,15.0,132.0,-14.0,14.0,0.0,0.0,0.0,15.0,1.0,4.0,214.0,1474.0,214.0,1470.0,3195.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,138.0,209.0,1336.0,27.0,127.0,22.0,0.0,0.0,126.0,0.0,0.0,22.0,126.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,2012,MAR,9.0,49.0,5.0,20.0,-15.0,1521.0,167.0,147.0,0.0,0.0,147.0,0.0,5.0,1688.0,1684.0,4.0,0.0,143.0,1545.0,154.0,148.0,0.0,0.0,148.0,6.0,0.0,0.0,6.0,0.0,1536.0,0.0,15.0,1.0,2012-03-01
Butte,992.0,1006.0,-14.0,1426.0,2418.0,1450.0,828.0,19.0,82.0,39.0,477.0,2.0,26.0,5.0,101.0,968.0,2156.0,11114.0,2061.0,10831.0,95.0,283.0,-31.0,936.0,70.0,1.0,0.0,755.0,2.0,0.0,71.0,757.0,-106.0,106.0,0.0,0.0,0.0,0.0,4.0,73.0,2125.0,12050.0,2117.0,11997.0,28723.0,4.0,50.0,8.0,46.0,8.0,0.0,0.0,7.0,120.0,1199.0,2005.0,10851.0,133.0,817.0,125.0,1.0,0.0,807.0,3.0,0.0,126.0,810.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,2012,MAR,101.0,516.0,28.0,106.0,378.0,13270.0,905.0,825.0,3.0,0.0,828.0,0.0,77.0,14175.0,14114.0,54.0,7.0,1319.0,12856.0,950.0,932.0,4.0,0.0,936.0,14.0,0.0,0.0,14.0,0.0,12892.0,0.0,0.0,1.0,2012-03-01
Calaveras,112.0,112.0,0.0,226.0,338.0,257.0,166.0,1.0,14.0,4.0,71.0,0.0,1.0,0.0,16.0,81.0,351.0,2066.0,337.0,2038.0,14.0,28.0,-6.0,182.0,15.0,1.0,0.0,150.0,0.0,0.0,16.0,150.0,-23.0,23.0,0.0,0.0,0.0,0.0,1.0,9.0,345.0,2248.0,344.0,2245.0,5051.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,22.0,171.0,323.0,2077.0,20.0,163.0,18.0,1.0,0.0,160.0,1.0,0.0,19.0,161.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2012,MAR,15.0,75.0,1.0,16.0,42.0,2417.0,176.0,165.0,1.0,0.0,166.0,0.0,10.0,2593.0,2589.0,4.0,0.0,193.0,2400.0,183.0,178.0,2.0,0.0,180.0,3.0,0.0,0.0,3.0,0.0,2375.0,0.0,0.0,1.0,2012-03-01
Colusa,45.0,45.0,0.0,111.0,156.0,100.0,53.0,0.0,0.0,3.0,39.0,0.0,0.0,0.0,5.0,56.0,122.0,560.0,122.0,560.0,0.0,0.0,13.0,70.0,5.0,0.0,0.0,48.0,0.0,0.0,5.0,48.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,135.0,630.0,135.0,624.0,1813.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,20.0,60.0,115.0,570.0,9.0,50.0,8.0,0.0,0.0,49.0,0.0,0.0,8.0,49.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2012,MAR,0.0,42.0,0.0,5.0,0.0,682.0,83.0,53.0,0.0,0.0,53.0,20.0,10.0,765.0,759.0,6.0,0.0,80.0,685.0,59.0,57.0,0.0,0.0,57.0,2.0,0.0,0.0,2.0,0.0,682.0,0.0,0.0,1.0,2012-03-01
Contra Costa,3005.0,3094.0,-89.0,3156.0,6161.0,3249.0,1607.0,13.0,40.0,0.0,1406.0,0.0,81.0,0.0,236.0,2912.0,5888.0,22738.0,6146.0,22316.0,-258.0,422.0,237.0,3381.0,157.0,1.0,0.0,1431.0,14.0,4.0,158.0,1449.0,-5.0,5.0,25.0,34.0,1.0,43.0,58.0,1850.0,6125.0,26119.0,6051.0,25741.0,68068.0,31.0,439.0,73.0,304.0,98.0,0.0,1.0,74.0,96.0,3506.0,6029.0,22613.0,468.0,1409.0,460.0,3.0,0.0,1360.0,14.0,0.0,463.0,1374.0,5.0,0.0,0.0,35.0,0.0,0.0,5.0,35.0,0.0,0.0,2012,MAR,53.0,1406.0,81.0,236.0,164.0,28626.0,3618.0,1588.0,15.0,4.0,1607.0,0.0,1908.0,32244.0,31792.0,377.0,75.0,3602.0,28642.0,1877.0,1820.0,17.0,0.0,1837.0,40.0,0.0,0.0,40.0,0.0,28462.0,59.0,44.0,1.0,2012-03-01
Del Norte,83.0,83.0,0.0,241.0,324.0,254.0,168.0,0.0,0.0,1.0,81.0,0.0,0.0,0.0,4.0,70.0,494.0,2010.0,474.0,1931.0,20.0,79.0,-24.0,210.0,17.0,0.0,0.0,151.0,0.0,0.0,17.0,151.0,-44.0,44.0,0.0,0.0,0.0,0.0,3.0,15.0,470.0,2220.0,468.0,2210.0,5478.0,0.0,6.0,2.0,4.0,7.0,0.0,0.0,6.0,24.0,282.0,446.0,1938.0,35.0,176.0,29.0,0.0,0.0,171.0,0.0,1.0,29.0,172.0,6.0,0.0,0.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,2012,MAR,0.0,82.0,0.0,4.0,99.0,2504.0,186.0,168.0,0.0,0.0,168.0,0.0,18.0,2690.0,2678.0,6.0,6.0,306.0,2384.0,211.0,200.0,0.0,1.0,201.0,10.0,0.0,0.0,10.0,0.0,2405.0,0.0,0.0,1.0,2012-03-01
El Dorado,311.0,318.0,-7.0,765.0,1076.0,823.0,471.0,0.0,1.0,6.0,290.0,0.0,0.0,1.0,55.0,253.0,586.0,4713.0,668.0,4959.0,-82.0,-246.0,100.0,941.0,32.0,0.0,0.0,435.0,1.0,3.0,32.0,439.0,-38.0,38.0,0.0,0.0,105.0,422.0,1.0,42.0,686.0,5654.0,679.0,5617.0,11722.0,2.0,40.0,7.0,27.0,11.0,0.0,0.0,10.0,31.0,640.0,655.0,5014.0,43.0,460.0,38.0,0.0,0.0,455.0,3.0,1.0,38.0,459.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,2012,MAR,1.0,296.0,0.0,56.0,-328.0,5299.0,1041.0,467.0,1.0,3.0,471.0,0.0,43.0,6340.0,6296.0,34.0,10.0,671.0,5669.0,503.0,493.0,3.0,1.0,497.0,6.0,0.0,0.0,6.0,0.0,5627.0,0.0,527.0,1.0,2012-03-01
