county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,92486.0,104941.0,-12455.0,189857.0,282343.0,176475.0,107528.0,366.0,2086.0,5119.0,54601.0,127.0,2116.0,1177.0,8050.0,105868.0,325035.0,1438039.0,325327.0,1429573.0,-292.0,8466.0,12774.0,161454.0,10295.0,137.0,13.0,95015.0,1393.0,675.0,10445.0,97083.0,-4350.0,4528.0,784.0,1035.0,1274.0,8027.0,4621.0,50781.0,337809.0,1599493.0,333286.0,1571265.0,4160559.0,2387.0,28117.0,4416.0,19883.0,10621.0,366.0,107.0,8345.0,13501.0,158640.0,324308.0,1440853.0,26259.0,99020.0,24412.0,350.0,6.0,92332.0,1180.0,304.0,24768.0,93816.0,1470.0,20.0,1.0,5072.0,108.0,24.0,1491.0,5204.0,84.0,584.0,2012,OCT,2452.0,59720.0,2243.0,9227.0,8174.0,1763074.0,174228.0,105310.0,1530.0,688.0,107528.0,178.0,55402.0,1937302.0,1904551.0,24299.0,8452.0,172141.0,1765161.0,125279.0,116744.0,1530.0,310.0,118584.0,6542.0,128.0,25.0,6695.0,668.0,1754900.0,1819.0,9301.0,4.0,2012-10-01
Alameda,3140.0,3361.0,-221.0,4561.0,7701.0,4280.0,2613.0,27.0,165.0,0.0,1539.0,0.0,245.0,0.0,128.0,3421.0,10681.0,52534.0,10758.0,51130.0,-77.0,1404.0,494.0,5225.0,282.0,3.0,0.0,2261.0,41.0,26.0,285.0,2328.0,3.0,9.0,31.0,64.0,5.0,291.0,170.0,2533.0,11175.0,57759.0,10861.0,56183.0,136212.0,125.0,1629.0,307.0,1109.0,620.0,0.0,7.0,467.0,213.0,5432.0,10962.0,52327.0,854.0,3060.0,808.0,28.0,0.0,2817.0,65.0,8.0,836.0,2890.0,17.0,1.0,0.0,167.0,2.0,1.0,18.0,170.0,0.0,0.0,2012,OCT,192.0,1539.0,245.0,128.0,1327.0,63215.0,5719.0,2543.0,44.0,26.0,2613.0,12.0,2703.0,68934.0,67044.0,1416.0,474.0,5645.0,63289.0,3914.0,3625.0,93.0,8.0,3726.0,184.0,3.0,1.0,188.0,0.0,61888.0,95.0,296.0,4.0,2012-10-01
Alpine,0.0,0.0,0.0,8.0,8.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,2.0,70.0,0.0,0.0,-1.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,79.0,1.0,79.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,75.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,OCT,0.0,1.0,0.0,0.0,0.0,72.0,8.0,7.0,0.0,0.0,7.0,0.0,0.0,80.0,80.0,0.0,0.0,4.0,76.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,0.0,4.0,2012-10-01
Amador,72.0,48.0,24.0,196.0,268.0,191.0,111.0,0.0,3.0,5.0,51.0,0.0,3.0,1.0,23.0,77.0,202.0,1485.0,194.0,1491.0,8.0,-6.0,0.0,139.0,7.0,0.0,0.0,104.0,0.0,0.0,7.0,104.0,-8.0,8.0,0.0,0.0,1.0,19.0,0.0,8.0,202.0,1624.0,201.0,1620.0,3381.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,15.0,168.0,187.0,1456.0,16.0,95.0,11.0,0.0,0.0,94.0,0.0,0.0,11.0,94.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,2012,OCT,3.0,56.0,3.0,24.0,2.0,1687.0,139.0,111.0,0.0,0.0,111.0,0.0,8.0,1826.0,1821.0,4.0,1.0,183.0,1643.0,111.0,105.0,0.0,0.0,105.0,6.0,0.0,0.0,6.0,0.0,1685.0,0.0,20.0,4.0,2012-10-01
Butte,878.0,892.0,-14.0,1478.0,2356.0,1726.0,947.0,23.0,57.0,55.0,608.0,0.0,26.0,6.0,110.0,630.0,2107.0,11865.0,1970.0,11571.0,137.0,294.0,-2.0,1037.0,88.0,2.0,0.0,850.0,4.0,3.0,90.0,857.0,-102.0,102.0,0.0,0.0,0.0,0.0,10.0,78.0,2105.0,12902.0,2095.0,12846.0,30138.0,3.0,51.0,10.0,44.0,12.0,0.0,0.0,12.0,128.0,1210.0,1977.0,11692.0,190.0,967.0,166.0,0.0,0.0,942.0,4.0,1.0,166.0,947.0,24.0,0.0,0.0,20.0,0.0,0.0,24.0,20.0,0.0,0.0,2012,OCT,80.0,663.0,26.0,116.0,431.0,13972.0,1035.0,938.0,6.0,3.0,947.0,0.0,88.0,15007.0,14941.0,54.0,12.0,1338.0,13669.0,1157.0,1108.0,4.0,1.0,1113.0,44.0,0.0,0.0,44.0,0.0,13541.0,0.0,0.0,4.0,2012-10-01
Calaveras,96.0,96.0,0.0,234.0,330.0,243.0,156.0,0.0,2.0,4.0,64.0,0.0,0.0,1.0,18.0,87.0,320.0,2139.0,312.0,2086.0,8.0,53.0,12.0,152.0,17.0,0.0,0.0,139.0,0.0,0.0,17.0,139.0,-7.0,7.0,0.0,0.0,0.0,0.0,2.0,6.0,332.0,2291.0,332.0,2287.0,5017.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,23.0,218.0,309.0,2073.0,23.0,172.0,17.0,0.0,0.0,172.0,0.0,0.0,17.0,172.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2012,OCT,2.0,68.0,0.0,19.0,61.0,2459.0,164.0,156.0,0.0,0.0,156.0,0.0,8.0,2623.0,2619.0,3.0,1.0,241.0,2382.0,195.0,189.0,0.0,0.0,189.0,6.0,0.0,0.0,6.0,0.0,2398.0,0.0,0.0,4.0,2012-10-01
Colusa,42.0,42.0,0.0,101.0,143.0,94.0,47.0,0.0,0.0,1.0,41.0,0.0,0.0,0.0,5.0,49.0,101.0,521.0,101.0,521.0,0.0,0.0,11.0,54.0,7.0,0.0,0.0,40.0,0.0,0.0,7.0,40.0,4.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,112.0,575.0,111.0,570.0,1615.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,17.0,63.0,95.0,512.0,9.0,40.0,8.0,0.0,0.0,39.0,0.0,0.0,8.0,39.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2012,OCT,0.0,42.0,0.0,5.0,0.0,622.0,65.0,47.0,0.0,0.0,47.0,10.0,0.0,687.0,681.0,5.0,1.0,80.0,607.0,49.0,47.0,0.0,0.0,47.0,2.0,0.0,0.0,2.0,0.0,622.0,0.0,8.0,4.0,2012-10-01
Contra Costa,1828.0,1932.0,-104.0,3101.0,4929.0,3082.0,1601.0,28.0,66.0,2.0,1252.0,0.0,64.0,0.0,227.0,1847.0,5665.0,24823.0,5743.0,24570.0,-78.0,253.0,310.0,3240.0,189.0,1.0,0.0,1385.0,16.0,10.0,190.0,1411.0,6.0,-6.0,30.0,61.0,3.0,73.0,81.0,1701.0,5975.0,28063.0,5921.0,27696.0,70698.0,35.0,383.0,54.0,287.0,114.0,0.0,0.0,80.0,93.0,3351.0,5882.0,24712.0,517.0,1130.0,509.0,5.0,0.0,1080.0,13.0,1.0,514.0,1094.0,3.0,0.0,0.0,34.0,2.0,0.0,3.0,36.0,0.0,0.0,2012,OCT,94.0,1254.0,64.0,227.0,175.0,30488.0,3550.0,1574.0,17.0,10.0,1601.0,0.0,1782.0,34038.0,33617.0,341.0,80.0,3444.0,30594.0,1647.0,1589.0,18.0,1.0,1608.0,37.0,2.0,0.0,39.0,0.0,30313.0,91.0,76.0,4.0,2012-10-01
Del Norte,56.0,58.0,-2.0,266.0,322.0,267.0,168.0,0.0,0.0,10.0,79.0,0.0,0.0,0.0,10.0,55.0,440.0,2036.0,416.0,1965.0,24.0,71.0,-6.0,202.0,23.0,0.0,0.0,143.0,0.0,2.0,23.0,145.0,-31.0,31.0,0.0,0.0,0.0,0.0,2.0,26.0,434.0,2238.0,433.0,2228.0,5290.0,0.0,5.0,1.0,4.0,6.0,0.0,0.0,6.0,25.0,246.0,409.0,1992.0,31.0,162.0,26.0,0.0,0.0,160.0,0.0,1.0,26.0,161.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,2012,OCT,0.0,89.0,0.0,10.0,95.0,2476.0,196.0,166.0,0.0,2.0,168.0,0.0,28.0,2672.0,2661.0,5.0,6.0,271.0,2401.0,193.0,186.0,0.0,1.0,187.0,6.0,0.0,0.0,6.0,0.0,2381.0,0.0,0.0,4.0,2012-10-01
El Dorado,727.0,727.0,0.0,916.0,1643.0,933.0,528.0,0.0,0.0,12.0,321.0,0.0,0.0,3.0,69.0,710.0,557.0,4923.0,626.0,5265.0,-69.0,-342.0,91.0,901.0,40.0,0.0,0.0,485.0,2.0,1.0,40.0,488.0,-44.0,44.0,0.0,0.0,93.0,330.0,2.0,39.0,648.0,5824.0,641.0,5788.0,11776.0,1.0,32.0,6.0,23.0,15.0,0.0,1.0,13.0,22.0,559.0,626.0,5265.0,35.0,441.0,29.0,1.0,0.0,435.0,0.0,0.0,30.0,435.0,5.0,0.0,0.0,6.0,0.0,0.0,5.0,6.0,0.0,0.0,2012,OCT,0.0,333.0,0.0,72.0,-411.0,5480.0,992.0,525.0,2.0,1.0,528.0,0.0,41.0,6472.0,6429.0,29.0,14.0,581.0,5891.0,476.0,464.0,1.0,0.0,465.0,11.0,0.0,0.0,11.0,0.0,5891.0,0.0,423.0,4.0,2012-10-01
