county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,93444.0,104386.0,-10942.0,167335.0,260779.0,155838.0,93769.0,305.0,1783.0,4487.0,49412.0,160.0,1808.0,990.0,7180.0,104941.0,326007.0,1442063.0,324379.0,1424603.0,1628.0,17460.0,8217.0,140638.0,8659.0,136.0,5.0,83224.0,1177.0,568.0,8800.0,84969.0,-5755.0,7032.0,620.0,837.0,2016.0,6108.0,2536.0,41692.0,334224.0,1582701.0,329752.0,1554846.0,4135242.0,2429.0,28045.0,4372.0,19655.0,10529.0,359.0,100.0,8200.0,8897.0,153128.0,325327.0,1429573.0,24055.0,90726.0,22857.0,323.0,4.0,84991.0,1087.0,344.0,23184.0,86422.0,859.0,12.0,0.0,4184.0,91.0,29.0,871.0,4304.0,82.0,455.0,2012,SEP,2088.0,53899.0,1968.0,8170.0,19088.0,1768070.0,148855.0,91883.0,1313.0,573.0,93769.0,1277.0,44228.0,1916925.0,1884598.0,24027.0,8300.0,162025.0,1754900.0,114781.0,107848.0,1410.0,348.0,109606.0,5043.0,103.0,29.0,5175.0,537.0,1748982.0,1457.0,8124.0,3.0,2012-09-01
Alameda,3007.0,3389.0,-382.0,4024.0,7031.0,3670.0,2225.0,23.0,178.0,1.0,1314.0,0.0,200.0,0.0,130.0,3361.0,10595.0,52223.0,11131.0,51733.0,-536.0,490.0,393.0,4595.0,212.0,8.0,0.0,1941.0,42.0,22.0,220.0,2005.0,12.0,10.0,16.0,36.0,5.0,209.0,140.0,2335.0,10988.0,56818.0,10682.0,55275.0,133821.0,124.0,1596.0,300.0,1088.0,624.0,0.0,6.0,455.0,230.0,5688.0,10758.0,51130.0,701.0,2789.0,679.0,18.0,0.0,2536.0,54.0,17.0,697.0,2607.0,4.0,0.0,0.0,168.0,12.0,2.0,4.0,182.0,0.0,0.0,2012,SEP,201.0,1315.0,200.0,130.0,-46.0,62818.0,4988.0,2153.0,50.0,22.0,2225.0,22.0,2475.0,67806.0,65957.0,1388.0,461.0,5918.0,61888.0,3490.0,3215.0,72.0,17.0,3304.0,172.0,12.0,2.0,186.0,0.0,62864.0,52.0,214.0,3.0,2012-09-01
Alpine,0.0,0.0,0.0,7.0,7.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,1.0,72.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,77.0,2.0,77.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,70.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,SEP,0.0,1.0,0.0,0.0,0.0,73.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,79.0,79.0,0.0,0.0,7.0,72.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,3.0,2012-09-01
Amador,55.0,55.0,0.0,176.0,231.0,183.0,117.0,2.0,5.0,8.0,42.0,0.0,1.0,1.0,15.0,48.0,204.0,1478.0,192.0,1486.0,12.0,-8.0,-4.0,142.0,15.0,0.0,0.0,102.0,0.0,0.0,15.0,102.0,-21.0,21.0,0.0,0.0,0.0,16.0,2.0,3.0,200.0,1620.0,199.0,1614.0,3373.0,2.0,4.0,1.0,5.0,2.0,0.0,0.0,1.0,6.0,129.0,194.0,1491.0,16.0,118.0,16.0,0.0,0.0,117.0,0.0,0.0,16.0,117.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2012,SEP,7.0,50.0,1.0,16.0,4.0,1682.0,138.0,117.0,0.0,0.0,117.0,0.0,5.0,1820.0,1813.0,6.0,1.0,135.0,1685.0,134.0,133.0,0.0,0.0,133.0,1.0,0.0,0.0,1.0,0.0,1678.0,0.0,16.0,3.0,2012-09-01
Butte,881.0,891.0,-10.0,1495.0,2376.0,1484.0,827.0,18.0,52.0,29.0,508.0,0.0,21.0,3.0,117.0,892.0,2088.0,11803.0,1995.0,11538.0,93.0,265.0,2.0,917.0,77.0,1.0,0.0,745.0,4.0,0.0,78.0,749.0,-83.0,83.0,0.0,0.0,0.0,0.0,7.0,85.0,2090.0,12720.0,2084.0,12668.0,29932.0,3.0,48.0,6.0,42.0,10.0,0.0,0.0,10.0,120.0,1149.0,1970.0,11571.0,134.0,847.0,116.0,0.0,0.0,834.0,3.0,2.0,116.0,839.0,18.0,0.0,0.0,8.0,0.0,0.0,18.0,8.0,0.0,0.0,2012,SEP,70.0,537.0,21.0,120.0,358.0,13891.0,919.0,822.0,5.0,0.0,827.0,0.0,92.0,14810.0,14752.0,48.0,10.0,1269.0,13541.0,981.0,950.0,3.0,2.0,955.0,26.0,0.0,0.0,26.0,0.0,13533.0,0.0,0.0,3.0,2012-09-01
Calaveras,102.0,101.0,1.0,226.0,328.0,232.0,136.0,2.0,1.0,5.0,70.0,0.0,1.0,0.0,21.0,96.0,314.0,2160.0,308.0,2134.0,6.0,26.0,11.0,132.0,15.0,0.0,0.0,120.0,0.0,1.0,15.0,121.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,325.0,2292.0,325.0,2287.0,5065.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,13.0,206.0,312.0,2086.0,19.0,150.0,13.0,0.0,0.0,148.0,0.0,0.0,13.0,148.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,2012,SEP,3.0,75.0,1.0,21.0,32.0,2474.0,143.0,135.0,0.0,1.0,136.0,0.0,7.0,2617.0,2612.0,3.0,2.0,219.0,2398.0,169.0,161.0,0.0,0.0,161.0,8.0,0.0,0.0,8.0,0.0,2442.0,0.0,0.0,3.0,2012-09-01
Colusa,53.0,53.0,0.0,83.0,136.0,94.0,41.0,0.0,0.0,1.0,47.0,0.0,0.0,1.0,4.0,42.0,99.0,523.0,99.0,523.0,0.0,0.0,12.0,54.0,7.0,0.0,0.0,34.0,0.0,0.0,7.0,34.0,4.0,12.0,0.0,0.0,0.0,5.0,1.0,3.0,111.0,577.0,110.0,572.0,1628.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,10.0,56.0,101.0,521.0,7.0,39.0,6.0,0.0,0.0,38.0,0.0,0.0,6.0,38.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2012,SEP,0.0,48.0,0.0,5.0,0.0,622.0,66.0,41.0,0.0,0.0,41.0,16.0,4.0,688.0,682.0,5.0,1.0,66.0,622.0,46.0,44.0,0.0,0.0,44.0,2.0,0.0,0.0,2.0,0.0,622.0,0.0,5.0,3.0,2012-09-01
Contra Costa,1901.0,2023.0,-122.0,2781.0,4682.0,2750.0,1344.0,19.0,64.0,0.0,1203.0,0.0,75.0,0.0,203.0,1932.0,5595.0,24931.0,5891.0,24386.0,-296.0,545.0,243.0,2816.0,152.0,3.0,0.0,1172.0,11.0,6.0,155.0,1189.0,-4.0,4.0,16.0,31.0,0.0,53.0,76.0,1539.0,5838.0,27747.0,5787.0,27377.0,69910.0,32.0,390.0,51.0,295.0,107.0,0.0,0.0,75.0,95.0,3177.0,5743.0,24570.0,526.0,1087.0,511.0,12.0,0.0,1028.0,17.0,2.0,523.0,1047.0,2.0,1.0,0.0,39.0,1.0,0.0,3.0,40.0,0.0,0.0,2012,SEP,83.0,1203.0,75.0,203.0,249.0,30526.0,3059.0,1324.0,14.0,6.0,1344.0,0.0,1615.0,33585.0,33164.0,346.0,75.0,3272.0,30313.0,1613.0,1539.0,29.0,2.0,1570.0,41.0,2.0,0.0,43.0,0.0,30277.0,47.0,53.0,3.0,2012-09-01
Del Norte,56.0,59.0,-3.0,222.0,278.0,220.0,143.0,0.0,0.0,6.0,65.0,0.0,0.0,1.0,5.0,58.0,444.0,2076.0,428.0,2045.0,16.0,31.0,-10.0,169.0,17.0,0.0,0.0,126.0,0.0,0.0,17.0,126.0,-29.0,29.0,0.0,0.0,0.0,0.0,2.0,14.0,434.0,2245.0,434.0,2233.0,5363.0,0.0,6.0,0.0,6.0,5.0,1.0,0.0,6.0,18.0,280.0,416.0,1965.0,27.0,157.0,24.0,0.0,0.0,153.0,0.0,0.0,24.0,153.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,2012,SEP,0.0,71.0,0.0,6.0,47.0,2520.0,159.0,143.0,0.0,0.0,143.0,0.0,16.0,2679.0,2667.0,6.0,6.0,298.0,2381.0,184.0,177.0,0.0,0.0,177.0,7.0,0.0,0.0,7.0,0.0,2473.0,0.0,0.0,3.0,2012-09-01
El Dorado,366.0,366.0,0.0,1159.0,1525.0,798.0,446.0,0.0,0.0,14.0,265.0,0.0,0.0,2.0,71.0,727.0,557.0,5014.0,633.0,5220.0,-76.0,-206.0,91.0,810.0,35.0,0.0,0.0,408.0,2.0,1.0,35.0,411.0,-38.0,38.0,0.0,0.0,93.0,330.0,1.0,31.0,648.0,5824.0,641.0,5788.0,11776.0,1.0,32.0,6.0,23.0,15.0,0.0,1.0,13.0,22.0,559.0,626.0,5265.0,47.0,407.0,41.0,2.0,0.0,400.0,5.0,0.0,43.0,405.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,2012,SEP,0.0,279.0,0.0,73.0,-282.0,5571.0,901.0,443.0,2.0,1.0,446.0,0.0,32.0,6472.0,6429.0,29.0,14.0,581.0,5891.0,454.0,441.0,7.0,0.0,448.0,6.0,0.0,0.0,6.0,0.0,5853.0,0.0,423.0,3.0,2012-09-01
