county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,77587.0,89188.0,-11601.0,186106.0,263693.0,157188.0,96599.0,345.0,3506.0,1976.0,48999.0,156.0,3597.0,990.0,8624.0,106505.0,321325.0,1569626.0,320591.0,1558494.0,734.0,11132.0,18291.0,141984.0,7310.0,118.0,12.0,87377.0,1319.0,698.0,7440.0,89159.0,929.0,-800.0,997.0,1828.0,1561.0,5106.0,7364.0,46691.0,339616.0,1711610.0,334940.0,1682086.0,4356687.0,2492.0,29325.0,4528.0,20317.0,11902.0,547.0,148.0,9207.0,17093.0,135605.0,322523.0,1576005.0,27107.0,113654.0,25816.0,331.0,9.0,104997.0,1320.0,361.0,26156.0,106678.0,928.0,21.0,2.0,6805.0,144.0,27.0,951.0,6976.0,145.0,1070.0,2014,JAN,3851.0,50975.0,3753.0,9614.0,11866.0,1890951.0,160275.0,94687.0,1437.0,710.0,96599.0,129.0,54055.0,2051226.0,2017026.0,24845.0,9355.0,152698.0,1898528.0,140761.0,130813.0,1651.0,370.0,132834.0,7733.0,165.0,29.0,7927.0,1215.0,1879085.0,2825.0,6667.0,1.0,2014-01-01
Alameda,3297.0,3476.0,-179.0,4518.0,7815.0,3639.0,2195.0,23.0,318.0,1.0,1298.0,1.0,306.0,0.0,145.0,4176.0,9915.0,53694.0,9847.0,52615.0,68.0,1079.0,763.0,4366.0,210.0,8.0,0.0,1914.0,43.0,20.0,218.0,1977.0,2.0,5.0,13.0,46.0,6.0,233.0,524.0,2105.0,10678.0,58060.0,10405.0,56410.0,136320.0,136.0,1646.0,267.0,1161.0,667.0,0.0,6.0,489.0,725.0,5149.0,9953.0,52911.0,796.0,3083.0,777.0,11.0,0.0,2910.0,72.0,9.0,788.0,2991.0,8.0,0.0,0.0,90.0,2.0,0.0,8.0,92.0,0.0,0.0,2014,JAN,341.0,1299.0,307.0,145.0,1147.0,63609.0,5129.0,2124.0,51.0,20.0,2195.0,7.0,2629.0,68738.0,66815.0,1428.0,495.0,5874.0,62864.0,3879.0,3687.0,83.0,9.0,3779.0,98.0,2.0,0.0,100.0,0.0,62462.0,59.0,239.0,1.0,2014-01-01
Alpine,1.0,1.0,0.0,19.0,20.0,19.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,99.0,3.0,98.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,111.0,3.0,111.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,106.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,JAN,0.0,7.0,0.0,0.0,1.0,102.0,12.0,12.0,0.0,0.0,12.0,0.0,0.0,114.0,114.0,0.0,0.0,5.0,109.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,1.0,2014-01-01
Amador,54.0,54.0,0.0,222.0,276.0,234.0,127.0,0.0,8.0,0.0,72.0,0.0,1.0,0.0,35.0,42.0,168.0,1436.0,168.0,1427.0,0.0,9.0,18.0,162.0,3.0,0.0,0.0,124.0,0.0,0.0,3.0,124.0,9.0,-9.0,2.0,3.0,0.0,6.0,4.0,38.0,186.0,1598.0,186.0,1594.0,3479.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,141.0,181.0,1457.0,24.0,168.0,24.0,0.0,0.0,158.0,1.0,0.0,24.0,159.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,2014,JAN,8.0,72.0,1.0,35.0,9.0,1604.0,180.0,127.0,0.0,0.0,127.0,0.0,42.0,1784.0,1780.0,3.0,1.0,146.0,1638.0,192.0,182.0,1.0,0.0,183.0,9.0,0.0,0.0,9.0,0.0,1595.0,5.0,6.0,1.0,2014-01-01
Butte,684.0,694.0,-10.0,1674.0,2358.0,1457.0,810.0,9.0,46.0,0.0,534.0,0.0,28.0,0.0,113.0,901.0,1903.0,12079.0,1883.0,11911.0,20.0,168.0,144.0,1196.0,38.0,0.0,0.0,769.0,1.0,2.0,38.0,772.0,21.0,-21.0,8.0,40.0,2.0,62.0,75.0,343.0,2047.0,13275.0,2039.0,13219.0,30902.0,6.0,45.0,8.0,37.0,24.0,0.0,0.0,19.0,131.0,1169.0,1916.0,12106.0,214.0,1071.0,212.0,1.0,0.0,1006.0,4.0,0.0,213.0,1010.0,1.0,0.0,0.0,60.0,1.0,0.0,1.0,61.0,0.0,0.0,2014,JAN,55.0,534.0,28.0,113.0,188.0,13982.0,1340.0,807.0,1.0,2.0,810.0,0.0,418.0,15322.0,15258.0,45.0,19.0,1300.0,14022.0,1285.0,1218.0,5.0,0.0,1223.0,61.0,1.0,0.0,62.0,0.0,13794.0,48.0,64.0,1.0,2014-01-01
Calaveras,64.0,66.0,-2.0,243.0,307.0,239.0,142.0,0.0,1.0,0.0,81.0,0.0,0.0,0.0,16.0,68.0,268.0,2206.0,266.0,2196.0,2.0,10.0,29.0,204.0,6.0,0.0,0.0,135.0,0.0,1.0,6.0,136.0,5.0,-5.0,8.0,5.0,0.0,19.0,10.0,49.0,297.0,2410.0,297.0,2400.0,5132.0,1.0,6.0,0.0,6.0,5.0,0.0,0.0,4.0,8.0,190.0,289.0,2220.0,43.0,221.0,43.0,0.0,0.0,212.0,0.0,0.0,43.0,212.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,2014,JAN,1.0,81.0,0.0,16.0,12.0,2474.0,233.0,141.0,0.0,1.0,142.0,0.0,59.0,2707.0,2697.0,6.0,4.0,198.0,2509.0,264.0,255.0,0.0,0.0,255.0,9.0,0.0,0.0,9.0,0.0,2462.0,13.0,19.0,1.0,2014-01-01
Colusa,48.0,48.0,0.0,112.0,160.0,90.0,46.0,1.0,1.0,0.0,42.0,0.0,1.0,0.0,2.0,70.0,92.0,565.0,92.0,565.0,0.0,0.0,20.0,65.0,7.0,0.0,0.0,39.0,0.0,0.0,7.0,39.0,11.0,3.0,1.0,1.0,0.0,9.0,1.0,13.0,112.0,630.0,112.0,625.0,1760.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,5.0,55.0,107.0,575.0,16.0,54.0,14.0,0.0,0.0,54.0,0.0,0.0,14.0,54.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2014,JAN,2.0,42.0,1.0,2.0,0.0,657.0,85.0,46.0,0.0,0.0,46.0,14.0,14.0,742.0,737.0,4.0,1.0,60.0,682.0,70.0,68.0,0.0,0.0,68.0,0.0,0.0,2.0,2.0,0.0,657.0,2.0,9.0,1.0,2014-01-01
Contra Costa,1792.0,1871.0,-79.0,3302.0,5094.0,3085.0,1557.0,20.0,120.0,0.0,1144.0,0.0,110.0,0.0,384.0,2009.0,5171.0,25987.0,5215.0,25765.0,-44.0,222.0,431.0,2809.0,174.0,5.0,0.0,1352.0,19.0,7.0,179.0,1378.0,-3.0,3.0,14.0,48.0,0.0,29.0,241.0,1351.0,5602.0,28796.0,5531.0,28416.0,71381.0,29.0,396.0,69.0,274.0,152.0,0.0,2.0,106.0,262.0,2659.0,5340.0,26137.0,449.0,1543.0,427.0,10.0,0.0,1488.0,22.0,3.0,437.0,1513.0,12.0,0.0,0.0,30.0,0.0,0.0,12.0,30.0,0.0,0.0,2014,JAN,140.0,1144.0,110.0,384.0,178.0,31158.0,3240.0,1526.0,24.0,7.0,1557.0,0.0,1592.0,34398.0,33947.0,343.0,108.0,2921.0,31477.0,1992.0,1915.0,32.0,3.0,1950.0,42.0,0.0,0.0,42.0,0.0,30980.0,62.0,29.0,1.0,2014-01-01
Del Norte,55.0,55.0,0.0,244.0,299.0,236.0,130.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,14.0,63.0,407.0,1949.0,406.0,1942.0,1.0,7.0,35.0,198.0,11.0,0.0,0.0,119.0,0.0,0.0,11.0,119.0,-1.0,1.0,1.0,4.0,2.0,7.0,22.0,67.0,442.0,2147.0,441.0,2137.0,5246.0,0.0,7.0,1.0,5.0,6.0,0.0,0.0,5.0,22.0,185.0,420.0,1962.0,42.0,177.0,42.0,0.0,0.0,175.0,0.0,0.0,42.0,175.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2014,JAN,0.0,92.0,0.0,14.0,8.0,2356.0,233.0,130.0,0.0,0.0,130.0,0.0,89.0,2589.0,2578.0,6.0,5.0,207.0,2382.0,219.0,217.0,0.0,0.0,217.0,2.0,0.0,0.0,2.0,0.0,2348.0,5.0,9.0,1.0,2014-01-01
El Dorado,442.0,443.0,-1.0,900.0,1342.0,792.0,417.0,2.0,3.0,0.0,324.0,0.0,0.0,0.0,51.0,550.0,547.0,5486.0,545.0,5421.0,2.0,65.0,21.0,603.0,21.0,0.0,0.0,396.0,0.0,0.0,21.0,396.0,-11.0,11.0,3.0,7.0,1.0,31.0,7.0,158.0,568.0,6089.0,568.0,6057.0,12112.0,0.0,27.0,0.0,23.0,11.0,2.0,0.0,9.0,18.0,510.0,550.0,5579.0,66.0,494.0,65.0,0.0,0.0,481.0,1.0,0.0,65.0,482.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,12.0,0.0,0.0,2014,JAN,5.0,324.0,0.0,51.0,67.0,6033.0,624.0,417.0,0.0,0.0,417.0,0.0,165.0,6657.0,6625.0,23.0,9.0,528.0,6129.0,560.0,546.0,1.0,0.0,547.0,13.0,0.0,0.0,13.0,0.0,5966.0,10.0,32.0,1.0,2014-01-01
