county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,83383.0,99975.0,-16592.0,182943.0,266326.0,164422.0,97748.0,261.0,2402.0,2450.0,54701.0,123.0,2888.0,1127.0,8396.0,101904.0,321103.0,1481361.0,330388.0,1461428.0,-9285.0,19933.0,8690.0,165665.0,6622.0,124.0,13.0,89240.0,1121.0,628.0,6759.0,90989.0,-3683.0,4563.0,878.0,1620.0,875.0,9687.0,3861.0,58806.0,329793.0,1647026.0,325585.0,1619409.0,4229361.0,2304.0,27569.0,4090.0,19254.0,10916.0,623.0,118.0,8363.0,7109.0,162677.0,322684.0,1484349.0,32979.0,118922.0,31862.0,408.0,9.0,109658.0,1317.0,346.0,32279.0,111321.0,692.0,8.0,0.0,7404.0,165.0,32.0,700.0,7601.0,90.0,530.0,2013,JUL,2663.0,57151.0,3011.0,9523.0,10648.0,1802464.0,174355.0,95862.0,1245.0,641.0,97748.0,880.0,62667.0,1976819.0,1944994.0,23344.0,8481.0,169786.0,1807033.0,151901.0,141520.0,1725.0,355.0,143600.0,8096.0,173.0,32.0,8301.0,620.0,1791816.0,2498.0,10562.0,3.0,2013-07-01
Alameda,3305.0,3548.0,-243.0,4670.0,7975.0,4030.0,2380.0,31.0,238.0,1.0,1495.0,0.0,287.0,0.0,154.0,3945.0,10151.0,52277.0,10421.0,50394.0,-270.0,1883.0,382.0,5414.0,206.0,8.0,1.0,2097.0,42.0,26.0,215.0,2165.0,9.0,9.0,17.0,44.0,8.0,375.0,133.0,2821.0,10533.0,57691.0,10256.0,56103.0,135358.0,111.0,1648.0,272.0,1120.0,624.0,0.0,5.0,468.0,182.0,5635.0,10351.0,52056.0,790.0,3426.0,758.0,25.0,0.0,3156.0,73.0,10.0,783.0,3239.0,7.0,0.0,0.0,181.0,6.0,0.0,7.0,187.0,0.0,0.0,2013,JUL,269.0,1496.0,287.0,154.0,1613.0,62428.0,5796.0,2303.0,50.0,27.0,2380.0,18.0,2954.0,68224.0,66359.0,1392.0,473.0,5817.0,62407.0,4216.0,3914.0,98.0,10.0,4022.0,188.0,6.0,0.0,194.0,0.0,60815.0,61.0,383.0,3.0,2013-07-01
Alpine,2.0,2.0,0.0,8.0,10.0,9.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,81.0,5.0,81.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,89.0,5.0,89.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,82.0,1.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,JUL,0.0,2.0,0.0,0.0,0.0,86.0,8.0,7.0,0.0,0.0,7.0,0.0,1.0,94.0,94.0,0.0,0.0,8.0,86.0,9.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,3.0,2013-07-01
Amador,41.0,41.0,0.0,200.0,241.0,182.0,109.0,1.0,2.0,0.0,47.0,0.0,0.0,0.0,26.0,59.0,166.0,1372.0,166.0,1372.0,0.0,0.0,-7.0,187.0,3.0,0.0,0.0,106.0,0.0,0.0,3.0,106.0,-15.0,15.0,4.0,4.0,0.0,24.0,1.0,38.0,159.0,1559.0,159.0,1553.0,3317.0,3.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,6.0,168.0,153.0,1391.0,25.0,154.0,24.0,0.0,0.0,149.0,0.0,0.0,24.0,149.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,2013,JUL,3.0,47.0,0.0,26.0,0.0,1538.0,180.0,109.0,0.0,0.0,109.0,0.0,39.0,1718.0,1712.0,5.0,1.0,174.0,1544.0,179.0,173.0,0.0,0.0,173.0,6.0,0.0,0.0,6.0,0.0,1538.0,8.0,24.0,3.0,2013-07-01
Butte,610.0,615.0,-5.0,1645.0,2255.0,1570.0,854.0,4.0,30.0,0.0,575.0,0.0,11.0,0.0,141.0,685.0,1996.0,11429.0,1996.0,11428.0,0.0,1.0,57.0,1486.0,27.0,0.0,0.0,821.0,2.0,4.0,27.0,827.0,-46.0,46.0,4.0,30.0,1.0,156.0,71.0,427.0,2053.0,12915.0,2044.0,12857.0,30498.0,5.0,48.0,9.0,39.0,23.0,1.0,0.0,19.0,87.0,1246.0,1966.0,11669.0,298.0,1341.0,292.0,3.0,0.0,1262.0,4.0,3.0,295.0,1269.0,3.0,0.0,0.0,71.0,0.0,1.0,3.0,72.0,0.0,0.0,2013,JUL,34.0,575.0,11.0,141.0,1.0,13425.0,1543.0,848.0,2.0,4.0,854.0,0.0,498.0,14968.0,14901.0,48.0,19.0,1333.0,13635.0,1639.0,1554.0,7.0,3.0,1564.0,74.0,0.0,1.0,75.0,0.0,13424.0,34.0,157.0,3.0,2013-07-01
Calaveras,50.0,51.0,-1.0,260.0,310.0,247.0,150.0,1.0,2.0,0.0,68.0,0.0,0.0,0.0,29.0,63.0,290.0,2081.0,289.0,2082.0,1.0,-1.0,-16.0,264.0,4.0,0.0,0.0,145.0,1.0,0.0,4.0,146.0,-28.0,28.0,2.0,8.0,0.0,34.0,6.0,48.0,274.0,2345.0,274.0,2337.0,5039.0,1.0,6.0,0.0,7.0,1.0,0.0,0.0,1.0,4.0,231.0,270.0,2114.0,45.0,213.0,45.0,0.0,0.0,203.0,0.0,0.0,45.0,203.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,2013,JUL,3.0,68.0,0.0,29.0,0.0,2371.0,248.0,149.0,1.0,0.0,150.0,0.0,54.0,2619.0,2611.0,7.0,1.0,235.0,2384.0,258.0,248.0,0.0,0.0,248.0,10.0,0.0,0.0,10.0,0.0,2371.0,10.0,34.0,3.0,2013-07-01
Colusa,36.0,36.0,0.0,92.0,128.0,86.0,40.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,6.0,42.0,102.0,554.0,102.0,554.0,0.0,0.0,15.0,77.0,5.0,0.0,0.0,35.0,0.0,0.0,5.0,35.0,6.0,14.0,0.0,0.0,0.0,3.0,4.0,25.0,117.0,631.0,117.0,624.0,1728.0,0.0,5.0,0.0,4.0,5.0,0.0,0.0,3.0,14.0,90.0,103.0,541.0,7.0,63.0,7.0,0.0,0.0,56.0,0.0,0.0,7.0,56.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,2013,JUL,0.0,40.0,1.0,6.0,0.0,656.0,92.0,40.0,0.0,0.0,40.0,20.0,29.0,748.0,741.0,4.0,3.0,104.0,644.0,70.0,63.0,0.0,0.0,63.0,7.0,0.0,0.0,7.0,0.0,656.0,0.0,3.0,3.0,2013-07-01
Contra Costa,1906.0,2011.0,-105.0,3096.0,5002.0,2904.0,1398.0,12.0,58.0,0.0,1268.0,0.0,76.0,0.0,238.0,2098.0,5382.0,23761.0,5577.0,23343.0,-195.0,418.0,221.0,3387.0,137.0,2.0,0.0,1239.0,14.0,6.0,139.0,1259.0,0.0,0.0,13.0,28.0,1.0,86.0,68.0,2014.0,5603.0,27148.0,5541.0,26814.0,68150.0,24.0,341.0,62.0,239.0,134.0,0.0,0.0,95.0,101.0,3556.0,5502.0,23592.0,480.0,1288.0,466.0,6.0,0.0,1253.0,12.0,1.0,472.0,1266.0,8.0,0.0,0.0,22.0,0.0,0.0,8.0,22.0,0.0,0.0,2013,JUL,70.0,1268.0,76.0,238.0,223.0,29143.0,3608.0,1376.0,16.0,6.0,1398.0,0.0,2082.0,32751.0,32355.0,301.0,95.0,3657.0,29094.0,1768.0,1719.0,18.0,1.0,1738.0,30.0,0.0,0.0,30.0,0.0,28920.0,41.0,87.0,3.0,2013-07-01
Del Norte,47.0,48.0,-1.0,235.0,282.0,234.0,129.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,14.0,48.0,427.0,1907.0,430.0,1907.0,-3.0,0.0,1.0,229.0,10.0,1.0,0.0,118.0,0.0,0.0,11.0,118.0,-20.0,20.0,1.0,3.0,0.0,17.0,9.0,71.0,428.0,2136.0,427.0,2129.0,5187.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,5.0,4.0,240.0,424.0,1896.0,83.0,221.0,81.0,0.0,0.0,202.0,1.0,0.0,81.0,203.0,2.0,0.0,0.0,18.0,0.0,0.0,2.0,18.0,0.0,0.0,2013,JUL,0.0,91.0,0.0,14.0,-3.0,2334.0,230.0,128.0,1.0,0.0,129.0,0.0,80.0,2564.0,2556.0,3.0,5.0,244.0,2320.0,304.0,283.0,1.0,0.0,284.0,20.0,0.0,0.0,20.0,0.0,2337.0,4.0,17.0,3.0,2013-07-01
El Dorado,290.0,294.0,-4.0,838.0,1128.0,808.0,438.0,1.0,1.0,0.0,309.0,0.0,0.0,0.0,61.0,320.0,585.0,5149.0,586.0,5149.0,-1.0,0.0,-2.0,806.0,22.0,0.0,0.0,413.0,2.0,1.0,22.0,416.0,-30.0,30.0,0.0,12.0,0.0,111.0,6.0,237.0,583.0,5955.0,583.0,5915.0,11945.0,1.0,26.0,0.0,24.0,19.0,1.0,0.0,16.0,21.0,756.0,562.0,5199.0,88.0,554.0,87.0,0.0,0.0,540.0,4.0,0.0,87.0,544.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,2013,JUL,2.0,309.0,0.0,61.0,-1.0,5734.0,804.0,435.0,2.0,1.0,438.0,0.0,243.0,6538.0,6498.0,24.0,16.0,777.0,5761.0,642.0,627.0,4.0,0.0,631.0,11.0,0.0,0.0,11.0,0.0,5735.0,12.0,111.0,3.0,2013-07-01
