county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,80878.0,92232.0,-11354.0,149566.0,230444.0,142442.0,88154.0,269.0,2929.0,1861.0,44925.0,129.0,2974.0,762.0,6740.0,88002.0,324545.0,1617658.0,328026.0,1612716.0,-3481.0,4942.0,16288.0,133390.0,6623.0,140.0,8.0,79728.0,1204.0,677.0,6771.0,81383.0,-642.0,1277.0,987.0,1920.0,1842.0,5120.0,7330.0,43690.0,340833.0,1751048.0,335818.0,1720133.0,4401344.0,2653.0,30144.0,4832.0,20839.0,12988.0,605.0,183.0,10076.0,17099.0,128779.0,323734.0,1622269.0,26556.0,106931.0,25385.0,393.0,12.0,99027.0,1167.0,352.0,25790.0,100546.0,750.0,16.0,0.0,6214.0,136.0,35.0,766.0,6385.0,257.0,1685.0,2014,MAY,3198.0,46786.0,3103.0,7502.0,1461.0,1942203.0,149678.0,86351.0,1344.0,685.0,88154.0,635.0,51020.0,2091881.0,2055951.0,25671.0,10259.0,145878.0,1946003.0,133487.0,124412.0,1560.0,364.0,126336.0,6964.0,152.0,35.0,7151.0,1942.0,1940742.0,2907.0,6962.0,2.0,2014-05-01
Alameda,3551.0,3985.0,-434.0,3690.0,7241.0,3706.0,2195.0,14.0,293.0,2.0,1337.0,0.0,286.0,0.0,172.0,3535.0,9862.0,54646.0,10005.0,54229.0,-143.0,417.0,675.0,4117.0,205.0,5.0,0.0,1914.0,52.0,19.0,210.0,1985.0,0.0,0.0,10.0,41.0,9.0,189.0,446.0,1902.0,10537.0,58763.0,10244.0,57046.0,135771.0,151.0,1682.0,288.0,1207.0,701.0,0.0,5.0,510.0,710.0,4565.0,9827.0,54198.0,736.0,2874.0,689.0,26.0,0.0,2706.0,58.0,12.0,715.0,2776.0,19.0,2.0,0.0,97.0,1.0,0.0,21.0,98.0,0.0,0.0,2014,MAY,307.0,1339.0,286.0,172.0,274.0,64508.0,4792.0,2119.0,57.0,19.0,2195.0,0.0,2348.0,69300.0,67290.0,1495.0,515.0,5275.0,64025.0,3610.0,3395.0,84.0,12.0,3491.0,116.0,3.0,0.0,119.0,0.0,64234.0,51.0,198.0,2.0,2014-05-01
Alpine,0.0,0.0,0.0,7.0,7.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,103.0,4.0,103.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,109.0,4.0,109.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,105.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,MAY,0.0,1.0,0.0,0.0,0.0,107.0,6.0,5.0,0.0,0.0,5.0,0.0,0.0,113.0,113.0,0.0,0.0,4.0,109.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,1.0,2.0,2014-05-01
Amador,46.0,46.0,0.0,145.0,191.0,148.0,87.0,0.0,1.0,0.0,43.0,0.0,1.0,0.0,18.0,43.0,174.0,1480.0,174.0,1480.0,0.0,0.0,5.0,150.0,3.0,0.0,0.0,84.0,0.0,0.0,3.0,84.0,-1.0,1.0,1.0,4.0,1.0,16.0,1.0,45.0,179.0,1630.0,179.0,1627.0,3444.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,121.0,164.0,1509.0,16.0,126.0,16.0,0.0,0.0,120.0,0.0,0.0,16.0,120.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,2014,MAY,1.0,43.0,1.0,18.0,0.0,1654.0,155.0,87.0,0.0,0.0,87.0,0.0,46.0,1809.0,1806.0,3.0,0.0,136.0,1673.0,142.0,136.0,0.0,0.0,136.0,5.0,1.0,0.0,6.0,0.0,1654.0,5.0,17.0,2.0,2014-05-01
Butte,773.0,782.0,-9.0,1237.0,2010.0,1410.0,841.0,4.0,75.0,0.0,484.0,0.0,41.0,0.0,85.0,600.0,1975.0,12369.0,1975.0,12369.0,0.0,0.0,160.0,1215.0,25.0,0.0,0.0,810.0,5.0,1.0,25.0,816.0,24.0,-24.0,7.0,25.0,1.0,57.0,103.0,341.0,2135.0,13584.0,2128.0,13514.0,31151.0,7.0,51.0,7.0,46.0,31.0,4.0,0.0,24.0,137.0,1125.0,1998.0,12459.0,215.0,1067.0,213.0,1.0,0.0,1026.0,5.0,2.0,214.0,1033.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,34.0,0.0,0.0,2014,MAY,79.0,484.0,41.0,85.0,0.0,14344.0,1375.0,835.0,5.0,1.0,841.0,0.0,444.0,15719.0,15642.0,53.0,24.0,1262.0,14457.0,1282.0,1239.0,6.0,2.0,1247.0,35.0,0.0,0.0,35.0,0.0,14344.0,32.0,58.0,2.0,2014-05-01
Calaveras,72.0,76.0,-4.0,178.0,250.0,190.0,133.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,6.0,60.0,274.0,2278.0,274.0,2279.0,0.0,-1.0,7.0,198.0,4.0,0.0,0.0,129.0,0.0,0.0,4.0,129.0,-7.0,7.0,1.0,8.0,0.0,19.0,9.0,35.0,281.0,2476.0,281.0,2468.0,5223.0,0.0,5.0,0.0,4.0,5.0,0.0,0.0,4.0,13.0,186.0,268.0,2290.0,28.0,194.0,27.0,0.0,0.0,187.0,0.0,0.0,27.0,187.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,2014,MAY,0.0,51.0,0.0,6.0,-1.0,2552.0,205.0,133.0,0.0,0.0,133.0,0.0,44.0,2757.0,2749.0,4.0,4.0,199.0,2558.0,222.0,214.0,0.0,0.0,214.0,8.0,0.0,0.0,8.0,0.0,2553.0,9.0,19.0,2.0,2014-05-01
Colusa,71.0,71.0,0.0,68.0,139.0,78.0,35.0,0.0,12.0,0.0,32.0,0.0,6.0,0.0,11.0,61.0,112.0,575.0,112.0,575.0,0.0,0.0,10.0,74.0,2.0,0.0,0.0,33.0,0.0,0.0,2.0,33.0,7.0,6.0,0.0,2.0,1.0,5.0,0.0,28.0,122.0,649.0,122.0,644.0,1806.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,19.0,62.0,103.0,587.0,10.0,56.0,10.0,0.0,0.0,53.0,0.0,0.0,10.0,53.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2014,MAY,12.0,32.0,6.0,11.0,0.0,687.0,84.0,35.0,0.0,0.0,35.0,13.0,28.0,771.0,766.0,4.0,1.0,81.0,690.0,66.0,63.0,0.0,0.0,63.0,3.0,0.0,0.0,3.0,0.0,687.0,2.0,6.0,2.0,2014-05-01
Contra Costa,1649.0,1680.0,-31.0,2482.0,4131.0,2621.0,1284.0,5.0,43.0,1.0,1110.0,1.0,90.0,0.0,226.0,1510.0,5295.0,27429.0,5384.0,27143.0,-89.0,286.0,272.0,2331.0,105.0,3.0,0.0,1152.0,15.0,9.0,108.0,1176.0,-2.0,2.0,18.0,43.0,6.0,46.0,142.0,1064.0,5567.0,29760.0,5486.0,29367.0,72423.0,33.0,400.0,79.0,271.0,168.0,3.0,2.0,122.0,284.0,2308.0,5283.0,27452.0,394.0,1336.0,388.0,0.0,0.0,1276.0,12.0,4.0,388.0,1292.0,6.0,0.0,0.0,44.0,0.0,0.0,6.0,44.0,0.0,0.0,2014,MAY,48.0,1111.0,91.0,226.0,197.0,32724.0,2603.0,1257.0,18.0,9.0,1284.0,0.0,1206.0,35327.0,34853.0,350.0,124.0,2592.0,32735.0,1730.0,1664.0,12.0,4.0,1680.0,50.0,0.0,0.0,50.0,0.0,32527.0,61.0,52.0,2.0,2014-05-01
Del Norte,55.0,60.0,-5.0,175.0,230.0,160.0,86.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,4.0,70.0,425.0,1935.0,425.0,1935.0,0.0,0.0,19.0,156.0,11.0,0.0,0.0,75.0,0.0,0.0,11.0,75.0,-7.0,7.0,0.0,2.0,2.0,13.0,13.0,59.0,444.0,2091.0,443.0,2084.0,5190.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,3.0,17.0,155.0,427.0,1936.0,53.0,195.0,53.0,0.0,0.0,194.0,0.0,0.0,53.0,194.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2014,MAY,0.0,70.0,0.0,4.0,0.0,2360.0,175.0,86.0,0.0,0.0,86.0,0.0,72.0,2535.0,2527.0,5.0,3.0,172.0,2363.0,248.0,247.0,0.0,0.0,247.0,1.0,0.0,0.0,1.0,0.0,2360.0,2.0,15.0,2.0,2014-05-01
El Dorado,297.0,305.0,-8.0,693.0,990.0,689.0,365.0,1.0,1.0,0.0,286.0,0.0,0.0,0.0,38.0,301.0,584.0,5816.0,584.0,5816.0,0.0,0.0,31.0,554.0,15.0,0.0,0.0,349.0,1.0,0.0,15.0,350.0,0.0,0.0,2.0,12.0,1.0,36.0,13.0,156.0,615.0,6370.0,614.0,6342.0,12661.0,0.0,26.0,1.0,20.0,10.0,0.0,0.0,8.0,37.0,538.0,578.0,5832.0,59.0,467.0,58.0,0.0,0.0,459.0,0.0,0.0,58.0,459.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,2014,MAY,2.0,286.0,0.0,38.0,0.0,6400.0,585.0,364.0,1.0,0.0,365.0,0.0,169.0,6985.0,6956.0,21.0,8.0,575.0,6410.0,526.0,517.0,0.0,0.0,517.0,9.0,0.0,0.0,9.0,0.0,6400.0,14.0,37.0,2.0,2014-05-01
