county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,87507.0,103254.0,-15747.0,145334.0,232841.0,143128.0,84767.0,248.0,2371.0,1809.0,48385.0,106.0,2800.0,731.0,7436.0,89713.0,320948.0,1558185.0,319713.0,1553731.0,1235.0,4454.0,13228.0,123929.0,6287.0,133.0,15.0,76739.0,1278.0,547.0,6435.0,78332.0,289.0,-159.0,932.0,1809.0,533.0,4769.0,5039.0,39178.0,334176.0,1682114.0,329708.0,1653569.0,4301137.0,2390.0,28469.0,4328.0,19854.0,11219.0,556.0,140.0,8691.0,16093.0,127091.0,318083.0,1555023.0,24543.0,96445.0,23350.0,277.0,9.0,88827.0,1123.0,244.0,23636.0,90194.0,888.0,19.0,0.0,6114.0,112.0,25.0,907.0,6251.0,164.0,1117.0,2013,NOV,2619.0,50194.0,2906.0,8167.0,5689.0,1879133.0,137157.0,83026.0,1411.0,562.0,84767.0,130.0,44217.0,2016290.0,1983277.0,24182.0,8831.0,143184.0,1873106.0,120988.0,112177.0,1400.0,253.0,113830.0,7002.0,131.0,25.0,7158.0,1281.0,1873444.0,2741.0,5302.0,4.0,2013-11-01
Alameda,3143.0,3671.0,-528.0,3213.0,6356.0,3268.0,1861.0,8.0,185.0,0.0,1281.0,0.0,228.0,0.0,126.0,3088.0,10024.0,54225.0,9792.0,54363.0,232.0,-138.0,549.0,3465.0,193.0,12.0,1.0,1600.0,39.0,16.0,206.0,1655.0,2.0,3.0,7.0,39.0,5.0,124.0,329.0,1644.0,10573.0,57690.0,10306.0,56067.0,135435.0,132.0,1647.0,259.0,1160.0,623.0,0.0,8.0,463.0,774.0,4654.0,9799.0,53036.0,645.0,2443.0,614.0,14.0,0.0,2339.0,42.0,4.0,628.0,2385.0,17.0,0.0,0.0,57.0,1.0,0.0,17.0,58.0,0.0,0.0,2013,NOV,193.0,1281.0,228.0,126.0,94.0,64249.0,4014.0,1793.0,51.0,17.0,1861.0,5.0,1973.0,68263.0,66373.0,1419.0,471.0,5428.0,62835.0,3088.0,2953.0,56.0,4.0,3013.0,74.0,1.0,0.0,75.0,0.0,64155.0,46.0,129.0,4.0,2013-11-01
Alpine,0.0,0.0,0.0,8.0,8.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,88.0,2.0,88.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,97.0,3.0,97.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,89.0,1.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NOV,0.0,1.0,0.0,0.0,0.0,90.0,10.0,5.0,0.0,0.0,5.0,0.0,5.0,100.0,100.0,0.0,0.0,8.0,92.0,9.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,4.0,2013-11-01
Amador,53.0,56.0,-3.0,172.0,225.0,180.0,116.0,1.0,3.0,0.0,36.0,0.0,2.0,0.0,28.0,45.0,171.0,1389.0,171.0,1389.0,0.0,0.0,15.0,135.0,3.0,0.0,0.0,113.0,0.0,0.0,3.0,113.0,9.0,-9.0,1.0,2.0,0.0,9.0,2.0,20.0,186.0,1524.0,185.0,1521.0,3298.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,9.0,99.0,177.0,1425.0,20.0,143.0,17.0,1.0,0.0,140.0,0.0,0.0,18.0,140.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2013,NOV,4.0,36.0,2.0,28.0,0.0,1560.0,150.0,116.0,0.0,0.0,116.0,0.0,22.0,1710.0,1706.0,3.0,1.0,108.0,1602.0,163.0,157.0,1.0,0.0,158.0,5.0,0.0,0.0,5.0,0.0,1560.0,3.0,9.0,4.0,2013-11-01
Butte,627.0,629.0,-2.0,1231.0,1858.0,1195.0,664.0,7.0,51.0,0.0,442.0,0.0,18.0,0.0,89.0,663.0,1892.0,11845.0,1892.0,11845.0,0.0,0.0,101.0,1133.0,23.0,0.0,0.0,637.0,2.0,2.0,23.0,641.0,14.0,-14.0,10.0,38.0,2.0,69.0,52.0,399.0,1993.0,12978.0,1987.0,12918.0,30281.0,5.0,42.0,6.0,37.0,28.0,0.0,0.0,23.0,111.0,1197.0,1882.0,11781.0,161.0,905.0,158.0,0.0,0.0,855.0,4.0,0.0,158.0,859.0,3.0,0.0,0.0,46.0,0.0,0.0,3.0,46.0,,,2013,NOV,58.0,442.0,18.0,89.0,0.0,13737.0,1234.0,660.0,2.0,2.0,664.0,0.0,451.0,14971.0,14905.0,43.0,23.0,1308.0,13663.0,1066.0,1013.0,4.0,0.0,1017.0,49.0,0.0,0.0,49.0,,13737.0,48.0,71.0,4.0,2013-11-01
Calaveras,78.0,81.0,-3.0,223.0,301.0,237.0,141.0,0.0,2.0,0.0,77.0,0.0,1.0,0.0,19.0,64.0,265.0,2151.0,265.0,2151.0,0.0,0.0,10.0,213.0,5.0,0.0,0.0,135.0,1.0,0.0,5.0,136.0,-4.0,4.0,4.0,12.0,0.0,8.0,5.0,53.0,275.0,2364.0,275.0,2356.0,5006.0,1.0,7.0,0.0,7.0,1.0,0.0,0.0,1.0,7.0,169.0,268.0,2195.0,24.0,212.0,24.0,0.0,0.0,203.0,0.0,0.0,24.0,203.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,2013,NOV,2.0,77.0,1.0,19.0,0.0,2416.0,223.0,140.0,1.0,0.0,141.0,0.0,58.0,2639.0,2631.0,7.0,1.0,176.0,2463.0,236.0,227.0,0.0,0.0,227.0,9.0,0.0,0.0,9.0,0.0,2416.0,16.0,8.0,4.0,2013-11-01
Colusa,48.0,48.0,0.0,83.0,131.0,86.0,44.0,1.0,3.0,0.0,40.0,0.0,2.0,0.0,2.0,45.0,91.0,534.0,91.0,534.0,0.0,0.0,8.0,86.0,2.0,0.0,0.0,42.0,0.0,0.0,2.0,42.0,4.0,2.0,1.0,1.0,0.0,9.0,1.0,32.0,99.0,620.0,99.0,616.0,1694.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,6.0,68.0,93.0,552.0,7.0,63.0,7.0,0.0,0.0,60.0,0.0,0.0,7.0,60.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2013,NOV,4.0,40.0,2.0,2.0,0.0,625.0,94.0,44.0,0.0,0.0,44.0,6.0,33.0,719.0,715.0,3.0,1.0,74.0,645.0,70.0,67.0,0.0,0.0,67.0,3.0,0.0,0.0,3.0,0.0,625.0,2.0,9.0,4.0,2013-11-01
Contra Costa,2413.0,2462.0,-49.0,2553.0,4966.0,2749.0,1231.0,16.0,113.0,0.0,1140.0,0.0,139.0,0.0,378.0,2217.0,5309.0,26285.0,5305.0,26097.0,4.0,188.0,231.0,2245.0,111.0,2.0,0.0,1100.0,12.0,6.0,113.0,1118.0,-2.0,2.0,21.0,53.0,1.0,22.0,98.0,1050.0,5540.0,28530.0,5473.0,28175.0,70697.0,24.0,361.0,67.0,254.0,143.0,0.0,0.0,101.0,300.0,2699.0,5240.0,25831.0,402.0,1019.0,393.0,3.0,0.0,987.0,14.0,1.0,396.0,1002.0,6.0,0.0,0.0,17.0,0.0,0.0,6.0,17.0,0.0,0.0,2013,NOV,129.0,1140.0,139.0,378.0,192.0,31594.0,2476.0,1211.0,14.0,6.0,1231.0,0.0,1148.0,34070.0,33648.0,321.0,101.0,2999.0,31071.0,1421.0,1380.0,17.0,1.0,1398.0,23.0,0.0,0.0,23.0,0.0,31402.0,74.0,23.0,4.0,2013-11-01
Del Norte,56.0,56.0,0.0,209.0,265.0,214.0,138.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,8.0,51.0,410.0,1897.0,410.0,1898.0,0.0,-1.0,23.0,212.0,12.0,0.0,0.0,122.0,3.0,1.0,12.0,126.0,-2.0,2.0,2.0,8.0,0.0,10.0,11.0,66.0,433.0,2109.0,432.0,2100.0,5156.0,0.0,8.0,1.0,6.0,3.0,0.0,0.0,3.0,12.0,169.0,421.0,1940.0,41.0,211.0,41.0,0.0,0.0,206.0,2.0,0.0,41.0,208.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2013,NOV,0.0,68.0,0.0,8.0,-1.0,2307.0,235.0,134.0,3.0,1.0,138.0,0.0,77.0,2542.0,2532.0,7.0,3.0,181.0,2361.0,252.0,247.0,2.0,0.0,249.0,3.0,0.0,0.0,3.0,0.0,2308.0,10.0,10.0,4.0,2013-11-01
El Dorado,388.0,395.0,-7.0,772.0,1160.0,703.0,374.0,3.0,1.0,0.0,279.0,0.0,0.0,0.0,50.0,457.0,531.0,5259.0,532.0,5259.0,-1.0,0.0,38.0,576.0,16.0,0.0,0.0,355.0,3.0,0.0,16.0,358.0,7.0,-7.0,5.0,14.0,0.0,35.0,10.0,176.0,569.0,5835.0,569.0,5801.0,11682.0,0.0,27.0,0.0,24.0,12.0,1.0,0.0,10.0,20.0,473.0,549.0,5362.0,63.0,495.0,62.0,0.0,0.0,480.0,3.0,1.0,62.0,484.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,11.0,0.0,0.0,2013,NOV,4.0,279.0,0.0,50.0,-1.0,5790.0,614.0,371.0,3.0,0.0,374.0,0.0,186.0,6404.0,6370.0,24.0,10.0,493.0,5911.0,558.0,542.0,3.0,1.0,546.0,12.0,0.0,0.0,12.0,0.0,5791.0,19.0,35.0,4.0,2013-11-01
