county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
Santa Cruz,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,2015,FEB,17.0,21.0,25.0,29.0,43.0,35.0,47.0,53.0,55.0,57.0,63.0,67.0,79.0,83.0,87.0,97.0,105.0,109.0,113.0,117.0,123.0,125.0,127.0,133.0,139.0,141.0,143.0,149.0,153.0,39.0,71.0,75.0,1.0,2015-02-01
California,92516.0,101954.0,-9438.0,145163.0,237679.0,140278.0,85827.0,248.0,2297.0,1737.0,45017.0,139.0,2682.0,815.0,6882.0,97401.0,317452.0,1689729.0,316962.0,1678254.0,490.0,11475.0,15328.0,139451.0,5386.0,99.0,10.0,78592.0,1063.0,677.0,5495.0,80332.0,75.0,810.0,1071.0,2503.0,2270.0,6113.0,6417.0,49693.0,332780.0,1829180.0,327814.0,1796911.0,4452849.0,3181.0,30937.0,4803.0,21424.0,13694.0,612.0,163.0,10845.0,19571.0,152166.0,313209.0,1677014.0,22753.0,103125.0,21625.0,342.0,9.0,96087.0,1228.0,370.0,21976.0,97685.0,766.0,11.0,0.0,5314.0,94.0,32.0,777.0,5440.0,149.0,1202.0,2015,FEB,2545.0,46754.0,2821.0,7697.0,11965.0,2007181.0,154779.0,83978.0,1162.0,687.0,85827.0,885.0,56110.0,2161960.0,2124725.0,26227.0,11008.0,171737.0,1990223.0,125878.0,117712.0,1570.0,379.0,119661.0,6080.0,105.0,32.0,6217.0,1351.0,1995216.0,3574.0,8383.0,1.0,2015-02-01
Alameda,4507.0,4613.0,-106.0,3972.0,8479.0,3290.0,1923.0,11.0,316.0,0.0,1211.0,0.0,276.0,0.0,156.0,5189.0,8738.0,51920.0,9004.0,51487.0,-266.0,433.0,551.0,4121.0,150.0,5.0,1.0,1690.0,51.0,26.0,156.0,1767.0,0.0,0.0,13.0,71.0,49.0,245.0,333.0,2038.0,9289.0,56041.0,8995.0,54214.0,127921.0,168.0,1828.0,283.0,1271.0,770.0,6.0,11.0,556.0,761.0,5886.0,8528.0,50155.0,608.0,2473.0,586.0,16.0,1.0,2341.0,62.0,8.0,603.0,2411.0,4.0,1.0,0.0,59.0,3.0,0.0,5.0,62.0,0.0,0.0,2015,FEB,327.0,1211.0,276.0,156.0,167.0,60658.0,4672.0,1840.0,56.0,27.0,1923.0,0.0,2371.0,65330.0,63209.0,1554.0,567.0,6647.0,58683.0,3081.0,2927.0,78.0,9.0,3014.0,63.0,4.0,0.0,67.0,0.0,60491.0,84.0,294.0,1.0,2015-02-01
Alpine,2.0,2.0,0.0,6.0,8.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,92.0,3.0,92.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,98.0,4.0,98.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,94.0,1.0,7.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,FEB,0.0,1.0,0.0,0.0,0.0,95.0,7.0,4.0,0.0,0.0,4.0,0.0,2.0,102.0,102.0,0.0,0.0,4.0,98.0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.0,1.0,2015-02-01
Amador,56.0,59.0,-3.0,165.0,221.0,163.0,104.0,1.0,5.0,0.0,51.0,0.0,3.0,0.0,8.0,58.0,168.0,1441.0,168.0,1441.0,0.0,0.0,5.0,167.0,1.0,0.0,0.0,103.0,0.0,0.0,1.0,103.0,-1.0,1.0,1.0,3.0,2.0,8.0,2.0,52.0,173.0,1608.0,173.0,1606.0,3391.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,143.0,162.0,1465.0,10.0,149.0,10.0,0.0,0.0,144.0,0.0,0.0,10.0,144.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,2015,FEB,6.0,51.0,3.0,8.0,0.0,1609.0,172.0,104.0,0.0,0.0,104.0,0.0,54.0,1781.0,1779.0,2.0,0.0,154.0,1627.0,159.0,154.0,0.0,0.0,154.0,5.0,0.0,0.0,5.0,5.0,1609.0,4.0,10.0,1.0,2015-02-01
Butte,723.0,727.0,-4.0,1345.0,2068.0,1407.0,753.0,12.0,63.0,0.0,544.0,0.0,28.0,0.0,110.0,661.0,1903.0,13043.0,1903.0,13043.0,0.0,0.0,109.0,1280.0,29.0,0.0,0.0,720.0,3.0,1.0,29.0,724.0,7.0,-7.0,6.0,34.0,8.0,88.0,59.0,441.0,2012.0,14323.0,2002.0,14251.0,31622.0,10.0,52.0,9.0,49.0,24.0,3.0,1.0,23.0,125.0,1186.0,1887.0,13137.0,205.0,1104.0,203.0,1.0,0.0,1055.0,3.0,1.0,204.0,1059.0,1.0,0.0,0.0,45.0,0.0,0.0,1.0,45.0,0.0,0.0,2015,FEB,75.0,544.0,28.0,110.0,0.0,14946.0,1389.0,749.0,3.0,1.0,753.0,0.0,500.0,16335.0,16253.0,58.0,24.0,1311.0,15024.0,1309.0,1258.0,4.0,1.0,1263.0,46.0,0.0,0.0,46.0,0.0,14946.0,40.0,96.0,1.0,2015-02-01
Calaveras,67.0,70.0,-3.0,197.0,264.0,204.0,132.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,12.0,60.0,264.0,2482.0,264.0,2482.0,0.0,0.0,23.0,193.0,3.0,0.0,0.0,127.0,1.0,1.0,3.0,129.0,11.0,-11.0,3.0,4.0,0.0,18.0,6.0,53.0,287.0,2675.0,286.0,2665.0,5507.0,0.0,9.0,1.0,7.0,4.0,0.0,0.0,3.0,15.0,173.0,272.0,2502.0,35.0,226.0,35.0,0.0,0.0,220.0,2.0,1.0,35.0,223.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2015,FEB,0.0,60.0,0.0,12.0,0.0,2746.0,216.0,130.0,1.0,1.0,132.0,0.0,59.0,2962.0,2951.0,8.0,3.0,188.0,2774.0,261.0,255.0,2.0,1.0,258.0,3.0,0.0,0.0,3.0,0.0,2746.0,7.0,18.0,1.0,2015-02-01
Colusa,70.0,70.0,0.0,59.0,129.0,83.0,38.0,0.0,4.0,0.0,39.0,0.0,0.0,0.0,6.0,46.0,102.0,526.0,102.0,526.0,0.0,0.0,10.0,74.0,4.0,0.0,0.0,34.0,0.0,0.0,4.0,34.0,6.0,2.0,0.0,2.0,0.0,4.0,0.0,32.0,112.0,600.0,110.0,594.0,1673.0,0.0,6.0,2.0,4.0,4.0,0.0,0.0,2.0,13.0,68.0,99.0,532.0,9.0,53.0,8.0,0.0,0.0,50.0,1.0,0.0,8.0,51.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2015,FEB,4.0,39.0,0.0,6.0,0.0,628.0,84.0,38.0,0.0,0.0,38.0,8.0,32.0,712.0,704.0,6.0,2.0,81.0,631.0,62.0,58.0,1.0,0.0,59.0,3.0,0.0,0.0,3.0,0.0,628.0,2.0,4.0,1.0,2015-02-01
Contra Costa,2118.0,2146.0,-28.0,2497.0,4615.0,2647.0,1272.0,5.0,50.0,1.0,1107.0,0.0,69.0,0.0,267.0,1968.0,4918.0,27614.0,4888.0,27289.0,30.0,325.0,286.0,2498.0,103.0,2.0,0.0,1149.0,11.0,7.0,105.0,1167.0,0.0,0.0,15.0,39.0,10.0,32.0,156.0,1260.0,5204.0,30112.0,5120.0,29655.0,71994.0,25.0,516.0,84.0,330.0,155.0,4.0,0.0,127.0,306.0,2945.0,4898.0,27167.0,348.0,1450.0,338.0,6.0,0.0,1404.0,22.0,5.0,344.0,1431.0,4.0,0.0,0.0,18.0,1.0,0.0,4.0,19.0,0.0,0.0,2015,FEB,55.0,1108.0,69.0,267.0,355.0,32532.0,2784.0,1252.0,13.0,7.0,1272.0,0.0,1416.0,35316.0,34775.0,414.0,127.0,3251.0,32065.0,1798.0,1742.0,28.0,5.0,1775.0,22.0,1.0,0.0,23.0,0.0,32177.0,54.0,42.0,1.0,2015-02-01
Del Norte,76.0,77.0,-1.0,166.0,242.0,158.0,77.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,6.0,84.0,405.0,1924.0,405.0,1924.0,0.0,0.0,4.0,161.0,5.0,0.0,0.0,72.0,0.0,0.0,5.0,72.0,-16.0,16.0,1.0,3.0,1.0,8.0,13.0,62.0,409.0,2085.0,409.0,2081.0,5144.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,22.0,147.0,387.0,1938.0,45.0,176.0,45.0,0.0,0.0,176.0,0.0,0.0,45.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,FEB,0.0,75.0,0.0,6.0,0.0,2329.0,165.0,77.0,0.0,0.0,77.0,0.0,75.0,2494.0,2490.0,2.0,2.0,169.0,2325.0,221.0,221.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,2329.0,4.0,9.0,1.0,2015-02-01
