county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,73179.0,83532.0,-10353.0,162831.0,236010.0,149736.0,96832.0,294.0,2386.0,1675.0,43945.0,157.0,2663.0,768.0,6516.0,86274.0,269931.0,1741853.0,267681.0,1733634.0,2250.0,8219.0,13577.0,147594.0,6526.0,127.0,13.0,88417.0,1067.0,682.0,6666.0,90166.0,-1356.0,1623.0,694.0,1795.0,2002.0,6683.0,5571.0,47327.0,283508.0,1889447.0,278621.0,1855915.0,4503663.0,3316.0,31930.0,4730.0,22267.0,14565.0,709.0,157.0,11265.0,16181.0,154142.0,267327.0,1735305.0,23621.0,116003.0,22511.0,377.0,10.0,107704.0,1420.0,398.0,22898.0,109522.0,708.0,13.0,2.0,6308.0,124.0,49.0,723.0,6481.0,330.0,1770.0,2015,AUG,2680.0,45620.0,2820.0,7284.0,10469.0,2011784.0,161171.0,94943.0,1194.0,695.0,96832.0,267.0,52898.0,2172955.0,2134536.0,26997.0,11422.0,170323.0,2002632.0,139624.0,130215.0,1797.0,408.0,132420.0,7016.0,137.0,51.0,7204.0,2100.0,2001315.0,2489.0,8685.0,3.0,2015-08-01
Alameda,3056.0,3399.0,-343.0,3389.0,6445.0,3446.0,2196.0,9.0,243.0,0.0,1115.0,0.0,196.0,0.0,135.0,2999.0,7989.0,54599.0,8036.0,55048.0,-47.0,-449.0,366.0,4330.0,184.0,4.0,0.0,1926.0,46.0,36.0,188.0,2008.0,-138.0,138.0,17.0,106.0,29.0,289.0,270.0,1789.0,8355.0,58929.0,8107.0,56890.0,131381.0,169.0,1965.0,245.0,1372.0,905.0,23.0,3.0,667.0,563.0,5518.0,7792.0,53411.0,572.0,2925.0,548.0,15.0,0.0,2715.0,93.0,11.0,563.0,2819.0,9.0,0.0,0.0,100.0,4.0,2.0,9.0,106.0,0.0,0.0,2015,AUG,252.0,1115.0,196.0,135.0,-496.0,62588.0,4696.0,2110.0,50.0,36.0,2196.0,0.0,2059.0,67284.0,64997.0,1617.0,670.0,6081.0,61203.0,3497.0,3263.0,108.0,11.0,3382.0,109.0,4.0,2.0,115.0,0.0,63084.0,123.0,318.0,3.0,2015-08-01
Alpine,2.0,2.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,95.0,3.0,95.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,99.0,3.0,99.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,93.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,AUG,0.0,0.0,0.0,0.0,0.0,98.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,102.0,102.0,0.0,0.0,7.0,95.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,1.0,3.0,2015-08-01
Amador,48.0,48.0,0.0,146.0,194.0,140.0,72.0,1.0,3.0,0.0,55.0,0.0,3.0,0.0,13.0,54.0,173.0,1525.0,173.0,1525.0,0.0,0.0,10.0,119.0,4.0,0.0,0.0,67.0,0.0,1.0,4.0,68.0,2.0,-2.0,1.0,7.0,0.0,11.0,3.0,35.0,183.0,1644.0,183.0,1641.0,3457.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,17.0,144.0,166.0,1500.0,22.0,126.0,21.0,0.0,0.0,124.0,1.0,0.0,21.0,125.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2015,AUG,4.0,55.0,3.0,13.0,0.0,1698.0,129.0,71.0,0.0,1.0,72.0,0.0,38.0,1827.0,1824.0,2.0,1.0,161.0,1666.0,148.0,145.0,1.0,0.0,146.0,2.0,0.0,0.0,2.0,0.0,1698.0,8.0,11.0,3.0,2015-08-01
Butte,710.0,719.0,-9.0,1545.0,2255.0,1393.0,752.0,9.0,85.0,0.0,530.0,0.0,40.0,0.0,111.0,862.0,1816.0,13717.0,1816.0,13717.0,0.0,0.0,100.0,1311.0,34.0,0.0,1.0,713.0,3.0,1.0,35.0,717.0,-17.0,17.0,8.0,31.0,3.0,66.0,71.0,480.0,1916.0,15028.0,1906.0,14948.0,32478.0,7.0,59.0,8.0,54.0,29.0,2.0,2.0,26.0,103.0,1399.0,1813.0,13629.0,237.0,1314.0,236.0,0.0,0.0,1251.0,3.0,0.0,236.0,1254.0,1.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,2015,AUG,94.0,530.0,40.0,111.0,0.0,15533.0,1411.0,747.0,3.0,2.0,752.0,0.0,551.0,16944.0,16854.0,62.0,28.0,1502.0,15442.0,1551.0,1487.0,3.0,0.0,1490.0,61.0,0.0,0.0,61.0,0.0,15533.0,39.0,69.0,3.0,2015-08-01
Calaveras,48.0,49.0,-1.0,221.0,269.0,205.0,126.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,8.0,64.0,257.0,2500.0,257.0,2500.0,0.0,0.0,12.0,193.0,5.0,0.0,0.0,120.0,1.0,0.0,5.0,121.0,-4.0,4.0,0.0,14.0,2.0,17.0,9.0,37.0,269.0,2693.0,268.0,2682.0,5523.0,1.0,10.0,1.0,7.0,5.0,0.0,0.0,4.0,16.0,207.0,253.0,2486.0,41.0,191.0,41.0,0.0,0.0,188.0,0.0,0.0,41.0,188.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2015,AUG,0.0,71.0,0.0,8.0,0.0,2757.0,205.0,125.0,1.0,0.0,126.0,0.0,46.0,2962.0,2950.0,8.0,4.0,223.0,2739.0,232.0,229.0,0.0,0.0,229.0,3.0,0.0,0.0,3.0,0.0,2757.0,14.0,19.0,3.0,2015-08-01
Colusa,35.0,35.0,0.0,63.0,98.0,62.0,23.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,4.0,36.0,90.0,508.0,90.0,508.0,0.0,0.0,2.0,67.0,1.0,0.0,0.0,22.0,0.0,0.0,1.0,22.0,-4.0,4.0,2.0,4.0,1.0,4.0,2.0,33.0,92.0,575.0,92.0,571.0,1552.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,8.0,77.0,84.0,498.0,9.0,63.0,9.0,0.0,0.0,61.0,1.0,0.0,9.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2015,AUG,1.0,35.0,0.0,4.0,0.0,598.0,69.0,23.0,0.0,0.0,23.0,0.0,35.0,667.0,663.0,2.0,2.0,85.0,582.0,72.0,70.0,1.0,0.0,71.0,1.0,0.0,0.0,1.0,0.0,598.0,6.0,5.0,3.0,2015-08-01
Contra Costa,1871.0,1887.0,-16.0,2812.0,4683.0,2616.0,1364.0,6.0,37.0,2.0,938.0,0.0,55.0,0.0,312.0,2067.0,4734.0,28474.0,4715.0,28244.0,19.0,230.0,160.0,2754.0,138.0,3.0,0.0,1196.0,18.0,9.0,141.0,1223.0,-145.0,145.0,12.0,75.0,8.0,41.0,144.0,1270.0,4894.0,31228.0,4802.0,30714.0,73003.0,40.0,563.0,92.0,372.0,183.0,0.0,0.0,142.0,277.0,3309.0,4617.0,27919.0,380.0,1332.0,362.0,13.0,0.0,1273.0,17.0,3.0,375.0,1293.0,5.0,0.0,0.0,37.0,2.0,0.0,5.0,39.0,0.0,0.0,2015,AUG,43.0,940.0,55.0,312.0,249.0,33208.0,2914.0,1334.0,21.0,9.0,1364.0,0.0,1414.0,36122.0,35516.0,464.0,142.0,3586.0,32536.0,1712.0,1635.0,30.0,3.0,1668.0,42.0,2.0,0.0,44.0,0.0,32959.0,87.0,49.0,3.0,2015-08-01
Del Norte,73.0,75.0,-2.0,184.0,257.0,190.0,99.0,0.0,1.0,0.0,85.0,0.0,1.0,0.0,6.0,67.0,398.0,1961.0,398.0,1961.0,0.0,0.0,14.0,186.0,8.0,0.0,0.0,90.0,1.0,0.0,8.0,91.0,-10.0,10.0,2.0,2.0,1.0,13.0,13.0,70.0,412.0,2147.0,412.0,2145.0,5256.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,174.0,385.0,1973.0,39.0,159.0,39.0,0.0,0.0,153.0,2.0,0.0,39.0,155.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2015,AUG,1.0,85.0,1.0,6.0,0.0,2359.0,200.0,98.0,1.0,0.0,99.0,0.0,83.0,2559.0,2557.0,2.0,0.0,201.0,2358.0,198.0,192.0,2.0,0.0,194.0,4.0,0.0,0.0,4.0,0.0,2359.0,4.0,14.0,3.0,2015-08-01
El Dorado,166.0,174.0,-8.0,653.0,819.0,623.0,350.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,38.0,196.0,546.0,6338.0,546.0,6335.0,0.0,3.0,36.0,576.0,17.0,0.0,1.0,332.0,0.0,0.0,18.0,332.0,-4.0,4.0,1.0,14.0,1.0,42.0,20.0,184.0,582.0,6914.0,580.0,6871.0,13373.0,4.0,33.0,1.0,31.0,13.0,1.0,1.0,12.0,41.0,695.0,541.0,6219.0,55.0,481.0,55.0,0.0,0.0,476.0,1.0,0.0,55.0,477.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2015,AUG,0.0,235.0,0.0,38.0,3.0,6884.0,612.0,349.0,0.0,1.0,350.0,0.0,204.0,7496.0,7451.0,32.0,13.0,736.0,6760.0,536.0,531.0,1.0,0.0,532.0,4.0,0.0,0.0,4.0,0.0,6881.0,15.0,43.0,3.0,2015-08-01
