county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
California,74032.0,81335.0,-7303.0,143653.0,217685.0,143849.0,95654.0,400.0,2290.0,1587.0,40202.0,189.0,2508.0,655.0,5751.0,73836.0,263437.0,1733471.0,262718.0,1730108.0,719.0,3363.0,16956.0,153629.0,6899.0,162.0,14.0,86672.0,1170.0,737.0,7075.0,88579.0,-915.0,922.0,708.0,1794.0,2096.0,8374.0,7992.0,53960.0,280393.0,1887100.0,275262.0,1853611.0,4467623.0,3063.0,32435.0,4954.0,22144.0,14590.0,809.0,177.0,11345.0,17893.0,163645.0,262500.0,1723455.0,23722.0,122729.0,22609.0,362.0,15.0,114204.0,1535.0,423.0,22986.0,116162.0,716.0,19.0,1.0,6415.0,122.0,30.0,736.0,6567.0,412.0,1596.0,2015,DEC,2690.0,41789.0,2697.0,6406.0,4082.0,1996908.0,170585.0,93571.0,1332.0,751.0,95654.0,7.0,61952.0,2167493.0,2128873.0,27098.0,11522.0,181538.0,1985955.0,146451.0,136813.0,1897.0,438.0,139148.0,7131.0,141.0,31.0,7303.0,2008.0,1992826.0,2502.0,10470.0,4.0,2015-12-01
Alameda,2622.0,2428.0,194.0,3086.0,5708.0,3555.0,2409.0,20.0,256.0,0.0,1061.0,0.0,229.0,0.0,85.0,2153.0,7415.0,54455.0,7219.0,53114.0,196.0,1341.0,446.0,4925.0,198.0,14.0,1.0,2096.0,62.0,38.0,213.0,2196.0,-154.0,154.0,16.0,105.0,50.0,396.0,321.0,2074.0,7861.0,59380.0,7598.0,57284.0,130658.0,159.0,2058.0,256.0,1411.0,957.0,25.0,7.0,685.0,541.0,5727.0,7320.0,53653.0,531.0,2821.0,503.0,19.0,0.0,2635.0,71.0,14.0,522.0,2720.0,9.0,0.0,0.0,96.0,4.0,1.0,9.0,101.0,0.0,0.0,2015,DEC,276.0,1061.0,229.0,85.0,1537.0,61870.0,5371.0,2294.0,76.0,39.0,2409.0,0.0,2395.0,67241.0,64882.0,1667.0,692.0,6268.0,60973.0,3352.0,3138.0,90.0,14.0,3242.0,105.0,4.0,1.0,110.0,0.0,60333.0,121.0,446.0,4.0,2015-12-01
Alpine,1.0,1.0,0.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,91.0,3.0,91.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,95.0,3.0,95.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,94.0,1.0,7.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,DEC,0.0,2.0,0.0,0.0,0.0,94.0,4.0,3.0,0.0,0.0,3.0,0.0,1.0,98.0,98.0,0.0,0.0,1.0,97.0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,4.0,2015-12-01
Amador,58.0,58.0,0.0,155.0,213.0,169.0,93.0,0.0,3.0,0.0,65.0,0.0,1.0,0.0,11.0,44.0,156.0,1464.0,156.0,1464.0,0.0,0.0,18.0,178.0,4.0,0.0,0.0,88.0,1.0,0.0,4.0,89.0,7.0,-7.0,3.0,13.0,0.0,20.0,4.0,63.0,174.0,1642.0,174.0,1638.0,3429.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,154.0,162.0,1488.0,12.0,180.0,12.0,0.0,0.0,178.0,1.0,0.0,12.0,179.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2015,DEC,3.0,65.0,1.0,11.0,0.0,1620.0,196.0,92.0,1.0,0.0,93.0,0.0,67.0,1816.0,1812.0,4.0,0.0,166.0,1650.0,192.0,190.0,1.0,0.0,191.0,1.0,0.0,0.0,1.0,0.0,1620.0,16.0,20.0,4.0,2015-12-01
Butte,647.0,648.0,-1.0,1384.0,2031.0,1541.0,833.0,7.0,74.0,3.0,638.0,0.0,53.0,0.0,67.0,490.0,1693.0,14004.0,1693.0,14005.0,0.0,-1.0,124.0,1392.0,37.0,0.0,0.0,792.0,1.0,3.0,37.0,796.0,4.0,-4.0,4.0,34.0,8.0,128.0,71.0,438.0,1817.0,15396.0,1805.0,15318.0,32537.0,5.0,61.0,9.0,51.0,31.0,7.0,3.0,27.0,138.0,1259.0,1679.0,14137.0,213.0,1294.0,210.0,0.0,0.0,1235.0,4.0,2.0,210.0,1241.0,3.0,0.0,0.0,53.0,0.0,0.0,3.0,53.0,0.0,0.0,2015,DEC,81.0,641.0,53.0,67.0,-1.0,15697.0,1516.0,829.0,1.0,3.0,833.0,0.0,509.0,17213.0,17123.0,60.0,30.0,1397.0,15816.0,1507.0,1445.0,4.0,2.0,1451.0,56.0,0.0,0.0,56.0,0.0,15698.0,38.0,136.0,4.0,2015-12-01
Calaveras,58.0,65.0,-7.0,160.0,218.0,176.0,115.0,1.0,2.0,0.0,54.0,0.0,1.0,0.0,7.0,42.0,229.0,2430.0,229.0,2430.0,0.0,0.0,23.0,191.0,6.0,0.0,0.0,107.0,2.0,0.0,6.0,109.0,3.0,-3.0,7.0,8.0,1.0,24.0,6.0,53.0,252.0,2621.0,251.0,2609.0,5299.0,1.0,10.0,1.0,8.0,5.0,0.0,0.0,4.0,19.0,224.0,233.0,2397.0,21.0,214.0,21.0,0.0,0.0,209.0,1.0,0.0,21.0,210.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,2015,DEC,3.0,54.0,1.0,7.0,0.0,2659.0,214.0,113.0,2.0,0.0,115.0,0.0,59.0,2873.0,2860.0,9.0,4.0,243.0,2630.0,235.0,230.0,1.0,0.0,231.0,3.0,1.0,0.0,4.0,0.0,2659.0,15.0,25.0,4.0,2015-12-01
Colusa,50.0,50.0,0.0,92.0,142.0,82.0,37.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,6.0,60.0,83.0,440.0,83.0,440.0,0.0,0.0,7.0,81.0,3.0,0.0,0.0,34.0,0.0,0.0,3.0,34.0,2.0,5.0,1.0,2.0,1.0,2.0,0.0,38.0,90.0,521.0,88.0,519.0,1367.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,10.0,75.0,80.0,446.0,9.0,61.0,9.0,0.0,0.0,61.0,0.0,0.0,9.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,DEC,0.0,39.0,0.0,6.0,0.0,523.0,88.0,37.0,0.0,0.0,37.0,7.0,38.0,611.0,607.0,3.0,1.0,85.0,526.0,70.0,70.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,523.0,3.0,3.0,4.0,2015-12-01
Contra Costa,1986.0,1923.0,63.0,2350.0,4336.0,2731.0,1469.0,10.0,71.0,0.0,987.0,0.0,68.0,0.0,275.0,1605.0,4384.0,28420.0,4379.0,28283.0,5.0,137.0,239.0,2829.0,146.0,4.0,0.0,1286.0,23.0,10.0,150.0,1319.0,-125.0,125.0,19.0,66.0,16.0,32.0,179.0,1287.0,4623.0,31249.0,4529.0,30692.0,72223.0,44.0,633.0,92.0,397.0,200.0,6.0,2.0,160.0,279.0,3240.0,4344.0,28009.0,368.0,1501.0,351.0,7.0,1.0,1426.0,28.0,0.0,359.0,1454.0,9.0,0.0,0.0,47.0,0.0,0.0,9.0,47.0,0.0,0.0,2015,DEC,81.0,987.0,68.0,275.0,142.0,32804.0,3068.0,1432.0,27.0,10.0,1469.0,0.0,1466.0,35872.0,35221.0,489.0,162.0,3519.0,32353.0,1869.0,1777.0,35.0,1.0,1813.0,56.0,0.0,0.0,56.0,0.0,32662.0,85.0,48.0,4.0,2015-12-01
Del Norte,57.0,58.0,-1.0,200.0,257.0,194.0,105.0,0.0,2.0,0.0,85.0,0.0,0.0,0.0,4.0,63.0,397.0,1992.0,398.0,1991.0,-1.0,1.0,31.0,205.0,9.0,0.0,0.0,96.0,0.0,0.0,9.0,96.0,6.0,-6.0,0.0,1.0,2.0,19.0,14.0,95.0,428.0,2197.0,428.0,2194.0,5355.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0,153.0,398.0,2044.0,45.0,201.0,44.0,0.0,0.0,199.0,0.0,0.0,44.0,199.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2015,DEC,2.0,85.0,0.0,4.0,0.0,2389.0,236.0,105.0,0.0,0.0,105.0,0.0,109.0,2625.0,2622.0,3.0,0.0,183.0,2442.0,246.0,243.0,0.0,0.0,243.0,3.0,0.0,0.0,3.0,0.0,2389.0,1.0,21.0,4.0,2015-12-01
El Dorado,169.0,177.0,-8.0,588.0,757.0,630.0,368.0,0.0,1.0,0.0,233.0,0.0,1.0,0.0,29.0,127.0,546.0,6178.0,546.0,6178.0,0.0,0.0,36.0,622.0,20.0,0.0,0.0,347.0,0.0,1.0,20.0,348.0,-11.0,11.0,2.0,13.0,3.0,54.0,22.0,196.0,582.0,6800.0,581.0,6762.0,13130.0,5.0,29.0,1.0,28.0,10.0,1.0,0.0,10.0,33.0,569.0,549.0,6231.0,74.0,614.0,74.0,0.0,0.0,605.0,1.0,2.0,74.0,608.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,0.0,2015,DEC,1.0,233.0,1.0,29.0,0.0,6724.0,658.0,367.0,0.0,1.0,368.0,0.0,218.0,7382.0,7343.0,29.0,10.0,602.0,6780.0,688.0,679.0,1.0,2.0,682.0,5.0,0.0,1.0,6.0,0.0,6724.0,15.0,57.0,4.0,2015-12-01
