, PART A.  REQUESTS FOR EXPEDITED SERVICE,,,,," PART A.  REQUESTS FOR EXPEDITED SERVICE, Cont'd",,,,,,,,,," PART A.  REQUESTS FOR EXPEDITED SERVICE, Cont'd",,,,,,,,,PART B.  APPLICATION COMPLIANCE INFORMATION,,
,,,,,,"DISPOSED OF DURING THE QUARTER, Cont'd",,,,,,,,,,DISPOSED OF DURING THE QUARTER,,,,,,,,,HOUSEHOLDS DISCONTINUED DUE,,
,,,,,,"ENTITLED TO EXPEDITED SERVICE, Cont'd",,,,,,,,,,ENTITLED TO EXPEDITED SERVICE,,,,,N0T ENTITLED,,,,TO RECIPENTS FAILURE TO,,
,PENDING,ITEM 5,,RECEIVED,TOTAL, PAFS,,,,,NAFS,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PAFS,NAFS,TOTAL,,COMPLETE APPLICATION PROCESS,,
,FROM,FROM,,DURING,ON HAND,TOTAL PAFS,TOTAL,,,,TOTAL NAFS,TOTAL,,,,PAFS & NAFS,PAFS &,PAFS & NAFS,PAFS & NAFS,PAFS & NAFS,,,PAFS & NAFS,PENDING,,,
COUNTY,PRIOR,LAST RPT,,QUARTER,DURING,DISPOSED OF,PAFS,1-3 DAYS,4-7 DAYS,   OVER,DISPOSED OF,NAFS,1-3 DAYS,4-7 DAYS,OVER,DISPOSED OF,NAFS,ISSUED,ISSUED,ISSUED,,,NOT,END OF,PAFS,NAFS,TOTAL
,QUARTER,QUARTER,ADJ,,QUARTER,DURING QTR, ENTITLED,,,7 DAYS,DURING QTR, ENTITLED,,,7 DAYS,DURING QTR,ENTITLED,1-3 DAYS,4-7 DAYS,OVER 7DAYS,,,ENTITLED,QUARTER,,,
,1.0,1a,1b,     2,3.0,4.0,4a ,4a1,4a2,4a3,4.0,4.0,4a1,4a2,4a3,4.0,4.0,4a1,4b2,4b3,4b(A),4b(B),4b,5.0,6(C),6(A),6(B)
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,7.0,10.0,13.0,16.0,19.0,8.0,11.0,14.0,17.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0
Statewide,27665.0,40255.0,-12590.0,219810.0,247475.0,18027.0,7749.0,4761.0,1054.0,1934.0,180322.0,72845.0,63149.0,5280.0,4416.0,198349.0,80594.0,67910.0,6334.0,6350.0,10278.0,107477.0,117755.0,49126.0,258.0,7718.0,7976.0
Alameda,0.0,0.0,0.0,7482.0,7482.0,648.0,351.0,97.0,60.0,194.0,6834.0,2853.0,1801.0,501.0,551.0,7482.0,3204.0,1898.0,561.0,745.0,297.0,3981.0,4278.0,0.0,2.0,28.0,30.0
