PARTS,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART B,PART B,PART B,CDSS Use Only:
ITEM NUMBERS,1.0,1a,1b,2.0,3.0,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4b,4b,4b,5.0,6.0,6.0,6.0,2613056.0
ITEM NAMES,Applications processed under ES carried forward from the last report quarter,Item 5 from last report quarter as reported to CDSS,"Adjustment 
(Item 1 minus Item 1a)",Applications processed under ES received during the report quarter,"Total applications processed under ES on hand during the report quarter
(Item 1 plus Item 2)",Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Found not entitled to ES,Found not entitled to ES,Found not entitled to ES,Applications processed under ES pending at the end of the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,
COLUMNS,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PACF,PACF,PACF,PACF,PACF,PACF,PACF,PACF,PACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PACF,NACF,TOTAL,TOTAL,PACF,NACF,TOTAL,
DATA CELLS,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,7.0,10.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0,8.0,11.0,14.0,17.0,20.0,23.0,26.0,29.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,
Statewide,32329.0,36222.0,-3893.0,365746.0,398075.0,13341.0,7267.0,6645.0,330.0,199.0,131.0,292.0,196.0,96.0,347303.0,133637.0,125218.0,4780.0,1969.0,2811.0,3639.0,1779.0,1860.0,360644.0,140904.0,131863.0,5110.0,2168.0,2942.0,3931.0,1975.0,1956.0,6074.0,213666.0,219740.0,37431.0,55.0,2285.0,2340.0,
Alameda,0.0,0.0,0.0,11722.0,11722.0,407.0,224.0,177.0,28.0,0.0,28.0,19.0,0.0,19.0,11315.0,4246.0,3640.0,384.0,0.0,384.0,222.0,0.0,222.0,11722.0,4470.0,3817.0,412.0,0.0,412.0,241.0,0.0,241.0,183.0,7069.0,7252.0,0.0,3.0,198.0,201.0,
Alpine,5.0,5.0,0.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,21.0,7.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,
Amador,46.0,46.0,0.0,511.0,557.0,18.0,10.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,502.0,213.0,202.0,2.0,1.0,1.0,9.0,7.0,2.0,520.0,223.0,210.0,3.0,1.0,2.0,10.0,7.0,3.0,8.0,289.0,297.0,37.0,0.0,6.0,6.0,
Butte,480.0,482.0,-2.0,4359.0,4839.0,98.0,45.0,43.0,1.0,0.0,1.0,1.0,1.0,0.0,4109.0,1633.0,1512.0,81.0,6.0,75.0,40.0,14.0,26.0,4207.0,1678.0,1555.0,82.0,6.0,76.0,41.0,15.0,26.0,53.0,2476.0,2529.0,632.0,0.0,2.0,2.0,
Calaveras,19.0,19.0,0.0,664.0,683.0,21.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,243.0,232.0,7.0,4.0,3.0,4.0,1.0,3.0,662.0,251.0,240.0,7.0,4.0,3.0,4.0,1.0,3.0,13.0,398.0,411.0,21.0,0.0,0.0,0.0,
Colusa,92.0,92.0,0.0,216.0,308.0,10.0,8.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,259.0,64.0,58.0,2.0,1.0,1.0,4.0,2.0,2.0,269.0,72.0,65.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,195.0,197.0,39.0,0.0,2.0,2.0,
Contra Costa,224.0,191.0,33.0,5520.0,5744.0,142.0,68.0,59.0,4.0,0.0,4.0,5.0,0.0,5.0,5352.0,1697.0,1574.0,106.0,0.0,106.0,17.0,0.0,17.0,5494.0,1765.0,1633.0,110.0,0.0,110.0,22.0,0.0,22.0,74.0,3655.0,3729.0,250.0,0.0,3.0,3.0,
Del Norte,162.0,162.0,0.0,556.0,718.0,21.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,170.0,163.0,4.0,2.0,2.0,3.0,3.0,0.0,526.0,178.0,171.0,4.0,2.0,2.0,3.0,3.0,0.0,13.0,335.0,348.0,192.0,0.0,0.0,0.0,
El Dorado,125.0,132.0,-7.0,2072.0,2197.0,52.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1951.0,778.0,747.0,18.0,3.0,15.0,13.0,9.0,4.0,2003.0,798.0,767.0,18.0,3.0,15.0,13.0,9.0,4.0,32.0,1173.0,1205.0,194.0,0.0,5.0,5.0,
Fresno,287.0,205.0,82.0,11150.0,11437.0,182.0,81.0,80.0,1.0,0.0,1.0,0.0,0.0,0.0,11049.0,4584.0,4238.0,321.0,0.0,321.0,25.0,0.0,25.0,11231.0,4665.0,4318.0,322.0,0.0,322.0,25.0,0.0,25.0,101.0,6465.0,6566.0,206.0,0.0,66.0,66.0,
Glenn,30.0,30.0,0.0,364.0,394.0,21.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,343.0,129.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,364.0,137.0,135.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,214.0,227.0,30.0,0.0,0.0,0.0,
Humboldt,206.0,225.0,-19.0,3611.0,3817.0,82.0,58.0,56.0,1.0,0.0,1.0,1.0,0.0,1.0,3465.0,1232.0,1130.0,57.0,0.0,57.0,45.0,0.0,45.0,3547.0,1290.0,1186.0,58.0,0.0,58.0,46.0,0.0,46.0,24.0,2233.0,2257.0,270.0,0.0,4.0,4.0,
Imperial,463.0,482.0,-19.0,3416.0,3879.0,158.0,65.0,63.0,2.0,1.0,1.0,0.0,0.0,0.0,3263.0,1025.0,897.0,80.0,34.0,46.0,48.0,26.0,22.0,3421.0,1090.0,960.0,82.0,35.0,47.0,48.0,26.0,22.0,93.0,2238.0,2331.0,458.0,0.0,2.0,2.0,
Inyo,36.0,36.0,0.0,279.0,315.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,117.0,111.0,6.0,5.0,1.0,0.0,0.0,0.0,296.0,118.0,112.0,6.0,5.0,1.0,0.0,0.0,0.0,6.0,172.0,178.0,19.0,0.0,0.0,0.0,
Kern,2723.0,2734.0,-11.0,17553.0,20276.0,745.0,449.0,419.0,19.0,8.0,11.0,11.0,9.0,2.0,16890.0,6160.0,5631.0,328.0,166.0,162.0,201.0,139.0,62.0,17635.0,6609.0,6050.0,347.0,174.0,173.0,212.0,148.0,64.0,296.0,10730.0,11026.0,2641.0,0.0,4.0,4.0,
Kings,442.0,442.0,0.0,2654.0,3096.0,119.0,53.0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,2575.0,963.0,927.0,22.0,10.0,12.0,14.0,9.0,5.0,2694.0,1016.0,979.0,23.0,10.0,13.0,14.0,9.0,5.0,66.0,1612.0,1678.0,402.0,0.0,2.0,2.0,
Lake,139.0,140.0,-1.0,1380.0,1519.0,31.0,12.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,1355.0,578.0,547.0,19.0,3.0,16.0,12.0,2.0,10.0,1386.0,590.0,558.0,19.0,3.0,16.0,13.0,2.0,11.0,19.0,777.0,796.0,133.0,0.0,5.0,5.0,
Lassen,67.0,70.0,-3.0,395.0,462.0,10.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,396.0,181.0,142.0,14.0,1.0,13.0,25.0,6.0,19.0,406.0,185.0,145.0,14.0,1.0,13.0,26.0,6.0,20.0,6.0,215.0,221.0,56.0,0.0,0.0,0.0,
Los Angeles,3773.0,8188.0,-4415.0,81333.0,85106.0,3787.0,2439.0,2153.0,145.0,145.0,0.0,141.0,141.0,0.0,72308.0,32014.0,30509.0,934.0,934.0,0.0,571.0,571.0,0.0,76095.0,34453.0,32662.0,1079.0,1079.0,0.0,712.0,712.0,0.0,1348.0,40294.0,41642.0,9011.0,38.0,1289.0,1327.0,
Madera,511.0,515.0,-4.0,2239.0,2750.0,89.0,46.0,39.0,4.0,3.0,1.0,3.0,2.0,1.0,2372.0,812.0,713.0,38.0,24.0,14.0,61.0,53.0,8.0,2461.0,858.0,752.0,42.0,27.0,15.0,64.0,55.0,9.0,43.0,1560.0,1603.0,289.0,0.0,1.0,1.0,
Marin,136.0,138.0,-2.0,1670.0,1806.0,33.0,11.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,1577.0,623.0,580.0,14.0,2.0,12.0,29.0,12.0,17.0,1610.0,634.0,590.0,14.0,2.0,12.0,30.0,12.0,18.0,22.0,954.0,976.0,196.0,0.0,0.0,0.0,
Mariposa,35.0,38.0,-3.0,245.0,280.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,79.0,77.0,2.0,0.0,2.0,0.0,0.0,0.0,253.0,83.0,81.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,160.0,170.0,27.0,0.0,0.0,0.0,
Mendocino,301.0,301.0,0.0,1569.0,1870.0,84.0,51.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,1504.0,729.0,709.0,12.0,2.0,10.0,8.0,4.0,4.0,1588.0,780.0,759.0,12.0,2.0,10.0,9.0,5.0,4.0,33.0,775.0,808.0,282.0,0.0,10.0,10.0,
Merced,699.0,712.0,-13.0,4585.0,5284.0,233.0,121.0,117.0,3.0,2.0,1.0,1.0,1.0,0.0,4573.0,1672.0,1582.0,37.0,21.0,16.0,53.0,49.0,4.0,4806.0,1793.0,1699.0,40.0,23.0,17.0,54.0,50.0,4.0,112.0,2901.0,3013.0,478.0,0.0,13.0,13.0,
Modoc,16.0,16.0,0.0,139.0,155.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,46.0,37.0,3.0,2.0,1.0,6.0,6.0,0.0,142.0,48.0,39.0,3.0,2.0,1.0,6.0,6.0,0.0,4.0,90.0,94.0,13.0,0.0,1.0,1.0,
Mono,26.0,26.0,0.0,192.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,70.0,67.0,3.0,1.0,2.0,0.0,0.0,0.0,197.0,70.0,67.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,127.0,127.0,21.0,0.0,3.0,3.0,
Monterey,1110.0,1122.0,-12.0,6416.0,7526.0,159.0,87.0,83.0,0.0,0.0,0.0,4.0,4.0,0.0,6736.0,2136.0,2028.0,45.0,33.0,12.0,63.0,42.0,21.0,6895.0,2223.0,2111.0,45.0,33.0,12.0,67.0,46.0,21.0,72.0,4600.0,4672.0,631.0,0.0,0.0,0.0,
Napa,166.0,180.0,-14.0,1075.0,1241.0,37.0,15.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1048.0,322.0,308.0,8.0,5.0,3.0,6.0,3.0,3.0,1085.0,337.0,322.0,9.0,5.0,4.0,6.0,3.0,3.0,22.0,726.0,748.0,156.0,0.0,0.0,0.0,
Nevada,232.0,235.0,-3.0,1149.0,1381.0,12.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1108.0,489.0,415.0,14.0,3.0,11.0,60.0,18.0,42.0,1120.0,494.0,418.0,15.0,3.0,12.0,61.0,19.0,42.0,7.0,619.0,626.0,261.0,0.0,15.0,15.0,
Orange,91.0,91.0,0.0,15283.0,15374.0,913.0,276.0,261.0,11.0,5.0,6.0,4.0,2.0,2.0,14312.0,5275.0,5263.0,12.0,2.0,10.0,0.0,0.0,0.0,15225.0,5551.0,5524.0,23.0,7.0,16.0,4.0,2.0,2.0,637.0,9037.0,9674.0,149.0,1.0,27.0,28.0,
Placer,14.0,14.0,0.0,1031.0,1045.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1024.0,400.0,381.0,15.0,0.0,15.0,4.0,0.0,4.0,1030.0,402.0,382.0,15.0,0.0,15.0,5.0,0.0,5.0,4.0,624.0,628.0,15.0,0.0,1.0,1.0,
Plumas,32.0,32.0,0.0,375.0,407.0,19.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,153.0,122.0,11.0,10.0,1.0,20.0,14.0,6.0,366.0,161.0,130.0,11.0,10.0,1.0,20.0,14.0,6.0,11.0,194.0,205.0,41.0,0.0,0.0,0.0,
Riverside,2387.0,2402.0,-15.0,31001.0,33388.0,1248.0,737.0,700.0,22.0,12.0,10.0,15.0,8.0,7.0,29388.0,10874.0,9785.0,489.0,238.0,251.0,600.0,297.0,303.0,30636.0,11611.0,10485.0,511.0,250.0,261.0,615.0,305.0,310.0,511.0,18514.0,19025.0,2752.0,3.0,117.0,120.0,
