 , PART A.  REQUESTS FOR EXPEDITED SERVICE,,,,,,,,, PART A.  REQUESTS FOR EXPEDITED SERVICE,,,,,,,PART B.  APPLICATION COMPLIANCE INFORMATION,,
,,,,,DISPOSED OF DURING THE QUARTER,,,,,,DISPOSED OF DURING THE QUARTER,,,,,,HOUSEHOLDS DISCONTINUED DUE,,
,,,,,,ENTITLED TO EXPEDITED SERVICE,,,,"ENTITLED TO ES, Cont'd",,,N0T ENTITLED,,,,TO RECIPENTS FAILURE TO,,
,,PENDING,RECEIVED,TOTAL, TOTAL,,PAFS,,,NAFS,,,,PAFS,NAFS,,COMPLETE APPLICATION PROCESS,,
,,FROM,DURING,DURING, DISPOSED,,,,,,,,TOTAL,,,PENDING,,,
COUNTY,,PRIOR,QUARTER,QUARTER,OF DURING, TOTAL,1-3 DAYS,4-5 DAYS,   OVER,1-3 DAYS,4-5 DAYS,OVER,NOT,,,END OF,TOTAL,PAFS,NAFS
,ADJ,QUARTER,,, QUARTER, ENTITLED,,,5 DAYS,,,5 DAYS,ENTITLED,,,QUARTER,,,
,,1.0,     2,     3,    4,    4a,4a(1),4a(2),4a(3),4a(1),4a(2),4a(3),4b,4b(1),4b(2),5.0,6.0,6a,6b
Statewide,-27.0,25731.0,143354.0,169085.0,139471.0,48235.0,6203.0,672.0,4403.0,29788.0,2633.0,4536.0,91236.0,15743.0,75493.0,29614.0,3015.0,249.0,2766.0
Alameda,,0.0,1596.0,1596.0,1596.0,1357.0,121.0,6.0,23.0,1081.0,25.0,101.0,239.0,24.0,215.0,0.0,0.0,0.0,0.0
Alpine,,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Amador,,5.0,84.0,89.0,84.0,73.0,6.0,0.0,0.0,63.0,3.0,1.0,11.0,3.0,8.0,5.0,1.0,0.0,1.0
Butte,,5.0,481.0,486.0,479.0,381.0,47.0,3.0,11.0,278.0,12.0,30.0,98.0,12.0,86.0,7.0,47.0,5.0,42.0
Calaveras,-5.0,0.0,85.0,85.0,79.0,69.0,13.0,1.0,0.0,49.0,3.0,3.0,10.0,3.0,7.0,6.0,1.0,0.0,1.0
Colusa,,1.0,36.0,37.0,37.0,27.0,5.0,0.0,0.0,22.0,0.0,0.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0
Contra Costa,,0.0,1675.0,1675.0,1675.0,633.0,254.0,1.0,4.0,357.0,6.0,11.0,1042.0,187.0,855.0,0.0,0.0,0.0,0.0
Del Norte,,0.0,143.0,143.0,142.0,102.0,18.0,2.0,2.0,77.0,1.0,2.0,40.0,8.0,32.0,1.0,0.0,0.0,0.0
El Dorado,,9.0,115.0,124.0,118.0,84.0,16.0,1.0,5.0,47.0,5.0,10.0,34.0,4.0,30.0,6.0,4.0,0.0,4.0
Fresno,,1810.0,3444.0,5254.0,3543.0,2983.0,341.0,95.0,70.0,1896.0,397.0,184.0,560.0,436.0,124.0,1711.0,0.0,0.0,0.0
Glenn,,0.0,71.0,71.0,70.0,61.0,16.0,0.0,1.0,44.0,0.0,0.0,9.0,0.0,9.0,1.0,2.0,0.0,2.0
Humboldt,,0.0,518.0,518.0,518.0,432.0,7.0,1.0,8.0,260.0,69.0,87.0,86.0,26.0,60.0,0.0,25.0,7.0,18.0
Imperial,,0.0,36.0,36.0,36.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0
Inyo,-3.0,3.0,39.0,42.0,38.0,31.0,5.0,0.0,0.0,22.0,2.0,2.0,7.0,0.0,7.0,4.0,0.0,0.0,0.0
Kern ,,45.0,4072.0,4117.0,4076.0,1246.0,231.0,2.0,5.0,985.0,13.0,10.0,2830.0,1001.0,1829.0,41.0,245.0,66.0,179.0
Kings,,9.0,593.0,602.0,598.0,273.0,59.0,7.0,4.0,172.0,23.0,8.0,325.0,100.0,225.0,4.0,33.0,3.0,30.0
Lake,,164.0,271.0,435.0,262.0,209.0,52.0,3.0,2.0,145.0,3.0,4.0,53.0,9.0,44.0,173.0,3.0,0.0,3.0
Lassen,,0.0,120.0,120.0,119.0,34.0,4.0,1.0,0.0,23.0,3.0,3.0,85.0,25.0,60.0,1.0,1.0,0.0,1.0
Los Angeles,,16143.0,81906.0,98049.0,78321.0,20185.0,697.0,355.0,3968.0,10460.0,1353.0,3352.0,58136.0,4829.0,53307.0,19728.0,2147.0,32.0,2115.0
Madera,,2.0,183.0,185.0,179.0,98.0,21.0,0.0,0.0,76.0,1.0,0.0,81.0,9.0,72.0,6.0,4.0,0.0,4.0
Marin,,26.0,187.0,213.0,182.0,143.0,21.0,0.0,3.0,106.0,2.0,11.0,39.0,2.0,37.0,31.0,0.0,0.0,0.0
Mariposa,,0.0,26.0,26.0,26.0,20.0,3.0,0.0,0.0,17.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
Mendocino,-3.0,0.0,152.0,152.0,149.0,128.0,28.0,1.0,1.0,88.0,9.0,1.0,21.0,3.0,18.0,3.0,2.0,1.0,1.0
Merced,,1147.0,309.0,1456.0,302.0,43.0,13.0,0.0,2.0,25.0,0.0,3.0,259.0,130.0,129.0,1154.0,0.0,0.0,0.0
Modoc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Mono,,0.0,11.0,11.0,11.0,10.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterey,-11.0,9.0,955.0,964.0,931.0,381.0,55.0,2.0,7.0,307.0,5.0,5.0,550.0,74.0,476.0,33.0,0.0,0.0,0.0
Napa,,11.0,345.0,356.0,348.0,98.0,0.0,0.0,0.0,90.0,1.0,7.0,250.0,54.0,196.0,8.0,8.0,2.0,6.0
Nevada,,89.0,74.0,163.0,71.0,60.0,5.0,0.0,0.0,53.0,1.0,1.0,11.0,7.0,4.0,92.0,1.0,0.0,1.0
Orange,,15.0,828.0,843.0,826.0,667.0,135.0,0.0,0.0,530.0,2.0,0.0,159.0,22.0,137.0,17.0,0.0,0.0,0.0
Placer,,47.0,281.0,328.0,283.0,164.0,39.0,2.0,1.0,118.0,3.0,1.0,119.0,34.0,85.0,45.0,1.0,1.0,0.0
Plumas,-1.0,0.0,15.0,15.0,15.0,11.0,1.0,0.0,0.0,10.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,0.0,3.0
Riverside,,46.0,5462.0,5508.0,5484.0,1349.0,275.0,38.0,1.0,894.0,126.0,15.0,4135.0,627.0,3508.0,24.0,40.0,6.0,34.0
Sacramento,,33.0,2704.0,2737.0,2692.0,772.0,324.0,1.0,10.0,396.0,23.0,18.0,1920.0,1386.0,534.0,45.0,1.0,1.0,0.0
San Benito,,1.0,85.0,86.0,85.0,76.0,26.0,0.0,2.0,47.0,0.0,1.0,9.0,1.0,8.0,1.0,0.0,0.0,0.0
San Bernardino,,0.0,8192.0,8192.0,8192.0,5908.0,1998.0,90.0,201.0,3274.0,84.0,261.0,2284.0,1037.0,1247.0,0.0,174.0,93.0,81.0
San Diego,,30.0,8931.0,8961.0,8933.0,1648.0,114.0,6.0,10.0,1475.0,23.0,20.0,7285.0,3788.0,3497.0,28.0,3.0,0.0,3.0
San Francisco,,1391.0,4048.0,5439.0,4039.0,2113.0,138.0,1.0,4.0,1962.0,2.0,6.0,1926.0,0.0,1926.0,1400.0,13.0,1.0,12.0
San Joaquin,,9.0,420.0,429.0,419.0,337.0,90.0,9.0,12.0,180.0,23.0,23.0,82.0,19.0,63.0,10.0,2.0,0.0,2.0
San Luis Obispo,,2899.0,534.0,3433.0,448.0,211.0,39.0,0.0,1.0,165.0,3.0,3.0,237.0,70.0,167.0,2985.0,3.0,3.0,0.0
San Mateo,,7.0,542.0,549.0,541.0,524.0,179.0,10.0,6.0,288.0,26.0,15.0,17.0,2.0,15.0,8.0,67.0,0.0,67.0
Santa Barbara,,0.0,1179.0,1179.0,1179.0,276.0,74.0,0.0,0.0,190.0,3.0,9.0,903.0,310.0,593.0,0.0,0.0,0.0,0.0
