, PART A.  REQUESTS FOR EXPEDITED SERVICE,,,,,,,,, PART A.  REQUESTS FOR EXPEDITED SERVICE,,,,,,,PART B.  APPLICATION COMPLIANCE INFORMATION,,
,,,,,DISPOSED OF DURING THE QUARTER,,,,,,DISPOSED OF DURING THE QUARTER,,,,,,HOUSEHOLDS DISCONTINUED DUE,,
,,,,,,ENTITLED TO EXPEDITED SERVICE,,,,"ENTITLED TO ES, Cont'd",,,N0T ENTITLED,,,,TO RECIPENTS FAILURE TO,,
,,PENDING,RECEIVED,TOTAL, TOTAL,,PAFS,,,NAFS,,,,PAFS,NAFS,,COMPLETE APPLICATION PROCESS,,
,,FROM,DURING,DURING, DISPOSED,,,,,,,,TOTAL,,,PENDING,,,
COUNTY,,PRIOR,QUARTER,QUARTER,OF DURING, TOTAL,1-3 DAYS,4-5 DAYS,   OVER,1-3 DAYS,4-5 DAYS,OVER,NOT,,,END OF,TOTAL,PAFS,NAFS
,ADJ,QUARTER,,, QUARTER, ENTITLED,,,5 DAYS,,,5 DAYS,ENTITLED,,,QUARTER,,,
,,1.0,     2,     3,    4,    4a,4a(1),4a(2),4a(3),4a(1),4a(2),4a(3),4b,4b(1),4b(2),5.0,6.0,6a,6b
Statewide,-20.0,29257.0,135271.0,164528.0,141556.0,59336.0,6759.0,714.0,4948.0,38151.0,2784.0,5980.0,82220.0,14246.0,67974.0,22972.0,4548.0,259.0,4289.0
Alameda,,0.0,2425.0,2425.0,2425.0,1756.0,105.0,6.0,31.0,1447.0,39.0,128.0,669.0,124.0,545.0,0.0,1.0,0.0,1.0
Alpine,,0.0,6.0,6.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
Amador,,8.0,77.0,85.0,76.0,63.0,5.0,0.0,0.0,56.0,1.0,1.0,13.0,1.0,12.0,9.0,0.0,0.0,0.0
Butte,,14.0,733.0,747.0,738.0,556.0,95.0,7.0,7.0,401.0,30.0,16.0,182.0,17.0,165.0,9.0,80.0,12.0,68.0
Calaveras,,6.0,126.0,132.0,128.0,116.0,17.0,0.0,1.0,83.0,5.0,10.0,12.0,1.0,11.0,4.0,0.0,0.0,0.0
Colusa,,0.0,37.0,37.0,37.0,29.0,8.0,0.0,0.0,19.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,0.0,1.0
Contra Costa,,0.0,1655.0,1655.0,1655.0,500.0,239.0,2.0,1.0,246.0,6.0,6.0,1155.0,223.0,932.0,0.0,3.0,3.0,0.0
Del Norte,,2.0,156.0,158.0,156.0,128.0,17.0,1.0,0.0,108.0,1.0,1.0,28.0,4.0,24.0,2.0,0.0,0.0,0.0
El Dorado  b/,,20.0,140.0,160.0,150.0,93.0,9.0,2.0,8.0,41.0,6.0,27.0,57.0,10.0,47.0,10.0,0.0,0.0,0.0
Fresno,,1355.0,2947.0,4302.0,2969.0,2241.0,589.0,83.0,85.0,1275.0,111.0,98.0,728.0,584.0,144.0,1333.0,0.0,0.0,0.0
Glenn,-1.0,0.0,87.0,87.0,87.0,73.0,12.0,0.0,0.0,61.0,0.0,0.0,14.0,0.0,14.0,0.0,3.0,0.0,3.0
Humboldt,,0.0,469.0,469.0,469.0,391.0,5.0,1.0,5.0,203.0,36.0,141.0,78.0,54.0,24.0,0.0,24.0,16.0,8.0
Imperial,,0.0,18.0,18.0,18.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
Inyo,,7.0,62.0,69.0,69.0,51.0,9.0,0.0,0.0,41.0,1.0,0.0,18.0,5.0,13.0,0.0,5.0,1.0,4.0
Kern ,,76.0,4468.0,4544.0,4511.0,1448.0,182.0,4.0,4.0,1222.0,16.0,20.0,3063.0,1134.0,1929.0,33.0,357.0,94.0,263.0
Kings,,16.0,661.0,677.0,673.0,341.0,91.0,2.0,10.0,201.0,17.0,20.0,332.0,110.0,222.0,4.0,67.0,8.0,59.0
Lake,,140.0,273.0,413.0,266.0,209.0,47.0,4.0,1.0,152.0,2.0,3.0,57.0,10.0,47.0,147.0,1.0,0.0,1.0
Lassen,,3.0,156.0,159.0,159.0,64.0,12.0,1.0,1.0,41.0,6.0,3.0,95.0,31.0,64.0,0.0,1.0,0.0,1.0
Los Angeles,,18037.0,71314.0,89351.0,77787.0,28735.0,1034.0,389.0,4500.0,16411.0,1830.0,4571.0,49052.0,3891.0,45161.0,11564.0,3568.0,36.0,3532.0
Madera,,29.0,263.0,292.0,290.0,205.0,44.0,1.0,0.0,154.0,2.0,4.0,85.0,15.0,70.0,2.0,9.0,0.0,9.0
Marin a/,,76.0,138.0,214.0,134.0,119.0,7.0,0.0,0.0,101.0,2.0,9.0,15.0,2.0,13.0,80.0,0.0,0.0,0.0
Mariposa,,3.0,28.0,31.0,28.0,26.0,2.0,1.0,0.0,17.0,5.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0
Mendocino,-4.0,3.0,245.0,248.0,241.0,230.0,46.0,1.0,4.0,172.0,4.0,3.0,11.0,1.0,10.0,7.0,0.0,0.0,0.0
Merced  a/,,1265.0,316.0,1581.0,327.0,55.0,17.0,0.0,0.0,35.0,2.0,1.0,272.0,88.0,184.0,1254.0,2.0,0.0,2.0
Modoc,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mono,,0.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterey,-13.0,8.0,1160.0,1168.0,1147.0,472.0,81.0,2.0,2.0,368.0,9.0,10.0,675.0,74.0,601.0,21.0,3.0,0.0,3.0
Napa,,9.0,375.0,384.0,378.0,102.0,5.0,0.0,1.0,87.0,2.0,7.0,276.0,78.0,198.0,6.0,10.0,1.0,9.0
Nevada,,116.0,98.0,214.0,94.0,66.0,5.0,0.0,1.0,54.0,3.0,3.0,28.0,1.0,27.0,120.0,0.0,0.0,0.0
Orange,,22.0,660.0,682.0,659.0,539.0,74.0,0.0,0.0,464.0,0.0,1.0,120.0,26.0,94.0,23.0,0.0,0.0,0.0
Placer,,45.0,307.0,352.0,308.0,175.0,34.0,1.0,0.0,130.0,4.0,6.0,133.0,31.0,102.0,44.0,0.0,0.0,0.0
Plumas,-2.0,0.0,39.0,39.0,39.0,27.0,1.0,0.0,0.0,26.0,0.0,0.0,12.0,1.0,11.0,0.0,4.0,0.0,4.0
Riverside  b/,,38.0,4829.0,4867.0,4835.0,1543.0,281.0,52.0,9.0,1112.0,83.0,6.0,3292.0,536.0,2756.0,32.0,58.0,0.0,58.0
Sacramento,,932.0,3726.0,4658.0,3601.0,1141.0,372.0,6.0,10.0,655.0,55.0,43.0,2460.0,1684.0,776.0,1057.0,0.0,0.0,0.0
San Benito  a/,,0.0,106.0,106.0,104.0,95.0,28.0,0.0,0.0,66.0,1.0,0.0,9.0,2.0,7.0,2.0,2.0,0.0,2.0
San Bernardino,,0.0,8740.0,8740.0,8740.0,7136.0,1901.0,64.0,194.0,4629.0,63.0,285.0,1604.0,683.0,921.0,0.0,126.0,68.0,58.0
San Diego,,37.0,8136.0,8173.0,8143.0,1935.0,169.0,5.0,5.0,1690.0,47.0,19.0,6208.0,2980.0,3228.0,30.0,22.0,6.0,16.0
San Francisco,,1428.0,3855.0,5283.0,3836.0,1884.0,7.0,0.0,0.0,1872.0,0.0,5.0,1952.0,0.0,1952.0,1447.0,23.0,6.0,17.0
San Joaquin,,9.0,200.0,209.0,209.0,174.0,50.0,5.0,7.0,90.0,8.0,14.0,35.0,8.0,27.0,0.0,1.0,0.0,1.0
San Luis Obispo,,3166.0,591.0,3757.0,555.0,224.0,83.0,4.0,2.0,132.0,2.0,1.0,331.0,100.0,231.0,3202.0,1.0,1.0,0.0
San Mateo,,8.0,532.0,540.0,531.0,521.0,220.0,16.0,5.0,239.0,28.0,13.0,10.0,1.0,9.0,9.0,64.0,0.0,64.0
Santa Barbara,,0.0,1399.0,1399.0,1399.0,308.0,78.0,0.0,1.0,226.0,1.0,2.0,1091.0,181.0,910.0,0.0,0.0,0.0,0.0
