PARTS,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART B,PART B,PART B
ITEM NUMBERS,1.0,1a,1b,2.0,3.0,4.0,4a ,4a1,4a2,4a3,4.0,4a ,4a1,4a2,4a3,4.0,4a ,4a1,4a2,4a3,4b,4b,4b,5.0,6.0,6.0,6.0
ITEM NAMES,Expedited service requests carried forward from the last report quarter ,Item 5 from last report quarter,Adjustment to Item 1a (positive or negative number),Expedited service requests received during the report quarter,Total expedited service requests on hand during the report quarter ,Expedited service requests disposed of during the report quarter,"Found entitled to expedited service [sum of Items 4a1), 4a2), and 4a3)]",Benefits issued in 1-3 days,Benefits issued in 4-7 days,Benefits issued in over 7 days,Expedited service requests disposed of during the report quarter,"Found entitled to expedited service [sum of Items 4a1), 4a2), and 4a3)]",Benefits issued in 1-3 days,Benefits issued in 4-7 days,Benefits issued in over 7 days,Expedited service requests disposed of during the report quarter,"Found entitled to expedited service [sum of Items 4a1), 4a2), and 4a3)]",Benefits issued in 1-3 days,Benefits issued in 4-7 days,Benefits issued in over 7 days,Found not entitled to expedited service,Found not entitled to expedited service,Found not entitled to expedited service,Expedited service requests pending at end of the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter
COLUMNS,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL, PAFS, PAFS, PAFS, PAFS, PAFS,NAFS,NAFS,NAFS,NAFS,NAFS,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PAFS,NAFS,TOTAL,TOTAL,PAFS,NAFS,TOTAL
DATA CELLS,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,7.0,10.0,13.0,16.0,19.0,8.0,11.0,14.0,17.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0
Statewide  a/,34363.0,37362.0,-2999.0,342561.0,376924.0,17348.0,8727.0,8210.0,313.0,204.0,320112.0,130744.0,122465.0,5136.0,3143.0,337460.0,139471.0,130675.0,5449.0,3347.0,8621.0,189368.0,197989.0,39464.0,39.0,2445.0,2484.0
Alameda,0.0,0.0,0.0,10158.0,10158.0,380.0,243.0,183.0,39.0,21.0,9778.0,4384.0,3825.0,384.0,175.0,10158.0,4627.0,4008.0,423.0,196.0,137.0,5394.0,5531.0,0.0,1.0,84.0,85.0
Alpine,1.0,1.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,13.0,0.0,1.0,16.0,14.0,13.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Amador,11.0,11.0,0.0,514.0,525.0,28.0,13.0,12.0,1.0,0.0,474.0,205.0,191.0,7.0,7.0,502.0,218.0,203.0,8.0,7.0,15.0,269.0,284.0,23.0,0.0,2.0,2.0
Butte,64.0,62.0,2.0,3811.0,3875.0,121.0,49.0,47.0,0.0,2.0,3647.0,1506.0,1443.0,45.0,18.0,3768.0,1555.0,1490.0,45.0,20.0,72.0,2141.0,2213.0,107.0,0.0,21.0,21.0
Calaveras,2.0,2.0,0.0,596.0,598.0,32.0,17.0,17.0,0.0,0.0,558.0,264.0,254.0,6.0,4.0,590.0,281.0,271.0,6.0,4.0,15.0,294.0,309.0,8.0,0.0,0.0,0.0
Colusa,5.0,5.0,0.0,244.0,249.0,20.0,14.0,14.0,0.0,0.0,226.0,91.0,91.0,0.0,0.0,246.0,105.0,105.0,0.0,0.0,6.0,135.0,141.0,3.0,0.0,0.0,0.0
Contra Costa,204.0,213.0,-9.0,5390.0,5594.0,113.0,68.0,46.0,12.0,10.0,5297.0,1680.0,1539.0,115.0,26.0,5410.0,1748.0,1585.0,127.0,36.0,45.0,3617.0,3662.0,184.0,0.0,5.0,5.0
Del Norte,78.0,78.0,0.0,409.0,487.0,27.0,17.0,17.0,0.0,0.0,377.0,236.0,233.0,1.0,2.0,404.0,253.0,250.0,1.0,2.0,10.0,141.0,151.0,83.0,0.0,0.0,0.0
El Dorado,19.0,20.0,-1.0,1617.0,1636.0,70.0,41.0,40.0,1.0,0.0,1540.0,891.0,881.0,9.0,1.0,1610.0,932.0,921.0,10.0,1.0,29.0,649.0,678.0,26.0,0.0,3.0,3.0
Fresno,209.0,219.0,-10.0,12045.0,12254.0,218.0,115.0,107.0,4.0,4.0,11797.0,4901.0,4766.0,99.0,36.0,12015.0,5016.0,4873.0,103.0,40.0,103.0,6896.0,6999.0,239.0,1.0,64.0,65.0
Glenn,1.0,1.0,0.0,242.0,243.0,17.0,10.0,10.0,0.0,0.0,220.0,120.0,120.0,0.0,0.0,237.0,130.0,130.0,0.0,0.0,7.0,100.0,107.0,6.0,0.0,5.0,5.0
Humboldt,115.0,118.0,-3.0,3115.0,3230.0,123.0,48.0,48.0,0.0,0.0,2953.0,1239.0,1110.0,71.0,58.0,3076.0,1287.0,1158.0,71.0,58.0,75.0,1714.0,1789.0,154.0,0.0,5.0,5.0
Imperial,77.0,100.0,-23.0,2161.0,2238.0,147.0,67.0,66.0,1.0,0.0,1879.0,826.0,815.0,8.0,3.0,2026.0,893.0,881.0,9.0,3.0,80.0,1053.0,1133.0,212.0,0.0,2.0,2.0
Inyo,7.0,8.0,-1.0,272.0,279.0,27.0,14.0,14.0,0.0,0.0,240.0,111.0,109.0,1.0,1.0,267.0,125.0,123.0,1.0,1.0,13.0,129.0,142.0,12.0,0.0,0.0,0.0
Kern,369.0,371.0,-2.0,13722.0,14091.0,989.0,436.0,428.0,6.0,2.0,12339.0,4926.0,4696.0,125.0,105.0,13328.0,5362.0,5124.0,131.0,107.0,553.0,7413.0,7966.0,763.0,0.0,1.0,1.0
Kings,294.0,297.0,-3.0,2344.0,2638.0,155.0,72.0,71.0,0.0,1.0,2185.0,960.0,913.0,34.0,13.0,2340.0,1032.0,984.0,34.0,14.0,83.0,1225.0,1308.0,298.0,0.0,4.0,4.0
Lake,80.0,81.0,-1.0,1132.0,1212.0,40.0,16.0,14.0,1.0,1.0,1064.0,461.0,440.0,7.0,14.0,1104.0,477.0,454.0,8.0,15.0,24.0,603.0,627.0,108.0,0.0,14.0,14.0
Lassen,7.0,7.0,0.0,451.0,458.0,19.0,4.0,4.0,0.0,0.0,429.0,199.0,183.0,13.0,3.0,448.0,203.0,187.0,13.0,3.0,15.0,230.0,245.0,10.0,0.0,0.0,0.0
Los Angeles,2480.0,5351.0,-2871.0,79510.0,81990.0,4476.0,2674.0,2484.0,125.0,65.0,71924.0,29585.0,28208.0,928.0,449.0,76400.0,32259.0,30692.0,1053.0,514.0,1802.0,42339.0,44141.0,5590.0,23.0,1231.0,1254.0
Madera,14.0,15.0,-1.0,1257.0,1271.0,121.0,95.0,95.0,0.0,0.0,1114.0,799.0,784.0,12.0,3.0,1235.0,894.0,879.0,12.0,3.0,26.0,315.0,341.0,36.0,0.0,1.0,1.0
Marin,55.0,58.0,-3.0,1424.0,1479.0,49.0,17.0,17.0,0.0,0.0,1314.0,563.0,524.0,15.0,24.0,1363.0,580.0,541.0,15.0,24.0,32.0,751.0,783.0,116.0,0.0,1.0,1.0
Mariposa,7.0,7.0,0.0,250.0,257.0,12.0,3.0,3.0,0.0,0.0,242.0,94.0,88.0,2.0,4.0,254.0,97.0,91.0,2.0,4.0,9.0,148.0,157.0,3.0,0.0,0.0,0.0
Mendocino,10.0,13.0,-3.0,1936.0,1946.0,88.0,49.0,48.0,0.0,1.0,1814.0,918.0,908.0,8.0,2.0,1902.0,967.0,956.0,8.0,3.0,39.0,896.0,935.0,44.0,0.0,1.0,1.0
Merced,116.0,118.0,-2.0,4327.0,4443.0,413.0,184.0,184.0,0.0,0.0,3916.0,1765.0,1747.0,10.0,8.0,4329.0,1949.0,1931.0,10.0,8.0,229.0,2151.0,2380.0,114.0,3.0,58.0,61.0
Modoc,4.0,4.0,0.0,101.0,105.0,10.0,5.0,5.0,0.0,0.0,90.0,50.0,47.0,0.0,3.0,100.0,55.0,52.0,0.0,3.0,5.0,40.0,45.0,5.0,0.0,0.0,0.0
Mono,14.0,14.0,0.0,192.0,206.0,6.0,2.0,2.0,0.0,0.0,184.0,53.0,47.0,6.0,0.0,190.0,55.0,49.0,6.0,0.0,4.0,131.0,135.0,16.0,0.0,0.0,0.0
Monterey,739.0,743.0,-4.0,4881.0,5620.0,487.0,294.0,292.0,1.0,1.0,4750.0,1896.0,1888.0,5.0,3.0,5237.0,2190.0,2180.0,6.0,4.0,193.0,2854.0,3047.0,383.0,0.0,4.0,4.0
Napa,41.0,41.0,0.0,1119.0,1160.0,41.0,14.0,14.0,0.0,0.0,1086.0,314.0,304.0,6.0,4.0,1127.0,328.0,318.0,6.0,4.0,27.0,772.0,799.0,33.0,0.0,2.0,2.0
Nevada,39.0,40.0,-1.0,1119.0,1158.0,55.0,26.0,25.0,0.0,1.0,1055.0,479.0,452.0,17.0,10.0,1110.0,505.0,477.0,17.0,11.0,29.0,576.0,605.0,48.0,0.0,12.0,12.0
Orange,41.0,41.0,0.0,14518.0,14559.0,999.0,366.0,365.0,1.0,0.0,13508.0,5182.0,5143.0,34.0,5.0,14507.0,5548.0,5508.0,35.0,5.0,633.0,8326.0,8959.0,52.0,0.0,37.0,37.0
Placer,17.0,17.0,0.0,1555.0,1572.0,5.0,5.0,4.0,0.0,1.0,1543.0,717.0,694.0,12.0,11.0,1548.0,722.0,698.0,12.0,12.0,0.0,826.0,826.0,24.0,0.0,3.0,3.0
Plumas,8.0,9.0,-1.0,259.0,267.0,11.0,7.0,7.0,0.0,0.0,234.0,99.0,97.0,1.0,1.0,245.0,106.0,104.0,1.0,1.0,4.0,135.0,139.0,22.0,0.0,1.0,1.0
Riverside,851.0,874.0,-23.0,30409.0,31260.0,2131.0,913.0,896.0,5.0,12.0,27605.0,10436.0,9976.0,208.0,252.0,29736.0,11349.0,10872.0,213.0,264.0,1218.0,17169.0,18387.0,1524.0,2.0,208.0,210.0
Sacramento,5764.0,5764.0,0.0,16112.0,21876.0,358.0,113.0,111.0,1.0,1.0,15879.0,3726.0,3558.0,160.0,8.0,16237.0,3839.0,3669.0,161.0,9.0,245.0,12153.0,12398.0,5639.0,0.0,20.0,20.0
San Benito,42.0,42.0,0.0,754.0,796.0,44.0,23.0,23.0,0.0,0.0,714.0,288.0,281.0,1.0,6.0,758.0,311.0,304.0,1.0,6.0,21.0,426.0,447.0,38.0,0.0,0.0,0.0
San Bernardino,638.0,657.0,-19.0,36636.0,37274.0,1967.0,683.0,647.0,22.0,14.0,34150.0,13862.0,12834.0,759.0,269.0,36117.0,14545.0,13481.0,781.0,283.0,1284.0,20288.0,21572.0,1157.0,1.0,101.0,102.0
San Diego,13504.0,13504.0,0.0,24764.0,38268.0,561.0,356.0,316.0,30.0,10.0,24008.0,9774.0,8946.0,543.0,285.0,24569.0,10130.0,9262.0,573.0,295.0,205.0,14234.0,14439.0,13699.0,2.0,320.0,322.0
San Francisco,304.0,292.0,12.0,5356.0,5660.0,190.0,174.0,169.0,3.0,2.0,5149.0,2124.0,1561.0,384.0,179.0,5339.0,2298.0,1730.0,387.0,181.0,16.0,3025.0,3041.0,321.0,1.0,9.0,10.0
San Joaquin,1837.0,1841.0,-4.0,6377.0,8214.0,667.0,438.0,431.0,3.0,4.0,5626.0,3265.0,3178.0,37.0,50.0,6293.0,3703.0,3609.0,40.0,54.0,229.0,2361.0,2590.0,1921.0,0.0,2.0,2.0
San Luis Obispo,298.0,298.0,0.0,1612.0,1910.0,54.0,39.0,31.0,4.0,4.0,1552.0,638.0,577.0,36.0,25.0,1606.0,677.0,608.0,40.0,29.0,15.0,914.0,929.0,304.0,0.0,11.0,11.0
San Mateo,2717.0,2717.0,0.0,2397.0,5114.0,39.0,28.0,21.0,3.0,4.0,2361.0,1260.0,1024.0,124.0,112.0,2400.0,1288.0,1045.0,127.0,116.0,11.0,1101.0,1112.0,2714.0,1.0,48.0,49.0
Santa Barbara,37.0,33.0,4.0,1211.0,1248.0,54.0,42.0,33.0,5.0,4.0,1166.0,672.0,625.0,40.0,7.0,1220.0,714.0,658.0,45.0,11.0,12.0,494.0,506.0,28.0,0.0,6.0,6.0
Santa Clara,502.0,527.0,-25.0,6909.0,7411.0,239.0,125.0,81.0,23.0,21.0,6696.0,1920.0,1699.0,99.0,122.0,6935.0,2045.0,1780.0,122.0,143.0,114.0,4776.0,4890.0,476.0,0.0,8.0,8.0
Santa Cruz,295.0,295.0,0.0,2814.0,3109.0,70.0,48.0,40.0,6.0,2.0,2742.0,794.0,737.0,55.0,2.0,2812.0,842.0,777.0,61.0,4.0,22.0,1948.0,1970.0,297.0,0.0,6.0,6.0
Shasta,122.0,123.0,-1.0,3539.0,3661.0,176.0,60.0,59.0,0.0,1.0,3282.0,1273.0,1074.0,48.0,151.0,3458.0,1333.0,1133.0,48.0,152.0,116.0,2009.0,2125.0,203.0,0.0,3.0,3.0
Sierra,0.0,0.0,0.0,51.0,51.0,3.0,2.0,2.0,0.0,0.0,48.0,24.0,23.0,1.0,0.0,51.0,26.0,25.0,1.0,0.0,1.0,24.0,25.0,0.0,0.0,0.0,0.0
Siskiyou,31.0,31.0,0.0,886.0,917.0,44.0,19.0,19.0,0.0,0.0,816.0,283.0,268.0,8.0,7.0,860.0,302.0,287.0,8.0,7.0,25.0,533.0,558.0,57.0,0.0,0.0,0.0
Solano,39.0,39.0,0.0,2430.0,2469.0,59.0,37.0,34.0,2.0,1.0,2377.0,1406.0,1338.0,43.0,25.0,2436.0,1443.0,1372.0,45.0,26.0,22.0,971.0,993.0,33.0,1.0,23.0,24.0
Sonoma,149.0,149.0,0.0,3623.0,3772.0,42.0,31.0,29.0,1.0,1.0,3509.0,1288.0,502.0,332.0,454.0,3551.0,1319.0,531.0,333.0,455.0,11.0,2221.0,2232.0,221.0,0.0,44.0,44.0
Stanislaus,204.0,210.0,-6.0,9949.0,10153.0,720.0,238.0,229.0,4.0,5.0,9179.0,3961.0,3831.0,42.0,88.0,9899.0,4199.0,4060.0,46.0,93.0,482.0,5218.0,5700.0,254.0,2.0,7.0,9.0
Sutter,30.0,29.0,1.0,1230.0,1260.0,78.0,39.0,38.0,0.0,1.0,1130.0,533.0,512.0,14.0,7.0,1208.0,572.0,550.0,14.0,8.0,39.0,597.0,636.0,52.0,0.0,0.0,0.0
Tehama,13.0,13.0,0.0,768.0,781.0,38.0,24.0,24.0,0.0,0.0,706.0,476.0,471.0,4.0,1.0,744.0,500.0,495.0,4.0,1.0,14.0,230.0,244.0,37.0,0.0,2.0,2.0
Trinity,10.0,10.0,0.0,198.0,208.0,7.0,4.0,4.0,0.0,0.0,194.0,82.0,77.0,2.0,3.0,201.0,86.0,81.0,2.0,3.0,3.0,112.0,115.0,7.0,0.0,1.0,1.0
