PARTS,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART B,PART B,PART B,CDSS Use Only:
ITEM NUMBERS,1.0,1a,1b,2.0,3.0,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4b,4b,4b,5.0,6.0,6.0,6.0,2477980.0
ITEM NAMES,Applications processed under ES carried forward from the last report quarter,Item 5 from last report quarter as reported to CDSS,"Adjustment 
(Item 1 minus Item 1a)",Applications processed under ES received during the report quarter,"Total applications processed under ES on hand during the report quarter
(Item 1 plus Item 2)",Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Found not entitled to ES,Found not entitled to ES,Found not entitled to ES,Applications processed under ES pending at the end of the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,
COLUMNS,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PACF,PACF,PACF,PACF,PACF,PACF,PACF,PACF,PACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PACF,NACF,TOTAL,TOTAL,PACF,NACF,TOTAL,
DATA CELLS,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,7.0,10.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0,8.0,11.0,14.0,17.0,20.0,23.0,26.0,29.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,
Statewidea/,28992.0,32213.0,-3221.0,343011.0,372003.0,18440.0,9812.0,9137.0,395.0,212.0,183.0,280.0,155.0,125.0,324731.0,128827.0,119003.0,5385.0,1786.0,3599.0,4439.0,1395.0,3044.0,343171.0,138639.0,128140.0,5780.0,1998.0,3782.0,4719.0,1550.0,3169.0,8628.0,195904.0,204532.0,28832.0,68.0,2527.0,2595.0,
Alameda,0.0,0.0,0.0,9423.0,9423.0,429.0,306.0,227.0,54.0,0.0,54.0,25.0,0.0,25.0,8994.0,4245.0,3709.0,326.0,0.0,326.0,210.0,0.0,210.0,9423.0,4551.0,3936.0,380.0,0.0,380.0,235.0,0.0,235.0,123.0,4749.0,4872.0,0.0,1.0,147.0,148.0,
Alpine,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,11.0,5.0,5.0,0.0,1.0,1.0,0.0,26.0,17.0,11.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,
Amador,23.0,21.0,2.0,568.0,591.0,23.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,206.0,203.0,2.0,1.0,1.0,1.0,1.0,0.0,542.0,214.0,211.0,2.0,1.0,1.0,1.0,1.0,0.0,15.0,313.0,328.0,49.0,0.0,0.0,0.0,
Butte,179.0,199.0,-20.0,3911.0,4090.0,117.0,43.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,3721.0,1487.0,1381.0,65.0,0.0,65.0,41.0,41.0,0.0,3838.0,1530.0,1423.0,65.0,0.0,65.0,42.0,42.0,0.0,74.0,2234.0,2308.0,252.0,0.0,12.0,12.0,
Calaveras,19.0,29.0,-10.0,610.0,629.0,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,265.0,260.0,4.0,4.0,0.0,1.0,1.0,0.0,615.0,281.0,276.0,4.0,4.0,0.0,1.0,1.0,0.0,16.0,318.0,334.0,14.0,0.0,0.0,0.0,
Colusa,7.0,7.0,0.0,270.0,277.0,16.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,74.0,70.0,4.0,3.0,1.0,0.0,0.0,0.0,265.0,79.0,75.0,4.0,3.0,1.0,0.0,0.0,0.0,11.0,175.0,186.0,12.0,0.0,0.0,0.0,
Contra Costa,392.0,365.0,27.0,4717.0,5109.0,118.0,77.0,55.0,14.0,0.0,14.0,8.0,0.0,8.0,4750.0,1507.0,1079.0,245.0,0.0,245.0,183.0,0.0,183.0,4868.0,1584.0,1134.0,259.0,0.0,259.0,191.0,0.0,191.0,41.0,3243.0,3284.0,241.0,0.0,8.0,8.0,
Del Norte,94.0,94.0,0.0,465.0,559.0,37.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,249.0,244.0,5.0,5.0,0.0,0.0,0.0,0.0,454.0,273.0,268.0,5.0,5.0,0.0,0.0,0.0,0.0,13.0,168.0,181.0,105.0,0.0,0.0,0.0,
El Dorado,46.0,51.0,-5.0,1727.0,1773.0,77.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1583.0,806.0,702.0,62.0,62.0,0.0,42.0,42.0,0.0,1660.0,850.0,746.0,62.0,62.0,0.0,42.0,42.0,0.0,33.0,777.0,810.0,113.0,0.0,3.0,3.0,
Fresno,520.0,421.0,99.0,12267.0,12787.0,179.0,103.0,99.0,3.0,0.0,3.0,1.0,0.0,1.0,12360.0,5014.0,4570.0,355.0,0.0,355.0,89.0,0.0,89.0,12539.0,5117.0,4669.0,358.0,0.0,358.0,90.0,0.0,90.0,76.0,7346.0,7422.0,248.0,2.0,98.0,100.0,
Glenn,3.0,4.0,-1.0,267.0,270.0,28.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,129.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,146.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,104.0,115.0,9.0,0.0,2.0,2.0,
Humboldt,118.0,10.0,108.0,2560.0,2678.0,130.0,63.0,60.0,2.0,1.0,1.0,1.0,1.0,0.0,2353.0,995.0,871.0,88.0,5.0,83.0,36.0,11.0,25.0,2483.0,1058.0,931.0,90.0,6.0,84.0,37.0,12.0,25.0,67.0,1358.0,1425.0,195.0,0.0,13.0,13.0,
