,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART B,PART B,PART B,CDSS Use Only:
,1.0,1a,1b,2.0,3.0,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4b,4b,4b,5.0,6.0,6.0,6.0,2392565.0
,Applications processed under ES carried forward from the last report quarter,Item 5 from last report quarter as reported to CDSS,"Adjustment 
(Item 1 minus Item 1a)",Applications processed under ES received during the report quarter,"Total applications processed under ES on hand during the report quarter
(Item 1 plus Item 2)",Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Found not entitled to ES,Found not entitled to ES,Found not entitled to ES,Applications processed under ES pending at the end of the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,
,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PACF,PACF,PACF,PACF,PACF,PACF,PACF,PACF,PACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PACF,NACF,TOTAL,TOTAL,PACF,NACF,TOTAL,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,7.0,10.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0,8.0,11.0,14.0,17.0,20.0,23.0,26.0,29.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,
Statewide,33762.0,36198.0,-2436.0,331703.0,365465.0,14110.0,8518.0,7187.0,488.0,185.0,303.0,843.0,269.0,574.0,308320.0,127745.0,119132.0,4102.0,1568.0,2534.0,4511.0,1756.0,2755.0,322430.0,136263.0,126319.0,4590.0,1753.0,2837.0,5354.0,2025.0,3329.0,5592.0,180575.0,186167.0,43035.0,45.0,1307.0,1352.0,
Alameda,0.0,0.0,0.0,12727.0,12727.0,365.0,186.0,172.0,6.0,0.0,6.0,8.0,0.0,8.0,12362.0,4155.0,3875.0,205.0,0.0,205.0,75.0,0.0,75.0,12727.0,4341.0,4047.0,211.0,0.0,211.0,83.0,0.0,83.0,179.0,8207.0,8386.0,0.0,0.0,100.0,100.0,
Alpine,1.0,1.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,7.0,3.0,3.0,0.0,1.0,1.0,0.0,17.0,11.0,7.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,
Amador,37.0,39.0,-2.0,411.0,448.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,191.0,183.0,3.0,2.0,1.0,5.0,3.0,2.0,410.0,195.0,187.0,3.0,2.0,1.0,5.0,3.0,2.0,5.0,210.0,215.0,38.0,0.0,1.0,1.0,
Butte,612.0,609.0,3.0,4047.0,4659.0,108.0,33.0,30.0,3.0,0.0,3.0,0.0,0.0,0.0,4003.0,1627.0,1528.0,70.0,6.0,64.0,29.0,5.0,24.0,4111.0,1660.0,1558.0,73.0,6.0,67.0,29.0,5.0,24.0,75.0,2376.0,2451.0,548.0,0.0,25.0,25.0,
Calaveras,26.0,26.0,0.0,563.0,589.0,16.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,243.0,234.0,6.0,1.0,5.0,3.0,1.0,2.0,569.0,250.0,241.0,6.0,1.0,5.0,3.0,1.0,2.0,9.0,310.0,319.0,20.0,0.0,0.0,0.0,
Colusa,34.0,34.0,0.0,195.0,229.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,78.0,77.0,0.0,0.0,0.0,1.0,1.0,0.0,192.0,79.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,113.0,113.0,37.0,0.0,1.0,1.0,
Contra Costa,242.0,242.0,0.0,4380.0,4622.0,105.0,55.0,54.0,1.0,0.0,1.0,0.0,0.0,0.0,4278.0,1551.0,1526.0,20.0,0.0,20.0,5.0,0.0,5.0,4383.0,1606.0,1580.0,21.0,0.0,21.0,5.0,0.0,5.0,50.0,2727.0,2777.0,239.0,0.0,9.0,9.0,
Del Norte,157.0,157.0,0.0,514.0,671.0,24.0,13.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,472.0,173.0,162.0,8.0,2.0,6.0,3.0,1.0,2.0,496.0,186.0,174.0,9.0,3.0,6.0,3.0,1.0,2.0,11.0,299.0,310.0,175.0,0.0,0.0,0.0,
