 (Accessible sheet). Data table begins in Cell A6. Item descriptions are contained within input messages in Row 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CalFresh Expedited Service Quarterly Statistical Report 
(DFA 296X)",,,,,,,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART A,PART B,PART B,PART B
,,,,,,,1.0,1a,1b,2.0,3.0,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4.0,4a ,4a1,4a2,4a2a,4a2b,4a3,4a3a,4a3b,4b,4b,4b,5.0,6.0,6.0,6.0
,,,,,,,Applications processed under ES carried forward from the last report quarter,Item 5 from last report quarter as reported to CDSS,"Adjustment 
(Item 1 minus Item 1a)",Applications processed under ES received during the report quarter,"Total applications processed under ES on hand during the report quarter
(Item 1 plus Item 2)",Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Applications processed under ES disposed of during the report quarter (Item 4a plus Item 4b),"Found entitled to ES (Sum of Items 4a1, 4a2, and 4a3)",Benefits issued in 1-3 days,"Benefits issued in 4-7 days
(Item 4a2a plus Item 4a2b)",Benefits issued in 4-7 days client caused delay,Benefits issued in 4-7 days county caused delay,Benefits issued in over 7 days (Item 4a3a plus Item 4a3b),Benefits issued in over 7 days client caused delay,Benefits issued in over 7 days county caused delay,Found not entitled to ES,Found not entitled to ES,Found not entitled to ES,Applications processed under ES pending at the end of the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter,Households discontinued due to recipient failure to complete application process for ongoing benefits during the report quarter
,,,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PACF,PACF,PACF,PACF,PACF,PACF,PACF,PACF,PACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,NACF,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PACF,NACF,TOTAL,TOTAL,PACF,NACF,TOTAL
Date,County Name, ,County Code,SFY,FFY,Report Quarter,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39
Jul-Sep2015,Statewide,,00,15-16,2015,Jul-Sep 2015,34951.0,38013.0,-3062.0,386908.0,421859.0,15114.0,366595.0,381709.0,8052.0,144859.0,152911.0,7307.0,136629.0,143936.0,438.0,5086.0,5524.0,300.0,2369.0,2669.0,138.0,2717.0,2855.0,307.0,3144.0,3451.0,223.0,1701.0,1924.0,84.0,1443.0,1527.0,7062.0,221736.0,228798.0,40150.0,52.0,2684.0,2736.0
Jul-Sep2015,Alameda,,01,15-16,2015,Jul-Sep 2015,0.0,0.0,0.0,11441.0,11441.0,389.0,11052.0,11441.0,218.0,4221.0,4439.0,182.0,3744.0,3926.0,23.0,326.0,349.0,0.0,0.0,0.0,23.0,326.0,349.0,13.0,151.0,164.0,0.0,0.0,0.0,13.0,151.0,164.0,171.0,6831.0,7002.0,0.0,2.0,210.0,212.0
Jul-Sep2015,Alpine,,02,15-16,2015,Jul-Sep 2015,0.0,0.0,0.0,17.0,17.0,0.0,16.0,16.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0
Jul-Sep2015,Amador,,03,15-16,2015,Jul-Sep 2015,25.0,28.0,-3.0,442.0,467.0,17.0,404.0,421.0,7.0,176.0,183.0,6.0,170.0,176.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,10.0,228.0,238.0,46.0,1.0,4.0,5.0
Jul-Sep2015,Butte,,04,15-16,2015,Jul-Sep 2015,651.0,655.0,-4.0,4741.0,5392.0,87.0,4343.0,4430.0,33.0,1781.0,1814.0,28.0,1652.0,1680.0,2.0,93.0,95.0,0.0,8.0,8.0,2.0,85.0,87.0,3.0,36.0,39.0,0.0,8.0,8.0,3.0,28.0,31.0,54.0,2562.0,2616.0,962.0,1.0,7.0,8.0
Jul-Sep2015,Calaveras,,05,15-16,2015,Jul-Sep 2015,29.0,29.0,0.0,590.0,619.0,6.0,587.0,593.0,2.0,254.0,256.0,2.0,239.0,241.0,0.0,11.0,11.0,0.0,7.0,7.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,333.0,337.0,26.0,0.0,0.0,0.0
